Date,Event,Fatalities,Route,Location,Aircraft Type,Passengers,Registration,Aircraft,Crew,Responsible Group,People on Board,Crash Cause,Total Fatalities,Accident Cause,Survivors,Flight Number,Weather,Probable Cause,Airline,Flight Route,Total Passengers,Crew Members,Ground Casualties,Total Crew,Establishment Date,Contributing Factors,,Cause,Accident Description,Possible Causes,Total Fatalties,Crash Location,Crew Deaths,Aircraft Registration,Main Cause,Engine Type,Notable Individuals,Capacity,Aircraft Information,Description,Departure Airport,Destination Airport,Destination,Outcome,Responsible Party,Operations,Name,Cause of Crash,Injuries,Formation Date,--------------------,Serious Injuries,Minor/No Injuries,Operational History,Other Details,-------,Aeroservicios Ecuatorianos Flight 767-103,Modernization Era,Peak Status,Post-1992 Status,Operation Enduring Freedom Status,2021 Status,Fall of Kabul Status,Flight Crew,Manufacturer Serial Number,Maintenance Details,Passenger Details,Responsible Group/Cause,Crew Fatalities,Passenger Fatalities,Development,Wing Position,Characteristics,Alliance Air Flight 7412,Boeing 737-2A8 (VT-EGD),Operator,Total People on Board,Crew Involved,Additional Context,Crew members,------------------------,Cameroon Airlines 3701,Departure,Ground Fatalities,Initial Engine Issue,Reason for Crash,Occupants,Smoke Detection,Wreckage Location,Flight Recorder Recovery,Founded by,First Aircraft Delivered,Battle Significance,Main Commander,Flydubai Flight 981,Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",Founding Date,Founder,Headquarters,Acquired by,Fleet,Notable Awards,Merger Date,Reestablishment Date,Current Status,Minister of Defense,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",Notes,Engine,Produced,Variant,Paratroopers,Cargo Capacity,Rear Loading Ramp/Door,Defensive Tail Gun Turret,Chinese Version,Production Year,Personnel Count,Highest Rank Held,-----------------------------------,Crash Causes,Potential Causes,LaMia Flight 2933,----------------,2933,LOT Polish Airlines Flight 5055,Alleged Cause,Possible Cause of Crash,Accident Causes,Location of Disappearance,Pakistan International Airlines Flight 268,Crew Member,------------------,Captain,First Officer,Flight Engineer 1,Flight Engineer 2,Pakistan International Airlines Flight 8303,Engine Failures,Rescued,Note,Total Lockheed C-130 Hercules Production Hulls Lost,US C-130 Losses during Vietnam War,Royal Air Force Accident Rate (1967-2005),US Air Force Hercules Overall Attrition Rate,Lineage of Russian Air Force,Commander,Sequence of Events,Investigation,Singapore Airlines Flight 006,-----------------------,Captain Foong Chee Kong,First Officer Latiff Cyrano,Relief Pilot Ng Kheng Leng,Key Causes,Responsible Crew Members,Southern Airways Flight 932,Possible Contributing Factors,Casualties,Investigating Authority,TAME Flight 120,Weather Conditions,Responsible Pilots,Crash Factors,TWA Flight 128,Crew Role,-------------------,Hours of Flight,"Pilot error, misjudgment of altitude",Origin,Fatalities (Passengers),Fatalities (Crew),Responsible Factors,Flight 352,Yekaterinburg - Vladivostok,Vnukovo Airlines 2801,"Since there is no specific responsible group mentioned in the text provided, this information has been excluded from the final table.",Initial Aircraft,Training Partnership,Initial Acquisition of Aircraft,Major Arms Deal,Aircraft Provided by Donations,Conflicts Faced by Air Force,Sole Survivor,trigger
29 February 1968,Aeroflot Flight 15,74,Moscow-Domodedovo to Petropavlovsk-Kamchatsky with a stopover at Yemelyanovo,,,75,CCCP-74252,Ilyushin Il-18D,,Aeroflot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 15
17 March 1979,Aeroflot Flight 1691,58,Moscow Vnukovo Airport - Odessa,,,119,,Tupolev Tu-104B,,,,,,,,TU-104B,,"Overloaded aircraft, crew received false fire alarm, delayed departure, engine issues, failure to follow proper landing procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1691
15 May 1976,Aeroflot Flight 1802,52,Vinnytsia to Moscow,14.5 km southeast of Chernigovskiy airport,,52,CCCP-46534,Antonov An-24RV,6,,,,,,,,,,,,,,,,,,,,Loss of control due to rudder deflection leading to crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1802
25 July 1971,,,Odessa-Kyiv-Chelyabinsk-Novosibirsk-Irkutsk-Khabarovsk-Vladivostok,,,126,СССР-42405,Tupolev Tu-104B,,,,,97,"Hard landing, touched down short of runway, broke left wing, caught fire",29,,"Stratus clouds, ceiling of 150 meters, mild north-easterly winds, visibility at 1,500 meters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1912
31 March 1971,Aeroflot Flight 1969,65,,"Luhansk, Ukraine",Antonov An-10,,,,,N/A,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 1969
4 January 1965,Aeroflot Flight 101/X-20,64,Moscow - Omsk - Alma-Ata,,,103,CCCP-75685,Ilyushin Il-18B,,,,,,"Low visibility conditions, delayed departure, aircraft inspections, delayed destination, potential weather conditions",,101/X-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 20
3 January 1976,Aeroflot Flight 2003,62,,"Moscow–Vnukovo Airport, Russia",Tupolev Tu-124,,CCCP-45037,,,N/A,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2003
16 December 1973,,,Vilnius (Lithuania) to Moscow (Russia),,,51,,Tupolev Tu-124V,6 crew members and a sky marshal,,,Loss of control due to elevator malfunction during final descent,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2022
13 October 1972,,,"Orly Airport, Paris - Leningrad - Sheremetyevo, Moscow",,,164,,Ilyushin Il-62,10,,,,164,'Psycho-physiological incapacitation of the crew',,,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 217
"Wednesday, 1 December 1971",Aeroflot Flight 2174,57,Yekaterinburg to Saratov with a stop at Ufa,,,57,,Antonov An-24B,,,,"Entered icing conditions leading to loss of control, crash on approach to Saratov Tsentralny Airport",,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2174
16 November 1967,Aeroflot Flight 2230,107,Yekaterinburg to Tashkent,,,107,,Ilyushin Il-18,"Yuri Abaturov, Nikolai Mikhaylov, Anatoly Zagorsky, Viktor Ospishchev, Yuri Yefremov",,,"Electrical failure causing wrong indications, crew inability to determine altitude",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2230
2 July 1986,Aeroflot Flight 2306,54,,"Syktyvkar, Soviet Union",Tupolev Tu-134AK,86,CCCP-65120,,"Two flight attendants, Captain, Flight Engineer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2306
28 November 1976,Aeroflot Flight 2415,73,Moscow to Leningrad,,,67,,Tupolev Tu-104B,6,,,,,,,,,,,,,,,,,,,,,,,,,,Crew disorientation due to artificial horizon failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2415
Wednesday 17 December 1961,,,"Vnukovo to Sochi, Russia",,,59,CCCP-75654,Ilyushin Il-18B,"Flight Engineer, Captain, First Officer",,,Accidental deployment of flaps leading to loss of control,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 245
4 April 1963,Aeroflot Flight 25,67,,"Rybnaya Sloboda, Tatar ASSR, Russian SFSR",Ilyushin Il-18V,,CCCP-75866,,,Aeroflot,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 25
27 August 1992,,,"Mineralnye Vody to Ivanovo with a stopover in Donetsk, Ukraine",,,77,RA-65058,Tupolev Tu-134,7,,,,84,Errors made by the crew and air traffic controller,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 2808
3 September 1962,Aeroflot Flight 03,86,,"Khabarovsk, Russia",,79,СССР-42366,Tupolev Tu-104A,,N/A,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3
27 May 1977,Aeroflot Flight 331,68,,"Havana, Cuba",,,CCCP-86614,Ilyushin Il-62M,"Viktor Orlov (Captain), Vasily Shevelev (Co-pilot), Anatoly Vorobyov (Navigator), Yuri Suslov (Flight Engineer), Evgeniy Pankov (Operator)",Pilot error,70,"Attempted emergency landing, power line collision during poor weather",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 331
11 October 1984,Aeroflot Flight 3352,,Krasnodar - Omsk - Novosibirsk,,,Unknown,,Tupolev Tu-154,,,,,,,,,,,,,,,4,,,,,,,,,,,,Air traffic controller falling asleep on duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3352
23 December 1984,,,"Krasnoyarsk to Irkutsk, Soviet Union",,,110,Unknown,Tupolev Tu-154B-2,"One survivor, 110 fatalities",,,Engine fire due to manufacturing defect in compressor disk,,,1,3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3519
17 November 1981,,,"Krasnoyarsk to Noril'sk, Soviet Union",,,167,,Tupolev Tu-154,Unknown,,,,,"Inaccurate calculation of landing weight, failed approach speed alignment, delayed go-around, loss of control of auto-throttle",,,"Dark with low overcast, cloud base around 400 feet",,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3603
"January 13, 1977",Aeroflot Flight 3843,,Khabarovsk to Almaty via Novosibirsk,,Tupolev Tu-104B,90,СССР-42369,,,,,,90,Left engine fire leading to crash near Almaty Airport resulting in the fatalities of all 90 individuals on board.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3843
30 September 1973,,108,Koltsovo to Omsk Tsentralny Airport,,,,CCCP-42506,Tupolev Tu-104B,,,,,,"Loss of control of the aircraft after a steep bank angle during climb out, leading to the crash",,,"Mild, Visibility over 6 km, light northwest winds",,,,108,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 3932
15 August 1958,,,Khabarovsk to Moscow with a stopover in Irkutsk,,,64,,Tupolev Tu-104A,Unknown,,,,64,"Weather conditions, delayed departure, altitude changes",,,"Cumulonimbus and stratiform clouds, thunderstorms with rain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 4
6 July 1982,Aeroflot Flight 411,,"Moscow to Freetown, Sierra Leone via Dakar, Senegal",,Ilyushin Il-62M,80,SSSR-86513,,10,,,"Inaccurate calculation of landing weight, failed approach speed alignment, delayed go-around, loss of control of auto-throttle",90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 411
28 July 1962,Aeroflot Flight 415,,Lviv - Simferopol - Sochi,"Near Gagra, Abkhaz ASSR, Georgian SSR",,74,CCCP-11186,Antonov An-10A,7,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 415
