Date,Event,Magnitude,Death Toll,Time,Mercalli Intensity,Epicenter,Intensity,Impacted Regions,Impact on Infrastructure and Population,Casualties,Location,Date of Impact,Total Monetary Losses,Town of Impact,Hurricane Name,Typhoon,Death Toll Range,Villages Affected,Total Casualties,Fatalities,Injured,Affected Regions,Landfall Date,Maximum Intensity,Aftershocks Recorded,Cause,International Response,Cyclone Name,Ground Deformation,Financial Losses,Duration,Total Fatalities,Peak Intensity,Date of Formation,People Affected,Areas Affected,Most Affected Areas,Buildings Damaged,Notable Impact,Notable Buildings Destroyed,Notable Impacts,Population Affected,Dissipation Date,Maximum Slip,Economic Losses,Deaths,Impact on Infrastructure,Regions Affected,Most Affected Regions,Displaced People,Date of Landfall,Landfall Location,Villages Destroyed,Buildings Damaged/Destroyed,Effects,Notable Effects,Area Affected (sq km),Fatality Estimates,Key Events Leading to Disaster,Aftermath,Other Impacts,Impact on Towns,Notable Phenomena,Death Toll Estimate,Economic Toll,State Record High Temperatures Set,Start Month,Peak Month,Temperature Records set in Different States/Provinces,Significant Damage,Recorded Wind Speeds,Affecting Fault,Duration of Shaking,Tsunami Height,Affected Area,Geological Information,Magnitude (Mainshock),Magnitude (Aftershock),Tsunami Generated,Impact,Other notable impacts,Estimated Monetary Losses,Towns Affected,Communications Impact,Houses Flooded,Impact on Region,Time Period,Impacted Province,Highest Flood Levels,Estimated Death Toll,Fault,Dasht-e Bayaz Earthquake,Ferdows Earthquake,Houses Collapsed,Houses Severely Damaged,Landslides,Sandblows Observed,Region of Impact,Focal Mechanism,Main Impacts,Construction Material,Impact on Fishermen,Notable Impact on Infrastructure,Key Statistics,Distance to Tehran,Surface Rupture,Vertical Slip,Infrastructure Damage,Injuries,Injured Individuals,Distance to Major City,Missing,Monetary Damage,MSK Intensity,Notable Film References,Formation Date,Monetary Damages,Relief Efforts,Villages Demolished,Main Districts Affected,Hypocenter Depth,Possible Causes,Depth,Government Response,Cyclone,Rupture Length,Fault Line,Plate Tectonics Impact,Ground Conditions,Displaced Population,Land Area Affected,Mode of Onset,Lasting Impact,Distance to Epicenter,Timeframe,Highest Recorded Temperature,Significant Impacts on Infrastructure,Year,Contributing Factors,Seismic Activity,Geological Factors,Severely Injured,Slightly Injured,Affected Houses,Affected Families,Earthquake Type,Houses Affected,Significance of Infrastructural Damage,Noteworthy Rescue Efforts,Record High Temperature,Affected Population,Impact on Water Resources and Agriculture,Drought Association,Delay in Monsoon Rains,Climate Change Connection,Warning Plans Implemented,Impact on Buildings and Infrastructure,Tsunami Triggered,States Affected,Rescued by Indian Navy,Notable Details,Total Deaths,Total Injuries,Buildings Damaged or Destroyed,International Aid Response,Geological Context,Warning Prior to Event,Rainfall Amount,Maximum Mercalli Intensity,Impact on Armero,Overall Death Toll,Controversy Over Government Warnings,International Attention,Relief Challenges,Affected Region,Peak Sustained Winds,Estimated Monetary Damage,Key Events,Impact on Kobe,Hurricane,Most Affected Countries,Dates,Livestock Lost,Trigger of Eruption,Prevention Measures,Highest Rainfall Amount,Records Set,Iris,Joan,Kate,Max Sustained Winds,Maximum Sustained Winds,Peak Wind,Peak Pressure,Estimated Damage,Origin,Development,Landfalls,Peak Wind Speed,Impact on Philippines,Notable Event,Damage and Significance,Minimum Pressure Recorded,Peak Winds,Storm Surge,Seawalls Destroyed,Boats Destroyed,Crop Damage,Date of Dissipation,trigger
"Oct 14-16, 1949",,,,,,,,,,,,,,,,,"1,000 to 40,000",,,,,,,,,,"Foreign aid pledged, assistance from neighboring countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$15,000,000 to $40,000,000",Guatemala,"Landslides, road blockages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949 Eastern Guatemalan floods
June 1953,1953 North Kyushu flood,,,,,,,,,"1,001 dead or missing","Northern Kyushu, Japan",,,,,,,,,,,,,,,"Cloudbursts, prolonged rain",,,,,,,,,,,,,,,,About 1 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450,000","Major disaster with devastating impact, flood control measures revised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953 Northern Kyushu flood
June-September 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hubei,"Jingzhou, Hubei, Wuhan","44.67 m (Jingzhou), 29.73 m (Wuhan)","~33,000 fatalities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954 Yangtze floods
September 1,1962 Buin Zahra earthquake,7.1 Richter,"12,225 fatalities",,,,,,,,"Buin Zahra, Qazvin Province, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ipak Fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962 Buin Zahra earthquake
19 August,1966 Varto earthquake,6.8,"2,394",,,,,,,,,,,Varto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966 Varto earthquake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Dasht-e Bayaz and Ferdows earthquakes
"July 26, 1969",1969 Yangjiang earthquake,6.4,"3,000 (unconfirmed)",6:49am,VIII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,700","36,000",Yes,Yes,"Yangjiang, Guangdong Province",Strike-slip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969 Yangjiang earthquake
,,,,,,,185 km/h,"East Pakistan, India's West Bengal",,,,"November 11, 1970",,,,,,,"300,000-500,000",,,,,,,,,1970 Bhola cyclone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deadliest tropical cyclone, storm surge, widespread flooding, political consequences leading to Bangladesh Liberation War",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 Bhola cyclone
"April 10, 1972",1972 Qir earthquake,6.7,"5,374",05:36,IX,,,,,,,,,Qir,,,,Towns and villages in the area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adobe brick, date palm beams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Qir earthquake
April 26-30,1973 Flores cyclone,,"1,653",,,,,,,,"Banda Sea, Indonesia",,,,,,,,,,,,,Category 3,,,,,,,,,,,,,,,,,,,April 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500 fishermen killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973 Flores cyclone
"July 28,1976",1976 Tangshan earthquake,7.6 Mw,"242,769",,XI,,,,,,"Tangshan, Hebei, China",,,Tangshan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85% building collapse, bridges collapsed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Tangshan earthquake
