Event Name,Location,Annual Occurrence,Focus,Dates,Significance,Purpose,Organizing Body,Key Organizer,Number of Attendees,Participating Organizations,Participants,Year,Date,Founding Year,Number of Participants,Year Founded,Significant Details,Year Established,Notable Participants,Funding Sources,Supporting Organizations,Attendance,Key Organizers,Event,Organizer,Duration,Opposition Party,Founders,Sponsors,Notable Participants/Supporters,Founding Organization,Founding Members,Awards,Notable Incidents,Significant Features,Locations,Historical Significance,Establishment Year,Organization Name,Events Hosted,Unique Activities,Fundraising Amount,Legal Recognition of Same-Sex Unions,Anti-Discrimination Laws in Employment,Extending Anti-Discrimination Laws to Gender Identity,Hate Speech and Hate Crime Legislation,Civil Unions Legalized for Same-Sex Couples,Rights for Transgender Individuals,Gender Identity Recognition Without Surgical Alteration,Same-Sex Couples' Rights to Foster Care Children,Gay Culture Hotspots,Main Activities,Notable Performers,Rotation Between Baltic Capitals,Opposition Faced,Key Developments,Notable Film,Berlin Pride,CSD Berlin,Opposition,Political Climate,Response to LGBTQ Rights,Significant Activities,Participant Numbers,Venue,Activities,Disruptions,Awards/Honors,Additional Events,Organizational Structure,Support from Local Inhabitants,Number of Attendees in 2018,Estimated Attendees (2014),Largest Attendance Year,Come Out with Pride,Attendance Growth,Features,2001,2002,2003,2004,2005,2006,2018,2019,Hosting Organization,Target Audience,Theme/Purpose,Significant Years,Opposition faced,Entry Details,Unique Events,Inclusion Criteria,International Participation,Activities during Event Week,Historical Background,Attendance Numbers,Activities Organized,Number of Volunteers,Services Provided,CEO,Number of Employees,Key Events,Fundraising Initiatives,Significant Films,Date Observed,Countries Commemorated,Specific Date Chosen,Significant Milestones,Founders/Staff,Awards Received,Start Year,Background,Attendees,Support from Leeds Inhabitants,Organizer Association,Themes Covered,Hiatus/Return,Number of Attendees in 2013,Goals and Aims,Focus/Theme,Related Events,1999,2000,Date of First Event,Volunteer Organizers,Support from Stakeholders,Controversies/Opposition,Attendees at Specific Years,Ban Status,Mr Gay Europe,Current Title Holder,Significant Achievements/Contributions,Year Started,Format,Significant Events,Broadcasting Platforms,Representation,Gaps in Occurrence,Affiliation,Representation Opportunities,Notable Winners,Representation at Mr. Gay World,Focus/Purpose,Cancellations/Alterations,Founding Artist Director,Collaborating Organizations,Gai Jatra Gay March,Nepal Pride Parade,Nepal Pride Parade (Online),Key Activities,Operations Location,Significant Participants,Historical Information,Participants/Supporters,Founder,Notable Appearances,Unique Selling Proposition,Significant Partnerships/Expansions,Support from Warsaw Inhabitants,Significant Performers,1990,2012,Organizations involved,Screening Venues,Co-founders,Renaming Year,Last Parade Year,Previous Name,Transition to Annual Occurrence,Venues,Notable Highlights,Former Name,Founded,Collaborations,Organizers,Genres of Films,Selection Process,Growth in Attendance,Organizing Bodies,Founding Purpose,Sápmi Pride,Criteria for Film Selection,Jury Composition,Prize Amount,Evolution of the Award,Typical Activities,------------------------------------------,Transgender Day of Remembrance,Significant Historical Details,Managing Organization,Affiliations,Local Authority Support,Slogan,Vienna Pride,Host Cities,WorldPride,Organizations,trigger
Bangalore Queer Film Festival,Bangalore,Since 2008,LGBT and queer film selection,"February 28 - March 2, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangalore Queer Film Festival
Bangkok Gay and Lesbian Film Festival,"Bangkok, Thailand",,,,,"Representing LGBT views in Thai society, providing a positive portrayal of the LGBT community",,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""How To Win At Checkers""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bangkok Gay and Lesbian Film Festival
Beijing Queer Film Festival,Beijing,Annually since 2001,LGBT films,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beijing Queer Film Festival
Beirut Pride,Beirut,Annually since 2017,Decriminalizing homosexuality in Lebanon,"May 14-21, 2017","First and only LGBTIQ+ pride in the arabophone world, topic of research and documentaries",,Hadi Damien,,,,,,,,"4,000 in first edition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beirut Pride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berliner CSD e.V.,Berliner CSD e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Berlin Pride
BFI Flare: London LGBTIQ+ Film Festival,"London, England",Annually,Largest LGBTIQ+ film festival in Europe,Spring,"Attendees up 9% on 30th anniversary, record-breaking box-office results, 25,623 total attendance 2016",,British Film Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFI Flare_ London LGBT Film Festival
Bhopal Pride March,"Bhopal, India",,,,"The first pride march in Madhya Pradesh, advocated for LGBTQ rights","Celebrate LGBTQ culture, demand establishment of a transgender/sexual minorities welfare board",,,,"Citizen's Action Network, Mitra Shringaar Samiti, Anmil Seva Sansthan, Center for Social Justice",Approximately 400,2017,"May 17, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhopal Pride March
,Białystok,,,,,,,,,,"1,000",,"July 20, 2019",,,,,,,,,,,Bialystok Equality March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Far-right groups/ultra football fans,"Strong opposition in the Bible belt of Poland, a stronghold of Law and Justice party","Solidarity events, support declarations from Warsaw Mayor, response from conservative groups and Catholic Church coupled with increased number of Pride marches in Poland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bia艂ystok equality march
Bristol Pride,"Bristol, United Kingdom",Annually since 2010,Equality and diversity in South West England,"Fortnight of events, Pride Day on second Saturday of July",,,,Bristol Pride Charity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talks, film screenings, performances, Pride March, local drag artists","36,000 people in 2017, 2019 Pride Day had no specific numbers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bristol Pride
Bucharest Pride,,,,May-June,"Promotes LGBT rights in Romania, organized by ACCEPT",,,,,,,,,,,,,,,"Romanian Ministry of Health, National Council for Combating Discrimination, Open Society Institute, British Council",,,,,Kyle David Kipp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bucharest,"LGBT cultural events, seminars, gay pride parade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bucharest Pride
Budapest Pride,"Budapest, Hungary",Annually since 1997,"LGBT rights, cultural festival, film festival, parade, discussions",First Saturday of July,,,,,,,"1,000-2,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Disruptions in 2007, 2008","""Generation Change Award"" at 2021 MTV Europe Music Awards","Film festival, discussions, exhibitions, concerts, parties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Budapest Pride
Cape Town Pride,"Cape Town, South Africa",Annually,LGBTQ+ pride event,End of February,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town Pride
Capital City Pride,"Olympia, Washington",,,,"Celebrates the LGBT community, honors civil rights gains, highlights youth and long-time activists, entertainment and parade highlights, approx. $40,000 annual budget",,,,,,,,,1991,,,,,,"Private fundraising, sponsorship, grants, tourism promotion funds",,"Approx. 12,000 to 15,000 attendees",,,,Two-day festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"President, Vice President, Treasurer, Secretary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital City Pride
Capital Pride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital Pride
Chandigarh LGBTQ Pride Walk,Chandigarh,Annually since 2013,LGBTQ community celebration,"March 15, 2013 - March 8, 2015",,,,Saksham Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chandigarh LGBT Pride Walk
Chicago Pride Parade,"Chicago, Illinois",Annually since 1970,Equal Rights,Last Sunday of June,One of the largest Pride events in the world,Celebrate Equal Rights for LGBTQ Community,-,-,"500,000",-,-,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago Pride Parade
Cincinnati Pride,"Cincinnati, Ohio",Annually since 1973,LGBT community celebration,Last weekend in June,,,,,,"Human Rights Campaign, PFLAG, GLSEN, Dykes on Bikes, Imperial Court System, various BDSM groups",,,,,,,,,,,,,,,,,,,"Delta Air Lines, P&G, US Bank, Fifth Third Bank, The Kroger Co., TriHealth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"120,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cincinnati Pride
Columbus Pride,"Columbus, Ohio",Since 1981,,,,,,,,,,,,,,,,,"George Takei, Jim Obergefell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000",2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbus Pride
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fundraiser for LGBTQ charities and individuals in Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Come Out With Pride
Connecticut LGBTQ Film Festival,"Hartford, Connecticut",Annually since 1988,Films by and for LGBTQ+ community,Early June,,,,"Shane Engstrom, Jaime Ortega",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Connecticut LGBTQ Film Festival
Copenhagen Pride,Copenhagen,Annually,"Human Rights, LGBT issues",August,"Largest human rights festival in Denmark, hosts WorldPride 2021","Celebrate LGBTQ rights, combine political issues with cultural events",Copenhagen Pride,,,"City of Copenhagen, MIX Copenhagen LGBT film festival",,,,,"25,000 participants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copenhagen Pride
D.C. Black Pride,D.C. metro area,Since 1991,,Memorial Day weekend,"First official black gay pride event in the U.S., 2nd largest globally",,,,"Over 40,000",,,,,,,,,,,,,,,,Center for Black Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D.C. Black Pride
Dallas Black Pride,Dallas,Since 1996,Celebrating the emerging black LGBT community,,,,,,,,,,,,"15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dallas Black Pride
Club Skirts Dinah Shore Weekend,"Palm Springs, CA, USA",Annually,"Lesbian community, LGBTQ+",,"Largest lesbian event, named after Dinah Shore",,,,,,,,,,"15,000-plus",,,,,,,,,,,,,,"Miller Beer, MTV/LOGO Networks, here! TV, Sirius Radio, Showtime, O.B. Tampons, Shake Weight, Bacardi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dinah Shore Weekend
Doncaster Pride,"Sir Nigel Gresley Square, Doncaster",Annually since 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sheridan Smith (Patron),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,500 attendees (2007), 5,000 attendees (2008), close to 20,000 attendees (current)","Two stages, float parade, 3,000 attendees in 2018 parade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doncaster Pride
Dublin LGBTQ+ Pride Festival,Dublin,Annually Since 1974,"Celebrates LGBTQ+ community, largest pride festival in Ireland",Last Saturday in June,"Largest LGBTQ+ pride festival on the island of Ireland, culminating in a pride parade, with expanded arts and cultural content",,Volunteers,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dublin Pride
East-Central Minnesota Pride,"Pine City, Minnesota, United States",Annually,Celebrating LGBT community in rural area,First weekend in June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East-Central Minnesota Pride
Easter in Berlin,Berlin,Founded in 1975,Leather and Fetish event,,,,,,,,,,,,,,,,,,,,,,Berlin Leder und Fetisch e.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easter in Berlin
