Founded,Total Assets,Seized By,Peak Earnings,Insolvency,Warning to Regulators,Branches,Branches Sale,Name Change,Name Changes,Acquirer,Original Name,Reason for Failure,Bank Failure Year,Branches Sold,Branch Locations,Growth History,Acquisitions,Peak Assets,Operation Type,Headquarters,Services Offered,Founding Year,Closure Date,Significant Events,Regulatory Action,Shareholders' Equity,Customer Deposits,Ranking by Assets,Establishment Year,Subsidiaries,Chairman of the Board,CEO,Acquisitions and Investments,Estimated Cost of Failure,Assets,Number of Offices,Client Investment Assets Managed,Regulatory Agency,Notable Historical Events,Banking Centers,ATMs,Locations,Bank Closure Date,Acquiring Institution,Reason for Closure,Financial Assistance,Loss in Final Year,Amount Owed to US Government,Nature of Services Offered,Founder,Acquisition,Assets Growth under New Management,Involvement in Scandal,Official Opening,Number of Branches,Partnerships,Chairman's Announcement,Significant Loans Issued,Environmental Conservation,Mission-Based Deposits,Financial Performance History,Losses in 2009,Capital Seeking Attempts,Closure,Former Name,Insolvency Date,Notable Events,Bank Failure Date,Final Name,Merger Year,Merger Details,Legislation Impacting Name,Founding Name,trigger
Not specified,"$2.9 billion (as of March 31, 2010)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,116,"Illinois, Indiana, Kentucky, Ohio","July 29, 2011",Old National Bank,Bank failure,Took more than $83 million in TARP funds,$124 million,"$81,635,660","Commercial, consumer and mortgage loans, lines of credit, credit cards, corporate cash management, trust services",,,,,,,,,,,,,,,,,,,,,,,,,"Integra Bank, N.A."
1925,,Federal authorities,,,,,,,,,,,,,,,,$5.5 billion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Keating,American Continental Corporation,Increased from $1.1 billion to $5.5 billion within four years,Keating Five scandal during 1980s S&L crisis,,,,,,,,,,,,,,,,,,,,,Lincoln Savings and Loan Association
December 1998,,,,,,,,,,,,,"April 10, 2009",,"Greeley and Windsor, Colorado",,,,,,"Retail banking, mortgage banking, business finance, ATM and merchant processing services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Frontier Bank
2013,,,,,,,,,,,,,,,,,,,Sharia Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 21, 2015","Mogadishu and Hargeysa, Somaliland",MasterCard and SWIFT,One million dollar fund for Somali tech startups at the Mogadishu Tech Summit 2018,,,,,,,,,,,,,,,,,Premier Bank
"N/A (Founded sometime before closing, oldest bank of its kind)",$2.6 billion (2008),,,,,,,,,,,,,,"Chicago's South and West sides, Cleveland, Detroit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nearly $900 million (Between 2000-2006, to citizens in Chicago, Detroit, and Cleveland)","Incorporated into mission during the 1990s, developed triple bottom line approach",Accepted through Development Deposits program (launched in 1982) and ShoreBank Direct (launched in 2007),Historically matched or exceeded that of peer banks,Faced significant losses related to recession,Seeking $200 million in additional capital from major investors and the U.S. government in 2010,Closed in 2010 due to financial struggles and inability to secure necessary funds,,,,,,,,,,ShoreBank
1996,Not specified,"Nevada Financial Institutions Division and placed under FDIC receivership on September 5, 2008",Not specified,"September 5, 2008",Non-performing loans could increase by $250 million in 1990,"17 branches in Las Vegas and Phoenix metropolitan areas, with loan operations across western US","119 branches to Great Western Bank, eight to Home Savings of America, four to First Interstate Bank, three to First Federal Bank of California in December 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver State Bank
"December 1, 1902","Not specified, but was once the largest bank in Florida",Office of the Comptroller of the Currency and Federal Deposit Insurance Corporation,Largest bank in Florida by 1946,,,,,,,,,,,Almost all assets sold to First Union; specific details not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First National Bank of Miami (1902-1969),July 1992,"Survived Great Depression, renamed to Southeast Bank in 1969, opened Southeast Financial Center, largest mortgage banker in 1986, and more",,,,,,,Southeast Bank
1974,$11.2 billion,,,,,,,"United Federal Savings and Loan Association (1974), United Savings Bank, United Commercial Bank (1998)",,East West Bank,,,,,,,,,,"San Francisco, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"November 6, 2009",,,,,,United Commercial Bank
,,,,,,,,,,,"Island City Savings Bank (1874), Texas Bank & Trust Company (1902)",,,,,,,,,,,1874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States National Bank (December 31, 1923)",2000,Merged into Frost National Bank,"United States Congress banned the use of ""Reserve,"" ""United States,"" and ""Federal"" in bank titles",,United States National Bank
1929,,Resolution Trust Corporation,$1.06 billion net deficit in 1989,June 1989,Non-performing loans could increase by a significant amount in 1990,,,,,,,,,60 branches in Arizona and one branch in Utah sold to Bank of America in June 1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Building and Loan Association,Western Savings and Loan
