Location,Date,Event,Cause of Death,Full Name,Outcome,Birthplace,Birthdate,Individuals Involved,Victim,Career,Education,Marriage,Date of Death,Occupation,Legal Outcome,Place of Birth,Family History,Date of Birth,Age,Family,Role,Name,Achievements,Individual,Nationality,Individual Involved,Family Background,Profession,Aircraft,Date of Accident,Nickname,Awards,Aviation Accident,Military Service,Position,Event Trigger,Notable Achievements,Disappearance,Background,,Political Affiliation,Flight Number,Affiliation,Place of Death,Aviation Achievements,Death,Cause of Accident,Victims,Incident,Details,Training,Aircraft Involved,Influence,Career Highlights,Circumstances,College,Flight,Accident,Post-War Career,Birth Date,Date of Incident,Rank,Involvement,Political Involvement,Racing Career,Location of Death,Roles,Events,Political Party,Location of Crash,Date of Disappearance,Political Career,Family Connection,Location of Accident,Person,Service Period,Pilot,Cause of Crash,Victories,Contributions,Combat Missions,Spouse,Championships,Airline,Death Date,Achievement,Birth Year,Parents,Military Rank,Record Label,Career Achievements,NFL Team,NFL Draft,College Achievements,NFL Achievements,Route,Military Titles,Service in World War I,Awards Received,Activity in China,Total Fatalities,Survival,Memorial,Outcome:,"Arland Dean Williams Jr. was a passenger on Air Florida Flight 90, which crashed in Washington, D.C. on January 13, 1982, leading to 74 fatalities. He was one of six initial survivors and selflessly helped the others escape before tragically drowning. Williams' heroic actions were honored by renaming the 14th Street Bridge in his memory. Born in Mattoon, Illinois, Williams had a diverse background and a family history that showcased his character and courage during the aviation accident.",Accident Location,FAA Certificates,Military Awards,Combat Achievements,Family Status,Event Involvement,Passenger,UN Position,Bombing Conviction,Childhood,WWI Service,Inventor,Father,Mother,Early Education,Academic Achievements,Honorary Doctorate,"This table provides a comprehensive overview of the key details related to Bipin Rawat, including his personal background, educational achievements, family history, and significant career milestones.",Activism,Outcome/Tribute,Legacy,Podiums,Total Points,Pole Positions,Early Career,Formula Two Career,Formula One Career,World Sportscar Championship,Achievements in Aviation,Details of Final Flight,Additional Individuals Involved,Flying Hours,Pearl Harbor Incident,Mulberry Canyon Crash,Aircraft Owned,Stage Name,Current Position,Playing Position,Premier League Clubs,European Cup Finals,Serie A Clubs,National Team Caps,World Cup Appearances,European Championship Appearances,Managerial Career,Romanian First League Wins,Associated Companies,Relationship,Position(s),District,Aviation Experience,Tragic Event,Notable Events,Aviation Incidents,Burial Location,Notable Achievement,-------------------------------,Felipe Humberto Camiroaga Fernández,Significance,Age at Death,Notable Contributions,Total Flight Hours,House District,Marital Status,Military Career,Notable Actions,Early Flying Experiences,Military Background,Pilot Certification,Competition Aircraft,Aerobatic Aircraft,Aerial Achievements,Company,Cause of Disappearance,Formula One World Championships,Triple Crown of Motorsport,Monaco Grand Prix Success,1969 United States Grand Prix,Decline in Performance,Overall Legacy,Time,Cricket Career,Persons Involved,Activities,Alias,Shootdown Date,Prisoner of War,Diplomatic Efforts,Movie Reference,Military Affiliation,Theaters Served,Total Combat Missions,Times Shot Down,Aerial Victories,Military Service Details,Notable Film Scores,Collaborators,Search Efforts,Declaration of Death,Discovery of Remains,Federal Cabinet Jobs,Retirement,Entry into Provincial Politics,Leadership Election,Cabinet Formation,Re-Election,Early Provincial Election,Early Aviation Experiences,Tragic Death,Aircraft Types,Role in Accident,Date of Crash,Flight Route,Number of Fatalities,Other,Championship Title,Fighting Style,Notable Rivalries,Personal Life,Accolades,Award,Aspirations,Invention,Innovations,Personal Background,Cierva Autogiro Company,Tragedy,Ring Names,Debut Date,Number of Casualties,Date of Aviation Accident,Location of Aviation Accident,Association with James Dean,Details of the Accident,Outcome of the Accident,"In this context, the aviation accident involving Lance Graf von Haugwitz-Hardenberg-Reventlow occurred on September 30, 1955 in Salinas, California. He was friends with fellow auto enthusiast James Dean and was one of the last people to speak to Dean before they met on their way to an auto race, where Reventlow succumbed to injuries in the aviation accident.",Wealth,Number of Passengers,Number of Crew,Person Involved,Family Business,Specialized Bread,Flour Composition,Bread Varieties,Baking Philosophy,Innovation,Recognition,Locations,Known As,Date of Record,Engineer Graduation,Speed Record,Motor Enhancement,Fatal Accident,World Championship Participation,Passengers Killed,Death date,Military Unit,Accompanying,Athletic Achievements,September 11 Involvement,Record-breaking Flights,Founding Hospitals,Relation to Aviation Accident,Aircraft involved,Involvement in Aviation Accident,Midshipman,Sub-lieutenant,Lieutenant,Lieutenant Commander,Captain,Rear Admiral,Vice Admiral,Incident Date,Target,Combat Experience,Date of Husband's Crash,Significant Achievements,Heroic Act,Political Title,Negotiation,Transfer of Panama Canal,Father's Origin,Key Achievements,"In this table, the event is the aviation accident that occurred on December 20, 1995. The victims involved in the accident were Paris Christos Kanellakis, Maria Teresa Otoya, Alexandra Kanellakis, and Stephanos Kanellakis. The cause of death was the crash of American Airlines Flight 965.",Incident Type,Year,Victim 1,Victim 2,Notable Projects,Notable Fact,Hall of Fame,Guitar Techniques,Notable Songs,Guitar Model,Victory Count,Shared Kills,Probable Kills,Damaged,Destructions,Unit,Inspiration,Space Mission,Victim Name,Racing Series,Number of Victims,Racing Achievements,Parachute Design,Decorations,Circumstances of Death,Squadron Leader Robert Kronfeld,- Awarded the Hindenburg Cup in 1930,- Held world records for distance and height in 1930,- Successfully flew 100 km in a glider in 1929,- Built a gigantic sailplane named Austria,Teams,Seasons Played,Games Played,Rushing Yards,Touchdowns,High School,Degree,Role in Notre Dame,Association,Films,Debut Film,Number of Isle of Man TT Victories,Aircraft Piloted,Race/Event,Eric Forman,Donna Pinciotti,Steven Hyde,Band Name,Guitarist,Significant Acts,Debut Album,Signature Style,Impact,Europe Fame,Notable Races Won,Driving Style,Significant Wins,Congressional District,Consequence,Notable Accomplishments,Firsts,Residence,Team,Duration with Team,Survivors,Relationship to Aviation,Formation Year,Albums Released,Chart-topping Hits,Sport,World Junior Championships 1994,European Indoor Championships,Personal Best,Olympic Performance,Citizenship Change,Finalization of Transfer,Expansion Efforts,Partnerships,Career Achievement,Date and Location,Other Individuals Involved,Promotions,Significant Commands,Spouses,Children,Key Achievement,Political Event,Exiled Location,Connection to Aviation Accident,trigger
,,,Plane crash,,,,"Aug 26, 1945",,David Charles Purley,,,,"July 2, 1985",,,"Bognor Regis, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Purley
"San Bernardino Mountains, California","March 21, 1987",Aviation Accident,,,Fatal plane crash,,,"Dean Paul Martin Jr., California Air National Guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dean Paul Martin
N/A,N/A,Aviation Accident,,,Involved in a crash,,,Chep Morrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DeLesseps Story Morrison
,,,,Denys George Finch Hatton,,"Kensington, England",Unknown,,,,"Eton, Brasenose College, Oxford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Took up causes such as wildlife photography and founding of Serengeti National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hosted the Prince of Wales on safaris in 1928 and 1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denys Finch Hatton
,,,,,,,,,,,,,,,,,,,,,,Derek John Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liberal Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Member of House of Assembly, Minister, Speaker",Lewisporte-Twillingate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derek Bennett
,,,Pakistan Army Mil Mi-17 crash,,,,,,Domingo Lucenario Jr.,"Various diplomatic roles, Philippine Ambassador to several countries, including Pakistan","San Beda College of Law, A.B. Political Science, University of Manila, University of Santo Tomas",N/A,,,,"Manila, Philippines",,"September 3, 1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Domingo Lucenario Jr.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plane crash,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Nutter
,,,,"Donald ""Don"" Frank Yenko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Started Penn State's first flying club, served in the Air Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Learned to fly an airplane at age 16, served in the United States Air Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Yenko
,,,,Harry Donald Davies,,,,,,"Journalist, cricketer, amateur footballer",,,,,,England,,1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Killed in Munich air disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donny Davies
Tawang to Itanagar,"April 30, 2011",Aviation Accident,,,Disappearance of helicopter,,,"Dorjee Khandu, four others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorjee Khandu
Bosnia and Herzegovina,January 1977,Plane Crash,,,,,,,Džemal Bijedić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D啪emal Bijedi膰
"Klamath Mountains, Oregon","October 28, 1947",Aviation Accident,,,Fatal plane crash,,,Earl Wilcox Snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earl Snell
Floyd Bennett Field,1940,,Airplane crash due to collision,,,,,,Eddie August Henry Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eddie August Schneider
Brazil,"June 8, 1982",VASP Flight 168 Crash,,,Fatal Plane Crash,,,Edson Queiroz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edson Queiroz
"Santos, Brazil","August 13, 2014",Aviation Accident,,,Fatal plane crash,,,Eduardo Henrique Accioly Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Campos
,,,Plane crash due to sabotage,Eduardo Mata,,Mexico City,N/A,,,"Conductor, composer",Studied at National Conservatory of Music and received a Koussevitzky Memorial Fellowship,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Mata
Belgrade,"January 9, 1911",Aviation Accident,Plane Crash,,,,,,Edvard Rusjan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edvard Rusjan
Malaya,1948,Aviation Accident,Fatal plane crash,,,,,,Sir Gerard Edward James Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Gent
"Edinburgh, UK",1911,Aviation Accident,,,N/A,,,N/A,Sir Horace Edward Moss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Moss
,,,Fatal airplane crash,Einar Paul Albert Muni Lundborg,,,"April 5, 1896",,,,,,,,,,,,,"Wife: Margareta, née Malmberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rescued Umberto Nobile in 1928, promoted to captain in Swedish Air Force",Killed during test flight of Jaktfalken airplane in 1931,"Linköping, Sweden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Einar Lundborg
,,,NASA jet crash at St. Louis McDonnell Aircraft plant,Elliot McKay See Jr.,,"Dallas, Texas","July 23, 1927",,,"Engineer, naval aviator, test pilot, NASA astronaut","Bachelor of Science in marine engineering, Master of Science in aeronautical engineering",Marilyn Denahy (1954),,,,,"Father - Elliot McKay See Sr., Mother - Mamie Norton See, Sister - Sally Drummond See",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elliot See
"Askersund, Sweden",1922,,,Elsa Teresia Andersson,Fatal plane crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elsa Andersson
,,Atlantic Crossing,Fatal airplane crash in Stinson Detroiter,,,,,,Elsie Mackay,,,,,,,"Simla, West Bengal, India",,"August 21, 1893",,,,,,,,,Family disinherited her after eloping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elsie Mackay
"Off Alderney, English Channel",21 January 2019,Aviation Accident,Plane crash,,,,,,Emiliano Sala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emiliano Sala
