Location,Dam Name,Consequences,Year of Failure,Reason,Casualties,Date,Cause,Response and Actions,Impact,Responsible Entity,Capacity,Deaths,Details,Cause of Failure,Purpose,Homes Destroyed,Age of Dam,Year of Construction,Height,Damages,Date of Failure,Aftermath,Other Dams,Complaints Before Failure,Contributing Factors,Regulatory Structure,Year,Injuries,Car Damages,Property Damage,Volume of Tailings Released,Waterways Affected,Cleanup Duration,Cleanup Cost,Environmental Impact,Length,Owner,Events Leading to Failure,Regulatory Oversight,Source of Breach,Rebuilding Efforts,Current Status,Type of Dam,Reason for Failure,Reconstruction/Repairs,Water Released,Response and Recovery Efforts,Fatalities,Causes of Failure,Responsible Party,Legal Actions,------------------,Kelly Barnes Dam,Structural Details,Construction Timeline,Important Personnel,Warning Signs,Volume of Spill,Contaminants,Clean-up Efforts,Long-Term Consequences,Event Trigger,Age of Dams,Event Date,Causes,People Evacuated,Infrastructure Failure,Year Built,Description,Historical Significance,Current Condition,Ongoing Repair Work,Dam Height,Warnings Issued,Type,Key Features,trigger
"Andalusia, Spain",,,,,,25 April 1998,,,,Boliden-Apirsa,,,,,,,,,,,,,,,,,,,,,4-5 million cubic meters,"River Agrio, River Guadiamar",Three years,€240 million,Environmental damage to Doñana National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do帽ana disaster
"Mid Michigan, USA",Edenville Dam,Major flooding in Midland County,,,,,,,,,,,,,"Hydroelectric power, flood control",,,1924,54 feet,,,,,,,,,,,,,,,,,"6,600 feet",Boyce Hydro Power,"Heavy rains led to breach, Sanford Dam overflowed","FERC revoked license, EGLE oversight",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edenville Dam
"Eder River, Hesse, Germany",Edersee Dam,"Breach led to 70m wide hole, 70 casualties",1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allied bombing during WWII,Rebuilt after WWII by forced labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edersee Dam
"Sukagawa City, Fukushima, Japan",Fujinuma Dam,"8 deaths, 5 houses washed away, damage to properties, disabled bridge, blocked roads with debris",2011,Failure due to overtopping after an earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fujinuma Dam
"Valle di Scalve, Italy",Gleno Dam,,1923,,356,,"Middle section collapse, design flaws",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gleno Dam
"Sheffield, England",,"Severe flooding, housing destruction",,,"At least 240 died, 600+ houses damaged",11 Mar 1864,"Crack in dam embankment, unknown cause",Reforms in engineering practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Sheffield Flood
"Sokoto River, Nigeria",Gusau Dam,"Dam collapse resulted in 40 deaths, destroyed 500 homes, displacement of 1,000 people, loss of farmland and livestock, destruction of a bridge, and temporary shelter for 700 individuals. Prior concerns raised about water supply and allegations of mismanagement and misappropriation of funds.",2006,Insufficient to meet local needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gusau Dam
"Missouri River, Montana",Hauser Dam,Severe flooding and damage downstream,1908,Original Dam failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hauser Dam
"Hope Mills, NC, USA",Hope Mills Dam,,"1839, 1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reconstructed (2018),"Rock-Crib, Embankment",Flooding,"Leaks discovered in June 2010, lake drained, current dam completed in 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hope Mills Dam
"Johnstown, Pennsylvania, United States",South Fork Dam,,,,"2,209","May 31, 1889",,,,,,,,,,,,,,$17 million,,,,,,,,,,,,,,,,,,,,,,,,,,14.55 million cubic meters,American Red Cross led disaster relief effort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johnstown flood
"Kauai, Hawaii",Ka Loko Reservoir,"7 deaths, destruction of homes, legal repercussions",,,,,,,,,,,,,,,,,,,"March 14, 2006","Legal actions taken against responsible parties, civil settlement reached, plea deal entered by one party",,,,,,,,,,,,,,,,,,,,,,,,,,7,"Heavy rain, lack of dam inspections, unpermitted grading operations, poor maintenance",Multiple parties,"Indictment, civil settlement, no contest plea",,,,,,,,,,,,,,,,,,,,,,,,,,Ka Loko Dam
"Kantale, Sri Lanka",Kantale Dam,"120-180 killed, 1,600 houses destroyed, 2,000 acres of paddy fields destroyed, 8,000 families affected","April 20, 1986",,120-180 killed,,Extra-heavy vehicles driven over dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kantale Dam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-------------------------------------------,"39 fatalities, $2.8 million in damages",,,,,,,,,,,,,,,,,,,,,,,,Kelly Barnes Dam
Nepal-India,Koshi Barrage,"Wiped out farmland, affected 53,800 Nepalese, left 3 million people homeless in Bihar, India",2008,Eastern embankments collapsed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koshi Barrage
"Kyiv, Ukrainian SSR, Soviet Union",,,,,"Officially stated 145 killed, but an estimated 1,500 victims",13 Mar 1961,"Dam securing loam pulp dump of brick factory near Babi Yar ravine collapses, releasing pulp sludge, mud, water, and human remains","Recovery operations led by Soviet Army, estimated 1,500 fatalities, Soviet authorities suppress information",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurenivka mudslide
"Outside Kyzyl-Agash, Kazakhstan",,,,,"At least 43 killed, 211 injured, over 1000 evacuated",11 Mar 2010,Dam failure due to reservoir burst from torrential rain and snowmelt,"Emergency services, relief efforts, investigation launched",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kyzyl-Agash Dam
"Adana Province, Turkey",Köprü Dam,"97,000,000 m3 of water flooded downstream area, 10 worker deaths",2012,Diversion tunnel seal break during impoundment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K枚pr眉 Dam
"Sauk County, Wisconsin",Lake Delton,"Lake emptied, required major repairs",2008,Erosion leading to dike wall failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Delton
"Johnstown, Pennsylvania",Laurel Run Dam,"40 fatalities, 9 homes destroyed, $5.3 million in damages.",1977,Heavy Rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laurel Run Dam
"Rocky Mountain National Park, US",Lawn Lake Dam,"Flash flood resulting in three deaths, $31 million in damages",1982,,,,Deterioration of lead caulking on the joint between the outlet pipe and the gate valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lawn Lake Dam
"Reyran River, north of Fréjus, France",Malpasset Dam,"Severe flooding, 423 fatalities",,,423,,Tectonic fault in impermeable rock base,,,,,,,,,,,,,,2 December 1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doubly curved equal angle arch type, 222m width, 66m height",April 1952 - 1954,André Coyne,"Trickle of clear water, cracks in concrete apron",,,,,,,,,,,,,,,,,,,,Malpasset dam
"Samarco Mariana Mining Complex, Brazil",,"43.7 million cubic metres of mine tailings released, toxic mudflow into Doce River and Atlantic Ocean, pollutants spread along 668 kilometres",,,19 killed,5 November 2015,Catastrophic failure of the Fundão tailings dam at Samarco's iron ore mine,"Displacement of hundreds, cities along Doce River with water shortages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mariana dam disaster
"Martin County, Kentucky",,,,,,"Oct 11, 2000",,,"Contamination of water bodies, killing of aquatic life, resident's water supply affected",Massey Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306 million US gallons,"Arsenic, mercury","Ordered by EPA to clean up and restore damaged areas, EPA investigation and restoration plans","Ongoing water quality issues, continued finding of sludge and slurry in surface waters, regulatory changes to prevent future spills.",,,,,,,,,,,,,,,,Martin County coal slurry spill
"Alton, New Hampshire",Meadow Pond Dam,"Fatal flood, 1 fatality, 2 injuries, damage to homes, undermining of Route 140",1996,Dam collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meadow Pond Dam
"Cariboo region, British Columbia, Canada",Mount Polley,Spill of mine tailings into nearby lake and creek,2014,Dam breach during mining operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Polley
"North Rhine-Westphalia, Germany",Möhne Reservoir,,1943,,"1,579 killed",,,,"Significant impact on German industry and civilian population, including 1,026 foreign forced laborers",,135 million cubic meters,,,,"Control floods, regulate water levels, generate hydropower",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Breached by RAF Lancaster Bombers,,,,,,,,,,,,,,,M枚hne Dam
"Opuha River, South Canterbury, New Zealand",Opuha Dam,"Dam completed in 1998, Lake Opuha created, aeration system installed in 2003 due to oxygen depletion.",1997,Heavy rain during construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opuha Dam
"Pune, India",Panshet Dam,"Massive flooding, approximately 1,000 deaths, significant property damage",1961,"Burst due to the total absence of reinforced cement concrete strengthening in the conduit through the earthen dam, plain unreinforced concrete blocks were used instead",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panshet Dam
"Solai, Kenya",,,,,,9 May 2018,,,Massive Flooding,Solai Roses,"200,000 cubic meters",48,,Heavy Rains,,,,,,,,,"Main House, Moi, DO, Tinderess",Leaks and cracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-20 years,,,,,,,,,,,,,,Patel Dam
Saguenay–Lac-Saint-Jean,,,,,,,,,"Over 8 feet of water flooded parts of Chicoutimi and La Baie, resulting in ten official deaths",,,,"Biggest overland flood in 20th-century Canadian history, caused by two weeks of constant rain and geological graben region",,,,,,,CA$1.5 billion,,"16,000 people evacuated, 488 homes destroyed, 1,230 damaged, ten additional deaths from mudslides, a small white house symbolizing survival preserved as a historical park and museum, 10-50cm of clean sediments covered contaminated ones at the bottom of rivers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"July 19-20, 1996","Poorly maintained network of dikes and dams protecting Chicoutimi led to the flood, extensive damages incurred worth CA$1.5 billion","16,000",Poorly maintained network of dikes and dams protecting Chicoutimi.,,,,,,,,,,Saguenay Flood
"Yenisei River, Khakassia, Russia",Sayano-Shushenskaya Dam,"75 people dead, catastrophic flooding",2009,Turbine hall explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sayano-Shushenskaya Dam
"Sempor River, District Gombong, Kebumen, Central Java Province, Indonesia",Sempor Dam,"160 fatalities, widespread damage",1967,Flash flood over-topping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sempor Dam
"Shadi Kaur river, Balochistan",Shadi Kaur Dam,"Approximately 70 deaths, evacuation, military rescue operations",2005,Burst due to heavy flooding from heavy rainfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shakidor Dam
"Taichung, Taiwan",Shihgang Dam,"Collapsed northern end, embankment built",1999,Dam heavily damaged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shihgang Dam
"Woodridge, New York, USA",Silver Lake Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840s,"Stone structure with large mortared slabs and dry rubble interior, 176 feet long, 5 feet wide on top, rises 13 feet above water level, 11 feet wide spillway, 15-inch cast-iron waste pipes with gate valves, located off Silver Lake Road regulating Sandburg Creek.","Listed on National Register of Historic Places in 2000, created 85-acre Silver Lake",Requires repair due to leaks,Village of Woodridge working on repairs due to leak.,,,,,Silver Lake Dam
"Cirendeu, Indonesia",,,,,At least 100 killed,27 Mar 2009,,,"Floods, houses and bridge washed away, significant casualties",,"2,000,000 cubic meters",,,Heavy rainfall and small spillway gate,,,,,,,,,,"Leaks reported, breach in 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16 meters,Warning siren sounded,,,Situ Gintung Dam
"Niobrara River, Boyd County and Holt County, NE",Spencer Dam,Heavy flooding downstream,2019,Heavy precipitation during a blizzard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spencer Dam
"San Francisquito Canyon, Los Angeles County, California, United States",St. Francis Dam,Catastrophic flood resulting in at least 431 deaths,1928,Defective soil foundation and design flaws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Francis Dam
"San Diego County, California",Sweetwater Dam,,1916,,,,,,,,"28,079 acre-feet",,,,"Flood control, water storage, recreation",,,,108 ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concrete Arch-Gravity,"Intake tower, high-pressure conduit, spillways.",Sweetwater Dam
"Lewis River, Washington",Swift Dam,Severe flooding downstream,1958,Earth-type dam failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swift Dam
"Tangiwai, New Zealand",,,,,151 killed,24 December 1953,Collapse of tephra dam from Mount Ruapehu's crater lake causing rapid mudflow in the Whangaehu River,"Rescue efforts, investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangiwai disaster
"Idaho, USA",Teton Dam,"11 human deaths, 16,000 livestock deaths, $300 million in federal claims, up to $2 billion in total damages.",1976,Catastrophic failure during initial filling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Teton Dam
"Sank River, Gwalior, Madhya Pradesh, India",Tigra Dam,Approximately 1000 downstream fatalities,1917,Foundation infiltration leading to failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tigra Dam
"Ratnagiri district, Maharastra, India",,,,,"19 dead, 4 missing",2 July 2019,Dam failure due to heavy rains,"National Disaster Response Force and local fire brigade teams deployed for rescue operation, ex gratia relief announced, investigation ordered",,,,,,,,,,Around 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tiware Dam
"Tokwe River, just downstream of Mukorsi River, Zimbabwe",Tokwe Mukorsi Dam,"Evacuations of over 20,000 people upstream and downstream, construction suspended due to lack of funding but eventually completed in 2016",2014,Partial failure due to heavy flooding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokwe Mukorsi Dam
"Tous, Valencian Community",Tous Dam,"Dam overtopped and subsequently failed, causing flood",1982,Severe rainfall causing river to swell,30+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tous Dam
Northern Italy,Vajont Dam,"Flooded the Piave Valley, leading to destruction of villages and towns, 1,900-2,500 deaths",1963,Landslide during initial filling caused megatsunami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vajont Dam
"Province of Zamora, Spain",,Massive flooding,,,144 killed,9 Jan 1959,Dam wall collapse releasing water from reservoir,,,Hidroeléctrica Moncabril,7.8 hc3,,,,,,2 years,,,,,,Malpasset Dam failure in December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vega de Tera disaster
"Viejo River, Nicaragua",Virgen Dam,"Dam destruction, later rebuilt",1998,Heavy rains and flooding from Hurricane Mitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Virgen Dam
"Wadi Al-Qattara, Libya",Wadi Qattara Dam,"Severely damaged main dam, destroyed secondary dam",1979,Severe flood damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wadi Qattara Dam
"Zayzun, Hama, Syria",Zeyzoun Dam,"27 deaths, 2,000 displaced, 10,000 affected",2002,Cracks in embankment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeyzoun Dam
