Location,Containment Date,Wildfire Name,Total Acres Burned,Structures Destroyed,Size,Year,Cause,Structures Damaged,Impact,Duration,Counties Affected,Cause of Fire,Ranking in California History,Impact Locations,Communities Evacuated,Evacuation Orders Issued,Ranking in 2021,Ranking in Recorded History,Start Date,Total Acreage Burned,Rank in California History,Casualties,Total Personnel Deployed,Managing Agencies,Key Features,Cost of Damages,Personnel Involved,Significant Impacts,Event,End Date,Number of Structures Destroyed,Evacuation Locations,Towns Damaged/Destroyed,Suspected Cause,Total Burn Area,Rank in History,Estimated Cost of Damages,Affected Communities,Containment Status,Evacuated Communities,Highway Closure,Injuries Reported,Significance in History,Total Fires,Structures Damaged/Destroyed,Fatalities,State of Emergency,Significant Incidents,Impact/Destruction,Date,Total Acreage,Description,Burn Area,Total Structures Destroyed,Total Structures Damaged,Financial Impact,Number of Evacuees,Suppression Costs,Rank in Size,Rank in Destruction,trigger
"Shasta-Trinity National Forest, Trinity County, California",,Monument Fire,"223,124 acres","Four, including three homes",,,Lightning strike,,,,,,,,,,,,"July 30, 2021",,,,,,,,,,,,,,,,,,,,"Fully contained as of the evening of October 27, 2021","Big Flat, Big Bar, Del Loma, Cedar Flat",Highway 299 in the area closed,,,,,,,,,,,,,,,,,,,,Monument Fire
"Plumas National Forest, Northern California","December 3, 2020",North Complex Fire,"318,935 acres",16,"318,935 acres",2020,Dry thunderstorms from Tropical Storm Fausto,-,"Deadliest fire in 2020, 6th-largest in modern CA history",,,Under investigation,,,"Berry Creek, Feather Falls",Over 10000,"Deadliest fire in 2020, 6th-largest in California's history",6th largest in modern California history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Complex Fire
,"Thursday, October 24, 2013",,"257,314 acres","11 residences, 3 commercial structures, 98 outbuildings",,,,,,,Tuolumne and Mariposa counties,Hunter's illegal fire that got out of control,,"Stanislaus National Forest, east of Groveland, Rim of the World vista point",,,,,,,,,,,,,,,,,,,,,,,,,,,,10 injuries,"Second-largest wildfire in California's history, fifth-largest modern wildfire in California, largest in Sierra Nevada mountain range",,,,,,,,,,,,,,,,,,Rim Fire
,,,"893,362 acres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,745","3,159",At least 7,Declared on September 11 due to the Butte Fire,"Firefighter deaths, including one from carbon monoxide poisoning and one from a falling tree, as well as a civilian fatality",,,,,,,,,,,,,River Complex Fire
"Lassen County, California and Washoe County, Nevada","August 30, 2012",Rush Fire,"271,991 acres",,"315,577 acres",2012,,,,,,,,,,,,,,,Second-largest since 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Habitat destruction, barn destroyed",,,,,,,,,,,,Rush Fire
"Fremont Canyon, close to present-day Irvine Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"September 24-26, 1889","At least 300,000 acres, possibly greater than 308,000 acres","""Nothing like it occurred in California since the National Forests have been administered."" - L.A. Barrett",,,,,,,,,Santiago Canyon Fire
,"October 1, 2020",,,,,,,,,"August 16 to October 1, 2020","Santa Clara, Alameda, Contra Costa, San Joaquin, Merced, and Stanislaus counties",,,,,,,,,,,6 injured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"393,624 acres",222,26,,,,,,SCU Lightning Complex Fire
"Ventura and Santa Barbara Counties, California","January 12, 2018",Thomas Fire,,"At least 1,063","281,893 acres",,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Over $2.2 billion,"Over 104,607",$230 million,Seventh-largest in modern California history as of 2021,Seventh-most destructive in California history at the time,Thomas Fire
"Witch Creek Canyon, Santa Ysabel, San Diego County",,Witch Creek Fire,,,"247,800 acres",2007,"Santa Ana winds, merged with Poomacha and McCoy Fires",,"Second-largest wildfire of 2007 California wildfire season, largest fire of October 2007 wildfires",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Witch Fire
"San Rafael Mountains, Santa Barbara County, California","October 29, 2007",Zaca Fire,,,"240,207 acres",2007,Sparks from a grinding machine on private property,,"Second-largest fire in 2007 California wildfire season,10th-largest recorded fire in California's modern history, $117 million cost to fight, 43 non-fatal injuries.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zaca Fire
