Teams,Series Outcome,Notable Players,Significant Events,MVP,Start Date,Champion,Home Court Advantage,Games Played,Playoff Format,Finals MVP,Broadcasters,Runner-Up,Coach,Playoff Wins,End Date,Regular Season Record,Regular Season,Key Players,Regular Season Wins,Previous Finals,Key Events,Dates,Series Format,Home Court,Coaches,Outcome,Matchups,Offense,NBA Finals MVP,Playoff Performance,Historical Context,Regular Season Records,Key Moment,Format,Television Ratings,Noteworthy Detail,Length of Series,Venue of Games,Duration of Series,Games' Dates,Duration,Final Result,Series Length,Broadcasting Milestones,Notable Events,First Finals for Both Teams,Historic Game 7,Rookie Record,NBA Finals Appearance,Celtics' Performance,Hawks' Franchise Record,Longest Drought,Overtime Game in Finals,Lakers' Final Championship in 1972,Player Points Scored,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Average Margin of Victory,"The table contains information on the teams involved, the outcome of the series, key players, statistics such as the average margin of victory, and highlights significant events of the 1965 NBA World Championship Series where the Celtics triumphed over the Lakers with a 4-1 victory.",Historic Achievement,Overtime Games,Absence of Boston Celtics,Game Significance,Final Game,Statistics,Rebounds,Lakers Record,Knicks Record,Regular Season Performance,Rebounds & Assists,Home Games Venue,Scheduling Format,Notable Coaches,Suns Background,Celtics Background,Top Scorer,Notable Facts,"- Informally dubbed the ""George Washington series""",- Most recent title for a Western Conference team not in Texas or California,- Last NBA championship won by a team from the Northwest Division,Exceptional Individual Performance,Season Records,Notable Achievements,Playoff Qualification,Conclusion on Winning Team's Home Court,Documentary Title,Series Conclusion Date,Acquisitions,Playoff Run,Series Schedule,Game Highlights,Final Matchups,Offensive Statistics,Rebounding Statistics,Historical Significance,Schedule Rotation,Len Bias,Lakers' Achievement,Champions' Record,Celtics' Absence,Style of Play,Key Matchup,Key Statistics,Background,Road Game Record,Repeat Champions,Home-Court Advantage,Significant Changes,Records,Underdog Status,Key Statement,Record Achievement,Shortened Season,Twin Towers,Spurs Journey,Circumstances,Home Court Adv.,Lead-up Details,Notable Moment,Lakers' Performance,Year,Scoring Style,Championships,Significance,Previous Meeting,Achievements,Game Dates,Notable Stats,Avg. Point Diff.,Home-Court Adv.,Previous Matchup,Finals Rematch,Previous Appearances,Title Droughts,Head Coaches,LeBron James Stats,Injuries,Notable Statistics,Playoff Record,Notable Achievement,Notable Records,Championship Drought,Unique Stat,Coin Toss,Sponsor,Notable Background,trigger
Los Angeles Lakers vs. Boston Celtics,"Celtics won, an upset in NBA history","Elgin Baylor, Wilt Chamberlain, Jerry West","The first Finals MVP awarded, Game 7 won by road team, Lakers had homecourt advantage for the first time vs. Celtics",Jerry West (despite being on the losing team),,Boston Celtics,,,,,,,,,,"Lakers won 55 games, 7 more than the Celtics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969 NBA Finals
New York Knicks vs. Los Angeles Lakers,New York Knicks defeated Los Angeles Lakers in a 4-3 series,"Willis Reed, Walt Frazier, Jerry West","Willis Reed's iconic comeback from injury, Knicks winning in Game 7",,,,,,Best-of-seven series format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Game 7 named the greatest in finals history by ESPN,Walt Frazier with 36 points and 19 assists in final game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970 NBA Finals
Milwaukee Bucks vs. Baltimore Bullets,Milwaukee Bucks swept Baltimore Bullets in 4 games,"Kareem Abdul-Jabbar, Oscar Robertson, Wes Unseld","Bucks' first NBA title, longest title drought of city ended, series broadcast on ABC",,,,,,Alternating home games format,,ABC with Chris Schenkel and Jack Twyman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971 NBA Finals
Los Angeles Lakers vs. New York Knicks,,"Wilt Chamberlain, Gail Goodrich, Jerry West",,,,Los Angeles Lakers,,5,,,,,,"Swept Chicago Bulls, defeated Milwaukee Bucks",,,Lakers won an NBA-record 69 games,,,,,,,,,Lakers won,"Chamberlain vs. Abdul-Jabbar, West vs. Robertson",Led the league in scoring with 121 points per game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Led all NBA teams in rebounds and assists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 NBA Finals
New York Knicks vs. Los Angeles Lakers,New York Knicks defeated Los Angeles Lakers 4-1,"Willis Reed, Walt Frazier, Jerry Lucas, Earl Monroe",,,,,,,,,,,,,,,,,,,,,,,,,,,Willis Reed,"Lakers struggled against inspired opponents in early rounds, Knicks faced tough matchups leading to Finals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakers entered as co-favorites in the West, faced competitive series before reaching Finals","Knicks faced challenging opponents, performed well to secure spot in the Finals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973 NBA Finals
Boston Celtics vs. Milwaukee Bucks,,"Kareem Abdul-Jabbar, Oscar Robertson, John Havlicek",,,,Boston Celtics,,7,,,,,,Celtics ousted defending champion New York Knicks,,,,,,,,,,,,Boston Celtics defeated Milwaukee Bucks 4-3,"Havlicek vs. Abdul-Jabbar, Cowens vs. Dandridge","Celtics entered prime of their careers, poised for a title run",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celtics won a franchise record 68 games,Lucius Allen's injury impacted Bucks' performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974 NBA Finals
Golden State Warriors vs. Washington Bullets,Golden State Warriors swept the Washington Bullets in 4 games,"Rick Barry, Nate Thurmond","First NBA Finals with two African American head coaches, Warriors' underdog victory, scheduling difficulties leading to venue change",Rick Barry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cow Palace in Daly City,Odd 1-2-2-1-1 format due to venue scheduling conflicts,Al Attles (Warriors) and K. C. Jones (Bullets),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975 NBA Finals
Boston Celtics vs. Phoenix Suns,Boston Celtics defeated Phoenix Suns 4-2,,"Suns' redemption through drafting key players, Celtics seeking to capitalize on missed opportunity in 1975 playoffs",Jo Jo White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entered the NBA as an expansion team in 1968, improved through draft picks, and upset previous champions to reach Finals","Seeking redemption for previous playoff failures, maintained core team, and made key acquisitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 NBA Finals
Portland Trail Blazers vs. Philadelphia 76ers,Portland Trail Blazers defeated Philadelphia 76ers in a 4-2 series,"Julius Erving, Maurice Lucas",Portland overcame a 2-0 deficit to win the series with four straight wins,Bill Walton,1977,,Philadelphia 76ers had the advantage,,Best-of-seven series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977 NBA Finals
Seattle SuperSonics vs. Washington Bullets,Washington Bullets defeated Seattle SuperSonics in seven games to win the NBA championship,"Jack Sikma, Fred Brown, Paul Silas, John Johnson, Dennis Johnson, Gus Williams","Last time a road team had won Game 7 in the NBA Finals before the Cleveland Cavaliers in 2016, first NBA Finals series since 1958 where both teams had under 50 wins, Seattle SuperSonics overcome a disappointing start to the season under coach Lenny Wilkens, Washington Bullets win their first NBA championship after previous Finals losses in the 1970s.",Wes Unseld,,Washington Bullets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 NBA Finals
Seattle SuperSonics vs. Washington Bullets,Seattle SuperSonics defeated Washington Bullets 4-1,,,Dennis Johnson,,Seattle SuperSonics,,,,,,Washington Bullets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gus Williams (SuperSonics),- Seattle's second men's professional sports championship,"- Informally dubbed the ""George Washington series""",- Most recent title for a Western Conference team not in Texas or California,- Last NBA championship won by a team from the Northwest Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979 NBA Finals
Los Angeles Lakers vs. Philadelphia 76ers,Lakers defeated 76ers 4-2,"Kareem Abdul-Jabbar, Magic Johnson, Jamaal Wilkes, Norm Nixon","Abdul-Jabbar's injury, Magic Johnson's versatile performance, Lakers winning on the road",Magic Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magic Johnson's 42 points, 15 rebounds, and 7 assists in Game 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 NBA Finals
Boston Celtics vs Houston Rockets,Boston Celtics defeated Houston Rockets in the NBA Finals,,,,,,,,,,,,,,,,,"Moses Malone, Calvin Murphy, Rudy Tomjanovich, Robert Reid, Mike Dunleavy Sr., others",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boston Celtics finished with a record of 62-20, while Houston Rockets had a 40-42 record",Calvin Murphy set records for consecutive free throws and free throw percentage,Houston Rockets secured the last playoff spot on the final night of the regular season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981 NBA Finals
Los Angeles Lakers vs. Philadelphia 76ers,Los Angeles Lakers defeated Philadelphia 76ers 4-2,"Magic Johnson, Kurt Rambis, Bob McAdoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Finals conclusion on winning team's home court since 1977,"""Something to Prove""","June 8, 1982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982 NBA Finals
Philadelphia 76ers vs Los Angeles Lakers,Philadelphia 76ers defeated Los Angeles Lakers in a 4-0 sweep,,,Moses Malone,,,,,,,,,,,,,,"Julius Erving, Kareem Abdul-Jabbar, Moses Malone, Andrew Toney",,,,,,,,,,,,,76ers and Lakers were the only teams not to be won by Lakers or Celtics in the 1980s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philadelphia 76ers acquired Moses Malone from Houston Rockets,"76ers steamrolled through playoffs, defeating Knicks in semifinals and Bucks in five games",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983 NBA Finals
Boston Celtics vs. Los Angeles Lakers,"Boston Celtics defeated Los Angeles Lakers in a seven-game Finals, winning Game 7 111–102","Larry Bird, Magic Johnson","Long-awaited rematch between Lakers and Celtics, Lakers won Game 1, Celtics tied series in Game 2 with critical steal, Celtics won Game 7",,,,,,,Larry Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Odd scheduling due to television, Game 1 on a Sunday afternoon, Lakers won Sunday games, Celtics won games on Tuesday, Wednesday, Thursday, and Friday","Bird's performance in Game 5 despite high temperatures, Cedric Maxwell's 24 points in Game 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984 NBA Finals
Boston Celtics vs. Los Angeles Lakers,Los Angeles Lakers defeated Boston Celtics 4-2,"Magic Johnson, Larry Bird, Kareem Abdul-Jabbar","Implementation of the 2-3-2 format, Lakers' first victory over Celtics in the Finals, transition to NBA Finals branding in 1986","Kareem Abdul-Jabbar, Los Angeles Lakers",,,,,,,,,,"Lakers swept Portland Trail Blazers, defeated Denver Nuggets",,,,,,,,,,,,,,,,,,"Celtics 63-19, Lakers 62-20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magic Johnson vs. Larry Bird,Lakers led the league in scoring with a high average,Lakers led all NBA teams in rebounds and assists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985 NBA Finals
