Parties Involved,Location,Casualties,Impact,Duration,Significance,Date,Start Date,Outcome,Organizing Union,Significant Event,Significant Events,Influence,Demands,Workforce Demographics,Working Conditions,Public Perception,Demand,Number of Miners Involved,Incidents of Violence,Company,End Date,Causes,Participants,Main Demands,Challenges,Convict Labor,Resulting Strike,Mining Company,Notable Events,Commemoration,States Affected,Government Role,Wage Increase,Primary Demand,Impact/Outcome,Outcome/Impact,Organizing Body,Reason,Aftermath,Events Leading Up,Final Death Toll,Union,Reason for Strike,Opposition,Background,Number of Casualties,Cost Estimate,Cause of Violence,Context,Legal Actions,Number of Workers,Organizer,Main Crops,Violent Tactics,Ethnic Demographics,Significant Casualties,Legal Repercussions,Root Causes,Companies Involved,Companies,trigger
,,,,,,,"April 21, 1894","Wages not restored, strike unsuccessful",,,,,,,,,"Return wages to May 1, 1893 levels","180,000",Several violent incidents during the strike period,,,,,,,,,,,,"Colorado, Illinois, Ohio, Pennsylvania, West Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bituminous coal miners' strike of 1894
,,,"First labor dispute with federal government intervention, significant wage increases, union growth, improved conditions",,,,"May 12, 1902","Miners received a 10% wage increase and reduced workdays to nine hours, owners received a higher price for coal, and did not recognize the union",,,,,"Higher wages, shorter workdays, recognition of the union",,,,,,,,,,,,,,,,,,,U.S. Federal Government and President Theodore Roosevelt intervened as neutral arbitrator,Miners received a 10% raise in wages,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coal Strike of 1902
"Union miners, Western Federation of Miners, mine operators, Pinkerton or Thiel operatives, military","Coeur d'Alene, Idaho","2 murders, destruction of non-union mining facility, multiple homes, and outbuildings, military occupation",,,,,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unionization of non-union mines, higher union wage scale","Formation of the Western Federation of Miners, unionization of most mines by 1894, pro-union sentiment in the area, violent response to unionization efforts, continued labor-management confrontations in the region",,,,,,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene, Idaho labor confrontation of 1899"
"Labor union miners, mine owners, Pinkerton agent, Western Federation of Miners","Coeur d'Alene, Idaho",,,,,,1892,Formation of the Western Federation of Miners due to the violent response to the strike,,,,,"Restoration of wages, reduction of work hours, grievances on board and lodging costs",,,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coeur d'Alene, Idaho labor strike of 1892"
"Western Federation of Miners, mine owners, Colorado state government, Colorado National Guard",,,,1903-1904,,,1903,"Partial success, tensions remain high",,,,,,,,,Return to 8-hour workday without pay reduction,,"Martial law imposed, militia involvement",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado Labor Wars
"Colorado state militia, striking coal miners","Serene, Colorado","6 strikers killed, dozens injured",,,"First Columbine massacre, dispute over use of firearms, company town dynamics","November 21, 1927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Increased tensions between miners and authorities, public outcry and investigations into use of force",,,,,,,,,,,,,,,,,,,,,,,,,Columbine Mine massacre
"Industrial Workers of the World (IWW) union, local authorities, vigilantes, law enforcement","Everett, Washington","At least 7 killed, many injured",Highlighted the brutal suppression of labor rights and influenced labor organizing efforts in the region,,"Marked tensions in Pacific Northwest labor history, showed confrontation between labor and business forces","November 5, 1916",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Everett Massacre
"Unemployed auto workers, Dearborn Police Department, Ford Motor Company security guards","Detroit, Michigan","Four workers shot to death, more than 60 injured, with a fifth worker dying later due to injuries",Contributed to the unionization of the U.S. auto industry,,Part of the chain of events leading to the unionization of the U.S. auto industry,"March 7, 1932",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unemployed Councils, project of the Communist Party USA",,,,,,,,,,,,,,,,,,,,,,,,Ford Massacre
"Galloway Lumber Company, striking unionized mill workers, Brotherhood of Timber Workers, Lumber Workers Industrial Union, Industrial Workers of the World","Grabow, Louisiana","4 dead, including union leader Asbury Decatur Hall, and around 50 wounded",,,"Crucial event in Louisiana-Texas Lumber War of 1911-1912, part of the effort to unionize sawmill workers in the region","July 7, 1912",,"Limited success for unionizing the mill workers at Grabow, Louisiana, but larger success for the LWIU from 1917 to 1924",Brotherhood of Timber Workers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grabow Riot
"Railroad workers, local populations, unofficial militias, National Guard, federal troops, private militias organized by railroads","Martinsburg, West Virginia and spread to other cities in New York, Pennsylvania, Maryland, Illinois, and Missouri",Estimated 100 killed,Workers not represented by trade unions; labor unrest led to disruptions in various cities; workers burned down and destroyed rail facilities and rolling stock,69 days,,,"July 14, 1877",,,,"Strikes in multiple cities, supported by about 100,000 workers; intervention of federal troops led to suppression by early August",,,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore and Ohio Railroad cut wages for the third time in a year,"Labor continued to organize into unions; cities built armories to suppress further unrest; improvements in workers' benefits and conditions were implemented, such as the founding of the Employee Relief Association in 1880",,,,,,,,,,,,,,,,,,,,,,Great Railroad Strike of 1877
"United Mineworkers of America, Southern Illinois Coal Company, union miners, non-union workers, mine guards, superintendent","Herrin, Illinois","23 total deaths (3 miners, 20 non-miners)",,,,"June 21-22, 1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Owner disregarded strike agreement, hired non-union workers to produce and ship coal, union miners shot striking workers, resulting in gunfight","23 deaths (3 miners, 20 non-miners)",,,,,,,,,,,,,,,,,,,,Herrin Massacre
"Amalgamated Association of Iron and Steel Workers, Carnegie Steel Company, private security agents","Homestead, Pennsylvania","Multiple casualties, exact number unspecified",,"July 1 - July 6, 1892","Pivotal event in U.S. labor history, major defeat for the union of strikers, setback for unionizing steelworkers",,,,,,,,,"Wages dropped, expansion of workforce, inclusion of unskilled workers","Wage decreases, advanced production technology, material-handling innovations","Strikers persecuted, wages dropped, defeat for the union",,,,Carnegie Steel Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Homestead Massacre
"Indianapolis Traction & Terminal Company, Amalgamated Street Railway Employees of America, city police, rioters, Indiana National Guard","Indianapolis, Indiana","2 strikebreakers, 4 union members killed, numerous injured","Forced city under martial law, involvement of Indiana National Guard, rioters demanding military leave the city",October 31 - November 6,"Breakdown in public order, severe interruptions of statewide rail transportation, 1913 city elections affected",,"October 31, 1913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indianapolis streetcar strike of 1913
"Luzerne County sheriff's posse, striking immigrant anthracite miners","Lattimer mine near Hazleton, Pennsylvania, United States","At least 19 miners killed, scores more wounded","Highlighted exploitation of immigrant mine workers, led to increased awareness and reforms within the industry",,Turning point in United Mine Workers history,"September 10, 1897",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lattimer Massacre
,"Leadville, Colorado",,"Forced miners to reassess tactics and union philosophy, shift towards radical politics and militant policies",,,,"June 19, 1896","Major defeat for the union, leading to the WFM leaving the AFL, shift towards revolutionary socialism",,,,,,,,,,,,,"March 9, 1897",,,,,,,,,,,,,,,,,,,,,"Cloud City Miners' Union, Local 33 of the Western Federation of Miners","Underpayment, mine owners paying less than $3.00 per day",Unified opposition of mine owners,,,,,,,,,,,,,,,,,Leadville Miners' strike
"Colorado National Guard, private guards, coal miners, John D. Rockefeller Jr.","Ludlow, Colorado","Approximately 21 killed, including miners' wives and children","Watershed moment in American labor relations, public outrage leading to investigations by Congress",,"Seminal event of the 1913–1914 Colorado Coalfield War, deadliest incident of the strike, heightened violence throughout Colorado for ten days","April 20, 1914",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ludlow Massacre
"Teamsters, police, Communist League of America","Minneapolis, Minnesota","2 killed, 67 injured on ""Bloody Friday""",Catalyst for the rise of industrial unionism in the 1930s through the Congress of Industrial Organizations,May 16 - August 22,Paved the way for the organization of over-the-road drivers and the growth of the Teamsters labor union,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minneapolis general strike of 1934
"United Mine Workers union, Henry Clay Frick, National Guard","Morewood, Pennsylvania, Westmoreland County",Nine coke workers killed,,,"Formed only the previous year, organized by United Mine Workers union, leading to fatalities and a historical marker erected in 2000",1891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strike for higher wages and an eight-hour work day,,,,,,,,,,,,,,,,Morewood massacre
,,,Sparked a radicalized generation of lumber workers leading to more industry-wide strikes,Over three and a half months,,,,"Partial achievement of demands, repercussions felt for decades",Northwest Council of Sawmill and Timber Workers Union,"Industry-wide paralysis of Northern California, Oregon, and Washington lumber industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Northwest lumber strike
"Striking coal miners, coal operators","Kanawha County, West Virginia",,"Prelude to subsequent labor-related conflicts in West Virginia, including the Battle of Matewan and Battle of Blair Mountain",Approximately 15 months,,,"April 18, 1912",,,,,,,,,,,,,,July 1913,,,,,,,,,,,,,,,,,,,,,,,,,"Around 50 violent deaths, many more indirectly caused by starvation and malnutrition","$100,000,000",,,,,,,,,,,,,,Paint Creek Mine War
"Strikers, private security agents, Pennsylvania State Police","McKees Rocks, Pennsylvania","At least 12, possibly up to 26",,July 13 - September 8,"Largest and most significant industrial labor dispute in Pittsburgh since 1892 Homestead strike, precursor to the Great Steel Strike of 1919",,,,,,,,,"6,000 people, mostly foreign-born, 16 ethnicities","Primitive, industrial peonage for immigrant workers, plant known as ""The Last Chance"" and ""The Slaughterhouse""","Men persecuted, robbed, slaughtered, wives abused, deaths in plant averaged about one per day",,,,Pressed Steel Car Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pressed Steel Car strike of 1909
"American Railway Union, Pullman Company, main railroads, labor unions, federal government","Chicago, Illinois and nationwide",Not specified,,"Spring to July 20, 1894","Shaped national labor policy during economic depression, turning point for US labor law",,,"Strike and boycott shut down much of nation's freight and passenger traffic, US labor policy impact",American Railway Union,,,,,"Nearly 4,000 Pullman Company factory employees","Reductions in wages, absence of democracy, paternalistic company control, excessive rates, house ownership issues","Workers' grievances included lack of democracy, company control, high rates, house ownership rights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pullman Strike
"Strikers, Pennsylvania State Militia, federal troops","Reading, Pennsylvania","10-16 killed, 20-203 injured","Order restored by federal troops, sheriff blamed for lack of public order",,,"July 23, 1877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arson and riots, Long Depression of 1873–1879","Great Railroad Strike of 1877, Long Depression of 1873–1879",,,,,,,,,,,,Reading Railroad massacre
"Streetcar Carmen's Union, United Railroads, James A. Farley, Mayor Eugene Schmitz, Edward Robeson Taylor, Thomas Mooney",,"31 killed, about 1100 injured","Collapse of the strike, undermining of labor's political position, Mooney's attempt to reorganize the union",May - November 1907,,,"May 5, 1907","Strike officially abandoned in mid-February, support only from the Daily News, workers' tree fell to obstruct tracks during strike, blockade of tracks by workers, injured strikebreaking motorman",,,"Bloody Tuesday shootout, indictment of Mayor Schmitz and Patrick Calhoun, collapse of labor's political position",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schmitz found guilty of extortion, dissolution of Carmen's Union Local 205",,,,,,,,,,,San Francisco Streetcar Strike of 1907
,,,,1931-1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"More than 47,500",Cannery and Agricultural Workers' Industrial Union (CAWIU),"Cherry, grape, peach, pear, sugar beet, tomato, cotton","Eviction of strikers, deputization of growers, attacks on workers by employers",80% Mexican workers involved in cotton strikes,"Dolores Hernàndez, Delfino D'Ávila, Pedro Subia",CAWIU organizers arrested under California Criminal Syndicalism Act,,,,San Joaquin cotton strike
"Railroad workers, local militia, state and federal troops","Scranton, Pennsylvania","Four dead, many wounded",,"July 23 - October 17, 1877",,,"July 23, 1877","Strikers returned to work with no concessions, several arrests and subsequent trials, formation of a battalion of the Pennsylvania National Guard",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long Depression following Panic of 1873, economic downturn, wage cuts, widespread unemployment",,,Scranton General Strike
"St. Louis Transit Company, Amalgamated Street Railway Employees of America, St. Louis Metropolitan Police Department",,"14 killed, 200 wounded",,May 7 - September,,,,,,,"Consolidation of streetcar companies, firing of workers, rioting, disruption of service",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Louis & Suburban Railway, St. Louis Transit Company",,St. Louis Streetcar Strike of 1900
,,,Attempt to organize the U.S. steel industry post-World War I,"September 22, 1919 - January 8, 1920",,,"September 22, 1919",,"Amalgamated Association of Iron, Steel and Tin Workers","Collapse of the strike on January 8, 1920",,Weakened union faced challenges following technological advances and previous strikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel Strike of 1919
"Sugar cane workers, Knights of Labor, state militia, planters","Thibodaux, Louisiana","At least 35 killed, rumored total toll in the hundreds",Passage of discriminatory state legislation disenfranchising black workers,Three-week strike,"Largest strike in sugar cane industry, first conducted by formal labor organization","November 23, 1887",,"Defeat of sugar workers, decades-long halt in organizing efforts",Knights of Labor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thibodaux Massacre
"United Mine Workers of America, Chicago-Virden Coal Company, armed detectives, African-American strikebreakers, striking mine workers","Virden, Illinois","5 detectives/security guards killed, 8 striking mine workers killed, 5 guards wounded, 30+ miners wounded, 1 black strikebreaker wounded, engineer shot in the arm","Transformation of Virden into a sundown town, expulsion of black miners from the county, shift in labor dynamics, reflection of racial and labor tensions in the area",,"Reflects labor union tension and racial violence, led to expulsion of black miners from Macoupin County, part of a series of fatal conflicts reflecting social tensions of the time","October 12, 1898",,"Settlement with almost every operator by Illinois District of UMWA, recruitment of African-American miners as strikebreakers by Chicago-Virden Coal Company",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chicago-Virden Coal Company,Virden Massacre
"Steel Workers Organizing Committee, Republic Steel Management, Youngstown police","Youngstown, Ohio","Multiple injured, including an infant","Escalation of the strike into a violent encounter, increased tension between workers and management",,"Intense class battle during Little Steel strike, involvement of steelworkers' wives in union protest","June 19, 1937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women's day massacre
