Date,Location,President,Vice President,Chief Justice,Unique Aspects,Notable Quotation,Event,Length of Term,Oath Ceremony Time,Attendees,Unique Aspects:,Notable Attendees,Notable Aspects,Oath Ceremony Details,Reason for Change,Weather,Inauguration,Theme,Notable Quotes,Significant Details,"January 20, 2001",- First inauguration of the 21st century,- First inauguration in the 3rd millennium,- Controversies and protests surrounding the 2000 election outcome,Notable Incidents:,- Demonstrators protesting the election outcome,- Four protesters arrested,- Bush's limousine hit by a tennis ball and an egg during the parade,"April 30, 1789",- Held on a balcony of Federal Hall,- Administered by Chancellor of New York Robert Livingston,- Official start of the executive branch under the new U.S. Constitution,Attire,Inaugural Ball Venue,Ticket Prices,Notable Occurrences,Reason for Holding Outside,Thomas Jefferson,- Commencement of Thomas Jefferson's first four-year term as president,- Only four-year term for Aaron Burr as vice president,- Jefferson sworn in by Supreme Court Chief Justice John Marshall,"- Held in Washington, D.C., the first time an inauguration was held in the city",- Temperature at High Noon estimated at 55 degrees Fahrenheit,"- Jefferson walked to the ceremony instead of riding a carriage, becoming the first president to do so",William McKinley,- First filmed inauguration,- Last inauguration of the 19th century,Physical Characteristics,Key Policy Points,Attendance Estimates,Oath Administrator,Bibles Used,Presidential Oath Administrator,Vice Presidential Oath Administrator,Records Set,,Topics Covered,Criticisms,Notable Quotations,Telegraph Report,Newspaper Illustration,Family Bible at Oath,Weather Condition,Estimated Temperature,Length of Inaugural Address,Unique Circumstances,Notable Achievement,Notable Details,Reason for Location Change,Reason for Rescheduling,- First inauguration to feature African Americans in the inaugural parade,"- First extensively photographed inauguration, iconic images exist",- Vice President-elect Andrew Johnson appeared intoxicated at the Senate chamber oath ceremony,Events,Notable Statements in Inauguration Address,Inaugural Oath Administrator,Notable Weather Conditions,Attendance,Unique Aspect,Reason for Indoor Ceremony,Change in Date Reason,Inaugural Address Summary,Unique Aspects/Notable Incidents:,"- Held privately on March 4, 1917, and publicly on March 5, 1917",- Start of Wilson's second and final four-year term,- Women's suffrage picketing incident overshadowed the inauguration,trigger
"March 4, 1817","Old Brick Capitol, Washington, D.C.",James Monroe,Daniel D. Tompkins,John Marshall,"First four-year term of Monroe, disagreement on indoor protocols, Monroe's inaugural address content",,,,Noon,"Marine Corps, militia regiments, vice president Tompkins, absent Henry Clay",,,,,,,,,,,,,,,,,,,,,,,,,,,"Congress protocol disagreement, largest city crowd of 8000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of James Monroe
"Monday, January 20, 1969","East Portico of the US Capitol, Washington, D.C.",Richard Nixon,Spiro Agnew,Earl Warren,"Commencement of the first term for both officials, last oath by Chief Justice Warren",,Inauguration,1 full term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Richard Nixon
"January 20, 1981","West Front of the US Capitol, Washington, D.C.",Ronald Reagan,George H. W. Bush,Warren E. Burger,,,,,Not specified,,,"Members of the 1981 Joint Congressional Committee on Inaugural Ceremonies, Public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Ronald Reagan
,,,,,,,,,,,Unique Aspects:,,,,,,,,,,,,,,,,,,,,,,,,,,,John Marshall,- Commencement of Thomas Jefferson's first four-year term as president,- Only four-year term for Aaron Burr as vice president,- Jefferson sworn in by Supreme Court Chief Justice John Marshall,"- Held in Washington, D.C., the first time an inauguration was held in the city",- Temperature at High Noon estimated at 55 degrees Fahrenheit,"- Jefferson walked to the ceremony instead of riding a carriage, becoming the first president to do so",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Thomas Jefferson
"March 4, 1869","East Portico of the US Capitol, Washington, D.C.",Ulysses S. Grant,Schuyler Colfax,Salmon P. Chase,"First term, Presidential oath, Inaugural parade, Boycott by predecessor, Special tickets required, Inauguration Address themes",,Inauguration,4-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Ulysses S. Grant
,,,,,,,,,,,Unique Aspects:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melville Fuller,- First filmed inauguration,- Last inauguration of the 19th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of William McKinley
"March 4, 1913","East Portico of the US Capitol, Washington, D.C.",Woodrow Wilson,Thomas R. Marshall,Edward D. White,"No inaugural balls held, Wilson's arrival overshadowed by Woman Suffrage Procession, Wilson's stance on moral force","""Nowhere else in the world have noble men and women exhibited in more striking forms the beauty and the energy of sympathy and helpfulness...""",Inauguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First inauguration of Woodrow Wilson
"January 20, 1945",South Portico of the White House,Franklin D. Roosevelt,Harry S. Truman,Harlan F. Stone,"Only fourth presidential inauguration, commencement of final term, inauguration due to Roosevelt's death, etc.",Shortest on record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fourth inauguration of Franklin D. Roosevelt
"March 4, 1889","East Portico of the US Capitol, Washington, D.C.",Benjamin Harrison,Levi P. Morton,Melville Fuller,,"""If our great corporations would more scrupulously observe their legal obligations and duties, they would have less call to complain of the limitations of their rights or of interference with their operations.""",,,,"Grover Cleveland (outgoing president), other dignitaries",,,,,,Rain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5'6"" tall, full beard","Emphasis on education and religion, economic growth, protective tariff, statehood for territories, veterans' pensions, modernization of Navy, Monroe Doctrine, international peace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Benjamin Harrison
"January 20, 2017","West Front of US Capitol, Washington, D.C.",Donald Trump,Mike Pence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300,000 to 600,000",Chief Justice John Roberts,Personal copy and Lincoln Bible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Donald Trump
"March 4, 1853","East Portico of US Capitol, Washington, D.C.",Franklin Pierce,William R. King,Roger B. Taney,"Commencement of the only four-year term for Pierce and King, Oath affirmation, King's oath outside the US, vacant VP office after King's death",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Franklin Pierce
"January 20, 1989","West Front of the US Capitol, Washington, D.C.",George H. W. Bush,Dan Quayle,William Rehnquist,"First VP to be inaugurated president, Last WWII combat veteran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Rehnquist,Sandra Day O'Connor,"Washington Metro single-day record of 604,089 trips",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of George H. W. Bush
"March 4, 1929","East Portico of the US Capitol, Washington, D.C.",Herbert Hoover,Charles Curtis,William Howard Taft,"First recorded by sound newsreels, Former president administered oath, Chief Justice's misquote corrected by 13-year-old from New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Herbert Hoover
,,,,,- Garfield was assassinated 199 days into his term,,,,,,,,,,,,"""He serves his party best who serves his country best""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Garfield criticized polygamy among members of The Church of Jesus Christ of Latter-day Saints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of James A. Garfield
"March 4, 1857","East Portico of the US Capitol, Washington, D.C.",James Buchanan,John C. Breckinridge,Roger B. Taney,First photographed inauguration,,Inauguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Territorial Question"" of slavery, Kansas-Nebraska Act, stance on slavery, economic plans, Navy expansion, strict interpretation of Constitution","Lack of strong stance on slavery, reference to Dred Scott case","""He serves his party best who serves his country best""",,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of James Buchanan
"Tuesday, March 4, 1845","East Portico of US Capitol, Washington, D.C.",James K. Polk,George M. Dallas,Roger B. Taney,,,Inauguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of James K. Polk
"January 20, 1977","East Portico of the US Capitol, Washington, D.C.",Jimmy Carter,Walter Mondale,Warren E. Burger,"48th inauguration, Last inauguration on the East Portico, 40th anniversary, Historic Bible used,","""He brings a new spirit...""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Cold, sunny",28°F,"1,228 words",,,,,,,,,,,,,,,,,,,,,,Inauguration of Jimmy Carter
"January 20, 2021","West Front of the US Capitol, Washington, D.C.",Joe Biden,Kamala Harris,,,,,,Biden: Before Harris: Vice president: During,,,,"Start of Biden's four-year term, Harris as the first female, Black, and South Asian vice president, inauguration amidst crises including COVID-19 pandemic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limited live audience, measures due to COVID-19 and security concerns, themes of ""America United"" and ""Our Determined Democracy""",,,,,,,,,,,,,,,,,,,,,Inauguration of Joe Biden
"March 4, 1797","Congress Hall, Philadelphia, Pennsylvania",John Adams,Thomas Jefferson,Oliver Ellsworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First president to receive the oath from a Chief Justice, peaceful succession from a living predecessor",,,,,,,,,,,,,,,,,,,,Inauguration of John Adams
"January 20, 1961",East Portico of the United States Capitol,John F. Kennedy,Lyndon B. Johnson,,"Defeated Richard Nixon, First Catholic President, Youngest to office, First President born in the 20th century, Poet Robert Frost's participation in the program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sinatra's pre-inaugural ball,,,,,,,,,,,,,,,,,,,Inauguration of John F. Kennedy
"March 4, 1825","House Chamber, U.S. Capitol",John Quincy Adams,John C. Calhoun,John Marshall,"""I do solemnly swear that I will faithfully execute the Office of President of the United States""","Rainy, 0.79 inches of rainfall",,,"Book of law instead of Bible, first president who was the son of a former president, second youngest vice president",,,,,,,"Short haircut, long trousers instead of knee breeches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of John Quincy Adams
"March 4, 1837","East Portico of the US Capitol, Washington, D.C.",Martin Van Buren,Richard Mentor Johnson,,,,,,Not specified,"Vice President Andrew Jackson, John C. Calhoun (Vice-President Elect), Senate President, House Speaker, Judges, etc.",,,,,Commencement of their only four-year term as President and Vice President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Martin Van Buren
"March 5, 1877","East Portico of the US Capitol, Washington, D.C.",Rutherford B. Hayes,William A. Wheeler,,,"""He serves his party best who serves his country best""",Inauguration,1 four-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Rutherford B. Hayes
"March 4, 1921","East Portico of the US Capitol, Washington, D.C.",Warren G. Harding,Calvin Coolidge,Edward D. White,"First inauguration, marked start of Harding's term, Harding died during the term and Coolidge succeeded, use of automobile, former President Wilson's absence","""It is rumble and bumble. It is flap and doodle. It is balder and dash.""",Inauguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of Warren G. Harding
"March 4, 1841","East Portico of the US Capitol, Washington, D.C.",William Henry Harrison,John Tyler,Roger B. Taney,,"""He serves his party best who serves his country best""",Inauguration,1 four-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inauguration of William Henry Harrison
"March 4, 1909","Senate Chamber, United States Capitol, Washington, D.C.",William Howard Taft,James S. Sherman,Melville Fuller,"Oath administered indoors, vacant VP office post-Sherman's death, Chief Justice flubbed lines, inauguration Bible reused in 1921, First Lady joins inaugural parade, choral march played",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blizzard covering Washington, D.C. with snow",,,,,,,,,,,,,,,,,,Inauguration of William Howard Taft
"March 5, 1849","East Portico of the US Capitol, Washington, D.C.",Zachary Taylor,Millard Fillmore,Roger B. Taney,Second instance of an inauguration rescheduled due to date falling on a Sunday,N/A,Inauguration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 4, 1849, fell on a Sunday, rescheduled to March 5",,,,,,,,,,,,,,,,,Inauguration of Zachary Taylor
,,,,,,,,,,,Unique Aspects:,,,,,,"""With malice toward none, with charity for all…"" - excerpt from Lincoln's Second Inaugural Address",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- First inauguration to feature African Americans in the inaugural parade,"- First extensively photographed inauguration, iconic images exist",- Vice President-elect Andrew Johnson appeared intoxicated at the Senate chamber oath ceremony,,,,,,,,,,,,,,Second inauguration of Abraham Lincoln
"March 4, 1833","House Chamber, U.S. Capitol",Andrew Jackson,Martin Van Buren,,,,,,12:00,"John Peter Van Ness (Mayor of Washington), Council of Corporation, Chief Justice John Marshall, judges, House Speaker, Senate President, etc.",,,,,Snowy grounds and Andrew Jackson's health condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Andrew Jackson
"January 20-21, 2013","West Front of the United States Capitol, Washington, D.C.",Barack Obama,Joe Biden,John G. Roberts,,,Inauguration,,,,,,,Sworn in by Chief Justice John G. Roberts,,,,"""Faith in America's Future""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concerts, national day of service, swearing-in ceremony, luncheon, parade, balls, interfaith prayer service","Laws for climate change, immigration reform, gun control, progress on human rights and civil rights, promotion of democracy, source of hope for the marginalized populations",,,,,,,,,,,,Second inauguration of Barack Obama
"January 20, 1997",West Front of the United States Capitol Building,Bill Clinton,Al Gore,William Rehnquist,"Last presidential inauguration in the 20th century, streamed live on the internet, 1st millennium","""So help me God""",,,,"Reverend Billy Graham, Ruth Bader Ginsburg, Jessye Norman, Chief Justice William Rehnquist, Santita Jackson, Miller Williams, various dignitaries, family, and friends",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Bill Clinton
"March 4, 1925","East Portico of the US Capitol, Washington, D.C.",Calvin Coolidge,Charles G. Dawes,William Howard Taft,"First inauguration with a former president administering the oath, Broadcast nationally on radio",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Howard Taft (Former President),,,,,,,,,,,Second inauguration of Calvin Coolidge
"January 20, 1957","White House, Washington, D.C.; US Capitol, Washington, D.C.",Dwight D. Eisenhower,Richard Nixon,Earl Warren,"43rd inauguration, Second and final term for both President and Vice President, Began presidency for second term",,Inauguration,,"Private, Public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Dwight D. Eisenhower
"January 20, 1937","East Portico of US Capitol, Washington, D.C.",Franklin D. Roosevelt,John Nance Garner,,"First January 20 inauguration, VP oath on platform, term 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainy morning,,,,,,,,,,Second inauguration of Franklin D. Roosevelt
"January 20, 2005","West Front of the United States Capitol, Washington, D.C.",George W. Bush,Dick Cheney,William Rehnquist,,"""America's vital interests and our deepest beliefs are now one. From the day of our Founding, we have proclaimed that every man and woman on this earth has rights, and dignity...""",,Second and Final Term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000, 300,000, or 400,000",,,,,,,,,Second inauguration of George W. Bush
"March 4, 1793","Senate Chamber of Congress Hall, Philadelphia, Pennsylvania",George Washington,John Adams,William Cushing,,"George Washington's second inaugural address remains the shortest ever delivered, at just 135 words.",Inauguration,Second four-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of George Washington
"March 4, 1893","East Portico of US Capitol, Washington, D.C.",Grover Cleveland,Adlai Stevenson I,Melville Fuller,,,Inauguration,1 four-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Only president to serve two non-consecutive terms; it snowed during the inauguration,,,,,,,,Second inauguration of Grover Cleveland
"January 20, 1949","East Portico of the United States Capitol, Washington, D.C.",Harry S. Truman,Alben W. Barkley,Fred M. Vinson,"First televised U.S. presidential inauguration, first with an air parade, first official inaugural ball","""He serves his party best who serves his country best""",,,,,,"Melvin D. Hildreth, Dwight D. Eisenhower, Lena Horne, Dorothy Maynor, Lionel Hampton, Strom Thurmond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Harry S. Truman
"March 4, 1813","United States Capitol, Washington, D.C.",James Madison,Elbridge Gerry,John Marshall,,"""He serves his party best who serves his country best""",Inauguration,1 four-year term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of James Madison
"March 5, 1821","House Chamber, U.S. Capitol",James Monroe,Daniel D. Tompkins,John Marshall,"Indoors due to Snowstorm, Date Changed from Sunday to Monday",,,,,,,"James Monroe, Cabinet Members, John Marshall, Supreme Court Justices, 3000+ attendees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snowstorm,March 4th was a Sunday,"Addressed achievements, endorsed higher tariff, called for Native American civilization, avoided discussing specific issues",,,,,Second inauguration of James Monroe
"January 20, 1965","East Portico of the United States Capitol, Washington, D.C.",Lyndon B. Johnson,Hubert Humphrey,Earl Warren,"Only term for Johnson, Humphrey, Bulletproof limousine, 1.2 million attendees, Last newsreel-covered inauguration, Pre-inauguration gala with celebrities",,Inauguration,,,,,"Lady Bird Johnson, John W. McCormack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Lyndon B. Johnson
"January 20, 1973","East Portico of the US Capitol, Washington, D.C.",Richard Nixon,Spiro Agnew,Warren E. Burger,,,,Second and final term,,,,,"Nixon's four-time inauguration as both President and Vice President, ceremonial song, evening festivities, notable deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Richard Nixon
"January 20, 1985","White House, Washington, D.C.",Ronald Reagan,George H. W. Bush,Warren E. Burger,"Oldest President inaugurated, Public ceremony moved indoors due to harsh weather, Cancelled parade",,,,,,,,,,,"Daytime temperatures of 7 °F, wind chills of -25 °F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Ronald Reagan
"March 4, 1905","East Portico of the US Capitol, Washington, D.C.",Theodore Roosevelt,Charles W. Fairbanks,Melville Fuller,,"""He serves his party best who serves his country best""",Inauguration,1 full term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Theodore Roosevelt
"March 4, 1805","Senate Chamber, US Capitol",Thomas Jefferson,George Clinton,John Marshall,,,,,,,,,"Landmark second term inauguration, uneventful election, Jefferson's speech topics, Jefferson's attire and audience size.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Thomas Jefferson
"March 4, 1873","East Portico of the US Capitol, Washington, D.C.",Ulysses S. Grant,Henry Wilson,Salmon P. Chase,"One of the coldest inaugurations, Vice President vacancy, parade, and inaugural ball","""He serves his party best who serves his country best.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Second inauguration of Ulysses S. Grant
