Location,Event,Date,Casualties,Impact,Cause of Rioting,Number of Cities Affected,Total Damage,Specific Impact on Chicago,Parties Involved,Aftermath,Duration,Groups Involved,Reason,Duration of Strike,Significant Outcomes,Response from Law Enforcement,Violent Clashes,Reason for Cancellation,Participants,Main Figures,Dates,Comparisons to Other Riots,Significant Impact,Causes of Rioting,Historical Context,Impact of Long Depression,Nationwide Spread,Organizers,Purpose,Factions Involved,Tensions Leading Up to Event,Ethnic Group Involved,Key Factors,Englewood race riot,"U.P.W.A, neighbors",Police Response,Significance in Chicago,Housing Projects Context,Cause of Unrest,Cause,Cause of Riot,Impact on German Community,Political Context,Time Period,Key Incidents,Demographics,Involvement of Dr. Martin Luther King Jr.,Impacts on Labor Policy,Causes of Strike,Number of Workers Involved,Key Figures,trigger
"Chicago, Illinois",Days of Rage,"Oct 8-11, 1969",,,,,,,,,,,,,,,,,,,,,,,,,,Weatherman faction of SDS,"National Action around ""bringing the war home"" slogan","Weathermen, Revolutionary Youth Movement II (RYM II)","Tensions emerged between factions within SDS, differences in ideologies",,,,,,,,,,,,,,,,,,,,,Days of Rage
"Chicago, Illinois",Disco Demolition Night,,Not specified,,"Anti-disco sentiment, disco record explosion on the field",1,Not specified,"Forfeiture of White Sox game, hundreds storming the field, substantial damage to the stadium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disco Demolition Night
"Chicago, Illinois",,"June 12-14, 1966",,"Turning point in Puerto Rican civic involvement in Chicago, first riot in the US attributed to Puerto Ricans",,,,,,,,,,,,,,,,,,,,,,,,,,,,Puerto Ricans,"Puerto Rican migration, low-paying jobs, recruitment efforts, gentrification, housing discrimination, lack of dedicated parish",,,,,,,,,,,,,,,,,,,Division Street riots
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whites rioting, attacking other whites over false rumors of blacks taking over neighborhood","Mayor's response, exposure of exploitative practices in banking and real estate",,,,,,,,,,,,,,,,,Englewood race riot
"Chicago, Illinois",Fernwood Park Race Riot,"August 13-16, 1947",Not specified,,,,,,,,3 days,,CHA veterans' housing project racial integration,,,,,,,,,,,,,,,,,,,,,,,Minimal intervention,One of worst race riots in Chicago history,"Emergence during 1940s, addressing housing shortage, overcrowding, lack of basic amenities, migration impact",,,,,,,,,,,,,,Fernwood Park race riot
"Chicago, IL",George Floyd protests in Chicago,2020,"1 death, 6 injuries",,,Over 100,$125 million,First time Illinois National Guard called in 52 years; Mayor's address and police response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Murder of George Floyd, police brutality protests",,,,,,,,,,,,,George Floyd protests in Chicago
"Chicago, IL",Haymarket affair,"May 4, 1886","7 police officers, 4 civilians dead",,Bombing during labor demonstration,,,,,"Anarchists convicted, some sentences commuted, pardons, origin of International Workers' Day",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haymarket affair
"Humboldt Park, Chicago, Illinois",,"June 4, 1977",,Led to the Division Street Puerto Rican Day Parade,,,,,Puerto Ricans and Chicago Police Department,,One and a half days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shooting deaths of two Puerto Rican men,,,,,,,,,,,,Humboldt Park riot
"Chicago, Illinois",Lager Beer Riot,"April 21, 1855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enforcement of liquor laws targeting immigrants,Greater sense of community for Germans,"Nativist movements, political candidates supporting temperance",,,,,,,,,Lager Beer Riot
"Marquette Park, Chicago",Racially Charged Rallies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mid 1960s - late 1980s,"Rallies, violence, spill-over into residential areas, reputation as ""white ethnic""",Majority white,Arrival to protest poor living conditions,,,,,Marquette Park rallies
"Chicago, Illinois, USA",Memorial Day massacre of 1937,"May 30, 1937","10 killed, 50+ injured",,,,,,,"No prosecution of police, declared ""justifiable homicide""",,,"Little Steel strike, police intervention",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memorial Day massacre of 1937
"Chicago, USA",Pullman Strike,Spring 1894,,,,,,,"American Railway Union, Pullman Company, main railroads, federal government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shaped US labor policy, nationwide rail boycott, economic depression","Wage reductions, undemocratic practices, excessive utility rates","Nearly 4,000 factory employees",Eugene V. Debs,Pullman Strike
