Location,Date,Casualties,Details,Event Trigger,Event,Impact,Outcome,Class,Locomotive,Owner,History,Cause,Manufacturer,Ship Name,Historical Significance,Name,Operations,Formation,Privatization,Transition,Changes,Railtrack Transfer,Logo,Central Rail Road and Canal Company,Name Change to Central Rail Road and Banking Company of Georgia,"Railroad Construction to Macon, Georgia",Savannah Campaign of the American Civil War,Financial Control by Richmond Terminal Company,Bankruptcy and Reorganization as Central of Georgia Railway,E. H. Harriman and Illinois Central Railroad Ownership,Receivership during Great Depression,Emergence from Receivership,Mainline,Expansion,Repair Shops,Merger,Closure,Current State,Gazella,Eudorcas,Nanger,Procapra,Other Related Species,Building Background,Cause of Explosion,Establishment of New York and Harlem Railroad,Receivership by New York City Railway,Conversion by New York Railways Corporation,Incorporation into New York Central Railroad system,Conversion of trackless right-of-way to Harlem Valley Rail Trail,HMS Thunderer,Locomotive Experiment,Purpose of Construction,Boiler Manufacturer,Classification,Charter of Maine Central Railroad Company,Commencement of Operations,US Railroad Administration Control,Acquisition by Guilford Transportation Industries,Maine Central Operations,Boiler Type,Background,Aftermath,New York Central Railroad,Headquarters Location,Merger with Pennsylvania Railroad,Subsequent Merger with Conrail,Breakup of Conrail,Extensive Trackage Locations,Mileage at Peak and End of Operations,Mohawk and Hudson Railroad,Impact on Operations,Injuries,Legal Consequences,Type,Built By,Year Built,Involvement in Incident,Damage,Preservation,Railway Construction by Queensland Railways,Adoption of Narrow Gauge,Boneta collision with Idaho,Collision between Ruth and Gwendoline,Oregona collision with anchored barge,Annie Comings rammed by barque Europe,Clatsop Chief collision with steamship Oregon,F.B. Jones collision with tanker Asuncion,Daisy Ainsworth hit a rock and sank,Harvest Queen struck a fishtrap piling and sank,Construction Year,Length,Longest Ship,Renamed By,Final Status,Built,Role in WWI,Role in WWII,Fate,Year,Locomotives,Construction,Impacted Area,Importance,Result,Namesake,Construction Location,Launch Date,Sponsorer,Redesignation,Commission Date,USS Bennington (CV-20),USS Bennington (DDG-80),Number of Boilers,Note,Station Name,Opening Date,Surrounding Points of Interest,Artwork,Designation,trigger
Stratford,10–11 December 1891,,"During construction, the locomotive was built and steam tested in a record time of 9 hours 47 minutes. It later ran 36,000 miles before returning for final paint.",Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GER Class Y14
"Brockton, Massachusetts","March 20, 1905","58 killed, 150 injured",,"Industrial explosion, building collapse, fire",Grover Shoe Factory Disaster,Led to new industrial safety laws and regulations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Four-story wooden building, shaped like an E",Boiler explosion due to old boiler being used as backup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grover Shoe Factory disaster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Built in stages between Lower Manhattan and Harlem, evolving from horse-drawn to electric traction","Leaseholders went into receivership, leading to eventual bus operation",Line was converted to bus operation following a receivership,"Became part of the Metro-North Railroad system, offering commuter passenger service",Route from Wassaic to Chatham is being converted for recreational use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Harlem Railroad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS Thunderer 
,,,,,,,,,,,,,Built in Glasgow by the North British Locomotive Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMS No. 6399 Fury built as an experimental locomotive using high-pressure steam,Constructed to save fuel by utilizing high-pressure steam,Constructed the complex 3-stage Schmidt-based boiler,"Technically categorized as an ""ultra-high-pressure, semi-compound steam locomotive""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LMS 6399 Fury
Aycliffe Lane station,"July 1, 1828",,"The boiler of Locomotion No. 1 exploded at Aycliffe Lane station, resulting in the death of its driver, John Cree.",Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotion No. 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maine Central Railroad Company was chartered in this year.,Maine Central Railroad Company began its operations in 1862.,"The United States Railroad Administration assumed control of the Maine Central Railroad when it had expanded to 1,358 miles.",Maine Central Railroad was purchased by Guilford Transportation Industries in 1981 and later became part of the Pan Am Railways network.,"In 1970, Maine Central operated 921 miles of road on 1,183 miles of track, reporting 950 million ton-miles of revenue freight by the end of that year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maine Central Railroad 
"Pittsfield, Massachusetts","December 29, 1910","12 killed, 5 more died from injuries","Explosions occurred during ice harvesting season with 125 men gathered around the boiler house, using a second-hand locomotive boiler purchased from a saw-mill, which was inspected in 1910 to operate at 70 psi but exploded violently causing fatalities and injuries to workers.",Morewood Lake Ice Company explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Locomotive Boiler,Purchased in 1906 with use limited to ice harvesting seasons. Not heavily used. Inspected and permitted by state inspector to operate at 70 psi.,"Fatalities, injuries, inquest findings, aftermath of the explosion on the workers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morewood Lake Ice Company explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Established by consolidating existing railroad companies,Headquartered in New York Central Building next to Grand Central Terminal,"Merged with rival to form Penn Central, leading to eventual bankruptcy",Penn Central merged into Conrail in 1976,"Conrail was broken-up in 1999, transferring portions to CSX and Norfolk Southern Railway","Extensive trackage in NY, PA, OH, MI, IN, IL, MA, WV, and Canadian provinces of ON and QC","Operated 11,584 miles of road and 26,395 miles of track in 1925, reduced to 9,696 miles by 1967","Oldest segment of NYC merger, providing a direct rail link between Mohawk River and Hudson River",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Central Railroad 
"New York Telephone Company building, Upper Manhattan","October 3, 1962","23 killed, 94 injured",Boiler explosion resulted in 23 fatalities and 94 injuries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Telephone Company building explosion
Tasmania,May 1899,Crew killed,,,,,Boiler explosion resulted in locomotive destruction and crew fatalities,,G1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Replacement locomotive arrived in 1900 and operations continued before closure in 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North East Dundas Tramway
Orewa,"June 24, 2009",,Coal-fired boiler explosion during maintenance,,Boiler Explosion,,"School board ordered to pay $137,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Caretaker - 90% burns, Contractor - Severe injuries",School board charged under Health and Safety Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orewa College
Stratford,10–11 December 1891,,The locomotive was built and steam tested in a record time of 9 hours 47 minutes before returning for final paint.,Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania 
,,"Engineer and brakeman killed, fireman and conductor injured, house occupants injured",,,,,,L1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2-8-2 ""Mikado""",Baldwin Locomotive Works,1916,Boiler explosion in 1942 during World War II,"Shattered windows, injuries due to scalding water and flying embers, tender and cars derailed","Placed on display at the Railroad Museum of Pennsylvania, listed on National Register of Historic Places",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Railroad 520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Initial section from Ipswich to Bigge's Camp opened with significant tunneling through the Little Liverpool Range.,"Queensland Railways was the first to adopt narrow gauge for a main line, with the ascent of the Main Range as the reason.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Queensland Railways
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boneta sank after being struck by Idaho,Both boats sunk,Oregona sank,Annie Comings sank in three minutes,Four people drowned in the incident,F.B. Jones was sunk,Daisy Ainsworth sank,"Harvest Queen sank, later raised",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shipwrecks of the inland Columbia River
"San Pedro Bay, near Wilmington, California","April 27, 1863","26 killed, many injured",,,Boiler Explosion,,,,,Phineas Banning,"Built in 1859 as tugboat, renamed Ada Hancock in 1861.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS Ada Hancock
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960,316m,Yes (at the time of construction),Norwegian Cruise Line,Scrapped in 2008,,,,,,,,,,,,,,,,,,,,,,,,,,SS Norway
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,Troopship for United States Navy carrying troops to France as part of Cruiser and Transport Force,"Allied troopship under French and UK control, sailed in North Atlantic, between African ports, and Indian Ocean",Scrapped in 1949,,,,,,,,,,,,,,,,,,,,,,SS Pulaski
Lake Michigan,"October 31, 1929",9 lives lost,"The steel-hulled Great Lakes freighter SS Senator sank on Lake Michigan after being rammed by the bulk carrier Marquette. She carried 268 Nash automobiles and was listed on the National Register of Historic Places in 2016, lying in 450 feet of water northeast of Port Washington, Wisconsin",,Boiler Explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS Senator
Europe,,,,,,,,S160,,,,Boiler explosion,"ALCO, Baldwin, Lima Locomotive Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,During World War II,800,Constructed in 1942/3,Europe,Highlighted the dangers of operating steam locomotives during war,Led to safety improvements in locomotive construction,,,,,,,,,,,,,,,,USATC S160 Class
,,,,,,,,Gearing-class,,,,,,USS Basilone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gunnery Sergeant John Basilone,"Orange, Texas",21 December 1945,"Sgt Lena Mae Basilone, USMCWR",DDE-824,26 July 1949,,,,,,,,,,USS Basilone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of Bennington (1777),Battle of Bennington (1777),,,,,,,,USS Bennington
"Chenango River, New York",Not specified,Number of casualties not specified,,,,Significant damage and loss of life from boiler explosions on the USS Chenango,,,,,,,,USS Chenango,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two boiler explosions,This information is based on the background text mentioning two boiler explosions on the ship,,,,,,USS Chenango
"Bidadari, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Woodleigh MRT,"June 20, 2011","Stamford American International School, Avon Park",Slow Motion by April Ng,Civil Defence shelter,_ 108
