Event,Start Date,Date,Casualties,Deaths,Affected Regions,Affected Areas,Trigger,Contributing Factors,Rainfall,Missing,People Evacuated,Affected People,End Date,Significant Impacts,Location,Economic Losses,Impacts,People Affected,Affected Countries,Homes Destroyed,Affected Districts,Displaced Population,Affected States,Infrastructure Impact,Fatalities,Affected Population,Impact,Region,Total Deaths,Economic Damages,Injuries,Death Toll,Causes,Economic Impact,Affected Provinces,Response,Total Rainfall,Government Response,Total Casualties,Cause,Evacuees,Provinces Affected,Infrastructure Damage,Injured,Homeless,Economic Damage,Specific Incidents,Displaced People,Affected Individuals,Primary Cause,Affected Regions/States,Other Impacts,Duration,Landslides,Damages,Houses Destroyed,Triggering Factors,Villages Affected,Property Damage,Countries Affected,People Displaced,Relief Efforts,Specific Impacts,Notable Impacts,Affected Regions/Countries,Families Evacuated,Buildings Destroyed,Buildings Damaged,Major Impacts,Crops Inundated,Most Affected Regions,Affected Region,Additional Impacts,Displaced Persons,Financial Impact,Provinces/Autonomous Regions Affected,Affected Homes,Homes Damaged,Rivers Overflowing,Significant Incidents,Response Efforts,Rainfall Amount,Rescue Operations,Record Rainfall,Evacuated People,Districts Affected,Deaths/Missing,Evacuated,Displaced Individuals,Duration of Flood,Arable Land Affected,Government Relief,Economic Damages (Euro),Direct Deaths,Indirect Deaths,Disappearance,Affected Locality,Houses Destroyed (Coquimbo),Houses Destroyed (Valparaíso),Houses Damaged/Destroyed,Year,Animals Affected,Rivers Involved,Estimated Damages,Responsible Parties,Major Breaches in Orleans Parish,Aid Requested,Extent of Damage,2007 Africa Floods,Ghana,Afar Region,Most Impacted States,Humanitarian Aid Provided,Federal Disaster Areas,Call for Aid,Impact on Agriculture,Recovery Efforts,Additional Info,14 June,15 June,25 June,28 July,May-July,June,July,Rescues,Long-term Impacts,Affected Area,Note,Total Fatalities,Homeless Individuals,Overall Impact,Infrastructure/Building Impact,Most Affected Areas,Rivers Impacted,Peak Water Levels,Most Affected Country,Economic Cost,Missing Persons,Farmland Destroyed,Damages (Yuan),Location Affected,Total Affected Population,Economic Impacts,UN Relief Fund Requests,Heavily Affected Areas,Significant Damages,Affected Counties,River Crests,------------------------,2010 West Papua floods,Probable Causes of Flood,2010-2011 Queensland Floods,,Unique Factors,Casualties (Dead/Missing),Evacuation Orders,Provinces/Areas Affected,Area Submerged,Economic Damages & Losses,Rank Among Costliest Disasters,International Assistance Requested,Hardest Hit Areas,Declaration of National Mourning,Government Benefits Announced,People Presumed Dead,Homeless People,Damages (Euro),2013 Indochina Floods,Thailand Flooding,Landslide Impacts,Infrastructure Impacts,Key Impacts,Deaths in India,Deaths in Pakistan,Peak Rainfall,Serbia,Bosnia and Herzegovina,Croatia,Romania,Slovakia,Key Factors,Damaged Locations,People in Shelters,Isolated Individuals,Missing People,Houses Damaged,Impact on Agriculture/Livestock,Zoo Impact,Areas Affected,State,State of Emergency Declared,Record Rainfall Levels,Impact on Homeowners,Federal Disaster Aid Provided,Niger,Niger River Basin,Inner Niger Delta,People Homeless,Most Affected Province,April 3,August,Specific Warnings/Impacts,Mudslides,Official Declaration,Population Impacted,Hardest Hit Province,Major Rivers/Lakes Affected,People Affected (Hunan),Key Disruption,Most Impacted Districts,Excess Rainfall,Cattle Deaths,Impact on Transportation,Comparisons,Forecast Accuracy,Climate Change Link,Highest Rainfall,Weather Conditions,Specific Industry Impacts,Economic Impact (Rwanda),Cities/Regions Affected,Total Missing,Population Advised to Evacuate,Main Regions Affected,Alert Status,Calamity Level,Operational Status of Dams,Districts Facing Landslides,Government Committees Involved,Impact on Local Population,Most Affected Provinces,Provinces/Regions Affected,Houses Fully Damaged,Houses Partially Damaged,Red Alerts Issued,Evacuation Measures,Predicted Rainfall,City Areas Affected,Severely Affected States,Specific Districts Impacted,Notable Incidents,Period,People in Need of Humanitarian Aid,Impact on Buildings,Environmental Impact,Compensation,Number of Deaths,Alerts Issued,Triggers,Effects,Families Rescued,Main Causes of Casualties,Assistance Provided,Bangladesh,Nepal,China,India (Assam),India (Arunachal),Severely Affected Area,Impacted Population,Type of Event,Most Impactful Flood Date,Additional Information,Affected Prefectures,Buildings Affected,Unique Aspect,Number of Incidents,Significant Actions/Consequences,Nile River Water Levels,UNESCO Sites Damaged,Poultry Deaths,Crop Damage (hectares),Other Animal Deaths,Most Impacted Area,Notable Developments,Significance,Bridges Affected,Comparison,Climate Change Connection,Homes Damaged/Destroyed,Economic Losses (in R),Declarations/Warnings,Prior Risk Assessments,Warnings Issued,Homes Flooded,Peak River Flows,Cyclones,Maximum Sustained Winds,Affected Cities,Precipitation Impact,Wind Gusts,Most Affected District,Airport Disruptions,Livestock Deaths,Agricultural Losses,Population Impact,Electricity Disruptions,Relief & Rescue Teams Deployed,Evacuated Homes,Duration of Flooding,Infrastructure Damages,Emergency Declarations,Key Operations,Dam Collapses,Affected Locations,Significant Declarations,Country,Province,Town,trigger
North Korea Flooding,,July 2006,"549 dead, 295 missing",,,,,,,,,,,,,,,1.5 million homeless,,,,,,,,,,,,,,,,,,,,,,,,"Kangwon, Kaesong, S. Pyongan, S. Hamgyong, S. Hwanghae",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Korea: $20 million,"58,000 people dead or missing, 7,000 homes destroyed, 13,000 families homeless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 North Korean floods
2006–2007 Southeast Asian floods,18 December 2006,,6 deaths,,,"Malaysia, Singapore, Indonesia",Typhoon Utor,,,,,,13 January 2007,"Massive floods, record high rainfall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006–07 Southeast Asian floods
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,000 homeless, 20 dead, crops and livestock lost, villages wiped off in Ghana",NA,"Dam collapse, stranded populations, schools submerged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 African floods
2007 Bihar flood,August 2007,,,,,,,,,,,10 million,,"180 relief camps, 40% of Bihar submerged, major rivers above danger mark",,,,,,,,,,,,,,,"1,287",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bihar, Uttar Pradesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Bihar flood
2007 Jakarta Flood,"Feb 2, 2007",,80 deaths,,"Jakarta, West Java, Banten",,,,,,,,,,,Rp 8 trillion,,,,,,"500,000 people",,,,,,,,,,,"Heavy rain, deforestation, clogged waterways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HOPE worldwide distributed aid to 10,000 people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Jakarta flood
2007 Midwest flooding,,Third week of August 2007,,5,,,,,,,,,,,,,,,,,,,"Illinois, Indiana, Iowa, Minnesota, Ohio, Wisconsin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Minnesota counties, 8 Ohio counties, 14 Wisconsin counties, 7 Illinois counties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Midwest flooding
2007 Mozambican Flood,December 2006,,"29 confirmed, 10 unconfirmed",,,,,,,,"121,000",,,,,,,,,,,,,,,,,,,,,,,High damage reported,"Tete, Manica, Sofala, Zambezia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Mozambican flood
2007 North Korea Floods,,August 2007,,,,"Southern half of the country, including capital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requested international assistance,"Loss of crop land, risk of famine","Quick reaction to disaster, recovery progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 North Korean floods
2007 Shandong coal mine flood,,"August 17, 2007",172 trapped,,,,Heavy rain caused river to burst levee creating flood,,,,,,,,Shandong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181 miners not recovered after accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Shandong coal mine flood
2007 South Asian floods,June 2007,,,,,,,,,,,,August,,,,,,,,,30 million,,,,,,,,,,"2,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"India, Nepal, Bhutan, Pakistan, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 South Asian floods
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Worst flooding occurred on this date,Flooding in these regions on this date,Flooding reported in these areas on this date,Severe floods occurred on this date,Wettest period since record-keeping began,Some areas received a month's worth of rain in 24 hours,Above-average rainfall and active frontal system brought heavy rain on 20 July,Largest rescue efforts described as the biggest in peacetime Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 United Kingdom floods
2008 Bihar Flood,18 August,,,,,,Breach in Koshi embankment due to monsoon,,,,,,,,,,"Submerged fertile alluvial fan area, flooded villages, impact on densely populated agrarian population",,,,,,,,,2.3 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Bihar flood
