Location,Bridge Name,Casualties,Purpose,Collapse Date,Cause of Collapse,Designer,Construction Type,Construction Start Date,Length,Significant Event,Completion Date,Reason for Failure,Fatalities,Opening Date,Historical Significance,Date of Incident,Main Span Length,Date of Collapse,Construction Dates,Date,Replacement Bridge,Design,Designers,Construction Details,Purpose of the bridge,Different designs of bridges,Earliest types of bridges,Examples of ancient bridges,Specific timber bridge details,Chief Engineer,Preservation Status,Injuries,Type,Cause of Failure,Construction Company,Ownership,Construction Year,Reason for Collapse,Importance,Construction Material,Cost,Type of Bridge,Construction Cost,Construction Completion Date,Significance,Total Length,Historical Background,Historical origin of the word 'bridge',Inauguration Date,Immediate Response,Collision Details,Notable Event,Foundation Stone Laid Date,Population,Tragic Incident,Design and Construction,Reason for Replacement,Subsequent Actions,Management Authority,Construction Companies,Triggering Event,Original Bridge Collapse Date,Design Features,Previous Bridge Name,Original Bridge,Current Status,Event,Notable Feature,Reason for Closure,Significant Events,Designation,Structure Type,Span Length,Replacement Completion Date,Date of Construction,Responsible Party,Construction Timeline,Bridge Type,Outcome,Construction Period,Span Dimensions,Tower Composition,Event leading to collapse,Significant Detail,Scheduled Completion Date,Project Purpose,Causes of Failure,Public Response,Repair Costs,Peregrine Falcon Breeding Program,Engineering Firm,Bridge Features,Total Span Length,Original Purpose,Bridge Conversion,Rail Service End Year,Pedestrian Ramp Date,Restoration Funding,Project Completion,Rebuilt Year,Widening,Bus Diversions,Demolition Year,Replacement Design Approval,Reopening to Cars,Historic Significance,"June 18, 2000","September 30, 2006",Origin of the word 'bridge',Collapse Event,Replacement,Town Name,Landmarks,History,Notable Residents,Companies Involved,Project Manager Consultant,Collapse Details,Age of Bridge,Reported Crack,Maintenance Responsibility,Root Cause of Collapse,Number of Traffic Lanes,Sidewalk,Previous Bridge Failure,Appearance,Previous Bridge Type,Replacement Construction,Previous Replacement,Waterway Closure Duration,Bridge Closure Duration,Operational Year,Inquiry Findings,Impact of Collapse,Viaduct Name,Subsequent Action,Memorial Park Location,Initial Design Year,Phase 1 Completion Date,Phase 2 Construction Start Date,"September 26, 2007",,Initial Name,Renamed,Replacement Designers,Influence on Other Bridges,Consulting Engineer,Consulting Engineer's Future Work,Architectural Style,Architectural Significance,Structural Features,Material Composition,Modifications,Reconstruction Completion Date,Condition,Deaths,Vehicles Affected,Responsible Entity,Tower Height,Clearance to Water,Fatal Bridge Incident Date,Fatality Count,Proposed Second Bridge Construction Date,Estimated Cost of New Bridge,Funding Source,Alternative Name Proposal,Supporting Structure,Coordinates,Construction Changes,Failure Date,Failure Cause,Replacement Date,Original Bridge Details,Final Cost,Connection,Renamed in,Original Construction Plan,Opposition to Construction,Government Threat,Agreement Signing Date,Construction Contractor,Consulting Engineers,Bridge Span Length,"December 13, 2000","December 28, 2000",Other,Official Naming,Location of Incident,Description of Collapse,Consequences,Impact on Engineering Company,Lessons Learned,Original Twin Span Opening,Hurricane Katrina Damage,Replacement Span Opening,Westbound Lanes Completion,Bridge Official Naming,Original Twin Span Demolition,Original Span Details,Replacement Span Details,Damage after Hurricane Katrina,Event Date,Rescue Efforts,Bridge Location,Bridge Design,Post-Collapse Efforts,Engineers,Tolls,Fatal Collapse Date,Design Firm,Additional Bridges,Lane Width,Toll Cost,Extent of Damage,Cause of Fire,Restoration Efforts,Height,Original Structure,Record,Rebuilding,Commercial Service,Restoration,Collapse Reason,Ranking,Historical Designation,Original Bridge Type,Original Bridge Length,Main Span,Collapse Consequences,Details,Southern Terminus,Northern Terminus,Record Status,Total Concrete Pilings,Originator,Initiator,Organization,Commissioner,Railway Track Speed,Official Name,Road Bridge,Damages & Repairs,Borough Establishment,Incorporation Date,Incorporation Process,Referendum Date,Native American Inhabitants,Borough Naming Origins,Original Parker Homestead Date,Post Office Name Change,Early Economies and Residents,Military Involvement,Destruction Details,Post-War Status,Relevance to Bay Bridge,Local Traffic,Long-Distance Traffic,Major Highways Connected,Causes,Legal Implications,Compensation,Event Background,Railway System,Initial Construction,Upgrade,Reason for Upgrade,New Bridges Construction,Entities Involved in Construction,Causes of Collapse,Investigation,Legal Actions,Replacement Span Name,Contributing Factors,Debut Match,Contract Renewal,Loan Spell,Debut in French Football,Injury,Loan Cancellation,Release from Aston Villa,Heritage,Partial Use of Lanes,Connection of Districts,Lanes and Sidewalk,Traffic Flow Direction,Former Bridge Details,Former Bridge Dimensions,Demolition Date,Decision Outcome,Design Type,Architects,Inspection History,Maintenance,Distance from Juba,Distance from Gulu,Administrative Changes,Recent Developments,Population Estimates,Recent Infrastructural Projects,Imports from Uganda,Previous Bridges,Construction Project,Demolition Process,Westbound Span Opening,Eastbound Span Completion,Initial Issue,Impact,Repair Status,Destruction Event,Reconstruction Plan,Supporting Agency,Purpose of footbridges,Various bridge designs,Ancient bridge examples,Historical origin of footbridges,Importance of footbridges in rural areas,Recognition,Historical Context,Proposal Originator,Reconstruction Date,Original Arch Dimensions,Auxiliary Arches Dimensions,Construction Supervisor,Initial Construction Completion Date,Financial Supporter,Previous Collapses,Significance During Conflict,Historical Border Marker,Impact of World War II,Date of Accident,Number of Fatalities,Responsible Operator,Guilty Parties,Contributory Negligence,Financial Outcome,Expansion Date,Construction Improvement,Key Event,Construction Failures,Dimensions,Connecting Feature,Replacement for Original Bridge,Length of Bridge,Causeway Type,Second-Longest Bridge in Texas,Named After,Height at Apex,Weight,Replacement Occurrence,Replaced Bridge,Victim Count,Usage,Date of Opening,Primary Decks,Names of Sections,Supporting Engineer,Press Coverage,Largest Concrete Arch Status,Bridge Renovation,Highway Carried,Renaming History,Partial Failure Incident Date,Details of the Incident,Impact of Failure,Replacement Reason,Current Bridge Height,Annual Event,Notable Incident 1,Notable Incident 2,Film Connection,Construction Date,Abutment Spacing,Pier-to-Pier Spacing,Reconstruction Status,Investigation Outcome,Predecessors,Similar Design Bridges,Action Taken,Reopening Status,Builder,Year Opened,Previous Bridge,Characteristics,Toll System,Major Disasters,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremony Restrictions,Original Bridge Opening,Original Bridge Collapse,Design Flaw,Replacement Bridge Opening,Replacement Bridge Details,Built,Grade,Initial Collapse Date,Repair Duration,Cost of Repair,Date of incident,Vessel involved,Damage caused,Human casualties,Aftermath,- Ship sunk under the bridge,- Cars drove over collapsed sections,- Press images of vehicles balancing on the ledge,- Wreck remains on the riverbed without navigation hazard,- Major impact on the bridge's structure and traffic,Budget Allocation,Debt and Losses of Company,Events Leading to Collapse,Collapse Incident Date,Response Efforts,Legal Charges Filed,Impact on Navigation,Height Above Water,Traffic Volume,Number of Lanes,Traffic Occupancy,Highway Name,Maintenance Issues,Closure Reason,Replacement Project,Official Dismantling Completion,Adaptive Reuse Post-Closure,Widening Date,Investigation Results,Architect,Architectural Features,Original Span,Final Span,Suspension Chain Details,Memorial,Actions Taken,Impact on Railway Traffic,Beams Removal Process,trigger
Menai Strait between Anglesey and Wales,Britannia Bridge,,Critical link for Chester and Holyhead Railway,,,Robert Stephenson,Tubular bridge of wrought iron rectangular spans,30 June 1845,,Damaged extensively by fire in May 1970,5 March 1850,Damage to tubes irreparable,,,,,,,,,,,,,,,,,,Robert Stephenson,Grade II listed in March 1966,,,,,,,,Direct train travel between London and Holyhead,,,,,,,,,,,,,,10 April 1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Bridge
"River Irwell between Broughton and Pendleton, now in Salford, England",Broughton Suspension Bridge,,,,,Attributed to Samuel Brown or Thomas Cheek Hewes,Iron chain suspension bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bridge collapsed on April 12, 1831 due to troops marching in step",Replaced by a Pratt truss footbridge in 1924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broughton Suspension Bridge
"West London, London Borough of Hillingdon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,564 (recorded in the 2011 census)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hayes,"St. Mary's Parish Church, Barra Hall, Adam and Eve pub","Appears in the Domesday Book, linked to EMI, manufacturing hub","William Byrd, George Orwell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulls Bridge
,"Cable Bridge, Surat or Pandit Dindayal Upadhyay Bridge",,,,,S. N. Bhobe and Associates,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Concrete slab collapse on June 10, 2014, resulting in casualties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gammon India (main river bridge), Rachana Construction (interchange flyover)",Spectrum Techno Consultant Private Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cable Bridge Surat
Italian state highway SS330 near Aulla,Caprigliola / Albiano bridge,,,,,,,,260 meters,,,,,,,,,"April 8, 2020",,,,,,,,,,,,,,Minor injuries to two truck drivers,,,,,,,,,,,,,,,,,,,,,,,,Attilio Muggia in 1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridge fell into the Magra river,111 years old,Late 2019,ANAS S.p.A.,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caprigliola bridge collapse
"Chesapeake City, Maryland",Chesapeake City Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949,,,,,,,,,,,,,,,,,,,,Expansion of the canal in the 1920s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two undivided traffic lanes,One sidewalk on the east side of the bridge,"Older vertical lift drawbridge was destroyed on July 28, 1942","Identical to old St. Georges Bridge in Delaware, except for the number of lanes",Vertical lift span bridge constructed between 1924 and 1928,New high-level bridge constructed approximately 500 feet to the west after the destruction of the previous bridge,The lift bridge itself replaced an earlier wooden swing bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chesapeake City Bridge
,,One person killed and two severely injured in two automobiles,,,Barge collision with a support pier of the bridge,,,,,,,,,,,"May 28, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebuilding of the collapsed span to restore the bridge functionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 days,2 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claiborne Avenue Bridge
"Pembrokeshire, Wales",Cleddau Bridge,,,2 June 1970,Errors in the box girder design during construction in 1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pembrokeshire County Council,"Sir Alexander Gibb & Partners, Freeman Fox and Partners, A.E. Farr Limited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,The collapse was attributed to design inadequacies,"Four workers died, five injured, construction halted until October 1972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleddau Bridge
"Oakland, California",,42 people killed,Ease traffic leading to the Bay Bridge,,,,,,1.6-mile-long,,,,,"June 11, 1957",,,,,,,,,,,,,,,,,,,,,,,,,,Reinforced concrete,$10 million,,,,,,,,,,,,,,,,,,,,"October 17, 1989 earthquake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypress Street Viaduct,Demolition of the collapsed structure,"Oakland, 14th Street and Mandela Parkway",1949,October 1955 by Frederickson and Watson contractors,"February 1956 by Grove, Wilson, Shepard, and Kruge contractors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypress Street Viaduct
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90-meter section fell from 30 meters,above an island on the Vĩnh Long side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C岷 Th啤 Bridge
"Rhine at Deutz in Cologne, Germany",Deutz Suspension Bridge,,,"February 28, 1945",,,Self-anchored suspension bridge using eyebar chains,,,,,,,,,,,,1913 to 1915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutz Suspension Bridge,Hindenburg Bridge in 1935,Fritz Leonhardt and Gerd Lohmer,"Three Sisters bridges in Pittsburgh, Pennsylvania and Kiyosu Bridge in Tokyo",H. D. Robinson,Florianopolis Bridge design with David B. Steinman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutz Suspension Bridge
"Pawtucket, Rhode Island",Division Street Bridge,,,,,,,,About 450 feet,,,,,,Symbol of unity between neighboring communities in Pawtucket,,,,1875–1877,,,,,,,,,,,,"Considered architecturally and historically significant, but functionally obsolete",,,,,,,,,,"USD$95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stone and brick nine-span bridge,Listed on the National Register of Historic Places in 1983,"Segmented arches, 27-foot wide road bed, 7-foot sidewalks, granite and brick construction","Granite ashlar piers, dressed granite voussoirs, granite rubble spandrels, brick arch barrels","Addition of reinforced concrete sheathing, modern asphalt paving, iron walkways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Division Street Bridge
"St. Petersburg, Russia",Egyptian Bridge,,,,,,,,,,,,,,,,,,,,,,"Von Traitteur, Christianowicz","One-span suspension bridge, granite abutments, cast-iron sphinxes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 20, 1905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egyptian Bridge
"Near the village of Eschede in the Celle district of Lower Saxony, Germany","Highway bridge, not named in the text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Concrete road bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Collapsed during the derailment, pillars crushed two coaches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eschede train disaster
,,,Connect Sweetwater to Florida International University campus over a busy eight-lane highway,,,,,,,,,,,,,,,,,"March 15, 2018",,,,,,,,,,,,10,,,,,,Design error - miscalculation of the connection between the walkway surface and the truss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,FIGG Bridge Engineers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida International University pedestrian bridge collapse
"Tablazo Strait outlet of Lake Maracaibo, Venezuela",General Rafael Urdaneta Bridge,,,,,Riccardo Morandi,,1957,8.678 kilometers,,,,,24 August 1962,,,235 meters per span,,,,,,,,,,,,,,,,,,,,,,,Reinforced and prestressed concrete,,,,,,,,,,,,,,,,,,,,,,,"Cable-stayed bridge, five main spans, 92-meter tall towers, 46 meters of clearance to the water below",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92 meters,46 meters,April 1964,Seven people,"Since 1982, studies conducted from 2000 onwards",US$440 million,Primarily to be financed through tolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Rafael Urdaneta Bridge
"Johannesburg, South Africa",,"2 fatalities, 19 injuries",,,Temporary works collapse over the motorway,,,,,,,,,,,,100 meters,"October 14, 2015",,,,,,,,,,,,,,,,,,,,,,,,Cantilever spar cable-stayed bridge,,,,,,,,,,,,,,,,,,,,,,The Great Walk Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kopanang Bridge,Single 70m high inclined pylon on the western side,"26°6′26.85″S, 28°4′35.14″E﻿",Adoption of alternative construction method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grayston Pedestrian and Cycle Bridge
"Hudson River in New York, connecting Green Island with Troy, passing through Starbuck Island",Green Island Bridge,,,,,,,,,,,,,,,,,,,,"Steel railroad bridge in 1884, converted for automobile traffic",Vertical lift bridge with metal-covered frames housing counterweights and lift mechanisms,,,,,,,,,,,,,,,,,,,,,"Over $23,000,000",,,,,,,,,,,,,,,,,,,,,,"Wood-truss covered bridge built in 1832, replaced by a second wooden bridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"March 15, 1977","Flooding due to heavy rains and snowmelt causing erosion, leading to the collapse of the lift span pier and western tower","September 12, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Island Bridge
