Ship Name,Lives Lost,Date Sunk,Responsible Party,Location,Full Name,Region,,Original Name,Birthplace,Borders,Origin,Name,Population,Casualties,Sinking Date,Construction,Role,Historical,Builder,Launch Date,Ship Type,Propulsion,Title,Etymology,Capital,Year Built,Family Background,Type,Sinking,Education,Historical Significance,Notable Event,Significance,Yard Number,Owner,Purpose,Fate,Notable Battles,Parents,Area,History,Promotions,Specifications,Torpedoed by,Dimensions,Ownership History,Divisions,Career,Ship Class,Language,Occupation,Geography,Built,UNESCO World Heritage Site,Death,Details,Troopship,Key Modifications,Service Years,War,Sunk by,Gross Register Tons,Length Overall,Length Between Perpendiculars,Beam,Holds,Key Event,Prisoners Aboard,Survivor Count,Construction Yard,Completion Date,Key Characteristics,Family Heritage,Military Education,Graduation Year,Command Style,Highest Point,Definition,Alternative,Most Populous City,Productivity,National Park,Types of Ceramics,Historical Development,Properties,Manufacturing Process,Use,Former Names,Disbandment,Relegations,Ownership,Name Change,League Standings,Maiden Voyage,Cause of Sinking,Impact,Geology,Size,Modern Use,Mythological Role,Sisters,Associated Instruments,Family Ties,Depictions,Residence,Nationality,Years in Office,Relationships,Political Ideology,International Status,Scandal,Defining Moment,Legacy,Ancestry,Linguistic Skills,Date of Incident,Final Fate,Extends,Includes,Overlaps with,Hebrew Meaning,Quote,Historical Context,Archaeological,Roman Conquest,Assimilation,Nickname,Birthdate,Early Life Incidents,Alliances,Victories,Nickname Origin,Birth Date,Marital Status,Career Milestones,HMS Aboukir,HMS Avenger (1695),HMS Avenger (1758),HMS Avenger (1845),HMS Avenger (1914),HMS Avenger (1940),HMS Avenger (R73),HMS Avenger (D185),HMS Avenger (F185),HMS Avenger (P198),HMS Barham,HMS Courageous,Pennant Number,Commission Date,Notable Missions,Captured Vessels,Reuse of vessels,Tonnage,Seized By,Royal Navy Commission Date,Commanding Officer,Notable Crew,Operations,HMS Formidable (1751),HMS Formidable (1777),HMS Formidable (1799),HMS Formidable (1825),HMS Ham (ex-French Formidable),Planned HMS Formidable (1825),HMS Galatea,HMS Hawke,Planned,HMS Penelope,* Inshore Squadron (1809),* Java (1811),* Java (1814),* Baltic (1855),* Mediterranean (1855-56),* Jutland (1916),* Aegean (1943),HMS Royal Oak (1664),HMS Royal Oak (1709),HMS Royal Oak (1769),HMS Royal Oak (1852),HMS Royal Oak (1892),HMS Royal Oak (08),HMS Royal Oak (1958),Gross Tonnage,First Owner,Armament,Involvement,Speed,Features,Built By,Passenger Capacity,Service History,Role in WWI,Tragic Event,Owners,Routes,Reign,Modernization,Philosophy,Policies,Recognition,Debt Issue,Removal,Newspaper,Establishment,Merger,Founders,Previous Owners,Current Owner,Publisher,Circulation,Administrative Capital,Bodies of Water,Landforms,Agriculture,Main Orange Producer,Landmark,Kingdoms,Subdivision,Counties,ISO Code,Flag,Origins,Notable King,Province Name,Modern Location,Initial Status,Establishment as Province,Significant,Family,Disability,Influence,Career Path,Oratory Skills,Profession,Achievements,Early Life,Personal Life,River Name,Alternative Names,Flow,Length,Importance,Evolution,Shifts,Usage,Official Name,Indigenous People,Historical Facts,Culture,Captain,Sinking Location,Survivors,Lifeboat Capacity,Number in Lifeboat,Rescued,Unique Survivor,Survivor's Account,City Name,Population (2020),Foundation,Sources of Income,Fortress,Architectural Style,Tourist Attractions,Term,Birth Year,Marriage,Children,Burial Place,Captured By,Year Scrapped,Completion,Operator,Capture Date,Capture Location,War Prize,Renamed To,Management,Convoys,Sister Ship,Key Battles,Program Inclusion,Post-Treaty Freedom,Displacement,Top Speed,Aircraft Capacity,Protection Level,Design Elements,Appearance,Association,Infrastructure,Commercial Status,University,Climate,Admiral,Born,Wars,Notable Achievements,Built for,Funnel,Passengers,Conversions,Captured by,Role in World War II,Unique Feature,Provinces,Geographic,Prehistoric,Caves,Open-air site,Natural Borders,Broader Regions,Major Cities,UNESCO Sites,Historical Rule,Middle Ages,Ottoman Rule,Habsburg Control,Austro-Hungarian,Treaty,Country,Description,Economy,Debut,Top Division Debut,Highest Rank,Kinboshi,Retirement,Post-Retirement,Succession of Elder Names,Judo Background,Promotion History,Titles,Metropolitan Area,Tourism,Cultural Landmarks,Affiliation,Leadership,NSDAP Involvement,Assassination,Shooter,Legal Action,Funeral,Propaganda Impact,Aftermath,Tractate Number,Chapters,Content,Gemara Sources,Main Topics,trigger
,,,,,,,Eccellenza Sicily to Serie D in 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Direct heir of U.S.D. Camaro Messina, founded in 1969","Eccellenza Sicily Group B to Serie D in 2011–12, 2016–17 Promozione Sicily to Eccellenza Sicily in 2017,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"S.S.D. Città di Messina, U.S.D. Camaro Messina",2021,"Twice after promotions, one escape from relegation in 2019","Acquired by Rocco Arena, owner of CF Independiente Alicante",Approved name change request to Football Club Messina in 2019,"Second place in 2020–21 Serie D, promotion to Serie C via playoffs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citt脿 di Messina
City of Benares,,,,,,,,,,,,,,"258 out of 406 passengers, including 77 children",September 1940,,,,"Barclay, Curle & Co","August 5, 1936",,,,,,1936,,,,,,,,,,,,,,,,,"Length: 509 feet, Beam: 62 feet 7 inches, Draught: 30 feet 8 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"October 24, 1936",Torpedoed by German submarine U-48,Cancellation of Children's Overseas Reception Board plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Benares
,,,,"North Sea, 100 km off the east coast of England",,,,,,,,Dogger Bank,,,,,,"Known for fishing, named after medieval Dutch fishing boats called doggers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Large sandbank, part of Doggerland during the last ice age, possibly a moraine","Extends over about 17,600 square km, 260 x 100 km in extent, water depth ranging from 15-36m","Identified as a potential site for a UK round 3 wind farm project, known as Dogger Bank Wind Farm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doggerbank
Edogawa Maru,"2,114",18 November 1944,USS Sunfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edogawa Maru
,,,,,,,,,"Born one of the daughters of Mnemosyne, Titan goddess of memory",,,Euterpe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muse of music and later lyric poetry; daughter of Mnemosyne and Zeus,"Calliope, Clio, Melpomene, Terpsichore, Erato, Thalia, Polyhymnia, Urania",Credited with the invention of the aulos or double-flute,"Sisters born from the sacred springs on Helicon, mountain spring on Mount Parnassus",Often depicted holding a flute in artistic renditions,"Believed to have lived on Mount Olympus, later tradition placed them on Mount Helicon or Parnassus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euterpe
,,,,,Francesco Crispi,Southern Italy,,,,,,,,,,,"Patriot, statesman, Prime Minister of Italy",,,,,,,,,,"Orthodox Christian Albanian heritage, grandfather an Arbëreshë Orthodox priest, Greek Catholic baptism, spoke Albanian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian,"1887-1891, 1893-1896",Friend and supporter of Giuseppe Mazzini and Giuseppe Garibaldi,"Democrat liberal, authoritarian","Compared to Bismarck, Gladstone, Salisbury",Involved in major banking scandal,Loss at the Battle of Adwa against Ethiopia,"Seen as a precursor of Mussolini, authoritarian leader, controversial figure","Originating from Palazzo Adriano, Sicily","Italian as third or fourth language, family language Arbëreshë, uncle Giuseppe an expert in the Albanian language",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Crispi
Fuso Maru,,,,"South China Sea, 280 nautical miles northwest of Cape Mayraira, Luzon, Philippines",,,,Russia,,,,,,,,"Laid down: 1907, Completed: February 1909, Shipyard: Barclay Curle Co. Ltd. in Glasgow, Scotland",,,,,,,,,,,,,,,,,,,,,,,,,,,,USS Steelhead,"Length: 144.78 meters, Beam: 17.53 meters, Depth: 11.2 meters, GRT: 8,596","Russia (1909-1914), Rossija (1917), Russ (1917-1921), Latvia (1921-1923), Fuso Maru (1923)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,"Torpedoed by USS Steelhead while traveling in Convoy MI-11 from Moji, Japan, to Miri, Borneo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuso Maru
,,,,Northern Israel and southern Lebanon,,Galilee,Litani River to Dan at Mount Hermon,,,Mount Carmel-Mount Gilboa ridge to the Litani River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Upper Galilee, Lower Galilee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Israeli coastal plain to Jordan Rift Valley,"Jezreel Valley, Beth Shean Valley, Sea of Galilee, Hula Valley","Northern District of Israel, Southern Lebanon",גָּלִיל ('district' or 'circle'),Isaiah 9:1 - Galilee of the nations,Settled by gentiles at the time of the Book of Isaiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galilea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaul divided into Gallia Celtica, Belgica, and Aquitania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gauls bearers of the La Tène culture, extending to adjacent regions",Gaul fell under Roman rule in 2nd and 1st centuries BC,Celtic Gauls assimilated into Gallo-Roman culture during Late Antiquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gallia
SS General von Steuben,"4,000",10 February 1945,Soviet submarine S-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General von Steuben
,,,,,Lodovico de' Medici,,,,"Forlì, Northern Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni de' Medici and Caterina Sforza,,,,,,,,,"Condottiero, mercenary military captain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni delle Bande Nere,"March 6, 1498","First murder at age 12, banished from Florence twice","Employed by Pope Leo X, hired by Imperial army","War against Francesco Maria I della Rovere, defeats of rebel barons and the French",Added black stripes to insignia in mourning for Pope Leo X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni delle Bande Nere
,,,,,Francisco José de Goya y Lucientes,,,,"Fuendetodos, Aragon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746,Married to Josefa Bayeu in 1773,Court painter to the Spanish Crown in 1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goya
Hakuyo Maru,[Number],[Date],[Responsible Party],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuyo Maru
Hawaii Maru,"2,134",2 December 1944,USS Sea Devil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawaii Maru
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Aboukir
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Avenger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Barham
Battle Honors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jutland 1916, Atlantic 1939-40, Norway 1940, Bismarck 1941, Malta Convoys 1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Courageous
HMS Dunedin,,,,,,,,,,,,,,,,,,,,19 November 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danae-class light cruiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D93,13 September 1919,"Protection of munitions unloading in Danzig, assistance in Napier earthquake, hunt for German battleships, interception of German merchant ships, blockade off Martinique","German merchant ships Heidelberg, Hannover, tanker Lothringen, Vichy French vessels","Hannover transformed into HMS Audacity, Lothringen converted into Empire Salvage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Dunedin
,,,,,,,,Le Rhin,,,,,,,,,,,"H. & C. Grayson Ltd., Garston, Liverpool",,,,,,,1920,,Special Service Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,456 tons",Lieutenant de Vaisseau Claude Andre Michel Peri,24 September 1940,Lieutenant Commander Jack Langlais RNVR,"Lt-Cmdr. Albert Guérisse (Patrick Albert O'Leary RNVR), First Officer Madeleine Bayard (Madeleine Barclay WRNS)","Clandestine transport, small-scale sabotage, commando carrier operations in south-east Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Fidelity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quiberon Bay, 1759, Glorious First of June, 1794","Glorious First of June, 1794, Nile, 1798","Aboukir, 1801, St. Domingo, 1806","Basque Roads, 1809, Cape St. Vincent, 1801","Leipzig, 1813, Algiers, 1816",TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Formidable
Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eight ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Galatea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Named after Edward Hawke, 1st Baron Hawke",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Hawke
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,* Battle of Trafalgar (1805),* Inshore Squadron (1809),* Java (1811),* Java (1814),* Baltic (1855),* Mediterranean (1855-56),* Jutland (1916),* Aegean (1943),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Penelope
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture of Gibraltar 1704,"Seven Years' War 1756-1763, Battle of Cape Ortegal 1805","American Revolutionary War 1775-1783, Battle of Trafalgar 1805","Crimean War 1853-1856, Battle of Jutland 1916","World War I 1914-1918, Battle of the Atlantic 1939-1945","World War II 1939-1945, Atlantic 1939-1941, Bismarck 1941, Calabria 1940","Gulf 1991, Iraq 2003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Royal Oak
