Magnitude,Date and Time,Location,Date,Casualties,Geological Context,Epicenter Location,Impact,Time,Mercalli Intensity,Intensity,Epicenter,Affected Areas,Aftershocks,Tsunami,Damage,Fatalities,Tsunami Impact,Event,Duration,Fault Zones,Injuries,Other Names,Historical Earthquakes,Rupture Area,Tsunami Height,,Impacted Regions,Scientific Studies,Tectonic Context,Focal Mechanism,Plate Boundary,Aftershock Magnitude,Tsunamis,Affected Regions,Seismic Context,Tsunami Impacts,Plate Boundaries,Rupture Length,Impacts,Depth,Deaths,Tsunami Run-Up Height,Economic Losses,Infrastructure Impact,Tsunami Characteristics,Maximum Mercalli Intensity,Reported Deaths,Impact on Oil Storage,Aftershock Date,Tsunami Warnings,Unique Characteristics,Epicenters,Notable Impacts,Geographic Features,Populated Areas,Rupture Details,Foreshocks,Epicenter Distance,Tsunami Cause,Damage Assessment,Total Losses,Aftershock Zone Size,Impacts on Alaska,Impacts on Hawaii,Limited Data,Building Damage,Tsunami Location,Epicenter Distance from Santiago,Most Affected City,Tsunami Wave Height,Furthest impact,Death Toll Estimates,Monetary Loss Estimates,Sequence of Quakes,Notable Quakes,Impact on Infrastructure,Fault Rupture Length,Ground Failures,Damages to Anchorage,Uplift and Subsidence,Motion in Distant Areas,Structural Components,Tsunami Run-Up Heights,Observed Locations,Deaths Reported,Max. Mercalli Intensity,Major Impacts,Houses Destroyed/Damaged,Surface Rupture Zone,Fault Mechanism,Seismic Moment Release,Structural Damage,Tsunami Triggered,Tsunami Effects,Date of Occurrence,Area Affected,First Earthquake Date,Second Earthquake Date,Magnitude (1st Earthquake),Magnitude (2nd Earthquake),Tsunami (1st Earthquake),Tsunami (2nd Earthquake),Subduction Zones,Tsunami Details,Subduction Zone Characteristics,Recurrence Intervals,Building Collapses,Largest Aftershock,Aftershock Location,Tsunami Inundation Distance,Impact Areas,Rupture Stages,Historical Recurrence,Comparisons with 2005 Event,Hardest Hit Area,Effects,Regional Impact,Main Aftershocks,Tectonic Activity,Vulnerability Factors,Magnitude (1st earthquake),Magnitude (2nd earthquake),Intensity (1st earthquake),Intensity (2nd earthquake),Epicenter Coordinates,Response Measures,Distance from San José,Infrastructure Damage,Uplift at Waterfront,Reconstruction Efforts,Displaced,Response,Tsunami Generated,Intensity in Shikotan,Tokyo Intensity,Hokkaido Intensity,Subsidence,Tsunami Run-up Height,Fault Rupture,Felt Intensity,Runup Measurements,GPS Deformation Measurements,Nearby Features,Tectonic Features,Damages,Dates,Mainshock Magnitude,Subsequent Events Magnitudes,Epicenter Locations,Significance,Max Mercalli Intensity,Historical Context,Ground Failure Effects,Casulaties,Plate Interactions,Fault System,Foreshock,Rupture Type,Focal Depth,Fault Duration,Hypocenter Depth,Fault Type,Distance to Major Cities,Maximum Shindo Intensity,Tsunami Runups,Faulting Type,Rise in Sea Levels,Other affected countries,Precautionary measures,Impact on other countries,Intensity Levels,Affected Cities,Population Impact,Aftermath,Magnitudes,Nature of Earthquakes,Tsunami Alert,Convergence of Plates,Future Plate Splitting,Unique Features,1 April,3 April,16 March,Significant Comparisons,"December 9, 2016","December 17, 2016",Magnitude (Mw),Richter Scale,Impact on Mexico City,Tsunami Alerts,Historical Significance,Tectonic Plates,Type of Fault,Geological Impact,Max. Intensity,Characteristics,"July 28, 2021",Coordinates,12 September,13 September,20 September,trigger
"Mw 7.8-7.9, Japan Meteorological Agency: 7.4, Moment Magnitude Scale: 8.1, Tsunami Magnitude Scale: 8.1","June 17, 12:55 local time","Nemuro Peninsula, Hokkaidō, Japan",,"No deaths, 27 injuries reported","Megathrust type earthquake along the subduction zone, subduction rate estimated at 8 cm/yr",,,,,"Mercalli: VIII, JMA: 5",,,,,Estimated at US$5 million,,,,,,,,Some residents killed and injured in the 1894 earthquake along the same section of the subduction zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Observed heights of nearly 3 meters, coastal damage",Pacific Plate subduction beneath the Okhotsk Sea Plate along the Kuril Trench,Average of 72.2 years between large earthquakes along the subduction zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973 Nemuro earthquake
"8.1 Mw, Ms 7.8","October 3, 14:21 UTC","80 km southwest of Lima, Peru",,,,,,,,MM V to IX,,,,,,,,,,,"2,400",,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Two reinforced concrete buildings in La Molina, one in Callao","November 9, 12:59 UTC, Mw 7.1, Ms 7.1",25 km south of main shock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974 Lima earthquake
8.0,,"Near Mindanao and Sulu Islands, Philippines","August 17, 1976","At least 5,000 reported deaths, possibly up to 8,000",,,"Deadliest and strongest earthquake in the Philippines in 58 years, widespread tremors to Visayas, massive tsunami, 700 km of coastline devastated",,,,,"Sulu Archipelago, Southern Mindanao, Zamboanga Peninsula including Zamboanga City and Pagadian City",,,,,,,,"Sulu Trench, Cotabato Trench",,,,,,,,,,,,,"Waves as high as 9 meters, over 5,000 deaths reported",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Moro Gulf earthquake
8.3,"19 August, 14:08 local time","Approximately 290 km south of Bima, Sumbawa, Indian Ocean",,"At least 107 confirmed dead, several dozen missing",,,,,,,,,Extended about 130 km eastward and 110 km westward,,,,,,,,,,,,,,,,,Normal faulting,,,,,,,,,,,,Up to 5.8 meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Up to 1,200 meters","Sumba, Sumbawa, Albany in Australia, Port Hedland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977 Sumba earthquake
"Surface wave magnitude 7.7, JMA magnitude 7.4","12 June, 17:14 local time",,,"28 deaths, 1,325 injuries",,,,,,Maximum Shindo 5 in Sendai,"Offshore of Miyagi Prefecture, Japan",,,Small tsunami triggered,,,,,,"Subduction zone: Japan Trench, Pacific Plate subducting beneath Okhotsk Plate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Two distinct stages of rupture observed, with propagation patterns explained",Earthquakes of similar magnitudes occurred about every 40 years,"Differences confirmed, question on representativeness of characteristic earthquake",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978 Miyagi earthquake
8.2,"12 December, 02:59 local time",,,,"Colombia-Ecuador Trench, Malpelo Plate subducting beneath South American Plate, historical earthquakes along the plate boundary","Near the border between Ecuador and Colombia, offshore from Tumaco",,,IX,,,,,,,,,1979 Tumaco earthquake,,,,,,280 km long by 130 km wide,,,,,,,,,,,,,,,,,Estimated 300-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colombia's Nariño Department,"Subsidence of coast, disrupted river drainage, major tsunami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979 Tumaco earthquake
7.3,,Southeast of San Salvador,19 June 1982,16-43 dead,Adjacent to Middle America Trench with subduction of Cocos Plate beneath Caribbean Plate,,,00:21 local time,VII,,,"San Salvador, Ahuachapán, Concepción de Ataco, Comasagua, San Miguel, San Pedro Nonualco",,,$5 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Felt in Guatemala, Honduras, Nicaragua, Costa Rica; varying intensities in neighboring countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982 El Salvador earthquake
8.0,"19 September, 07:17:50",Greater Mexico City area,,"At least 5,000 deaths","Located along the Middle America Trench, 350 km away from coast",,"412 buildings collapsed, 3,124 seriously damaged, 3-4 billion USD in damage",,IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.5 on 20 September, 7.0 on 30 April 1986",Movement of North American plate against Cocos and Pacific plates,"Surface geology, ancient lake bed, seismic activity in trench",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985 Mexico City earthquake
,,,Thirteen minutes apart,,"Shan Plateau, strike-slip structures, Sagaing Fault, Red River Fault",,,,,,,,,,,At least 939 deaths,,,,,"Over 7,700 injured",,,,,,,,,,,,,,,,,,,,,,US $270 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,7.2,IX,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Lancang–Gengma earthquakes
7.7,,"Luzon, Philippines","July 16, 1990",,,,,4:26pm,,IX,,"Central Luzon, Cordillera region",,,,"1,621",,,,"Philippine Fault, Digdig Fault",,,,,,,,,,,,,,,,,,125 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Near Rizal, Nueva Ecija","Suspension of classes, relief mobilization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990 Luzon earthquake
7.7 Mw,"April 22, 3:57 pm local time",,,"Bocas del Toro, Panama: 79",,"Pandora, Valle La Estrella, Limon, Costa Rica",,,,,,,,,,,,1991 Costa Rica or Limon Earthquake,,,,Bocas del Toro Earthquake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 km southeast,"Destruction of roads, bridges, hotels, and landmarks",1.85 m,"Rebuilt Changuinola-Guabito road, Limon-Sixaola road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991 Limon earthquake
7.8,,"Flores, Indonesia",December 12,"At least 2,500 killed/missing",,,,,VIII,,,,,,Exceeding US$100 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hospital destroyed, buildings destroyed","Inland wave of 300m, 25m wave heights",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,000 homeless","National disaster declared, rescue missions, international relief efforts, government requests assistance from international community",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Flores earthquake and tsunami
7.8,"August 8, 6:34:26 pm local time",,,,,,,,,,,,,,Approximately $250 million inflicted on Guam,,,,,,Up to 71,,,,,,,,,,,,,,,,,,,,,,,,,IX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non-destructive, approximately 6 inches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 Guam earthquake
