Name,Occupation,Nationality,Birthplace,Sentencing,Crime Type,Alias,Number of Victims,Location,Date of Death,Arrest Date,Full Name,Nickname,Period,Circumstances of Death,Age Range of Victims,Accusations,Date of Birth,Significant Events,Victims,Sentence,Parents,Criminal Activities,Location of Death,Education,Date,Charges,Place of Birth,Event,Casualties,Perpetrator,Legal Outcome,Achievements,Modus Operandi,Crime,Legal Status,Details,Family Background,Aliases,Team,Draft History,Nicknames,Residence,Legal Proceedings,Key Details,Arrest Details,Trial Outcome,Accomplice,Personal Life,Family,Date of Conviction,Injuries,Affiliation,Incident Date,Children,Date of Arrest,Birthdate,Military Service,Outcome,Shooter,Terrorist Group,Trial Date,Role,Number of Life Sentences,Specific Attacks,Arrest and Sentencing,Prison Location,Current Status,Legal Issues,Alfredo Galán Sotillo,"This table succinctly presents the essential details about Alfredo Galán Sotillo, summarizing his criminal activities, the number of victims, the timeline, locations, and significant events associated with his capture and confession as the ""Playing Card Killer.""",Son 1,Son 2,Event Trigger,Attack Locations,Legal Consequences,Personal Background,Motivation,Siblings,League,Ponzi Scheme Amount,NASDAQ Position,Guilty Plea Date,Age at Crime,Sentence Length,Parole Eligibility,Current Incarceration Location,Criminal Accomplice,Noteworthy Events,Motive,Global Impact,Estimated Worth of Scheme,Duration of Scheme,Influential Connections,Number of Clients,Connection to Military,Nature of Scheme,High-Profile Investors,Actual Duration of Imprisonment,Capture Details,Notable Remarks,Number of Counts,Specific Details,Political Career,Notable Roles,Language Skills,Conviction,Prior Convictions,Psychological Profile,Childhood,Crimes Committed,Key Events,Supporters,Event Date,Type of Incident,Perpetrators,School Information,Victim Demographics,Weapon Used,Involvement of Other Students,Trials and Convictions,Events,Criminal History,First Wife,Notable Events,Number of Confirmed Murders,Methods of Killing,Current Team,Teams Played For,Debut Date,Loan Deal Date,Key Incidents,Notable Works,Awards,Crimes Commiited,Date of Capture,Characteristics,Methods,Observations,Release Date,Significant Legal Events,Role in Attack,Verdict,Rally Description,Convictions,Date of Sentencing,Latest Charge,Career Highlights,Trials,Country Moves,Number of Hostages,Duration of Hostage Crisis,Gunmen,Gunmen Background,Circumstances of Arrest,Contempt for Women,Sexual Abuse in Childhood,Criminal Record History,Murder Investigation Details,Mark Goudeau,Location of Imprisonment,Background Information,Olympics Participated,Criminal Activity,Time Period,Method of Inspiration,Prosecution Details,Significant Details,Important Dates,Murders,Unique Childhood Situation,Spouse,Civic Posts,Notable Achievements,Victim,Abductor,Captivity Duration,Captivity Location,Perpetrator's Wife,Additional Details,Research Interests,Key Contributions,Age at Death,Cause of Death,Conviction 1,Conviction 2,Current Location,Employment,Counties of Crimes,Conviction Counts,Position,Teams,Positions held,Date of Incident,Criminal Convictions,,Incarceration Location,Co-conspirator,Co-inmates,Accomplishments,Foundation of LTTE,Death Date,trigger
Bernard Lawrence Madoff,"Financier, Fraudster",,,Lengthy imprisonment,,Bernie,,,,"December 11, 2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$64.8 billion,Chairman,"March 12, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernard Madoff
Bobby Bostic,,,"St Louis, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,241 years,Eligible at 112,Algoa Correctional Center,Donald Hutson (co-accused),"Supreme Court appeal, release date in November 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobby Bostic
,,Australian,,,,,,"Christchurch, New Zealand",,,,,,,,,,,,,,,,,15 March 2019,,,Christchurch Shootings,"51 dead, 40 injured",Brenton Harrison Tarrant,,,,,,,,,,,,,"Pleaded guilty to 51 murders, 40 attempted murders, and terrorism, sentenced to life without parole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"White supremacy, alt-right extremism","Increased focus on white supremacy and alt-right extremism globally, significant condemnation and government response in NZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brenton Tarrant
,,,,,,,8 (7 fatal),"Xerox Corporation, Honolulu, Hawaii",,,,,,,,,,,,,,,,,"November 2, 1999",,,Honolulu Shootings,,Byran Koji Uyesugi,,,,,,,,,,,,,,"A mass shooting committed by Uyesugi resulted in 8 victims, killing 7 at a Xerox building, leading to a standoff and eventual surrender to the police.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Byran Uyesugi
,Former employee of Petroleum Authority of Thailand,,,"Lifetime imprisonment or 141,078 years",,,"16,231",,,,Chamoy Thipayaso,,,,,,,,,,,"Pyramid scheme defrauding over 16,000 Thais",,,,,,,,,,,,,,,,,,,,,,,"Secretly held by air force, trial delayed",Convicted of corporate fraud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$200-301 million estimated worth,Late 1960s to mid-1980s,Air Force and Petroleum Authority,"16,231",Military backing,Chit fund with high returns,Politically powerful investors,About 8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chamoy Thipyaso
Chester Arthur Stiles,,American,,21 life sentences with possibility of parole in 140 years,"Child sexual abuse, rape",,At least 2,"Pahrump, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nationwide manhunt, captured in Henderson, Nevada",Claimed innocence and lack of remorse in court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chester Stiles
Christopher Mhlengwa Zikode,,South African,,Sentenced to 140 years in prison on 7 January 1997,"Serial killer, rapist",,,"Donnybrook, KwaZulu-Natal",,29 September 1995,,,Two-year period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8 counts of murder, 5 counts of rape, 5 counts of attempted murder, 2 counts of indecent assault",Responsible for at least 18 murders and 11 attempted murders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Mhlengwa Zikode
,"Politician, Lawyer",,"Pittsylvania County, Virginia",,,,,,11 February 1879,,Christopher Yancy Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- Confederate Virginia Senate (1860-1864),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Thomas
Colin Ferguson,"Actor, Director, Producer",Canadian-American,,,,,,,,,,,,,,,,,,,,,,"Appleby College, McGill University",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sheriff Jack Carter in Eureka, Maytag Man, Lewis on Then Came You",Bilingual in French and English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colin Ferguson
Colton Simpson,Former Crip,,,126 years in prison,,,,,,March 2003,,,,,,,,Arrested after jewel robbery in 2003; convicted in 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Attempted Murder,"Robbery, Attempted Murder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colton Simpson
Cristina Soledad Sánchez Esquivel,,Mexican,,,Serial killer,,5-6,,,,,La Matataxistas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarón Herrera Hernández,"Mother of 6, loving and caring according to neighbors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anti-social, tendency to sadism","Born into poverty, multiple abuse incidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristina Soledad S谩nchez Esquivel
César Armando Librado Legorreta,,Mexican,,,"Serial killer, Rapist",El Coqueta,At least 6,Greater Mexico City Area,,"February 26, 2012",,,July 2011 to January 2012,,17 to 34 years old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C茅sar Armando Librado Legorreta
Daniel Ken Holtzclaw,Police officer,,Guam,263 years in prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eric Holtzclaw (father), Kumiko Holtzclaw (mother)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Multiple counts of rape, sexual battery, forcible oral sodomy, sexual offenses while with the police department","Convicted on 18 of 36 charges, denied appeal, supported by Jason Flom, Michelle Malkin","Jason Flom, Michelle Malkin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Holtzclaw
David Parker Ray,"Kidnapper, Torturer, Rapist, Suspected Serial Killer",,"Elephant Butte, New Mexico",,,Toy-Box Killer,,,One year after convictions,,,,,,,"Kidnapping, Torture, Suspected Murder of up to 60 women",,,,,,,"N/A, died of a heart attack",,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Parker Ray
Dennis Lynn Rader,Serial killer,American,Kansas,Ten consecutive life sentences,"Murder, torture",BTK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dennis Rader
,,,,,,,,"Highlands Ranch, Douglas County, Colorado",,,,,,,,,,,,,,,,,,,,,"1 student killed, 8 injured",,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May 7, 2019",School shooting,"Two teenagers, both school students","K-12 charter school with approximately 1,850 students",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Devon Erickson
Dwight D. York,Founder of black Muslim groups,,,,,,,"Brooklyn, New York, Putnam County, Georgia",,,,,,,,,,,,,,"Convicted child molester, RICO violations",,,,,,,,,,,,,Serving 135-year sentence,,,"Malachi Z. York, Issa al-Haadi al-Mahdi, et alii",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwight York
Dylann Storm Roof,,American,,"Death penalty in federal court, life in state court","Mass murder, Domestic terrorism",N/A,,"Charleston, South Carolina",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convicted on 33 federal charges and state charges,,,,,,White supremacist,"June 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nine African Americans killed, one injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dylann Roof
,,,,,,,,"Bethel, Alaska",,,,,,,,,,,"Two killed, two wounded",,,,,,"February 19, 1997",,,Bethel Regional High School,,Evan Ramsey,,,,,,,,,,,,,,"Ramsey serving two 99-year prison sentences, eligible for parole in 2066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mossberg 500 12-gauge shotgun,Two students assisted Ramsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Evan Ramsey
Eyad Ismoil,Participant,Jordanian,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993 World Trade Center bombing conspiracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Convicted in the United States in 1997,Extradited to the United States in 1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyad Ismoil
Fanuel Makamu,"Robber, rapist, serial killer",South African,,,"Robbery, Murder, Rape",,,"Streets, Water pump station in Cottondale, Magwagwaza High School in Mhala",,"September 14, 2000",,The Mpumalanga Serial Rapist,February to September 2000,,,,,,"Multiple women, nearby witnesses",,,,,,,,,,,,,,,,Sentenced to 165 years' imprisonment,,,,,,,,,,,,Henry Maile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fanuel Makamu
,,,"Yauco, Puerto Rico",,,Toño Bicicleta,,,1985,,Francisco Antonio García López,,,Stabbed in the neck and arm by inmates,,,,,,,Esteban García Medina and Antonia López Vargas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Francisco Antonio, María Milagros, Carmen Dolores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Murdered his wife Gloria Soto with a machete in 1968, sentenced to 185 years in prison, escaped multiple times",Antonia Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco Antonio Garc铆a L贸pez
Francisco das Chagas Rodrigues de Brito,Former miner and mechanic,,,,,,,"Maranhão, Brazil",,,,,,,,"Responsible for multiple child homicides, abuse of corpses",,,,,,,,,,,,,,,,,,,,Prolific serial killer who emasculated victims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco das Chagas Rodrigues de Brito
Francisco de Assis Pereira,Brazilian serial killer,,São Paulo,,,O Maníaco do Parque,,,,,,,,,,,,,,,,"Raped and murdered 11 women, assaulted nine others in São Paulo park",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Born on November 29, 1967, history of childhood trauma and prior violent incidents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francisco de Assis Pereira
Gary Leon Ridgway,Serial killer,,,Life imprisonment without parole,,Green River Killer,,,,"November 30, 2001",,,,,,,"February 18, 1949",,,,,,,,,,"Salt Lake City, Utah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,Strangulation by hand or ligatures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Ridgway
