Date,Location,Casualties,Injuries,Event,Possible Causes,Impact,Number of Casualties,Historical Context,Cause of Fire,Nature of Explosion,Federal Investigation,Individuals Convicted,Illegal Operation,Possible Cause,Cause of Explosion,Countries Involved,People Involved,Violations,Charges,Building Details,Consequences,Survivors,Historical Background,Aftermath,Individuals Involved,Contributing Factors,Lack of Safety Precautions,Background,Possible Cause of Fire,Significant Points,Lack of Permission,Number of Pilgrims Present,Capacity Violation,Lack of Safety Measures,Pyrotechnic Ignition,Flammable Materials,Entities Involved,Impact on Victims and Survivors,People Present,Victims,trigger
"December 31, 2007","Barangay Turo, Bocaue, Bulacan",,,,,"Ten fireworks stores burned, causing explosions and traffic jams",,"Bocaue known as the ""Fireworks Capital of the Philippines."" Previous incidents in 1988 and 2004.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December 2007 Bocaue fire
"May 13, 2000","Enschede, Netherlands",23 deaths,"Nearly 1,000",Enschede fireworks disaster,,"400 homes destroyed, 1,500 buildings damaged",,,,,,,,Fire at fireworks depot,,,,,,,,,,,,,,,,,,,,,,,,,,,Enschede fireworks disaster
"February 1, 2008","Davutpaşa, Istanbul","17-22 dead, 40-100 injured",Not specified,,,,,,,Accidental explosion at illegal fireworks factory,,,,,,,,,,,,,,,,,,Multistory workshop complex shared with other manufacturers,,,,,,,,,,,,,Istanbul fireworks explosion
"January 27, 2013","Santa Maria, Rio Grande do Sul, Brazil","245 killed, 630 injured","Smoke inhalation, stampede, lack of emergency exits",Kiss nightclub fire,Pyrotechnic device ignited in a band performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiss nightclub fire
"December 5, 2009","Perm, Russia",156 died,Up to 160 injured,Lame Horse fire,,,,,,,,,,,,,,,,,,,,,,,,,"Sparks from pyrotechnics, low ceiling ignition","Event occurred during nightclub's anniversary celebration, multiple fatalities, nightclub structure contributed to rapid spread of fire",,,,,,,,,,,Lame Horse fire
"December 29, 2001","Lima, Peru","291 killed, 134 injured","Fireworks mishap, chain reaction",Mesa Redonda fire,"Area declared emergency zone, wooden structures, holiday sales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mesa Redonda fire
"December 12, 1988","La Merced Market, Mexico City",,,,,"Fires spread to buildings, stalls; sale and use made illegal","Over 60 killed, 83 injured",Previous lax regulation and bribery issues,,,,,,,Initial explosion from gas cylinder of street food vendor,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico City fireworks disaster
"April 10, 2016","Paravur, Kollam, Kerala, India",111 killed,350+ with severe burns,Puttingal Temple Fire,,,,,,,,,,Sparks from firecracker igniting stored fireworks,,,,,,,,,,,,,,,,,Not permitted by Kerala government,"approximately 15,000",,,,,,,,,Puttingal temple fire
"December 30, 2004","Buenos Aires, Argentina","194 killed, 1,492 injured","Locks on doors, exits blocked, no fire safety equipment",República Cromañón nightclub fire,"Overcrowding, flammable decoration materials, pyrotechnic flare ignition",,,,,,,,,,,,,,,,,,,,,,,,,,,,Exceeded capacity,"Missing fire detection system, no emergency lighting, expired fire safety license",Flare ignited foam in ceiling,"Wood, styrofoam, plastic net, teddy bear stuffing",,,,,Rep煤blica Croma帽贸n nightclub fire
"January 1, 2009","Bangkok, Thailand","66 killed, 222 injured","Smoke inhalation, burns, stampede",Santika Club fire,"Fireworks, sparklers, electrical explosion",,,,,,,,,,,Citizens of thirteen countries,,,,,,,,,,,,,,,,,,,,,,,,,Santika Club fire
"November 3, 2004","Seest, Denmark","1 firefighter died, 7 rescue team, 17 locals injured","34 rescuers, 8 police officers, 27 emergency agency smoke inhalation",,Accidental ignition of fireworks,"2,000 people evacuated, 355 houses damaged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N. P. Johnsens Fyrværkerifabrik, Danish Emergency Management Agency, police",,,,Seest fireworks disaster
"September 5, 2012","Sivakasi, India","40 killed, 70+ injured","Fireworks production, lack of license and safety violations, worker pressure",Sivakasi factory explosion,"Sivakasi is India's ""fireworks capital,"" production stats, factory license violations, political and external pressures, explosive materials mixing, temperature factors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivakasi factory explosion
"October 26, 2017","Tangerang, Indonesia","49 killed, several missing",46,Tangerang fireworks disaster,"Accidental ignition, welding sparks",,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,Tangerang fireworks disaster
"February 20, 2003","West Warwick, Rhode Island",,230,,,,100 killed,,Pyrotechnics ignited flammable foam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"230 injured, 132 escaped uninjured, many survivors developed PTSD",,,The Station nightclub fire
"January 1, 2001","Volendam, Netherlands",14 deaths,"241 admitted to hospital, 200 serious burns",Volendam New Year's fire,,,,,Sparkler hitting Christmas decorations,,,,,,,,350 young people aged 13-22,"Inadequate emergency exits, bars on windows","Negligence, safety violations",,,,,,,,,,,,,,,,,,,,,,Volendam New Year's fire
"September 21, 2008","Shenzhen, China",43 deaths,88,,,,,,Pyrotechnics stunt,,,,,,,,,"No building license, building code violations","Negligence, safety rule violation, harboring criminals",,,,,,,,,,,,,,,,,,,,308,"5 from Hong Kong, 40-year-old man, 4 18-year-olds",Wuwang Club fire
