Affected Regions,Start Date,End Date,Date,Snowfall Amount,Snowfall Amounts,Fatalities,Noteworthy Phenomena,Casualties,Damages,Storm Category,Impact,Unique Characteristics,Storm Development,States of Emergency,Storm Path,Development,Peak Wind Gusts,Snowfall,Dates,Notable Impacts,Wind Speeds,Total Snowfall,Duration,Airport Closure,Public Transit Issues,Response Failure,Location,Cause,Weather Conditions,Precipitation Types,Power Outages,Reported Tornadoes,Storm-related Deaths,Exacerbating Factors,Transportation Impact,Primary Name,Major Cities Impacted,Rare Phenomenon,Synoptic Factors,Causes,Severe Weather Produced,Reported Fatalities,Precipitation Variations,Storm Origin,Blocking High Pressure,Rainfall Severity,Snowfall Disparities,Event,Storm Type,Comparison,Gust Speeds,Lowest Pressure Recorded,Snow Levels,Development Process,Types of Severe Weather,Origin,Unique Features,Path,Maximum Sustained Winds,Wind Gusts,Lowest Pressure,Notable Phenomena,Events,Significance,Flight Cancellations,National Guard,Travel Ban,Significant Phenomena,Deaths,Reasons for Impact,Noteworthy Impacts,Record Low Temperatures,Major Impacts,NWS Rating,Record Snowfall,Causal Factors,"By extracting this information, the significant details of the Blizzard of 2003 are summarized, including its impact on major cities, causal factors contributing to the severity of the storm, and the path it took during development.",Impact on Transport,School Closure,International Reach,Reasons for Low Casualties,trigger
"Mid-Atlantic, New England","February 24, 2010","February 26, 2010",,,"12 to 24 inches spread over interior New England, New York, and Pennsylvania",,,,,,,,,,,,,,,,Hurricane-force sustained winds in coastal New England,,,,,,,,,,,,,,,,,,,,,,4 inches of rainfall in coastal New England,"Complex combination of systems, including upper air low from Plains and surface low from Gulf Coast",High pressure over Canadian Maritime provinces impacted storm's track,Widespread rainfall totals above 2 inches in Connecticut,Snowfall amounts varied from less than an inch in the east to 19 inches in western parts of Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 25–27, 2010 North American blizzard"
"Northeastern United States, North Mexico, California, Southwestern, Midwestern, Southeastern, Mid-Atlantic states",,,"February 5–6, 2010",,"20-35 inches in southern Pennsylvania, Eastern Panhandle of West Virginia, northern Virginia, Washington, D.C., Maryland, Delaware, southern New Jersey","Deaths reported in Mexico, New Mexico, Virginia, Pennsylvania, Maryland","Air and interstate highway travel brought to a halt, rail service suspended, widespread blizzard conditions across the Mid-Atlantic region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 5–6, 2010 North American blizzard"
"Midwest, Mid-Atlantic, New England",,,"February 9–11, 2010",,10 to 20 inches,,,,,,,,,,Canada → Southeast → Northeast → Eye → New Jersey Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February Blizzard,Alberta Clipper,Category 1 Hurricane,58 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"February 9–10, 2010 North American blizzard"
"Ohio Valley, Great Lakes regions, Southern Ontario","January 25, 1978","January 27, 1978",,,,,,,,,,,,,,,,,,"Cited as one of the most severe blizzards in US history, categorize as a severe blizzard with whiteouts and zero visibility, significant snowfall amounts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"956.0 mb at Mount Clemens, Michigan","Up to 40 inches of snow in Illinois, Indiana, Kentucky, Michigan, Ohio, Southeastern Wisconsin","Gulf Low merged with another low-pressure system, explosive cyclogenesis, rapid northward movement",,,,,,,,,,,,,,,,,,,,,,,,,,,,Great Blizzard of 1978
"Central U.S., Southeast U.S., Midwest","January 9, 1975","January 12, 1975",,,,"12 in the Southeast U.S., 58 in the Midwest",,,,,,,,,,"Crashed into the Northwest Pacific coast, redeveloped, strengthened",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tornadoes, Snowfall","Pacific Ocean, Northwest Pacific coast","Intense blizzard, large January tornado outbreak, Panhandle Hook",Moved from Colorado into Oklahoma before turning northward,,,,,,,,,,,,,,,,,,,,,,,,Great Storm of 1975
"Northeastern United States, southeastern Canada",,,"February 2, 1976",,,,,"No reported deaths during the flash flood in Bangor, Maine","Extensive damage, tree fallings, car submerges, office worker stranded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164 kilometers per hour in coastal areas,Up to 188 kilometers per hour,957.3 hectopascals,"Blizzard conditions, coastal flooding, flash flood in Bangor, Maine",,,,,,,,,,,,,,,,,,,,Groundhog Day gale of 1976
"Central Virginia, North Carolina, Atlantic Seaboard",,,"January 21-25, 2000","11 inches in Richmond, VA; 20.3 inches in Raleigh-Durham International Airport",,,,,,,,,,,"Northwards from Northern Great Lakes to lapping the coast near Hatteras, North Carolina, moving northeastward towards New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thousands of power outages, formation due to collision of low-pressure systems, rapid intensification along the Atlantic Seaboard",,,,,,,,,,,,,,,,,,,January 2000 North American blizzard
"Mid-Atlantic, Northeastern United States",,,"January 22–24, 2016",Up to 3 ft of snow in some areas,,,,,,,,,,11 states and Washington D.C. declared states of emergency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Described as potentially historic, could paralyze a large part of the eastern US","Over 13,000 flights cancelled",Thousands of National Guardsmen were on standby,"New York City and Newark, New Jersey had travel bans in place from January 23–24",,,,,,,,,,,,,,,January 2016 North American blizzard
United States and Canada from New Mexico and northern Texas to New England and Eastern Canada,"January 31, 2011","February 2, 2011",,,- Chicago area: 21.2 inches<br>- Northern and Western Illinois: 20 to 28 inches,,,,"Numerous power outages, flight cancellations, road closures, roof collapses, rail and bus cancellations",,,,,,,,,,,,Over 60 mph in Chicago area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blizzard conditions affecting various large cities, including Tulsa, Oklahoma City, Kansas City, New York City",,,,,,,,,,,,,,"January 31 – February 2, 2011 North American blizzard"
"Northeastern US, Eastern Canada","March 12, 2010","March 16, 2010",,,,,,,,,"Over 10 inches of rain, flooding, power outages","Lack of cold air, precipitation mostly rain","Low pressure moved from Texas to Great Lakes, secondary low near Cape Cod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least nine,,,,,,,,,,,,,March 2010 nor'easter
"United States East Coast, particularly Virginia","January 6, 1996","January 8, 1996",,"Up to 4 feet in wind-driven snow, record-breaking 23 inches in Roanoke, 37 inches in Page County, three feet in Shenandoah Valley",,,,,,"Top rating of 5, or ""Extreme"", on Northeast Snowfall Impact Scale",,,,,,"Classic nor'easter storm, followed by Alberta Clipper and warm weather, historic significance due to arctic high pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presence of arctic high pressure system, direct hit by an Alberta Clipper followed by warm weather and rain causing rapid melting and flooding","State of emergency declared, power outages, trapped individuals, at least eight weather-related deaths, whiteout conditions, 10-foot drifts in Patrick County",,,,,,,,,,,North American blizzard of 1996
"Iowa, Wisconsin, Illinois, Indiana, Michigan, Ohio, southern Ontario, southern Quebec","January 2, 1999","January 4, 1999",,"Up to 60 centimetres in many areas, 21.6 inches in Chicago, 22 inches in total, 12 inches in Ontario, 18-22 inches in Chicago and northern suburbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Measured in many towns following the storm, values of -20°F or lower in parts of Illinois and surrounding states","Severe disruptions to travel, cities of Chicago and Toronto paralyzed, significant ice storm in western New York, power failures reported","Second worst blizzard in 20th century for Chicago by NWS, after the Blizzard of 1967",,,,,,,,North American blizzard of 1999
East Coast of the United States and Canada,,,"February 14-19, 2003","15-30 inches in major cities, up to 28.2 inches in Baltimore and 27.5 inches in Boston",,,,,,,,,,,"Developed in southern Rockies, moved through southern Missouri and the Lower Tennessee Valley, affecting the Midwest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baltimore and Boston recorded their largest snowstorms ever,"Favorable atmospheric conditions, cyclogenesis off coastal Carolinas, cold air advection from eastern Canada","By extracting this information, the significant details of the Blizzard of 2003 are summarized, including its impact on major cities, causal factors contributing to the severity of the storm, and the path it took during development.",,,,,North American blizzard of 2003
"Northern United States, particularly southeastern Massachusetts, Boston, Philadelphia, New York City, Great Lakes region, Mid-Atlantic, Great Britain, Ireland, Scandinavian peninsula","January 20, 2005","January 22, 2005",,"Over 3 feet in southeastern Massachusetts, 12-15 inches in Boston, Philadelphia, and New York City",,,,,,Significant impact with occasional blizzard conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shut down airports in Boston and Rhode Island, impaired travel in Massachusetts","Practically all schools in Metrowest and South East regions closed, Cape Cod schools closed for up to a week","Hit parts of Great Britain, Ireland, Scandinavian peninsula, causing widespread blackouts and a small number of deaths",,North American blizzard of 2005
"Mid-Atlantic, New England, Atlantic Canada","February 11, 2006","February 13, 2006",,"At least a foot in major cities, 26.9 inches in New York City",,,,,,Low-end Category 3 on Northeast Snowfall Impact Scale,,,,,,"Began as a minor system on February 11, rapid intensification on February 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fell on a Sunday, small geographic area of heavy snowfall, dry and light snow composition",North American blizzard of 2006
"Southern and eastern North America, Ohio Valley, southern Quebec","March 6, 2008","March 10, 2008",,Up to half a meter in some areas; significant snow in major cities,,At least 17 deaths across the US and Canada,"Tornadoes, locally significant damage, heavy rain, damaging winds",,,Major winter storm event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North American blizzard of 2008
"New England, New Jersey, Pennsylvania, New York","February 5, 1978","February 7, 1978",,,"Boston: 27.1 inches, Providence: 27.6 inches, Philadelphia: 16.0 inches",,,"About 100 killed, 4,500 injured",Over $520 million,,,"Intense storm, large low-pressure system, new moon causing high tide, massive storm surge, broken sea walls, power outages",Formed from an extratropical cyclone off the coast of South Carolina merging with an Arctic cold front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeastern United States blizzard of 1978
