Date,Casualties,Location,Perpetrators,Claimed Responsibility,Locations,Method,Retaliation,Government Accusations,Government Response,Perpetrator,Event Name,Type of Attack,Attack Method,13/07/2018,Response,Mastermind,Perpetrator/Mastermind,Time,Sufi Order,Tribe,Global Condemnation,Government Forces Involvement,Planned Follow-up Attacks,Motivation,Background,Attack Details,Outcome,31 January 2016,21 February 2016,Attack Methods,trigger
11/12/2018,"5 killed, 11 wounded","Strasbourg, France",,,,,,,French police killed Chekatt after manhunt. Authorities called it an act of terrorism.,Chérif Chekatt,,,,,,,,,,,,,,,,,,,,,2018 Strasbourg attack
21 April 2019,"269 killed, 500 injured",,National Thowheeth Jama'ath group,,"Three churches, three hotels in Colombo, other locations",,,,Government raids stopped second wave of attacks,,,,,,,,,,,,,,Yes,Possible retaliation for Christchurch shootings,,,,,,,2019 Sri Lanka Easter bombings
2 November 2020,"4 civilians killed, 23 others injured (7 critically)",,ISIL sympathizer,,"Vienna, Austria: Seitenstettengasse, Morzinplatz, Salzgries, Fleischmarkt, Bauernmarkt, Graben",,Attacker shot dead by police,Incident of Islamist terrorism,,,2020 Vienna attack,,,,,,,,,,,,,,,,,,,,2020 Vienna attack
26 August 2021,183 killed (including 170 Afghan civilians and 13 US military members),"Hamid Karzai International Airport, Kabul, Afghanistan",Islamic State – Khorasan Province,Islamic State – Khorasan Province,,,"US conducted airstrike against suspected IS-KP members, causing civilian casualties",,,,,,,,,,,,,,,,,,,,,,,,2021 Kabul airport attack
4-6 Jan 2022,Over 200 killed,"Zamfara State, Nigeria",,,,,,,"Government airstrikes, designation as terrorists",,,,,,,,,,,,,,,,Deadliest terrorist attack in recent Nigerian history,"Bandit conflict, linked to Boko Haram insurgency, farmer-herder conflicts","Military interception, massacre ended",,,,2022 Zamfara massacres
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ISIL,ISIL,,February 2016 Sayyidah Zaynab bombings
11 January 2016,"132 killed, at least 19 injured",,Islamic State of Iraq and the Levant,Islamic State,"Baghdad and Miqdadiyah, Iraq","Car bomb, suicide bombing",,,,,,,,,,,,,,,,,,,,,,,,,January 2016 Iraq attacks
22/05/2017,"23 dead, 1,017 injured",Manchester Arena,,,,Suicide bombing,,,,Salman Ramadan Abedi,,,,,,,,,,,,,,,,,,,,,Manchester Arena bombing
17 May 2016,"101 dead, 194 injured",,Islamic State of Iraq and the Levant,,"Sha'ab, Sadr City, al-Rashid, Dora, Habibiya, al-Rashid, Taji, al-Amin",,,,,,,,,,,,,,,,,,,,,,,,,"Suicide bombings, car bombs",May 2016 Baghdad bombings
23 May 2016,"184 killed, 200 injured",,Islamic State of Iraq and the Levant,,"Jableh and Tartus, Syria",,None reported,"Accused Qatar, Saudi Arabia, Turkey",,,,Bombings,,,,,,,,,,,,,,,,,,,May 2016 Jableh and Tartous bombings
31/05/2017,"150+ killed, 413+ injured","Kabul, Afghanistan","Haqqani Network, Afghan Taliban",,,Truck bomb explosion,None mentioned,None specified,,,,,,,,,,,,,,,,,,,,,,,May 2017 Kabul attack
24/11/2016,"At least 125 killed, many injured",Hillah,,ISIL,,Suicide truck bomb,,,,,,,,,,,,,,,,,,,,,,,,,November 2016 Hillah suicide truck bombing
