Duration,Outcome,Start Date,End Date,Military Force,Key Events,Event Trigger,Casualties,Date,Purpose,Outcomes,Countries,Reason for Occupation,Background,Significant Events,Signatories,Territory,Territories Occupied,Timeline,Major Operations,Airstrikes,Objective,Consequences,Reason,Second phase,Third phase,Fourth phase,Second phase 1977–1982,Third phase 1982–1984,Fourth phase 1984–1990,Coalition,Total Casualties,Initial Support for Czechoslovak Legion,Support for White forces,End of Interventions,Administration Divided,Major Events,Division,Recognition,Treaty,Zones,Conference Ratification,Territory Changes,Future Implications,Participating Countries,Strategic Significance,Involved Countries,Reasons,Occupying Forces,Division of Serbia,Governing Structure,Harsh Measures,Event,Parties involved,Areas Under Occupation,Measures of Repression,Involved Parties,Opening Months of War,1915 Progress,1916 Offensives,Kingdom of Romania Entry,Theatre of Conflict,Belligerent Powers,Context,Nullification,Administrative Division,Economic Impact,Political Repression,Resistance Movements,Client State,Civilian Casualties,Establishment,Ethnic Impact,Soviet Liberation,Impact on Population,Areas Behind Western Front,US Guarantee of Greenland,Greenland's Self-Ruling,US Coast Guard's Role,Taiwan placed under Republic of China governance,Declaration of martial law in Taiwan,ROC government retreats to Taiwan,Taipei declared temporary capital of ROC,UN expels ROC and replaces with PRC,Martial law lifted in Taiwan,First direct presidential election in Taiwan,Democratic Progressive Party comes to power,Key Military Figures,Key Political Figures,Indian Armed Forces,Pakistani Armed Forces,Indian Casualties,Pakistani Casualties,Conflicting Claims,Countries Involved,Support,Major Insurgent Attacks,Key Outcome,Strategic Importance,Motivation for Invasion,Military Forces,Timeline of Main Events,Agreement between France and Japan,Territorial Occupation by Japan,Strategic Goals of Japan,Iraqi invasion of Kuwait,Coalition intervention,Naval operations,Air campaign,Liberation of Kuwait,Post-ceasefire,Geography,British Strategy,Blockade Purpose,Raeder's Proposal,Codename,International Response,Treaty Establishment,Baltic coast,Northern Front,Southern Front,Asia-Pacific,Mediterranean and Middle East,Other campaigns,Coups,Military invasion of the Netherlands or predecessors,"In the case of military invasions of the Netherlands or its predecessor states, the key information to extract includes the event trigger that led to the invasion, the outcome of the invasion, and the military force involved in carrying out the invasion. The specifics of each invasion would vary based on the historical context, including the period, the countries or entities involved, and the objectives of the invading forces. This information provides a snapshot of the military history of the region and the impact of external interventions on the Netherlands.",Italian Declaration of War,French Announcement of Armistice with Germany,Italian General Offensive,Armistice Signing with Italy,Territories,Commencement,Locations,Completion,Excluded Territories,Impact of Liberation of Paris,Declaration as Independent Nation,Japanese Presence until end of war,Battle,Surrender,Hardships,Japanization Policy,Impact on Local Population,Military Objective,British Garrison,Japanese Invasion Force Units and Ships,Date of Port Blair's Occupation,Resistance from British Garrison,Fate of British Officers and Prisoners,Formal Annexation Date,Territory Involved,Events Leading Up to Annexation,International Recognition,Population Implications,Involved Forces,Objectives,Celebrated by,Hitler's claim,Start of war,Annexation,Additional demands,Meeting location,North Vietnamese/Pathet Lao Victory,Air Operations,Naval Operations,American Intervention,Tet Offensive,Vietnamization,Post-Paris Peace Accords,Spring 1975,UK,France,Italy,Sudetenland,Bohemia & Moravia,Zaolzie,Carpathian Ruthenia,Axis Forces Involved,Leading Country,Supervising Entity,Total Allied Soldiers,Overseer Generals,Soviet Union Influence,Emperor's Role,Reforms,Constitution Replacement,Military Limitation,Roman Occupation,Burgundian Occupation,Spanish Occupation,French Occupation,Authority,Impact on Ethnic Relations,High Commissioner,Projects,End of Occupation,Greco-Turkish War,Treaty of Lausanne,---------------------------------,Date of Invasion,Claimant,Previous Sovereignty,Military Forces Involved,Administering Authority,Dissolution of Government,Recognition by Arab League,Administration,US Role,Ukrainian State,Governorate of Subcarpathia,Soviet Occupation in World War II,Republic of Crimea and Sevastopol Occupation,Donetsk and Luhansk People's Republic Occupation,Start,Trigger,Players Involved,Frontline Strength,Other Casualties,Phases,Motivation,Operation Name,Main Objective,Approval Date,Other Military Forces,Accusations,------------------------------,South African incursion into Angola (Operation Savannah),Regions,Parties Involved,Red Army invasion,Dissolution of ADR,Creation of AzSSR,Establishment of AzCP,Commissar's note,Formation of alliance,Population Demographics,Historical Background,Establishment as Protectorate,Reintegration into Germany,Industrial Importance,Historical Context,Control by League of Nations,Post-World War II Protectorate,Policy of Industrial Disarmament,French Control,Return to West Germany,Participants,Major Encounters,Significance,Insurgency,Forces Involved,Disputed Numbers,Year,Supporting Forces,Protagonist Commander,Opposition Commander,Soviet Brigades,Notable Tactics,Opposition Faction Defection,Supporting Government Approval,Collaboration,Territories Annexed,Total Area,Total Population,Ultimatum by Soviet Union to Romania,Romanian Government Response,Annexation Process,Involvement of Nazi Germany,International Legal Perspective,Territory Occupied,Significant Outcome,Baltic Offensive,Siege of Leningrad,Tartu Offensive,Transbaikal Front,1st Far Eastern Front,2nd Far Eastern Front,Kwangtung Army,Fifth Area Army,Asia-Pacific region,Agreements/Treaties,Location,Troop Deployment,Coordination,Initial Deployment,Actions Taken,Phase 1: February Revolution,Phase 2: Strengthening,Phase 3: War Continuation,Insurgent Attacks,Massacres,Other,Main Events,Key Factors,trigger
,Victory,,,Indian Armed Forces,,Annexation of Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Goa
,Victory,,,500 paratroopers,,Indian government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Hyderabad
,Occupation by Indian/Maldivian government,,,500 paratroopers,,Junagadh accession to Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Junagadh
,Tibet under control of People's Republic of China,,,-,,Tibetan Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annexation of Tibet
,Annexation of Austria into Nazi Germany,,,,,,,12 March 1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germany, Austria","Desire for unification, Nazi ""Heim ins Reich"" concept, undermining of Austrian government",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anschluss
Late 1915 - End of World War I,,October 1915,End of World War I,,"Three unsuccessful offensives, combined offensive, occupation by Central Powers, division into two zones, harsh measures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austro-Hungarian and German armies,Two zones - one Bulgarian and one Austro-Hungarian,Military General Governorate with military governor and civil commissioner,"Denationalization, military legal system, deportation to internment camps",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austro-Hungarian occupation of Serbia
1942-1945,,"December 8, 1941",Surrender of Japan,,"Initial attack, Bataan Death March, MacArthur's return, Leyte landings",,"Around 500,000 Filipinos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of Timor
10–22 December 1975,Mauritania controlled the southern half of Western Sahara by the end of 1975.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battles of La Güera and Tichla,"Mauritanian Army, Polisario Front, Royal Moroccan Army",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battles of La G眉era and Tichla
,"Prevent German invasion, later liberated",,,"British troops, Royal Navy, Royal Air Force",,British occupation of Faroe Islands during WWII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British occupation of the Faroe Islands
Autumn 1915 - late September 1918,,,Late September 1918,,,,,,,,,"Serbian defeat, division of Serbia into Bulgarian and Austro-Hungarian zones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southern and Eastern Serbia, Kosovo, North Macedonia","Mass internment, forced labor, Bulgarisation policy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulgarian occupation of Serbia (World War I)
1941-1944,"Finland regained territories, alliance with Germany for self-defence, conflict part of World War II",,,,,,,,,,,,"Followed the Winter War, Finland invaded to regain lost territory, supported by Germany","Joint planning between Wehrmacht and Finnish leaders, regaining Karelian territories, German invasion of the Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Finland, Nazi Germany, Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuation War
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attempted invasion of Eastern Prussia by the Russian Empire, initial success but beaten back by the Germans. Successful invasion of Galicia.","German and Austro-Hungarian advances, Russians suffer heavy casualties in Galicia and Polish fronts, forced to retreat. Grand Duke Nicholas replaced by Tsar Nicholas as commander.","Failed offensives against the Germans, including Lake Naroch Offensive and Baranovichi Offensive. Successful Brusilov Offensive against Austria-Hungary under General Aleksei Brusilov.","Romania enters war in August 1916, participating in the Eastern Front against the Central Powers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Front (World War I)
