Date,Location,Viewership,Director,Host,Time,Major Winners,Producers,Categories,Nominations Announced,Nominations Leader,Producer,Notable Occurrence,Notable Occurrences,Awards Presented,Number of Categories,Hosts,Nominations,Nominations Date,Best Picture Winner,Other Winners,Winners Announcement,Number of Awards,Most Awards,Notable Achievement,Notable Winners,Winners,Leading Nominations,Most Nominated Film,Most Nominations,Directors,Major Award Winners,Notable Events,Related Events,Notable Nominations,Technical Awards Host,Viewsership,Best Director Winner,Best Actor Winner,Best Actress Winner,Best Supporting Actress Winner,Best Supporting Actor Winner,Total Awards,Notable Achievements,Interesting Facts,Noteworthy Occurrences,"This table effectively summarizes all the key details surrounding the 73rd Academy Awards ceremony, highlighting essential aspects such as the awards, winners, nominations, and unique occurrences during the event.",Notable Detail,Telecast Viewership,"This table effectively summarizes the essential details of the 81st Academy Awards ceremony, covering the key aspects such as date, location, hosts, major winners, viewership, nominations, and notable occurrences.",Start Time,Best Picture Nominees,Unique Feature,Subsidiary Events,Presenters,Viewers,Nominations Announcement,Significant Nominations,Unique Occurrence,Top Nominations,Films Considered,Controversies,Eligibility criteria,trigger
"March 27, 1995","Shrine Auditorium, Los Angeles",Over 48 million viewers in the United States,Jeff Margolis,David Letterman,6:00 p.m. PST / 9:00 p.m. EST,,,,"February 14, 1995",,Gilbert Cates,,,23 categories,,,,,,,,,,,"Forrest Gump (6 awards, including Best Picture), Speed, The Lion King, and Ed Wood (2 awards each), The Adventures of Priscilla, Queen of the Desert, Blue Sky, Bob's Birthday, Bullets Over Broadway, Burnt by the Sun, Franz Kafka's It's a Wonderful Life, Legends of the Fall, The Madness of King George, Maya Lin: A Strong Clear Vision, Pulp Fiction, A Time for Justice, Trevor (1 award each)",,,Forrest Gump (13 nominations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67th Academy Awards
"March 25, 1996","Dorothy Chandler Pavilion, Los Angeles",Almost 45 million viewers in the United States,Jeff Margolis,Whoopi Goldberg,6:00 p.m. PST / 9:00 p.m. EST,"Braveheart (5 awards), Apollo 13, Pocahontas, Restoration, The Usual Suspects (2 awards each), Anne Frank Remembered, Antonia's Line, Babe, A Close Shave, Dead Man Walking, Leaving Las Vegas, Lieberman in Love, Mighty Aphrodite, One Survivor Remembers, Il Postino: The Postman, Sense and Sensibility (1 award each)","David Salzman, Quincy Jones",24,,"Braveheart (10 nominations), Apollo 13 (9 nominations)",,,,,,,,"February 13, 1996",,,,"5 (Braveheart), 10 (Braveheart nominations)",,,,,,,,,,,,,,,,,,,,,,"Braveheart won Best Picture with no acting nominations, Mira Sorvino won for Mighty Aphrodite in a film directed by Woody Allen",,,,,,,,,,,,,,,,,,,68th Academy Awards
"March 24, 1997","Shrine Auditorium, Los Angeles",Not specified,Louis J. Horvitz,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"The English Patient (9 awards), Fargo (2 awards), Breathing Lessons: The Life and Work of Mark O'Brien, Dear Diary, Emma, Evita, The Ghost and the Darkness, Independence Day, Jerry Maguire, Kolya, The Nutty Professor, Quest, Shine, Sling Blade, When We Were Kings (1 award each)",Gil Cates,24,"February 11, 1997","The English Patient (12), Fargo and Shine (7)",,"Saul Zaentz produced three Best Picture winners: One Flew Over the Cuckoo's Nest, Amadeus, and The English Patient",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69th Academy Awards
"March 23, 1998","Shrine Auditorium, Los Angeles",Over 57 million in the United States,,Billy Crystal,6:00 p.m. PST / 9:00 p.m. EST,"Titanic (11 awards, including Best Picture), As Good as It Gets, Good Will Hunting, L.A. Confidential (2 awards each)",,24,"February 10, 1998",Titanic (14 nominations),,,,,,,,,,,"March 23, 1998",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70th Academy Awards
"March 21, 1999","Dorothy Chandler Pavilion, Los Angeles",Nearly 46 million viewers in the United States,Louis J. Horvitz,Whoopi Goldberg,5:30 p.m. PST / 8:30 p.m. EST,"Shakespeare in Love (7 awards, including Best Picture), Saving Private Ryan (5 awards), Life Is Beautiful (3 awards)",Gil Cates,24,"February 9, 1999",Shakespeare in Love (13 nominations),,"Life Is Beautiful nominated for Best Picture and Best Foreign Language Film, most nominations for a foreign language film",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71st Academy Awards
"March 26, 2000","Shrine Auditorium, Los Angeles",Almost 47 million viewers in the United States,Louis J. Horvitz,Billy Crystal,5:30 p.m. PST / 8:30 p.m. EST,"American Beauty (5 awards, including Best Picture), The Matrix (4 awards), The Cider House Rules and Topsy-Turvy (2 awards each)",Richard and Lili Fini Zanuck,23,"February 15, 2000",American Beauty (8 nominations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72nd Academy Awards
"March 25, 2001","Shrine Auditorium, Los Angeles",Almost 43 million viewers in the United States,Louis J. Horvitz,Steve Martin,5:30 p.m. PST / 8:30 p.m. EST,,Gil Cates,23,,,,,,,,,,"February 13, 2001",,,,,,,"Gladiator (5 awards, including Best Picture), Crouching Tiger, Hidden Dragon, Traffic (4 awards each), Almost Famous, Big Mama, Erin Brockovich, Father and Daughter, How the Grinch Stole Christmas, Into the Arms of Strangers: Stories of the Kindertransport, Pollock, Quiero Ser, U-571, Wonder Boys (1 award each)",,"Gladiator (12 nominations), Crouching Tiger, Hidden Dragon (10 nominations)",,,,,,,,,,,,,,,,,,"Gladiator winning Best Picture without a directing or screenwriting win since 1949, Steven Soderbergh's double directing nominations","This table effectively summarizes all the key details surrounding the 73rd Academy Awards ceremony, highlighting essential aspects such as the awards, winners, nominations, and unique occurrences during the event.",,,,,,,,,,,,,,,,,73rd Academy Awards
"March 24, 2002","Kodak Theatre in Hollywood, Los Angeles",Nearly 42 million viewers in the United States,Louis J. Horvitz,Whoopi Goldberg,,"A Beautiful Mind (4 awards), The Lord of the Rings: The Fellowship of the Ring (4 awards), Black Hawk Down (2 awards), Moulin Rouge! (2 awards)",Laura Ziskin,,"February 12, 2002",,,,,,24,,,,,,,,,,,,,,The Lord of the Rings: The Fellowship of the Ring (13 nominations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74th Academy Awards
"March 23, 2003","Kodak Theatre in Hollywood, Los Angeles",Approximately 33 million viewers in the United States,Louis J. Horvitz,Steve Martin,,"Chicago (6 awards, including Best Picture), The Pianist (3 awards), Frida and The Lord of the Rings: The Two Towers (2 awards each)",Gil Cates,24,"February 11, 2003",Chicago (13 nominations),,,"Adrien Brody became the youngest person to win Best Actor, Chicago was the first musical film to win Best Picture since 1968's Oliver!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75th Academy Awards
"February 29, 2004","Kodak Theatre in Hollywood, Los Angeles",Nearly 44 million viewers in North America (the United States),Louis J. Horvitz,Billy Crystal,5:30 p.m. PST / 8:30 p.m. EST,"The Lord of the Rings: The Return of the King (11 awards), Master and Commander: The Far Side of the World (2 awards), Mystic River (2 awards)",Joe Roth,24,"January 27, 2004 at the Samuel Goldwyn Theater in Beverly Hills, California",,,,The Lord of the Rings: The Return of the King received the most nominations with eleven; Master and Commander: The Far Side of the World came in second with ten nominations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76th Academy Awards
"February 27, 2005","Kodak Theatre in Hollywood, Los Angeles",Over 42 million viewers in the United States,Louis J. Horvitz,Chris Rock,5:30 p.m. PST / 8:30 p.m. EST,"Million Dollar Baby (4 awards, including Best Picture), The Aviator (5 awards), The Incredibles, Ray (2 awards each)",,24,"January 25, 2005",The Aviator (11 nominations),Gil Cates,"Clint Eastwood, at age 74, becoming the oldest winner for Best Director in Oscar history",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77th Academy Awards
"March 5, 2006","Kodak Theatre in Hollywood, Los Angeles",Nearly 39 million viewers in the United States,Louis J. Horvitz,Jon Stewart,5:00 p.m. PST / 8:00 p.m. EST,"Crash (3 awards, including Best Picture), Brokeback Mountain, King Kong, Memoirs of a Geisha (3 awards each), Capote, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The Constant Gardener, Hustle & Flow, March of the Penguins, The Moon and the Son: An Imagined Conversation, A Note of Triumph: The Golden Age of Norman Corwin, Six Shooter, Syriana, Tsotsi, Walk the Line, Wallace & Gromit: The Curse of the Were-Rabbit, (1 award each)",Gil Cates,24 categories,,,,,,,,,,"January 31, 2006",,,,,,,,,,Brokeback Mountain (8 nominations),,,,,,,,,,,,,,,,,,,All five Best Picture nominees received corresponding Best Director nominations,,,,,,,,,,,,,,,,78th Academy Awards
"February 25, 2007","Kodak Theatre in Hollywood, Los Angeles",Nearly 40 million viewers in the United States,Louis J. Horvitz,Ellen DeGeneres,5:30 p.m. PST / 8:30 p.m. EST,"The Departed (4 awards, including Best Picture), Pan's Labyrinth (3 awards), Dreamgirls, An Inconvenient Truth, Little Miss Sunshine (2 awards each), Babel, The Blood of Yingzhou District, The Danish Poet, Happy Feet, The Last King of Scotland, Letters from Iwo Jima, The Lives of Others, Marie Antoinette, Pirates of the Caribbean: Dead Man's Chest, The Queen, West Bank Story (1 award each)",,,"January 23, 2007","Dreamgirls (8 nominations), Babel (7 nominations)",Laura Ziskin,Peter O'Toole receiving another unsuccessful nomination for Best Actor,,24 categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79th Academy Awards
"February 24, 2008","Kodak Theatre in Hollywood, Los Angeles",31 million viewers in the United States,Louis J. Horvitz,Jon Stewart,,,Gil Cates,,"January 22, 2008",,,,,,24,,,,No Country for Old Men,"The Bourne Ultimatum (3 awards), La Vie en Rose, There Will Be Blood (2 awards each), Atonement, The Counterfeiters, Elizabeth: The Golden Age, Freeheld, The Golden Compass, Juno, Michael Clayton, Le Mozart des Pickpockets, Once, Peter & the Wolf, Ratatouille, Sweeney Todd: The Demon Barber of Fleet Street, Taxi to the Dark Side (1 award each)",,,,Joel and Ethan Coen became the second pair of directors to win Best Director,,,,,"No Country for Old Men, There Will Be Blood (8 nominations each)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80th Academy Awards
"February 22, 2009","Kodak Theatre in Hollywood, Los Angeles",,Roger Goodman,Hugh Jackman,5:30 p.m. PST / 8:30 p.m. EST,"Slumdog Millionaire (8 awards, including Best Picture), The Curious Case of Benjamin Button (3 awards), The Dark Knight, Milk (2 awards each)","Bill Condon, Laurence Mark",24,"January 22, 2009",The Curious Case of Benjamin Button (13 nominations),,,"Slumdog Millionaire's multiple awards, Sean Penn winning Best Lead Actor, Heath Ledger's posthumous Best Supporting Actor win",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Almost 37 million viewers in the United States,"This table effectively summarizes the essential details of the 81st Academy Awards ceremony, covering the key aspects such as date, location, hosts, major winners, viewership, nominations, and notable occurrences.",,,,,,,,,,,,,,81st Academy Awards
"March 7, 2010","Kodak Theatre in Hollywood, Los Angeles",,,,,"The Hurt Locker (6 awards), Avatar (3 awards), Crazy Heart, Precious: Based on the Novel 'Push' by Sapphire, Up (2 awards each), The Blind Side, The Cove, Inglourious Basterds, Logorama, Music by Prudence, The New Tenants, The Secret in Their Eyes, Star Trek, The Young Victoria (1 award each)",Bill Mechanic and Adam Shankman,24,,,,,,,,Alec Baldwin and Steve Martin,,,,,,,,,,,,,,Hamish Hamilton,,,,,,,,,,,,,,,,,,,,5:30 p.m. PST / 8:30 p.m. EST,Expanded to ten nominees,,,,,,,,,,,,82nd Academy Awards
"February 27, 2011","Kodak Theatre in Hollywood, Los Angeles",Almost 38 million viewers in the United States,Don Mischer,,5:30 p.m. PST,"The King's Speech (4 awards, including Best Picture), Inception (4 awards), The Social Network (3 awards), Alice in Wonderland, The Fighter, Toy Story 3 (2 awards each)","Bruce Cohen, Don Mischer",24 categories,"January 25, 2011",The King's Speech (12 nominations),,,Toy Story 3 nomination for Best Picture,,,"James Franco, Anne Hathaway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83rd Academy Awards
"February 26, 2012","Hollywood and Highland Center Theatre, Hollywood, Los Angeles",Over 39 million viewers in the United States,Don Mischer,Billy Crystal,5:30 p.m. PST / 8:30 p.m. EST,,"Brian Grazer, Don Mischer",24,,,,,,,,,,,The Artist,,,,,,,,,,,,"The Artist (5 awards), Hugo (5 awards), The Iron Lady (2 awards)",,,,,,,,,,,,,,,,,,,,,Between five and ten Best Picture nominees depending on voting results,"Third annual Governors Awards ceremony, Technical Achievement Awards presentation",,,,,,,,,,84th Academy Awards
"February 24, 2013","Dolby Theatre in Hollywood, Los Angeles",Over 40 million viewers in the United States,Don Mischer,Seth MacFarlane,5:30 p.m. PST / 8:30 p.m. EST,"Argo (3 awards), Life of Pi (4 awards), Les Misérables (3 awards), Django Unchained (2 awards), Lincoln (2 awards), Skyfall (2 awards), Amour (1 award), Anna Karenina (1 award), Brave (1 award), Curfew (1 award), Inocente (1 award), Paperman (1 award), Searching for Sugar Man (1 award), Silver Linings Playbook (1 award), Zero Dark Thirty (1 award)","Craig Zadan, Neil Meron",24,"January 10, 2013",,,Argo winning Best Picture without its director being nominated,,,,,"Argo (nominated), Life of Pi (nominated), Les Misérables (nominated), Django Unchained (nominated), Lincoln (nominated), Skyfall (nominated), Amour (nominated), Anna Karenina (nominated), Brave (nominated), Curfew (nominated), Inocente (nominated), Paperman (nominated), Searching for Sugar Man (nominated), Silver Linings Playbook (nominated), Zero Dark Thirty (nominated)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85th Academy Awards
"March 2, 2014","Dolby Theatre in Hollywood, Los Angeles",Nearly 44 million viewers in the United States,Hamish Hamilton,Ellen DeGeneres,,"12 Years a Slave (3 awards), Gravity (7 awards), Dallas Buyers Club (3 awards), Frozen (2 awards), The Great Gatsby (2 awards)",Neil Meron and Craig Zadan,,,,,,,,24,,,"January 16, 2014",,,,,,,,,,,,,,"Academy Awards for Technical Achievement, Governors Awards ceremony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86th Academy Awards
"February 22, 2015","Dolby Theatre in Hollywood, Los Angeles",,,Neil Patrick Harris,,,,,,,,,,,,,,,,,,24,,,,"Birdman or (4 awards), The Grand Budapest Hotel (4 awards), Whiplash (3 awards), Big Hero 6 (1 award), Boyhood (1 award), Citizenfour (1 award), Crisis Hotline: Veterans Press 1 (1 award), Feast (1 award), Ida (1 award), The Imitation Game (1 award), Interstellar (1 award), The Phone Call (1 award), Selma (1 award), Still Alice (1 award), The Theory of Everything (1 award)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Margot Robbie, Miles Teller, J. J. Abrams, Alfonso Cuarón, Cheryl Boone Isaacs, Chris Pine",Over 37 million viewers in the United States,,,,,,,,87th Academy Awards
"February 28, 2016","Dolby Theatre in Hollywood, Los Angeles",34.42 million viewers in the United States,Glenn Weiss,Chris Rock,5:30 p.m. PST,,"David Hill, Reginald Hudlin",24,"January 14, 2016 at the Samuel Goldwyn Theater in Beverly Hills, California",,,,,,,,,,,,,,,,,"Spotlight (2 awards, including Best Picture), Mad Max: Fury Road (6 awards), The Revenant (3 awards), Brie Larson (Best Actress), Mark Rylance (Supporting Actor), Alicia Vikander (Supporting Actress)",,,,,,,"7th Annual Governors Awards on November 14, 2015, Academy Awards for Technical Achievement on February 13, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88th Academy Awards
"February 26, 2017","Dolby Theatre in Hollywood, Los Angeles",33 million viewers in the United States,Glenn Weiss,Jimmy Kimmel,5:30 p.m. PST,"Moonlight (3 awards including Best Picture), La La Land (6 awards), Hacksaw Ridge (2 awards), Manchester by the Sea (2 awards), Fences (1 award)","Michael De Luca, Jennifer Todd",,,,,La La Land mistakenly announced as Best Picture winner before Moonlight was declared the actual winner,,,24,,,,,,,,,,,,,,,,,,"8th Annual Governors Awards on November 12, 2016 at the Hollywood and Highland Center; No anime shorts considered for the ceremony",,,,,,,,,,,,,,,,,,,,,,,"January 24, 2017 (global live stream)","La La Land (14 nominations), Arrival and Moonlight (8 nominations each)",,,,,,89th Academy Awards
"March 4, 2018","Dolby Theatre in Hollywood, Los Angeles",26.5 million viewers in the United States,Glenn Weiss,Jimmy Kimmel,,,Michael De Luca and Jennifer Todd,24,,The Shape of Water (13 nominations),,,,,,,,,,,,,,,,,,,,,"The Shape of Water (4 awards), Dunkirk (3 awards), Blade Runner 2049, Coco, Darkest Hour, Three Billboards Outside Ebbing, Missouri (2 awards each)","Shape of Water winning Best Picture, low viewership rating, significant nominees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90th Academy Awards
"February 24, 2019","Dolby Theatre in Hollywood, Los Angeles",29.56 million viewers in the United States,Glenn Weiss,No host since 61st ceremony in 1989,,,Donna Gigliotti and Glenn Weiss,,"January 22, 2019",The Favourite and Roma (10 nominations each),,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every Best Picture nominee won at least one award,,,,,91st Academy Awards
"February 9, 2020","Dolby Theatre in Hollywood, Los Angeles",23.64 million viewers in the United States,,,5:00 p.m. PST / 8:00 p.m. EST,,"Stephanie Allain, Lynette Howell Taylor",24,,,,,,,,,,"January 13, 2020",,"1917, Ford v Ferrari, Joker, Once Upon a Time in Hollywood, etc.",,,Parasite (4 awards),Parasite first non-English language film to win Best Picture,,,,,,Glenn Weiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joker (11), The Irishman, 1917, Once Upon a Time in Hollywood (10)",,,,92nd Academy Awards
"April 25, 2021",Union Station in Los Angeles,10.4 million viewers in the United States,Glenn Weiss,No official host,,"Nomadland (3 awards including Best Picture), The Father, Judas and the Black Messiah, Ma Rainey's Black Bottom, Soul, Sound of Metal (2 awards each)","Jesse Collins, Stacey Sher, and Steven Soderbergh",,,,,,,,23,,Mank (10 nominations),,,,,,,,"Another Round, Colette, If Anything Happens I Love You, Minari, My Octopus Teacher, Promising Young Woman, Tenet, Two Distant Strangers (1 award each)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"January 1, 2020 - February 28, 2021",,,93rd Academy Awards
"March 27, 2022",Dolby Theatre in Los Angeles,16.62 million viewers,,,,,,,,,,,,,,"Regina Hall, Amy Schumer, Wanda Sykes",,,,,,,,,,"CODA (several awards, including Best Picture), Dune (6 awards), The Eyes of Tammy Faye (2 awards), various other films with 1 award each",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incident involving Will Smith and Chris Rock,"Films released between March 1 and December 31, 2021",94th Academy Awards
