Location,Date,Casualties,Cause of Explosion,Impacts,Response and Aftermath,Depot Details,Aftermath,Cause,Owner,Time,Additional Details,Aftermath and Response,Number of Injuries,Details,Impacts and Aftermath,Mine Details,Ship Details,Impacts and Response,Details of Incident,Cause of Accident,Impact,Injuries,Significance,Impacts/Aftermath,Factory Details,Operator,Details of Gunpowder Storage Facility,Area of Impact,Specific Details,Description,Type of Missile,"ARCO Chemical, Channelview, Texas",Industrial Context,Extent of Damage,Warning Signs Ignored,Companies Involved,Fines,Details of Explosion,Cause of Explosions,Area Impacted,Response Measures,Plant Details,2013,6 fatalities initially reported,Details of Buildings,Response by Consolidated Edison,NTSB Findings,Impact on Metro-North Railroad Tracks,Company,Response,"October 1, 2014",---------------,Factory completely destroyed,"Huge craters left behind, debris flying","Previous citations for outdated equipment, improperly stored explosives",Specific Details of the Incident,Confirmed Casualties,People in Mine at Time of Explosion,Conflicting Reports by Local Rebels,Call for Access by Ukrainian President,Vehicle Involved,Area of Explosion,Aftermath/Legal Proceedings,Response Time,Background,Facility Details,Fire Brigade Response,Official Actions,Property Damage,Homeless Population,Storage Details,Seismic Impact,Government Response,State of Emergency,Protests Against Government,Economic Crisis,Number of Floors,Safety Measures,Victims,Explosions,Investigation,Previous Incident,25 June 2020,30 June 2020,Time of Explosion,Gas Leak Details,Area of Incident,Colliery Details,Aftermath and Controversies,Event Site Details,Key Details of Incident,Cause of Derailment,Key Details,Gunpowder Store Details,Site Details,Gunpowder Theft Details,Historical Connections,Vehicles Involved,Statements by Officials,"June 1, 1974",Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,Area of Fire,Company Details,Aftermath and Responses,Blast Area Damage,Consequences,Identified Causes,Railway Details,Housing Complex Details,Related Incidents,Extent of Impact,Duration of Repairs,Responsible Party,Fines Imposed,Legal Actions,Fatalities,Main Cause,Monetary Damage,Responsible Parties,Legal Outcome,Significant Impacts/Aftermath,Rocket Details,School Details,Owner/Operator,Impacts or Aftermath,"May 4, 1988","**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",Founding Date,Founders,Headquarters,Primary Operations,Notable Achievements,Aftermath and Impact,Incident Details,Aftermath and Investigation,Number of Fatalities,Number of Buildings Damaged,Estimated Cost of Damage,Details of Vehicles Involved,"January 30, 1900",Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,Miners Underground,"January 28, 1986",Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,Building Details,Refinery Details,Aftermath and Consequences,Magnitude of Explosion,--------------,"April 17, 2013",trigger
"Glorietta 2, Ayala Center, Makati, Philippines","October 19, 2007","11 dead, 126+ injured",Initially thought to be LPG tank explosion,,,,,,,,,"Unclear cause, bomb suspected, Makati Rescue deployment, UK terrorism advisory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Glorietta explosion
"Malhazine suburb of Maputo, Mozambique","March 22, 2007","At least 93 killed, hundreds injured",Heat wave and drought affecting the area,,"Three days of national mourning, police seal off area, detonation of remaining ammunition",Constructed by the Soviet Union in 1984 to store weapons used during the Mozambican Civil War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Maputo arms depot explosion
"Chelopechene, Sofia, Bulgaria",3 July 2008,Not specified,Series of explosions at munitions depot,,,Part of a military facility specializing in dismantling obsolete ammunition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Chelopechene explosions
"Al Quoz Industrial area, Dubai, UAE","March 26, 2008","2 dead, 2 injured",Unknown,,,,,,,,,,,,"Evacuation of schools in Al Quoz, difficulty for first responders",,,,,,,,,,,,,,,,,,,,,,,"Two explosions, 20 buildings on fire, fireworks going off",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Dubai explosion
"Port Wentworth, Georgia","February 7, 2008","14 killed, 40 injured",Dust explosion,"Closure of the refinery, economic decline in Port Wentworth","Proposed safety legislation, rebuilding of factory, lawsuits, investigations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Georgia sugar refinery explosion
"Yizhou City, Guangxi Province, China","August 26, 2008","20 killed, 60 injured, 6 missing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial accident at Guangxi Guangwei Chemical Co.,"Nearly 108,000 sq ft","Evacuation of 11,500 residents, containment of pollutants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Guangxi chemical plant explosions
"Gërdec, Vorë Municipality, Albania","March 15, 2008",Unknown,Chain reaction of controlled explosions,"Hundreds of demolished houses, shattered car windows on highway, airport windows shattered, flights suspended, evacuation of residents, disaster area declared","State of emergency, investigation into possible causes, evacuation efforts, shelter provided for residents",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 G毛rdec explosions
"Aviastroitelny District, Kazan, Tatarstan, Russia","January 9, 2008","10 dead, 2 injured",,,,,,Undetermined (possible improper gas appliance use),,0:28 a.m. local time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Kazan gas explosion
"Yevpatoria, Ukraine","December 24, 2008","27 dead, 10 missing",,,,,,Gas explosion in apartment block,,,,,,,,,,"National mourning declared, government to provide new housing and financial compensations, free school instruction for affected children, tougher control measures in gas supply industry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Yevpatoria gas explosion
"Bayamón, Puerto Rico","October 23-25, 2009",3 injuries,Explosion at Caribbean Petroleum Corporation,"11 storage tanks destroyed, spread to nearby tanks, equivalent to 2.8-magnitude earthquake, 30 million US gallons of petroleum released","Environmental assessment, dead wildlife, injury to population, 600 in shelters, 5 workers escaped, injuries to drivers, damage to neighboring communities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Cata帽o oil refinery fire
"Tonghua Coal Mine, Qijiang County, Chongqing, China","May 30, 2009","30 dead, 59 injured",,,,,"Detention of coal mine owner, chief engineer, and project manager, 101 miners rescued",Excessive explosives triggered by illegal practice violating mining rules,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Chongqing mine blast
"Handlová, Slovakia","August 10, 2009","20 dead, 9 injured",Probably caused by flammable gases,"Largest mining tragedy in Slovakia, deadliest mining disaster in Slovakia's history since 1993",,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Handlov谩 mine blast
"Hegang, Heilongjiang province, China","November 21, 2009","108 dead, 29 hospitalized",,"Buildings damaged, rescue efforts impeded by gas and debris","Rescue operation ongoing, hope for trapped individuals, mining company response",,,"Trapped, pressurized gases underground due to poor ventilation","Heilongjiang Longmay Mining Holding Group Co., Ltd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Heilongjiang mine explosion
"Middletown, Connecticut, USA","February 7, 2010","6 dead, at least 50 injured",Gas and oil-fired power plant explosion during construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Siemens combined cycle power plant, 620-megawatt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Connecticut power plant explosion
"Qixia District, Nanjing, China","July 28, 2010","13 dead, 300 injured",Rupture of propylene pipeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Nanjing chemical plant explosion
"San Martín Texmelucan de Labastida, Puebla, Mexico","December 19, 2010","29 dead, 52 injured",,"Area destroyed, Atoyac River pollution","Firefighters, military deployment, President Calderón visit, investigation",,,Thieves from Los Zetas drug cartel,Pemex petroleum company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Puebla oil pipeline explosion
"San Bruno, California","September 9, 2010",8,Natural gas pipeline explosion,"35-37 houses leveled, 8 more damaged, 200 firefighters battled the blaze","Emergency responders evacuated neighborhoods, strong winds hampered firefighting efforts, gas was shut off 60-90 minutes after the explosion, damaged houses torn down in December",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 San Bruno pipeline explosion
"Sange, South Kivu, Democratic Republic of the Congo",2 July 2010,"At least 230 deaths, 196 injured","Tank truck overturned, explosion during fuel collection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 South Kivu fuel tank explosion
"Anacortes, Washington","April 2, 2010",7 fatalities,Heat exchanger rupture,,,,,,,,,"Fine disputes, safety violations, recommendations by CSB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Tesoro Anacortes Refinery disaster
"Zonguldak Province, Turkey","May 17, 2010",30 miners died,Firedamp explosion,,,,,,,,,,,,,Karadon coal mine operated by the state-owned Turkish Coal Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Zonguldak mine disaster
"Dar es Salaam, Tanzania",2011,"20-32 killed, 300 injured",Series of explosions at an ammunition depot,Debris scattered up to 15 km away,"Evacuation orders, residents displaced, calls for official resignations","Military base at 8:30 pm local time, 23 military structures destroyed, homes and school impacted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Dar es Salaam explosions
"Nairobi, Kenya",12 September 2011,"Approximately 100 killed, 116 injured",,"Fire spread to adjacent shanty town, pipeline system operated by Kenya Pipeline Company","Energy Minister statement, Managing Director comments, ongoing investigation",,,Fuel spill explosion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Nairobi pipeline fire
"Afyonkarahisar, Turkey",5 September 2012,"25 dead, 4 soldiers injured, 3 civilians injured",Accidental explosion of grenades sequentially,,,"41st Ammunition Company, 4th Munition Division, 500th Arsenal Command of Turkish Army Corps of Engineers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Afyonkarahisar arsenal explosion
