Resignation Date,Reason for Resignation,Constituency,Position,Party,Position Resigned from,Education,Year Elected,Political Party,Political Career,Role,Breach,Name,Ministerial Positions,Resignation Reason,Legal Career,Years Active,Date of Resignation,Date,Reason,Term,Successful Campaign,Position Held,Previous Constituency,Term of Service,Whip Status,Retirement,Previous Experience,Achievements,Career Highlights,Career Background,Cabinet Positions,PPS Positions,All-Party Parliamentary Group Chairmanship,Other APPG Roles,Resignation 2019,Resignation 2021,EU Referendum Stance,Resignations,Resignation Announcement,Date of Birth,Previous Positions,Experience,Books,Parliamentary Role,Resigned as MP,Previous Position,Whip Removal Date,Re-admission Date,Leadership Position,Legal Background,Family,Personal Life,Spiritual Affiliation,Roles,Government Positions,trigger
,,Witney,,,,,2016,Conservative,,Member of Parliament,,Robert Alexander Courts,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Courts
May to July 2019,Stepped down from Cabinet following Conservative Party leadership election,Penrith and The Border,Secretary of State for International Development,Conservative,,"Dragon School, Eton College, Balliol College (Oxford)",,,,,,,"Minister for the Environment, Minister of State for International Development, Minister of State for Africa, Minister of State for Prisons",,,,,,,2010 - 2019,,,,,,,,,,,,,,,,,,,,,,"Diplomat in Indonesia, British Representative to Montenegro, Deputy Governor for Coalition Provisional Authority (Iraq), Director of Turquoise Mountain Foundation, Professor at Harvard University","The Places in Between, Occupational Hazards or The Prince of the Marshes",,,,,,,,,,,,,Rory Stewart
"November 30, 2018",Protest at Theresa May's Brexit withdrawal agreement,East Surrey,Member of Parliament,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minister for Universities, Science, Research, and Innovation",,,,,,,,,,,,Sam Gyimah
,,Truro and Falmouth,,,,,"2010, 2015, 2017",Conservative,,Member of Parliament,,"Sarah Louise Newton, FRSA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Sarah Newton
November 2018,Government's proposed Brexit agreement,North West Cambridgeshire,Member of Parliament,Conservative,,"Aylesbury Grammar School, Brunel University",,,,,,,,,"Qualified as a solicitor, worked in London and Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vice-Chairman of the Conservative Party, Shadow Deputy Leader of the House of Commons, Parliamentary Under Secretary of State roles at Ministry of Justice and Department of Work and Pensions, Northern Ireland Office Minister",,,,,,,,,,Shailesh Vara
,,Sevenoaks,Secretary of State for Defence,Conservative,,"Epsom College, University of St Andrews (Classics and Ancient History)",,,"Member of Parliament for Sevenoaks, Deputy Chairman of the Conservative Party, Minister of State for Business and Enterprise, Minister of State at the Department of Energy and Climate Change, Minister for Portsmouth",,,,,Implication in 2017 Westminster sexual misconduct allegations,,1983 - 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sir Michael Fallon
March 2019,,Winchester,Parliamentary Under-Secretary for Public Health and Primary Care at the Department of Health,Conservative,,,2010,,,,,,,"Disagreement with government's Brexit policy, supporting the Benn Act",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 September 2019,29 October 2019,,,,,,,,Steve Brine
,,Fareham,"Attorney General for England and Wales, Advocate General for Northern Ireland",,,"Queens' College, Cambridge",2015,Conservative,,Member of Parliament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chair of the European Research Group,Former barrister,"Parents emigrated from Kenya and Mauritius, mother was a nurse and councillor, father worked for a housing association","Married Rael Braverman in February 2018, two children - George (born in 2019) and Gabriella (born in 2021)","Member of the Triratna Buddhist Community, attends the London Buddhist Centre monthly, took oath of office on the Dhammapada",,,Suella Braverman
,End of the Second May ministry,,,,,,,Conservative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government Chief Whip in the House of Lords, Chairman of the National Conservative Convention","Minister at the Department for Environment, Food and Rural Affairs, Parliamentary Under-Secretary of State for Criminal Information, Captain of the Honourable Corps of Gentlemen-at-Arms, Chief Whip in the House of Lords",The Lord Taylor of Holbeach
2018,Delay over the introduction of reduced limits on the stakes of fixed odds betting terminals,,,,"Minister for Sport, Civil Society and Loneliness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tracey Crouch
,,Colchester,Member of Parliament,Conservative,,Aberystwyth University,,,"Borough Councillor, Member of Parliament",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Quince
