Date,Location,Injuries,Fatalities,Deaths,Aftermath,Cause of Stampede,Cause,Event Name,Context,Arrests,Attendees,Estimated Deaths,Cause of Disaster,Casualties,Background,Court Proceedings,Largest Victim Countries,Official Government Report,Festival Cancellation,Security Actions,Additional Context,Event Trigger,Hospitals,Background Context,Event Details,Festival Details,Event Context,Concert Details,Estimated Injuries,Details,Investigations,Commission Findings,Recommendations/Actions Taken,Legal Consequences,Specific Event Trigger,Factors Contributing,Government Actions,Relief Measures,Time,Number of Pilgrims,Previous Incidents,Responsible Parties,Security Arrangements,Demographics,Official Response,Stampede Cause,Response,Bridge Details,Conflicting Reports,Party,Accusations,Investigation Outcome,Gate Closures,Witness Accounts,Government Response,Causes,Key Individuals/Organizations,Financial Aid Provided,Trigger Event,Official Reports,Relief Distribution Details,Security Measures,Causes of Stampede,Legal Actions,Coordinates,Concert Organizer,Streaming Service,Event Description,Children Killed,Venue Name,Notes,Additional Details,Notable Individuals,Sporting Event,Subsequent Actions,Venue Capacity,Venue Details,Main Cause of Stampede,Aftermath/Commemorations,COVID-19 Enforcement,Nightclub Raid Details,Stampede Details,Notable Awards/Recognitions,Chief Minister's Compensation Announcement,Expected Attendees,Resumption of Pilgrimage,Official Death Toll,Notable Incidents,Football Match Details,Police Involvement,Key People,Attendance,Perpetrator,Motive,Event,Eyewitness Accounts,Government Investigation,Official Condolences,Compensation,Age Range of Victims,Safety Actions,trigger
9 Feb 2008,"Bandung, Asia African Cultural Center",Dozens,11,,"Temporary closure, renovations, renaming, monument erected in memorial",,"Exceeded building capacity, asphyxiation, suffocation, jostling",2008 Bandung Human Stampede,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Bandung stampede
30 September 2008,"Jodhpur, Rajasthan, India",425+,,224,,Panic from bomb blast rumor and collapsing wall,,Stampede at Chamunda Devi temple,,,,,,,,,,,,,"15th-century temple, 25,000 Hindu pilgrims, Navratri festival, assistance from Indian Army doctors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008 Jodhpur stampede
15 November 2009,"Birmingham, UK",Various,,-,,Temporary crowd control barrier breached resulting in injuries,,2009 Millennium Point Concert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Secretary of State for Culture, Birmingham City Council, Local MP","Lack of preparedness, late surge of fans, choice of temporary fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Millennium Point stampede
14 January 2011,"Pullumedu near Sabarimala, Kerala",~100,,106,,Jeep toppled over triggering stampede,,,,,,,,,,,,,,,"Worst recorded accident in Sabarimala, part of annual pilgrimage attracting millions of devotees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Sabarimala stampede
1 January 2013,"Abidjan, Ivory Coast",200+,,61,,Crowds stampeded while exiting stadium,,,New Year's Eve fireworks display near Félix Houphouët-Boigny Stadium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly women and children,"President declared three days of mourning, promised investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Houphou毛t-Boigny stampede
10 February 2013,"Allahabad, Uttar Pradesh, India",300+,,42,,,,Kumbh Mela Stampede 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Railing collapse, police charge","Compensation, inquiry, resignation of responsible party leaders",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Kumbh Mela stampede
13 Oct 2013,"Ratangarh Mata Temple, Datia, India",110+,,115,,"Bridge railing broke, rumour of collapse, panic, stampede ensued, some drowned",,,,,"500,000",,,,56 died in 2006,,,,,,,,,,,Navratri festival dedicated to Durga,,,,,,,,,,,,,,,,,,,,,,"400m long, 7m wide, 4 yrs old, good condition, railing broken","Bridge hit by tractor, rumour spread intentionally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 Madhya Pradesh stampede
10 Oct 2014,"Multan, Pakistan",40,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan Tehreek-e-Insaf (PTI),"Sabotage by administration, neglect of safety measures",PTI partially responsible according to investigation committee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Multan stampede
18 January 2014,Mumbai,56,18,,,,,,,,,,,,,,,,,,,Stampede at Syedna Mohammed Burhanuddin's residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"People were crushed after gates were closed, climbing on gates led to falls","Lack of police presence, government and police neglect criticized, victims' ages listed later",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Mumbai stampede
15 March 2014,Various states in Nigeria,Scores,16,,,,,2014 Nigeria Immigration Recruitment Tragedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Overcrowding, stampede, exhaustion, impatience of applicants during recruitment exercise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Nigeria Immigration Recruitment Tragedy
3 October 2014,"Patna, Bihar",,,32,,Stampede at Gandhi Maidan during Dussehra festival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prime Minister Narendra Modi, Bihar Chief Minister","₹2 lac for each deceased, ₹50,000 for critically injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Patna stampede
31 December 2014,"Shanghai, China",49,,36,,,,,"Crush occurred at a stairway leading up to a viewing platform overlooking the river during a New Year celebration with 300,000 people",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cancellation of New Year's light show, panic ensued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Shanghai stampede
11 May 2014,"Kinshasa, DR Congo",24,15,,"Injured individuals, panic, confusion, temporary closure, stadium repairs, potential renaming, monument erecting",,"Tear gas causing stampede, suffocation, collapse of stadium wall",2014 Stade Tata Raphaël disaster,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Stade Tata Rapha毛l disaster
17 Feb 2015,"Champ de Mars, Port-au-Prince, Haiti",78,,18,"Prime Minister declared three days of official mourning, state funeral and vigil for victims, silent parade held, plans announced to modernize electricity company",,High-voltage wire shock during Mardi Gras parade,,,,,,,,,,,"Conflicting reports - initial 16 deaths, then 18 confirmed by Minister of Communications and 20 by Department of Civil Protection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Haiti Carnival stampede
24 September 2015,"Mina, Mecca, Saudi Arabia",,,,,,,,,,,"Over 2,000",Overcrowding at the intersection of streets 204 and 223 leading up to Jamaraat Bridge,,,,"Iran, Mali, Nigeria","769 deaths, 934 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Mina stampede
8 August 2016,Ethiopia,,At least 90,,"Protesters killed, internet restrictions, arrests",Crackdown on Oromo protesters by security forces led to fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Government land seizures, political marginalization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Ethiopian protests
3 June 2017,"Turin, Italy","1,672",,3,"Formal investigation, arrests made for triggering mass panic, injuries included amputations and deaths of victims, investigation implicates mayor and police chief",,Robbery attempt and pepper spray usage,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Turin stampede
21 May 2020,"Maligawatta, Colombo-10","4 women critical, 7 other severe",,,,Panic during charity donation distribution,,,,6 suspects remanded for organizing event amid pandemic,,,,"3 women killed, 9 severely injured",,,,,,,,,Colombo National Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conducted by businessman Zarook Hajiyar, distribution of money during COVID-19 lockdown and curfew in the area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Maligawatta stampede
9 Feb 2008,"Bandung, Asia African Cultural Center",Dozens,11,,"Temporary closure, renovations, renaming, monument erected in memorial",,"Exceeded building capacity, asphyxiation, suffocation, jostling",2008 Bandung Human Stampede,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Dar es Salaam stampede
30 April 2021,"Meron, Israel",About 150,,,"Safety engineer and assistant arrested, police investigating senior officers, reported previous warnings of potential disaster, crowd surge post-COVID-19 measures resulted in choke-points, local council attempts to close site, deadliest civil disaster in Israel's history",,,,,,,45,"Crush occurred after celebrants poured out of one section of the mountainside compound, down a passageway with a wet metal floor, leading to a staircase causing trampling, crushing, and asphyxiation",,,,,,,,,,,,,,"Annual pilgrimage to the tomb of Rabbi Shimon bar Yochai on the Jewish holiday of Lag BaOmer, attendance of 100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Meron stampede
9 May 2001,"Ohene Djan Stadium, Accra, Ghana",,,126,"Official inquiry, legal actions against police officers",,,,,,,,,"126 dead, several injured",,,,,,,,,,,,,Accra Hearts of Oak vs Asante Kotoko match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anticipated crowd disturbances, extra security","Tear gas response, stadium design issues, compressive asphyxia and trauma deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accra Sports Stadium disaster
21 July 2001,"Akashi, Hyōgo, Japan",247,,11,,,Overcrowding at pedestrian overpass after fireworks show,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 officials convicted of negligence,34°38′38″N 135°01′03″E﻿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akashi crowd crush
26 June 2019,"Antananarivo, Madagascar",101,16,,"Victims taken to Joseph Ravoahangy Andrianavalona Hospital, President Rajoelina visits injured and promises to cover hospitalization expenses",,"Speculation of gates opening, causing a pile-up and stampede",Antananarivo Stampede,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antananarivo stampede
"November 5, 2021","Houston, Texas",25,10,,,"Accidental compressive asphyxiation, drug and alcohol influence",,,,,"50,000",,,,,,,,,"Over 1,000 security staff and police present, city provided more security than 2021 World Series, specific numbers unverified by Houston Chronicle as of December 3",,,,,,,,"Annual music event founded by Travis Scott, managed by Live Nation, with 100,000 expected attendees, initially planned for 70,000 and then 50,000 attendees, although fire codes allowed for 200,000, streamed on Apple Music",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Live Nation,Apple Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Astroworld Festival crowd crush
31 Aug 2005,Baghdad,,953,,"Immediate assistance, rescue efforts",,,,,,,,"Panic caused by rumors of bomb threat, man presumed to have explosive belt, gate opened, leading to crush and suffocation, hundreds fell into river",,,,,,,,,,,"Stampede on Al-Aaimmah bridge during pilgrimages to Al Kadhimiya Mosque, tensions due to mortar attack, rumors of bomb threat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baghdad bridge stampede
11 January 1908,"Barnsley, West Riding of Yorkshire",40+,,16,,,,,,,,,,,,,,,,,,,Beckett Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stampede during penny performance for children resulting in deaths and injuries of attendees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barnsley Public Hall Disaster
3 March 1943,"Bethnal Green, London",,,173,,,,,"Largest loss of civilian life in the UK during the Second World War, occurred during air-raid shelter access attempt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bethnal Green tube station disaster
"December 5, 1876","Brooklyn, USA",,278+,,"Over 300 attendees died in the fire, many interred in a common grave at Green-Wood Cemetery & individually at Evergreens",,,Brooklyn Theatre fire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Theatre fire
9 March 1946,Burnden Park stadium,Hundreds,33,,,,"Exceeded capacity, human crush resulting in deaths and injuries",Burnden Park disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burnden Park disaster
11 February 1823,"Valletta, Malta",,,,,Boys fell down a flight of steps while trying to exit the Convent of the Minori Osservanti during carnival activities,,,,,,,,110 boys,"During the early 19th century in Malta, a tradition of gathering boys for a procession and giving them bread after Mass was aimed at keeping children away from carnival riots.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carnival tragedy of 1823
"March 4, 1908","Collinwood, Ohio",-,"172 students, 2 teachers, 1 rescuer",,"Collapse of building, significant casualties, unclear origin of fire, multiple explanations, no legal accountability",,"Fire trap design, masonry exterior chimney effect, lack of fire breaks and proper exits, bottleneck at rear exit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Collinwood school fire
8 December 2018,"Corinaldo, Marche, Italy",59,6,,,"Possible irritant substance, railing collapse",,Lanterna Azzurra Stampede,,16-year-old boy and 7 adults arrested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corinaldo stampede
16 June 2018,"Caracas, Venezuela",NA,,19,,,,,,,,,,,,,,,,,,Tear gas detonation during student brawl at club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Victims died from asphyxia and polytrauma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,El Para铆so stampede
11 April 2001,"Johannesburg, Gauteng, South Africa",,43,,"Match halted, crowd dispersed, bodies laid out for identification, worst sporting accident in South African history",,"Surging crowd crush during Soweto derby football match, poor crowd control, bribed security personnel",Ellis Park Stadium disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ellis Park Stadium disaster
24 May 1964,"Lima, Peru",-,300+,,"Increased stadium security, investigation into the incident, safety improvements",,"Crushed against steel shutters, asphyxiation from tear gas exposure",Estadio Nacional disaster,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estadio Nacional disaster
31 December 1929,"Paisley, Scotland, UK",Up to 40,71,,,Smoking film canister at the Glen Cinema during a matinée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nitrate film used, children aged between infants to 14-years-old, crowded conditions, escape door locked, balcony jumps to escape, thick smoke filling the auditorium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glen Cinema disaster
6 July 1944,"Hartford, Connecticut",700+,,167+,,,,,"Largest circus in the country, shortages of personnel and equipment due to World War II",,"6,000 - 8,000",,,,,N/A,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hartford circus fire
29 May 1985,"Brussels, Belgium",600,39,,"All English football clubs banned from European competitions, 14 Liverpool fans found guilty",,Liverpool fans breach causing Juventus fans to be pressed against a collapsing wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heysel Stadium disaster
15 April 1989,"Sheffield, South Yorkshire, England",766,97,,"Abandoned match restaged at Old Trafford, false stories blaming Liverpool fans by police, Taylor Report, safety improvements in football grounds",,"Overcrowding in standing-only central pens allocated to Liverpool supporters, opened exit gate C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hillsborough disaster
29 March 2009,Stade Félix Houphouët-Boigny,135,,19,,"Jostling among crowds, tear gas fired by police",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Didier Drogba, Sol Bamba, Salomon Kalou",2010 FIFA World Cup qualification match between Malawi and Ivory Coast,"Investigation, fine imposed on Ivorian Football Federation, safety measures implemented",,,,,,,,,,,,,,,,,,,,,,,,,,,Houphou毛t-Boigny Arena stampede
30 Dec 1903,"Chicago, Illinois",,,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,602","Main floor (700 seats), dress circle/balcony (400 seats), gallery (500 seats), single entrance, common stairway, lack of separate stairways and exits for each balcony",,,,,,,,,,,,,,,,,,,,,,,,,Iroquois Theatre fire
24 Dec 1913,"Calumet, Michigan",,73,,"Continued strike, impact on the mining industry",,Stampede due to false fire alarm,Italian Hall Disaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian Hall disaster
8 February 1981,"Karaiskakis Stadium, Greece",55+,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Partially closed door leading to balance loss, falls, crush, and trampling by incoming fans","Memorial service on February 8 yearly, reconstruction of the stadium, ongoing debates on accident causes",,,,,,,,,,,,,,,,,,,,,,,Karaiskakis Stadium disaster
10 Sep 2019,"Karbala, Iraq",100+,31,,,Conflicting accounts - walkway collapse and person tripping,,,"Stampede during Ashura processions in Karbala, an important Islamic holiday",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karbala stampede
30 May 1896,"Moscow, Russia","9,000 - 20,000","1,282",,"Festivities continued as planned, with many attendees unaware of the tragedy that occurred",,"Police failed to maintain order, leading to a catastrophic crowd crush; victims trampled and suffocated in a ditch",Khodynka Tragedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khodynka Tragedy
27 January 2013,"Santa Maria, Rio Grande do Sul, Brazil",630+,245,,"Increased fire safety regulations, increased awareness of fire hazards, lessons learned from tragedy",,"Band ignited pyrotechnic device causing fire, lack of emergency exits",Kiss nightclub fire,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kiss nightclub fire
21 November 2014,"Kwekwe, Zimbabwe",40,,11,,,,,,,"30,000",,,,,,,,,,,,,,"Stampede at Mbizo Stadium during a religious service officiated by Walter Magaya, teargas fired by police",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kwekwe stadium stampede
22 August 2020,"Los Olivos, Lima, Peru",6,,13+,,Raid by National Police of Peru on Thomas Restobar nightclub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ban on large gatherings, curfew, nightclubs closed","Raid conducted due to illegal gathering, authorities discovered over 120 people in the club",,,,,,,,,,,,,,,,,,,,,Los Olivos stampede
