Location,Date,Casualties,Event Trigger,Time,Description,Survivors,Event,Rescue Operations,Impact,Fatalities,Nationality of Victims,Houses Destroyed,People Involved,Number of Casualties,Injured,Organizations Involved,Previous Avalanches,Population,Individuals Involved,Number of Avalanches,Area,Capital City,Historical Background,Speed,Cause of Death,Total Casualties,1992 Görmeç avalanche,"This table provides a concise summary of the key information related to the 1992 Görmeç avalanche, including the date, location, total number of casualties, and the specific number of soldiers among the victims.",Number of Fatalities,Fatalities in Season,Avalanche Speed,Snowfall,Hazard Zones,Contributing Factors,Impact on Structures,Victims Nationality,Rescues,Details,Hikers,Houses Struck,Rescue Difficulties,Response from Authorities,Additional Details,Individuals Trapped,Altitude,Outcome for Trapped Individuals,Context,Cause,Number of People Involved,Soldiers,Civilians,Bordering Countries,Ethnic Groups,Historical Significance,Famous Empires,Neighboring Countries,City,Province,Country,Main River,Surrounding Mountains,Economic Focus,Notable Features,Main Deposit Distance,Glacier Chunk Thickness,Earthquake Details,County Name,Origin of Name,,Factors,People Present,Avalanche Weight,Avalanche Warning,Involvement,Investigations,Deliberate Shell-Firing,Additional Avalanches,Estimated Total Casualties,Commemorative Holiday,"Term ""White Friday""",Barracks Construction Details,Time Period,Locations,Residential Damage,Economic Impact,Unique Incidents,trigger
"Galtür, Austria",23 February 1999,57,,,,,Galtür avalanche,,,31,,,,,,,,,,,,,,,,,,,,,290 km/h,4m,"Red, Yellow, Green","Large snowfalls, freeze-thaw conditions, weak snow layer, wind speeds, avalanche dam locations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Galt眉r avalanche
French Alps,"February 9, 1999",12,,14:20,"Destructive avalanche occurred on Peclerey slope with two convex slopes, impacting local communities and structures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multiple structures damaged/destroyed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999 Montroc avalanche
"Columbia Mountains, foot of Mount Cheops, British Columbia, Canada",1 February 2003,7,2003 Connaught Creek Valley avalanche,Not provided,"7 teenage scholars and their 3 adult group leaders from Strathcona-Tweedsmuir School near Okotoks were swept away while on a backcountry skiing trip, despite receiving avalanche education and following safety procedures",,,,,,,,,,,"Andrew Nicholson, Dale Roth, mountain guides",,,,,,,,,,,,,,,,,,,,Not provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Connaught Creek Valley avalanche
"Kabul, Afghanistan",16 January,10 killed,2009 Afghan avalanches,,,,,,"Highway struck, machinery swept away",,,,,,11,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Afghan avalanches
"Buachaille Etive Mòr, Scotland",24/01/2009,,,,"Avalanche on a mountain known for tourists, described as a major disaster in the Scottish mountains, in the Coire na Tulaich area with a history of avalanches",,,"Major search with helicopters, Glencoe Mountain Rescue Team, detection dogs",,,"Two from Northern Ireland, one from Scotland",,,"3 killed, 1 injured",,,"1995, six deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Buachaille Etive M貌r avalanche
"Sölden, Austria",2 May 2009,6,2009 Schalfkogel avalanche,,,1 survivor,,,,,Five Czechs and one Slovak,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deadliest avalanche in Austria since March 2000, hikers buried under 2.5 meters of snow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Schalfkogel avalanche
"Mount Zigana, Gümüşhane Province, Turkey",25 January,,,,,6,2009 Zigana avalanche,,,11,,,,,,"AKUT, civilian defense, public administrations, local gendarmerie",,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Zigana avalanche
"Kohistan District, NWFP, Pakistan","February 17, 2010",At least 38,2010 Kohistan avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 4,"Blocked roads, communication issues, request for helicopter and heavy machinery for rescue operation","Prime Minister's directives, grief, and sorrow expressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Kohistan avalanche
"Southern approach to Salang Tunnel, Afghanistan",7-8 February,At least 41,2010 Salang avalanches,,,Many,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consisted of 36 avalanches caused by a freak storm in the Hindu Kush mountains. 10 killed in Kandahar Province, 11 in Farah, Bamyan, Ghor, and Daykundi provinces. Heavy wind and rain caused 17 avalanches.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Salang avalanches
"Gayari Sector, Siachen Glacier region",7 April 2012,129 soldiers and 11 civilians,2012 Gayari Sector avalanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140 soldiers and civilian contractors,"4,000 meters",129 soldiers and 11 civilians killed,"Site of conflict between India and Pakistan, worst avalanche for Pakistani military in the area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Gayari Sector avalanche
"Tunnel Creek section of Stevens Pass, Cascade Mountains, Washington","February 19, 2012","3 fatalities, 1 injured",2012 Tunnel Creek avalanche,,"Slab avalanche measuring 200 feet across and three feet deep, triggered by group of skiers, resulted from unstable snow pack after large snow storm",,,,,,,,,,,,,,"Chris Rudolph, 15 top free skiers and snowboarders, including Elyse Saugstad, Jim Jack, John Brenan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Tunnel Creek avalanche
"Khumbu Icefall, Mount Everest",18 April 2014,16,2014 Mount Everest Ice Avalanche,N/A,,N/A,,,,,,N/A,Sherpas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Mount Everest avalanche
"Annapurna and Dhaulagiri, Nepal","October 14, 2014",43,2014 Nepal snowstorm disaster,,"A disastrous snowstorm and avalanches occurred, resulting in the deaths of at least 43 people, including 21 trekkers in Manang and Mustang Districts of Nepal.",,,Search and rescue efforts saved up to 400 individuals,,,Citizens from several countries,,,"21 trekkers, numerous locals",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Nepal snowstorm disaster
"Panjshir Province, Afghanistan","February 24–28, 2015","310 killed, 129 wounded",Chunky Avalanche,,,,,,,,,,"1,000 Afghani troops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heavy snowstorms leading to avalanches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Afghanistan avalanches
"Mount Everest, Nepal",25 April 2015,22,2015 Mount Everest Avalanche,Afternoon,,At least 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Mount Everest avalanches
"Wattenberg, Austria",6 February 2016,,2016 Geier avalanche,Shortly after midday,"Avalanche in the Geier mountain range, 2,800-metre, near Lizumer Hütte hut, 2km wide area in the Wattental Valley, Tyrol, spread over 19 avalanches in the region",12,,"Dogs, helicopters, search and rescue teams",,5,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Geier avalanche
"Jammu and Kashmir, India",25 January 2017,24,,,,,Gurez Avalanche Accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Gurez sector avalanche
"Bahçesaray, Van Province, Turkey",4-5 February,41,"Avalanches near Bahçesaray, Van Province",,"Two avalanches occurred on 4 February, burying vehicles and leading to a rescue operation involving 350 people. A second avalanche struck on 5 February, causing additional casualties. In total, at least 41 people were killed and 84 others were injured. Major rescue efforts faced challenges due to severe weather conditions.",N/A,,,,,,,,,,"AFAD, National Medical Rescue Team, Gendarmerie Search and Rescue Battalion Command, Turkey's Disaster and Emergency Management Presidency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020 Van avalanches
Central and South Asia,,,,,,,,,,,,,,,,,,40.2 million,,,"652,864 square kilometers",Kabul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pakistan, Iran, Turkmenistan, Uzbekistan, Tajikistan, China","Pashtuns, Tajiks, Hazaras, Uzbeks","Known as the ""Heart of Asia"", ""Graveyard of Empires""","Durrani Afghan Empire, Greco-Bactrians, Mughals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Afghanistan
Central Europe,,,,,,,,,,,,,,,,,,9 million,,,"83,879 km2",Vienna,"Originally part of Bavaria, later Holy Roman Empire and Austro-Hungarian Empire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germany, Czech Republic, Slovakia, Hungary, Slovenia, Italy, Switzerland, Liechtenstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
,,,,,,,,,,,,,,,,,,"Over 5,000 within city limits, additional 2,000 outside city limits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fernie,British Columbia,Canada,Elk River,"Mount Fernie, Mount Klauer, The Three Sisters, Mount Proctor, Mount Hosmer, Fernie Ridge, Morrissey Ridge, Lizard Range",Mountains and ski resorts,"Fernie Alpine Resort, Island Lake Catskiing",,,,,,,,,,,,,,,,,,,,,,,,Flathead Valley avalanches
"Mount Kazbek massif, North Ossetia-Alania",20 September 2002,,,,,,Kolka-Karmadon rock-ice slide,,,120+,,,,,,,,,,,,,,100 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 km,150 m,,,,,,,,,,,,,,,,,,,,,,Kolka-Karmadon rock ice slide
Northeast Tajikistan and Kyrgyzstan,13 July 1990,43,Lenin Peak disaster,,,,,,"Deadliest mountaineering disaster in history, caused by tectonic uplift from collision of Indian Plate and Eurasian Plate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moment magnitude scale 6.4 earthquake at a depth of 216.8 km beneath the Hindu Kush mountains in Afghanistan,,,,,,,,,,,,,,,,,,,,,Lenin Peak disaster
"Lewes, East Sussex",27 December 1836,8 killed,Lewes avalanche,,"Deadliest avalanche in the UK; snow from Cliffe Hill collapsed onto Boulder Row cottages, killing eight people.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lewes avalanche
,,,,,,,,,,,,,,,,,,,,,,,"Originally called Romsdalens amt, later changed to Møre fylke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Møre og Romsdal,"Created in 1936, referring to Nordmøre, Sunnmøre, and Romsdal","Name ""Mǿrr"" interpreted as ""coastland"" or ""bogland""",,,,,,,,,,,,,,,,,,M酶re og Romsdal
"Gran Sasso d'Italia, Farindola",18 January 2017,29,,,,11 survivors,,,,,,,,,11,,,,,,,,,100 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Earthquakes, Record Snowfall","40 (28 guests, 12 employees)","40,000-60,000 tonnes (initial), 120,000 tonnes (weight increased)",,,,,,,,,,,,,,,Rigopiano avalanche
"Massif des Cerces, France",18 January 2016,6 Legionnaires,,13:50,,,2016 Massif des Cerces Avalanche,"Quick response, search with dogs and detection kits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Level 3,"French Foreign Legionnaires, 2nd Foreign Engineer Regiment, 27th Mountain Infantry Brigade",French military and state prosecutors investigating potential risks,,,,,,,,,,,,Valfr茅jus avalanche
"Mount Marmolada, Italian Front of World War I",13/12/1916,270 soldiers killed in Austro-Hungarian barracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Yes, affected Italian and Austro-Hungarian positions","At least 2,000 soldiers, few dozen civilians",Saint Lucia,Coined for the disastrous day,Built on Gran Poz summit by 1st Battalion of Imperial Rifle Regiment Nr.III,,,,,,White Friday (1916)
,,,,,,,,,,265,,,,,,,,,,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter of Terror (1950–1951),Alps along Austria-Switzerland border,Many villages destroyed,Thousands of acres of forest damaged,Andermatt hit by six avalanches resulting in 13 deaths,Winter of Terror
