Dates,Location,Official Name,Popular Name,Sports,Athletes,Number of Nations,Commonly Known As,Unique Circumstances,Events,Standout Performances,Participating Countries,Disciplines,Number of Athletes,Debuting Nations,Top Country - Medals,Total Events,Medal Standings - Gold,Medal Standings - Total,Bidding Process,Year,Future Games,Nations,Significance,Host City Selection,Bid Winner,Final Contenders,Previous Hosts,Nations Represented,New Sports,Medal Standings,Participating Nations,Boycotts,New Olympic Sport,Second Place,Language,Motto,Countries,New Events,Logo,Official Decision,Announcement,Nations Participated,Medal Distribution,Standout Performer,Main Venue,Number of Sports,Hosting Proposal,Notable Achievements,Medal Format,Reasons,Duration,Bids Received,Reason for Relocation,Notable Features,Sanctioned Nations,Opening Ceremony Date,Host City,Hosted Prior,Standout Performers,Bidding Cities,Total Cost,Revenue,Profit/Loss,Financial Details,Events & Sports,Art Competitions,Sports Venues Used,Cost Control Measures,IOC Vote,Infrastructure,Broadcasting,Filmmaker,Political Influence,Exclusion of Jews,Ticket Revenues,Winter Debuting Nations,Returning Nations,Reasons for Nickname,Standout Performance,Northernmost City,Consecutive EU Games,World Records,Medal Leaders,Significant Debut,Women Participants,Equestrian Events,Southern Hemisphere,Seasons,Southernmost City,Special Circumstances,Future Hosts,Significant Events,First Olympics in Asia,South Africa Exclusion,Technological Advances,Documentary Film,Name,Track Innovation,Timekeeping,Medal Achievements,Torch Relay,Bid Selection,South Africa,Notable Changes,Common Name,Munich Massacre,Nazi Regime,Symbol/Logo,Mascot,Theme Color,Fanfare Composer,Medal Leader,Olympic Park,Competition Sites,Stadium Design,Bid Winners,Competing Cities,Decision Announcement,Host Selection,Significant Boycotts,Host for Paralympics,Subsequent Games,Number of Nations Represented,Reason for Boycott,First-Time Nations,Most Medals - Gold,Most Medals - Total,Debutant Nations,Reasons for Boycott,Financial Success,Future Olympic Hosting,Debut Nations,Volunteers,Host Rank,Media Coverage,National Olympic Committees,Notable Performances,Legacy,Host Country,First Summer Olympics in,IOC Decision,Debut of Nations,Notable Milestones,Previous Bid Loss,Host Decision,Number of Countries,Debutants,Olympic Truce,Olympic Debuts,Total Medals,Medal Table,Nearby Communities,Previous Bid Attempts,Host Selection Date,Beaten Bids,Japan's Olympic History,Successor Event,Nations Participating,New Sports Introduced,Third Place,Standout Athlete,Notable Record,Estimated Cost,IOC President,Successor,Future Host,Reception,Team Officials,Medal Events,Significant Fact,Medal Design,Impact,Feedback,Mascots,Voting Process,Hosting by,Viewership Statistics,Organizing Committee,Host Country Achievements,Opening Ceremony,Closing Ceremony,Sustainability,Notable Achievement,Praise,Number of Events,Key New Competitions,Venues,Cost,Broadcast Audience,Significant Detail,Significant Achievement,Debut Sports,Controversies,Concerns/Controversies,Number of Hostings,Paris2004 Significance,Hosted by,Followed by,Bid Withdrawals,Concurrent Hosting,Host Cities,Decision-Making Process,New Addition,Historical References,US Previous Olympic Hosts,Significance for LA,Previous Hostings,Key Changes,Selection Process,Charter Modification,trigger
6 to 16 February 1936,"Garmisch-Partenkirchen, Bavaria, Germany",IV Olympic Winter Games,,4,,28,Garmisch-Partenkirchen 1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Australia, Bulgaria, Greece, Liechtenstein, Spain, Turkey","Estonia, Latvia, Luxembourg, Netherlands, Yugoslavia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 Winter Olympics
29 July to 14 August 1948,"London, England, United Kingdom",,,,"4,104 athletes (3,714 men, 390 women)",,,,,,,,,,,,,,,,,,,,,,,59 nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Austerity Games"" due to the post-WWII economic difficulties",Fanny Blankers-Koen winning four gold medals in athletics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 Summer Olympics
30 January to 8 February 1948,"St. Moritz, Grisons, Switzerland",V Olympic Winter Games,,4,,28,St. Moritz 1948,"First Games after World War II, challenges due to post-war environment",,"Bibi Torriani (Olympic Oath), Dick Button, Barbara Ann Scott, Henri Oreiller",,22,Approximately 670,,,,,,,,None (No Winter Olympics held in St. Moritz post-1948),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 Winter Olympics
19 July to 3 August 1952,"Helsinki, Finland",Games of the XV Olympiad,Helsinki 1952,,,,,,,,,,,"Soviet Union, People's Republic of China, Hong Kong, Indonesia, Israel, Thailand, Saarland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Most broken until 2008 Beijing Games,United States (Most gold and total medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 Summer Olympics
14 to 25 February 1952,"Oslo, Norway",VI Olympic Winter Games,Oslo 1952,4,694 representing 30 countries,,,"Norway hosting following World War II, creating athlete's village",22,Norwegian Hjalmar Andersen excelled in speed skating,30 countries,,,Portugal and New Zealand made their Winter Olympic debuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japan and Germany made their returns to Winter Olympic competition,Women allowed to compete in cross-country skiing for the first time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 Winter Olympics
22 November to 8 December 1956,"Melbourne, Victoria, Australia",Games of the XVI Olympiad,Melbourne 1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eight teams boycotted the Games for various reasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Held in Stockholm, Sweden in June 1956",First Games staged in this region,Held during the host's spring/summer,Melbourne is the most southerly city to host Olympics,Equestrian events held in Stockholm due to quarantine regulations,Australia hosted in 2000 (Sydney) and will host in 2032 (Brisbane),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Summer Olympics
26 January to 5 February 1956,"Cortina d'Ampezzo, Veneto, Italy",VII Olympic Winter Games,,4,,32,Cortina d'Ampezzo 1956,Italian army transporting snow for alpine skiing events,,"Toni Sailer's alpine skiing sweep, Last outdoor figure skating competition",,,,,,,,,,,Co-hosting with Milan the 2026 Winter Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Winter Olympics
25 August to 11 September 1960,"Rome, Lazio, Italy",Games of the XVII Olympiad,Rome 1960,,,,,,,,,,,,,,Soviet Union (43 gold medals),Soviet Union (103 total medals),"Tokyo, Mexico City, Toronto among contenders",,,,,,,"Rome, Brussels, Tokyo, Mexico City, Detroit, Budapest, Lausanne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83 nations participated, new countries debut, construction projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 Summer Olympics
"February 18 to 28, 1960","Squaw Valley Resort, California, United States",,,4,,,,"Bobsled not included, intimate layout",27,,,,,,,,,,,1960,1960 Winter Olympics,30,,,,,,,,,,,"Biathlon, women's speed skating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 Winter Olympics
10 to 24 October 1964,"Tokyo, Japan",Games of the XVIII Olympiad,Tokyo 1964,,,,,,,,,,,,,,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Due to apartheid,"First telecast internationally without tapes, color telecasts",Tokyo Olympiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 Summer Olympics
"January 29 to February 9, 1964","Innsbruck, Tyrol, Austria",,,Six,,36,,Austrian army mobilized due to snow shortage,,"Lidia Skoblikova, Klavdiya Boyarskikh, Sixten Jernberg, Christine and Marielle Goitschel",,Ten,"1,091","North Korea, India, Mongolia",,Thirty-four,Soviet Union (11),Soviet Union (25),,1964,1976 Winter Olympics held in Innsbruck,,,,Innsbruck,,,,,,,,Luge,Austria (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IX Olympic Winter Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 Winter Olympics
12 to 27 October 1968,"Mexico City, Mexico",Games of the XIX Olympiad,Mexico 1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Spanish-speaking country to host the Olympics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Olympics to use all-weather track for track and field events,First Olympics to use electronic timekeeping equipment exclusively,United States won the most gold and overall medals,"Route from Greece through Italy and Spain to San Salvador Island, Bahamas, then Mexico","Mexico City chosen over Detroit, Buenos Aires, and Lyon to host the Games",Provisionally invited to the Games with the condition of ending segregation by 1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Summer Olympics
6-18 February 1968,"Grenoble, Auvergne-Rhône-Alpes, France",X Olympic Winter Games,,,,,,,,"Jean-Claude Killy (3 gold medals), Peggy Fleming (1 gold)",37 countries,,,,Norway (most gold and overall medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Separate entries for East and West Germany, IOC drug and gender testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Winter Olympics
26 August to 11 September 1972,"Munich, Bavaria, West Germany",Games of the XX Olympiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Die Heiteren Spiele"" (the cheerful Games)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munich 1972,Eleven Israeli athletes and one West German police officer killed,Second Summer Olympics held in Germany after 1936 Berlin Games,Blue solar logo designed by Otl Aicher,"Dachshund ""Waldi"" - first named Olympic mascot",Sky-blue dirndls worn by hostesses to promote cultural heritage,Herbert Rehbein,Soviet Union (most gold and overall medals),"Based on Frei Otto's plans, a Munich landmark post-Games","Olympic swimming hall, Olympics Hall, Olympic Stadium",Revolutionary design with acrylic glass canopies,"Munich won the Olympic bid over Detroit, Madrid, and Montréal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Summer Olympics
3-13 February 1972,"Sapporo, Hokkaidō, Japan",XI Olympic Winter Games,Sapporo 1972,6 sports,,,,"Construction of new facilities, economic boon for Sapporo, successful sport week",35 events,not mentioned in the background text,35 nations,,not mentioned in the background text,"Republic of China, Philippines",,,not mentioned in the background text,not mentioned in the background text,,,,,,,Sapporo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Banff, Lahti, Salt Lake City","26 April 1966, 64th IOC Session in Rome, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Winter Olympics
"July 17 to August 1, 1976","Montreal, Quebec, Canada",Games of the XXI Olympiad,Montreal 1976,,,,,,,,29 countries boycotted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal chosen over Moscow and Los Angeles,African countries due to New Zealand issue,Toronto also hosted 1976 Summer Paralympics,"Calgary 1988, Vancouver 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Summer Olympics
"February 4 to 15, 1976","Innsbruck, Tyrol, Austria",XII Olympic Winter Games,,6,,37,Innsbruck 1976,"Second time Innsbruck hosted Winter Olympics, Denver's rejection, Schneemann mascot",,"Rosi Mittermaier, Franz Klammer",,,,"Taiwan, Yemen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Winter Olympics
19 July to 3 August 1980,"Moscow, Russian SFSR, Soviet Union (now Russia)",Games of the XXII Olympiad,,,,,Moscow 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 nations represented,Soviet-Afghan War,"Angola, Botswana, Cyprus, Jordan, Laos, Mozambique, Seychelles",Soviet Union,Soviet Union and East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Summer Olympics
