Date,Location,Casualties,Event,Responsible Party,Suspected Cause,Previous Attacks,Arrests/Convictions,Method of Attack,Target,Motive,Aftermath,Government Response,Investigation,Duration,Suspects,Details,Details of Victims,Injuries,Responsible Group,Hostages,Outcome,Incident,Special Forces Involvement,Motive and Demands,1994 Baku Metro bombings,Security Plan Activation,Key Officials,Claimed Attacks,Suspected Group,Coordinates,Key Findings,Suspected Cause/Responsible Party,Notable Details,Government Response/Investigation,International Reaction,Train,Timing of Explosion,Attacker,Victims,Weapon Used,Police Response,Attacker's Interaction,Reported Statements,Suspect,Background,Response,Type of Attack,"Feb 29, 1948","Mar 31, 1948","Apr 22, 1947","May 15, 1947","Aug 9, 1947","Sep 29, 1947",Background Information,Impact on Railway Service,Previous Arrests/Convictions,Details of Incident,Timing of Accident,Rizal Day bombings,"This table outlines the essential details of the Rizal Day bombings in the Philippines, including the event date, locations of the bombings, casualties, responsible parties, explosives used, the origin of materials, and the subsequent arrest and confession of a suspect.",Tarnów train station bombing,,Suspected Perpetrator,Key Players Involved,trigger
3 December 1996,"Paris, France","4 killed (2 French citizens, 1 Moroccan, 1 Canadian)",Port-Royal REB bombing,Unclaimed,,,,,,,,,,,,,,,,,,,,,,"""Vigipirate"" security plan activated","Jean-Louis Bruguière, Jean-François Ricard",GIA campaign,GIA,48°50′24″N 2°20′13″E﻿ / ﻿48.8399°N 2.3370°E﻿ / 48.8399; 2.3370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Paris M茅tro bombing
10 August 2001,"Zenza and Dondo, Angola",Approximately 250 killed,2001 Angola Train Attack,UNITA (National Union for the Total Independence of Angola),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001 Angola train attack
13 March 2003,Mulund railway station,"10 killed, 70 injured",Mulund Train Bombing,,,,,,,,,,,,,,"4 women including 2 police constables, 6 men",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Mumbai train bombing
5 December 2003,"Yessentuki, Stavropol Krai, Russia","46 killed, 170+ injured",2003 Stavropol train bombing,Chechen terrorists,,"September 3, 2003 (7 killed, 80+ injured)",None as of 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003 Stavropol train bombing
11 March 2004,"Madrid, Spain","193 killed, around 2,000 injured",2004 Madrid train bombings,Al-Qaeda in Iraq,,N/A,Spanish miners involved in selling explosives arrested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004 Madrid train bombings
28 July 2005,"Jaunpur, Uttar Pradesh, India","13 killed, 50 injured",2005 Jaunpur train bombing,,Islamic extremism,,,,,,,,,,,,,,,,,,,,,,,,,,"RDX explosive used, suspects with white suitcase fled",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Jaunpur train bombing
20 November 2006,"West Bengal State, India","5 killed, 50-25 injured",Train Disaster,,Terrorism suspected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006 West Bengal train disaster
18 February 2007,"Diwana near Panipat, India","70 killed, dozens injured",Samjhauta Express Bombing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hindu fundamentalist group/Rashtriya Swayamsevak Sangh, Lashkar-e-Taiba","Found evidence of explosive-laden suitcases, alleged mastermind deceased in 2007","Eight people charged, including Hindu cleric; suspects absconding or in prison; NIA court acquitted accused in 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007 Samjhauta Express bombings
27 November 2009,"Near Bologoye, Tver Oblast, Russia",27 reported dead,2009 Nevsky Express bombing,Not specified,Terrorism,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Nevsky Express bombing
28 May 2010,"West Midnapore district, India","148 dead, 180+ injured",Train Derailment,Maoist Naxalites,Sabotage or bomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Gyaneshwari Express derailment
"March 29, 2010","Moscow Metro, Russia","40 killed, 100+ injured",2010 Moscow Metro bombings,Caucasus Emirate,,2004 Avtozavodskaya and Rizhskaya bombings,Arrest of Magomedali Vagabov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Moscow Metro bombings
11 April 2011,"Minsk Metro, Belarus","15 killed, 204 injured",Minsk Metro bombing,,,,,,,,,"Criminal investigation, classified as a terrorist attack",Arrest and execution of suspects,,Dzmitry Kanavalau and Vlad Kavalyov,,,,,,,,,,,,,,,,,,,,UN Security Council condemnation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011 Minsk Metro bombing
1 May 2014,Chennai Central railway station,1 killed,,,,,,,,,,"Search operation, bombs planted several hours before blast, NIA assistance, SIT investigation.",Suspect detained found innocent; Special Investigation Team; NIA involvement; CB-CID probe,,,,"24-year-old female, TCS employee from Bangalore",14 injured,,,,,,,,,,,,,,,,,,12509-Guwahati–Bangalore Kaziranga Express,7:15 a.m.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Chennai train bombing
1 December 2015,"Bayrampaşa—Maltepe station, Istanbul, Turkey",5 injured,Istanbul Metro bombing,Terrorism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015 Istanbul metro bombing
18 July 2016,"Treuchtlingen to Würzburg, Germany",5 wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riaz Khan Ahmadzai,4 Hong Kong tourists and 1 German woman,Hatchet and knife,SEK unit shot attacker dead,Attacker tried to flee and attacked police with hatchet,"Shouted ""Allahu Akbar!""",,,,,,,,,,,,,,,,,,,,,,2016 W眉rzburg train attack
"March 7, 2017","Jabri railway station, Shajapur district, Madhya Pradesh",10 injured,2017 Bhopal–Ujjain Passenger train bombing,Islamic State,,None mentioned,6 arrested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017 Bhopal–Ujjain Passenger train bombing
"April 3, 2017",Saint Petersburg Metro between two stations,"Initially 7 dead, total of 15 dead, 45 injured",,,,,,,,,,,,,,"Explosive device in a briefcase, second device defused",,,,,,,,,,,,,,,,,,,,,,,,,,,,Akbarzhon Jalilov,"ISIL plot to target St. Petersburg, propaganda",Increased security measures,,,,,,,,,,,,,,,,,,,2017 Saint Petersburg Metro bombing
7 July 2005,"London, UK","52 killed, 700+ injured",7 July 2005 London bombings,Islamist terrorists,,,,,Commuters on public transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suicide attack,,,,,,,,,,,,,,,,,,7 July 2005 London bombings
2 August 1980,"Bologna Centrale railway station, Bologna, Italy","85 killed, 200+ wounded",Bologna Massacre,Nuclei Armati Rivoluzionari,,,,Time bomb hidden in a suitcase,,,"Roofs collapsed, main building destroyed, victims provided first aid by bystanders, transportation issues for injured, medical staff returning to work, public demonstrations, symbolized by #37 bus and clock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bologna massacre
30 December 1996,"Western Assam, Eastern India",33 confirmed (possibly more),Brahmaputra Mail train bombing,Bodo Security Force (blamed),"Terrorism, remote control device",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brahmaputra Mail train bombing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British military coaches,Civilian passenger train,British officers and civilians,British army and commuters,British troop train,Not specified,,,,,,,,,,,,Cairo–Haifa train bombings 1948
17 January 1980,"Ballymena to Belfast, Northern Ireland","3 killed, 5 injured",Dunmurry Train Bombing,,,,,,Passenger train service,,,,,,,,,,Provisional IRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dunmurry train explosion
6 February 2004,"Avtozavodskaya subway station, Moscow","41 killed, up to 120 injured",February 2004 Moscow metro bombing,Gazoton Murdash group,Terrorism: suspected Chechen separatists,,"Tambiy Khudiyev, Maksim Panaryin, and Murad Shavayev given life sentences for terrorism and murder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,February 2004 Moscow metro bombing
4 August 1974,"San Benedetto Val di Sambro tunnel, Italy","12 killed, 48 wounded",Italicus Express Massacre,Ordine Nero,,,,,,"Seeking to drown democracy under a mountain of corpses, aiming for revenge for a prior incident.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A neo-fascist organization claimed responsibility for a bomb attack on the Italicus Express night train, resulting in casualties and injuries. The attack occurred in the early hours of the morning, causing devastation.",,,,,,,,,,,Italicus Express bombing 1974
27 January 2003,"Vile Parle railway station, Mumbai, India","1 killed, 28 injured",Vile Parle Bombing,,Terrorist bombing,"Yes, a series of five bombings in Mumbai within eight months",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,January 2003 Mumbai bombing
13 May 2002,"Jaunpur, Uttar Pradesh, India","12 killed, 80 injured",Jaunpur train crash,Student's Islamic Movement of India,"Sabotage, removal of fishplates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaunpur train crash
21 December 2002,"Kurnool district, Andhra Pradesh, India","20 killed, 80+ injured",Kurnool Train Crash,,Sabotage,,,,,,,,,,,,,30 hospitalized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Line cleared for service resumption,,,,,,,,,,Kurnool train crash
"August 17, 1949","Fukushima Prefecture, Japan",Three crew members killed,Matsukawa derailment,"Suspected Japanese Communist Party, Japan National Railway Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twenty people arrested and seventeen convicted in 1953, all acquitted on appeal in 1970",,,,,,,,,Matsukawa derailment
"July 15, 1949","Tokyo, Japan","6 killed, 20 injured",Mitaka Incident,Keisuke Takeuchi,,,,,,,,"Death sentence for Takeuchi, acquitted defendants, denied retrial","Indicted individuals, perjury, court ruling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Unmanned train derailed, killing 6 and injuring 20, resulting in indictments, court ruling, and claims of innocence",,,,,,,,Mitaka incident
15 September 2017,"Parsons Green Underground station, London, England","30 treated in hospital, mostly for burn injuries",,18-year-old Iraqi asylum seeker Ahmed Hassan,,4 other attacks in England preceding the bombing,Ahmed Hassan arrested and convicted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parsons Green train bombing
10 September 2002,"Rafiganj, North-Central India","130 killed, 150+ injured",Rafiganj Rail Disaster,,Local Maoist terrorist group (Naxalites),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:40 PM,,,,,,,Rafiganj train disaster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saifullah Yunos arrested, confessed involvement","This table outlines the essential details of the Rizal Day bombings in the Philippines, including the event date, locations of the bombings, casualties, responsible parties, explosives used, the origin of materials, and the subsequent arrest and confession of a suspect.",,,,,Rizal Day bombings
20 March 1995,"Tokyo, Japan","14 killed, 50 severely injured",Tokyo subway sarin attack,,,,,,Tokyo Metro trains passing Kasumigaseki and Nagatachō,,,,,,,,,,Aum Shinrikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarin gas attack on the Tokyo subway
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German saboteur,Anton Guzy,,,Tarn贸w train station bombing
23 December 1984,"Apennine Base Tunnel, Italy","16 killed, 266 wounded",Train 904 bombing,,,,,Remote-controlled bomb,,Distract Italian security forces from investigating Mafia,Maxi Trial against Mafia defendants; Effects on Mafia operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sicilian Mafia,Mafia boss Giuseppe Calò convicted; Salvatore Riina indicted,Train 904 bombing
