Satellite Name,Launch Date,Launch Vehicle,Other Names,Launch Time (UTC),Manufacturer,Design Life,Orbit Details,Orbital Period,Inclination,Launch Site,Operator,Purpose,Current Status,Configuration,Orbit Perigee,Orbit Apogee,PRN Signal,Constellation Slot,Orbit Inclination,Mass at Launch,Orbit Period,Satellite Bus,Operational Status,Milstar Block I DFS-1,Milstar Block I DFS-2,Milstar Block II (first satellite),Expected Lifespan,Communication Payload,Propulsion System,Payload,Power Source,Notable Incidents,Mission,Mission Duration,Mission Description,Mission Designation,Weight,Program Manager,Mission Objectives,Dimensions,Launch Time,Secondary Payloads,Orbital Inclination,Orbit,Mass,Launch Outcome,Deployment Status,Mission Details,Orbit Location,Landing Location,Deployment Details,Landing Site,Landing Time (UTC),Type,Additional Details,Project Status,Related Incidents,Primary Contractor,Delta-v,Final Status,Design,Performance,Designers,Launch Location,Modifications,Wing Dimensions,Number of Spacecraft,Main Objective,Program Funding,Fourth Stage Developer,Technical Features,Primary Mission Outcome,Satellite Names,Funding,Development Funding Source,Key Technology Features,Funding Source,Unique Characteristic,Program Name,Announced by,Announcement Date,Advanced Weapon Concepts Studied,Organization overseeing development,Year of establishment of SDIO,Directed by,Technologies Studied,Research Investment Focus,Lead of Innovative Sciences and Technology Office,Research Funding Sources,Contributions to Science and Engineering,Conclusion by American Physical Society,Destruction Details,Development Contractors,Launch Weight,Destruction Method,Details,Liftoff Time (UTC),Primary Payload,Background Information,COSPAR Code,Specific Use,Record,Mission Type,Antennas,Antenna Diameter,Director,Liftoff Direction,Official Updates,International Desig.,Payloads,Orbit Type,Operational Handover,Imaging Capabilities,Carrier Rocket,Deployment Orbit,Features,Postponed Launch Date,Records Broken,Landing Date,Orbit Duration,Operator/Manufacturer,Space Segment,Control Segment,Terminal Segment,Expected Operational Life,Flight Number,Notable Incident,Mission Logo,Payloads onboard,Significant Achievements,Orbital Position,System Segments,Bandwidth,Procurement Details,Longitude,System Components,Procurement,Key Feature,Bus Type,Sensors,Key Features,Notable Capabilities,Orbital Location,International Partners,Longevity,Objectives,Onboard Payloads,Duration in Orbit,Controversy,Reason for Failure,Launch Sequence,Tail Number,Deorbit Purpose,Primary Function,Purpose/Usage,Misty (1st Satellite),Misty (2nd Satellite),Misty (3rd Satellite),Shuttle Used,Crew Change,Payload Description,Notable Outcome,Development Entity,trigger
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-143
Misty Satellite,1 March 1990,Space Shuttle Atlantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classified reconnaissance project,"Objects decayed, launches planned, program cancelled",Lockheed Martin Space Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-144
USA-145,7 October 1999,Delta II,"GPS IIR-3, GPS SVN-46",12:51:01,,10 years,,,,Cape Canaveral Air Force Station,,,In service,7925-9.5,"20,096 km","20,267 km",PRN 11,"Slot 5, Plane D",53 degrees,,717.96 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-145
USA-150,11 May 2000,Delta II,"GPS IIR-4, GPS SVN-51",01:48:00,Lockheed Martin,10 years,"20,133 km (perigee), 20,234 km (apogee)",718.02 minutes,54.9°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-150
USA-151,16 July 2000,Delta II,"GPS IIR-5, GPS SVN-44, Navstar-48",09:17:00,,10 years,,,,,,,In service (as of 2012),7925-9.5,"20,184 km","20,426 km",PRN 28,"Plane B, Slot 3",55°,,722.98 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-151
USA-154,10 November 2000,Delta II,"GPS IIR-6, GPS SVN-41",17:14:02,Lockheed Martin,10 years,,724.28 minutes,,,,,No longer in service (as of July 2020),,"20,177 km","20,498 km",PRN 14,"Plane F, Slot 5",55°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-154
USA-156,30 January 2001,Delta II,"GPS IIR-7, GPS SVN-54",07:55:01,Lockheed Martin,10 years,"20,104 km (perigee), 20,266 km (apogee)",718.08 minutes,55 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-156
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-157
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-164
USA-165,"April 11, 2005",Minotaur rocket,XSS-11,,Lockheed Martin,,,,,Low Earth Orbit,,Testing technology for proximity operations and autonomous maneuvers,,,,,,,,,,,,,,,,,,,,,,,,,125 kg,,,,,,,,,,,,,,,,,,,,,,Over 600 m/s,"Re-entered the atmosphere on November 11, 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-165
USA-166,29 January 2003,Delta II,"GPS IIR-8, GPS SVN-56",18:06:00,Lockheed Martin,10 years,"20,155 km (perigee), 20,344 km (apogee)",720.7 minutes,55°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-166
"USA-168 (GPS IIR-9, GPS SVN-45)",31 March 2003,Delta II,,22:09:01,,10 years,,,,Cape Canaveral Air Force Station,,,In service (as of 2012),7925-9.5,"20,063 km","20,433 km",PRN 21,"Plane D, Slot 3",54.9 degrees,,720.64 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-168
,,,,,,,,,,,,,,,,,,,,,,,,-X wing payload deactivated,Replaced classified payload with ballast,Placed into lower orbit and damaged during deployment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-169
USA-17,,,,,,,,,,,,Built for the 2010 America's Cup challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sloop rigged racing trimaran, carbon fiber and epoxy resin construction","Capable of sailing at 2-2.5 times the true wind speed, high upwind and downwind velocity","VPLP Yacht Design, consultations with Franck Cammas","Anacortes, Washington","Extensive changes including wave-piercing hulls, engine addition, and a rigid sail wing","Initially 190 feet, extended to 223 feet, larger than a Boeing 747 wing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-17
"USA-175 (GPS IIR-10, GPS SVN-47)",21 December 2003,Delta II,,08:05:00,,10 years,,,,Cape Canaveral Air Force Station,,,Decommissioned (January 2022),7925-9.5,"20,043 km","20,319 km",PRN 22,"Plane E, Slot 2",55.1 degrees,,717.92 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-175
USA-177,20 March 2004,Delta II,"GPS IIR-11, GPS SVN-59",17:53:00,Lockheed Martin,10 years,"20,095 km (perigee), 20,271 km (apogee)",718.00 minutes,55°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-177
USA-178,23 June 2004,Delta II,"GPS IIR-12, GPS SVN-60",22:54:00,Lockheed Martin,10 years,"20,089 km (perigee), 20,277 km (apogee)",718.00 minutes,55.00°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-178
USA-180,6 November 2004,Delta II,"GPS IIR-13, GPS SVN-61",05:39:00,Lockheed Martin,10 years,"19,936 km (perigee), 20,426 km (apogee)",717.94 minutes,54.8°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-180
USA-183,26 September 2005,Delta II,"GPS IIR-14, GPS IIRM-1, GPS SVN-53",03:37:00,,10 years,,,,Cape Canaveral Air Force Station,,,In service (as of 2019),7925-9.5,"20,140 km","20,222 km",PRN 17,"Plane C, Slot 4",55°,,717.92 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-183
USA-184,28 June 2006,Delta IV,"NRO Launch 22, NROL-22",03:33:00,Boeing,Not specified,"Molniya orbit, perigee: 1,138 km, apogee: 39,210 km, inclination: 63.2°",Not specified,63.2°,,National Reconnaissance Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-184
MiTEx,21 June 2006,Delta II,,,,,,,,Cape Canaveral Space Launch Complex 17,,,,7925-9.5,,,,,,,,,,,,,,,,,,,,,Technology demonstration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 (USA-187, USA-188, USA-189)",Inspection of DSP-23 satellite,Microsatellite Demonstration Science and Technology Experiment Program,United States Naval Research Laboratory,"Photovoltaic arrays for power, small dimensions hard to detect in geosynchronous orbit",Satellites parked on opposite sides of Earth after completion of primary mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-187
,21 June 2006,Delta II,,,,,,,,Cape Canaveral Space Launch Complex 17,,,,7925-9.5,,,,,,,,,,,,,,,,,,,,,,,,Owen C. Brown,"Technology demonstration, inspection of failed satellite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA-187, USA-188, USA-189","US$8 million in 2007, US$10 million in 2008, US$8 million in 2009",Microsatellite Demonstration Science and Technology Experiment Program,"Hard to detect in geosynchronous orbit, experimental fourth stage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-188
"USA-187, USA-188, USA-189",21 June 2006,Delta II,,,,,,,,,,"Technology demonstration, inspection of failed missile detection satellite DSP-23",,,,,,,,,,,,,,,,,,,,,,,"Technology demonstration for DARPA, USAF, and US Navy",,,Owen C. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsatellite Demonstration Science and Technology Experiment Program,"Difficult to detect in geosynchronous orbit, equipped with photovoltaic arrays for power",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-189
,,,,,,,,,,,,Develop a missile defense system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strategic Defense Initiative (SDI),President Ronald Reagan,"March 23, 1983","Lasers, particle beam weapons, ground- and space-based missile systems",Strategic Defense Initiative Organization (SDIO),1984,US Department of Defense,"Sensors, command and control systems, high-performance computer systems","Basic research at national laboratories, universities, and industry",Dr. James Ionson,"National laboratories, universities, industry","Advancements in high-energy physics, supercomputing, advanced materials",Technologies were decades away from readiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-19
USA-190,25 September 2006,Delta II,"GPS IIR-15, GPS IIRM-2, GPS SVN-52",18:50:00,Lockheed Martin,10 years,"20,018 km (perigee), 20,343 km (apogee)",717.9 minutes,55°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-190
USA-192,17 November 2006,Delta II,"GPS IIR-16, GPS IIRM-3, GPS SVN-58",19:12:00,Lockheed Martin,10 years,"20,087 km (perigee), 20,277 km (apogee)",717.96 minutes,55 degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-192
USA-193,14 December 2006,,NRO Launch 21,,,,,,,,National Reconnaissance Office,Reconnaissance satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Approximately 4.6m long, 2.4m wide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Operation Burnt Frost,"Boeing, Lockheed Martin","Approximately 2,300 kg",Modified SM-3 missile fired from USS Lake Erie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-193
USA-195,11 October 2007,Atlas V,,,,,,,,Cape Canaveral Air Force Station,United States Air Force,,,,,,,,,"5,987 kg",,BSS-702,,,,,14 years,X-band and Ka-band transponders,"R-4D-15 apogee motor, XIPS-25 ion engines",,Solar arrays,,,,,,,,,,00:22 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-195
"USA-196 (GPS IIR-17, GPS IIRM-4, GPS SVN-55)",17 October 2007,Delta II,,12:23:00,,10 years,,,,Cape Canaveral Air Force Station,,,In service (as of 2015),7925-9.5,"20,149 km","20,214 km",PRN 15,"Plane F, Slot 2",54.8 degrees,,717.94 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-196
USA-197 (DSP-23),11 November 2007,Delta IV Heavy,DSP-23,,,,,,,"SLC-37B, Cape Canaveral Space Force Station",United States Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missile detection satellite, part of the Defense Support Program",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-197
USA-198,10 December 2007,Atlas V,NRO Launch 24,22:05,,,,,,"SLC-41, Cape Canaveral Space Force Station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-198
"USA-199 (GPS IIR-18, GPS IIRM-5, GPS SVN-57)",20 December 2007,Delta II,,20:04:00,,10 years,,,,,,,In service (as of 2012),7925-9.5,"20,082 km","20,283 km",PRN 29,"Plane C, Slot 1",54.9 degrees,,717.98 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-199
USA-200/NRO Launch 28/NROL-28,13 March 2008,Atlas V,,,,,"Classified Molniya orbit, perigee of 1,112 km, apogee of 37,580 km, inclination of 63.56°, orbital period of 684.33 minutes",,,Vandenberg Air Force Base,National Reconnaissance Office,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SBIRS-HEO 2, TWINS-2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:02,Signals Intelligence (SIGINT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-200
USA-201,15 March 2008,Delta II,"GPS IIR-19, GPS IIRM-6, GPS SVN-48",06:10:00,Lockheed Martin,10 years,"20,143 km (perigee), 20,222 km (apogee)",717.98 minutes,55.1°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-201
