Date,Location,Awards Categories,Notable Winners,TV Network,Producers,Director,Viewership,Start Time,Host,Nominations Date,Top Nominations,Hosts,Controversies,Eligibility Criteria,trigger
"March 27, 1995",Shrine Auditorium in Los Angeles,23,"Forrest Gump (6 awards, including Best Picture), Ed Wood, The Lion King, Speed (2 awards each), The Adventures of Priscilla, Queen of the Desert, Blue Sky, Bob's Birthday, Bullets Over Broadway, Burnt by the Sun, Franz Kafka's It's a Wonderful Life, Legends of the Fall, The Madness of King George, Maya Lin: A Strong Clear Vision, Pulp Fiction, A Time for Justice, Trevor (1 award each)",ABC,Gilbert Cates,Jeff Margolis,Over 48 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,David Letterman,"February 14, 1995",Forrest Gump (13 nominations),,,,67th Academy Awards
"March 25, 1996",Dorothy Chandler Pavilion in Los Angeles,24,"Braveheart (5 awards, including Best Picture), Apollo 13, Pocahontas, Restoration, The Usual Suspects (2 awards each), Anne Frank Remembered, Antonia's Line, Babe, A Close Shave, Dead Man Walking, Leaving Las Vegas, Lieberman in Love, Mighty Aphrodite, One Survivor Remembers, Il Postino: The Postman, Sense and Sensibility (1 award each)",ABC,"David Salzman, Quincy Jones",Jeff Margolis,Almost 45 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Whoopi Goldberg,"February 13, 1996",Braveheart (10 nominations),,,,68th Academy Awards
"March 24, 1997",Shrine Auditorium in Los Angeles,24,"The English Patient (9 awards, including Best Picture), Fargo (2 awards), Breathing Lessons: The Life and Work of Mark O'Brien, Dear Diary, Emma, Evita, The Ghost and the Darkness, Independence Day, Jerry Maguire, Kolya, The Nutty Professor, Quest, Shine, Sling Blade, When We Were Kings (1 award each)",ABC,Gil Cates,Louis J. Horvitz,-,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 11, 1997",The English Patient (12 nominations),,,,69th Academy Awards
"March 23, 1998",Shrine Auditorium in Los Angeles,24,"Titanic (11 awards, including Best Picture), As Good as It Gets, Good Will Hunting, L.A. Confidential (2 awards each), Character, The Full Monty, Geri's Game, The Long Way Home, Men in Black, A Story of Healing, Visas and Virtue (1 award each)",ABC,Gil Cates,Louis J. Horvitz,Over 57 million viewers in the United States,6:00 p.m. PST / 9:00 p.m. EST,Billy Crystal,"February 10, 1998",Titanic (14 nominations),,,,70th Academy Awards
"March 21, 1999",Dorothy Chandler Pavilion in Los Angeles,24,"Shakespeare in Love (7 awards, including Best Picture), Saving Private Ryan (5 awards), Life Is Beautiful (3 awards), Affliction, Bunny, Election Night, Elizabeth, Gods and Monsters, The Last Days, The Personals: Improvisations on Romance in the Golden Years, The Prince of Egypt, What Dreams May Come (1 award each)",ABC,Gil Cates,Louis J. Horvitz,Nearly 46 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Whoopi Goldberg,"February 9, 1999",Shakespeare in Love (13 nominations),,,,71st Academy Awards
"March 26, 2000",Shrine Auditorium in Los Angeles,23,"American Beauty (5 awards, including Best Picture), The Matrix (4 awards), The Cider House Rules, Topsy-Turvy (2 awards each), All About My Mother, Boys Don't Cry, Girl, Interrupted, King Gimp, My Mother Dreams the Satan's Disciples in New York, The Old Man and the Sea, One Day in September, The Red Violin, Sleepy Hollow, Tarzan (1 award each)",ABC,Richard and Lili Fini Zanuck,Louis J. Horvitz,Almost 47 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Billy Crystal,"February 15, 2000",American Beauty (8 nominations),,,,72nd Academy Awards
"March 25, 2001",Shrine Auditorium in Los Angeles,23,"Gladiator (5 awards, including Best Picture), Crouching Tiger, Hidden Dragon, Traffic (4 awards each), Almost Famous, Big Mama, Erin Brockovich, Father and Daughter, How the Grinch Stole Christmas, Into the Arms of Strangers: Stories of the Kindertransport, Pollock, Quiero Ser, U-571, Wonder Boys (1 award each)",ABC,Gil Cates,Louis J. Horvitz,Almost 43 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Steve Martin,"February 13, 2001",Gladiator (12 nominations),,,,73rd Academy Awards
"March 24, 2002","Kodak Theatre in Hollywood, Los Angeles",24,"A Beautiful Mind (4 awards, including Best Picture), The Lord of the Rings: The Fellowship of the Ring (4 awards), Black Hawk Down, Moulin Rouge! (2 awards each), The Accountant, For the Birds, Gosford Park, Iris, Monster's Ball, Monsters, Inc., Murder on a Sunday Morning, No Man's Land, Pearl Harbor, Shrek, Thoth, Training Day (1 award each)",ABC,Laura Ziskin,Louis J. Horvitz,Nearly 42 million viewers in the United States,-,Whoopi Goldberg,"February 12, 2002",The Lord of the Rings: The Fellowship of the Ring (13 nominations),,,,74th Academy Awards
"March 23, 2003","Kodak Theatre in Hollywood, Los Angeles",24,"Chicago (6 awards, including Best Picture), The Pianist (3 awards), Frida, The Lord of the Rings: The Two Towers (2 awards each), 8 Mile, Adaptation, Bowling for Columbine, The ChubbChubbs!, The Hours, Nowhere in Africa, Road to Perdition, Spirited Away, Talk to Her, This Charming Man, Twin Towers (1 award each)",ABC,Gil Cates,Louis J. Horvitz,33 million viewers in the United States,-,Steve Martin,"February 11, 2003",Chicago (13 nominations),,,,75th Academy Awards
"February 29, 2004","Kodak Theatre in Hollywood, Los Angeles",24,"The Lord of the Rings: The Return of the King (11 awards, including Best Director and Best Picture), Master and Commander: The Far Side of the World, Mystic River (2 awards each), The Barbarian Invasions, Chernobyl Heart, Cold Mountain, Finding Nemo, The Fog of War: Eleven Lessons from the Life of Robert S. McNamara, Harvie Krumpet, Lost in Translation, Monster, Two Soldiers (1 award each)",ABC,Joe Roth,Louis J. Horvitz,Nearly 44 million viewers in North America,5:30 p.m. PST / 8:30 p.m. EST,Billy Crystal,"January 27, 2004",The Lord of the Rings: The Return of the King (11 nominations),,,,76th Academy Awards
"February 27, 2005","Kodak Theatre in Hollywood, Los Angeles",24,"Million Dollar Baby (4 awards, including Best Picture), The Aviator (5 awards), The Incredibles, Ray (2 awards each), Born into Brothels: Calcutta's Red Light Kids, Eternal Sunshine of the Spotless Mind, Finding Neverland, Lemony Snicket's A Series of Unfortunate Events, Mighty Times: The Children's March, The Motorcycle Diaries, Ryan, The Sea Inside, Sideways, Spider-Man 2, Wasp (1 award each)",ABC,Gil Cates,Louis J. Horvitz,Over 42 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Chris Rock,"January 25, 2005",The Aviator (11 nominations),,,,77th Academy Awards
"March 5, 2006","Kodak Theatre in Hollywood, Los Angeles",24,"Crash (3 awards, including Best Picture), Brokeback Mountain, King Kong, Memoirs of a Geisha (3 awards each), Capote, The Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The Constant Gardener, Hustle & Flow, March of the Penguins, The Moon and the Son: An Imagined Conversation, A Note of Triumph: The Golden Age of Norman Corwin, Six Shooter, Syriana, Tsotsi, Walk the Line, Wallace & Gromit: The Curse of the Were-Rabbit (1 award each)",ABC,Gil Cates,Louis J. Horvitz,Nearly 39 million viewers in the United States,5:00 p.m. PST / 8:00 p.m. EST,Jon Stewart,"January 31, 2006",Brokeback Mountain (8 nominations),,,,78th Academy Awards
"February 25, 2007","Kodak Theatre in Hollywood, Los Angeles",24,"The Departed (4 awards, including Best Picture), Pan's Labyrinth (3 awards), Dreamgirls, An Inconvenient Truth, Little Miss Sunshine (2 awards each), Babel, The Blood of Yingzhou District, The Danish Poet, Happy Feet, The Last King of Scotland, Letters from Iwo Jima, The Lives of Others, Marie Antoinette, Pirates of the Caribbean: Dead Man's Chest, The Queen, West Bank Story (1 award each)",ABC,Laura Ziskin,Louis J. Horvitz,Nearly 40 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Ellen DeGeneres,"January 23, 2007",Dreamgirls (8 nominations),,,,79th Academy Awards
"February 24, 2008","Kodak Theatre in Hollywood, Los Angeles",24,"No Country for Old Men (4 awards, including Best Picture), The Bourne Ultimatum (3 awards), La Vie en Rose, There Will Be Blood (2 awards each), Atonement, The Counterfeiters, Elizabeth: The Golden Age, Freeheld, The Golden Compass, Juno, Michael Clayton, Le Mozart des Pickpockets, Once, Peter & the Wolf, Ratatouille, Sweeney Todd: The Demon Barber of Fleet Street, Taxi to the Dark Side (1 award each)",ABC,Gil Cates,Louis J. Horvitz,31 million viewers,-,Jon Stewart,"January 22, 2008","No Country for Old Men, There Will Be Blood (8 nominations each)",,,,80th Academy Awards
"February 22, 2009","Kodak Theatre in Hollywood, Los Angeles",24,"Slumdog Millionaire (8 awards, including Best Picture), The Curious Case of Benjamin Button (3 awards), The Dark Knight, Milk (2 awards each), Departures, The Duchess, La Maison en Petits Cubes, Man on Wire, The Reader, Smile Pinki, Toyland, Vicky Cristina Barcelona, WALL-E (1 award each)",ABC,"Bill Condon, Laurence Mark",Roger Goodman,Almost 37 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Hugh Jackman,"January 22, 2009",The Curious Case of Benjamin Button (13 nominations),,,,81st Academy Awards
"March 7, 2010","Kodak Theatre in Hollywood, Los Angeles",24,"The Hurt Locker (6 awards, including Best Picture), Avatar (3 awards), Crazy Heart, Precious: Based on the Novel 'Push' by Sapphire, Up (2 awards each), The Blind Side, The Cove, Inglourious Basterds, Logorama, Music by Prudence, The New Tenants, The Secret in Their Eyes, Star Trek, The Young Victoria (1 award each)",ABC,"Bill Mechanic, Adam Shankman",Hamish Hamilton,,5:30 p.m. PST / 8:30 p.m. EST,"Alec Baldwin, Steve Martin",,,,,,82nd Academy Awards
"February 27, 2011","Kodak Theatre in Hollywood, Los Angeles",24,"The King's Speech (4 awards, including Best Picture), Inception (4 awards), The Social Network (3 awards), Alice in Wonderland, The Fighter, Toy Story 3 (2 awards each), Black Swan, God of Love, In a Better World, Inside Job, The Lost Thing, Strangers No More, The Wolfman (1 award each)",ABC,"Bruce Cohen, Don Mischer",Don Mischer,Almost 38 million viewers in the United States,5:30 p.m. PST,"James Franco, Anne Hathaway","January 25, 2011",The King's Speech (12 nominations),,,,83rd Academy Awards
"February 26, 2012","Hollywood and Highland Center Theatre in Hollywood, Los Angeles",24,"The Artist (5 awards, including Best Picture), Hugo (5 awards), The Iron Lady (2 awards), Beginners, The Descendants, The Fantastic Flying Books of Mr. Morris Lessmore, The Girl with the Dragon Tattoo, The Help, Midnight in Paris, The Muppets, Rango, Saving Face, A Separation, The Shore, Undefeated (1 award each)",ABC,"Brian Grazer, Don Mischer",Don Mischer,Over 39 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Billy Crystal,"February 11, 2012",The Artist (5 nominations),,,,84th Academy Awards
"February 24, 2013","Dolby Theatre in Hollywood, Los Angeles",24,"Argo (3 awards, including Best Picture), Life of Pi (4 awards), Les Misérables (3 awards), Django Unchained, Lincoln, Skyfall (2 awards each), Amour, Anna Karenina, Brave, Curfew, Inocente, Paperman, Searching for Sugar Man, Silver Linings Playbook, Zero Dark Thirty (1 award each)",ABC,"Craig Zadan, Neil Meron",Don Mischer,Over 40 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Seth MacFarlane,"January 10, 2013",Argo (3 nominations),,,,85th Academy Awards
"March 2, 2014","Dolby Theatre in Hollywood, Los Angeles",24,"12 Years a Slave (3 awards, including Best Picture), Gravity (7 awards), Dallas Buyers Club (3 awards), Frozen, The Great Gatsby (2 awards each), Blue Jasmine, The Great Beauty, Helium, Her, The Lady in Number 6: Music Saved My Life, Mr Hublot, 20 Feet from Stardom (1 award each)",ABC,"Neil Meron, Craig Zadan",Hamish Hamilton,Nearly 44 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Ellen DeGeneres,"January 16, 2014",12 Years a Slave (9 nominations),,,,86th Academy Awards
"February 22, 2015","Dolby Theatre in Hollywood, Los Angeles",24,"Birdman or (4 awards, including Best Picture), The Grand Budapest Hotel (4 awards), Whiplash (3 awards), American Sniper, Big Hero 6, Boyhood, Citizenfour, Crisis Hotline: Veterans Press 1, Feast, Ida, The Imitation Game, Interstellar, The Phone Call, Selma, Still Alice, The Theory of Everything (1 award each)",ABC,"Neil Meron, Craig Zadan",Hamish Hamilton,Over 37 million viewers in the United States,5:30 p.m. PST / 8:30 p.m. EST,Neil Patrick Harris,"January 15, 2015","Birdman or , The Grand Budapest Hotel (9 nominations each)",,,,87th Academy Awards
"February 28, 2016","Dolby Theatre in Hollywood, Los Angeles",24,"Spotlight (2 awards, including Best Picture), Mad Max: Fury Road (6 awards), The Revenant (3 awards), Brie Larson - Best Actress, Mark Rylance - Best Supporting Actor, Alicia Vikander - Best Supporting Actress",ABC,"David Hill, Reginald Hudlin",Glenn Weiss,34.42 million viewers in the United States,5:30 p.m. PST,Chris Rock,"January 14, 2016",Mad Max: Fury Road (6 nominations),,,,88th Academy Awards
"February 26, 2017","Dolby Theatre in Hollywood, Los Angeles",24,"Moonlight (3 awards, including Best Picture), La La Land (6 awards), Hacksaw Ridge, Manchester by the Sea (2 awards each), Viola Davis (Best Supporting Actress)",ABC,"Michael De Luca, Jennifer Todd",Glenn Weiss,33 million viewers in the United States,5:30 p.m. PST,Jimmy Kimmel,"January 24, 2017",La La Land (14 nominations),,,,89th Academy Awards
"March 4, 2018","Dolby Theatre in Hollywood, Los Angeles",24,"The Shape of Water (4 awards, including Best Picture), Dunkirk (3 awards), Blade Runner 2049, Coco, Darkest Hour, Three Billboards Outside Ebbing, Missouri (2 awards each), Call Me by Your Name, Dear Basketball, A Fantastic Woman, Get Out, Heaven Is a Traffic Jam on the 405, I, Tonya, Icarus, Phantom Thread, The Silent Child (1 award each)",ABC,"Michael De Luca, Jennifer Todd",Glenn Weiss,26.5 million viewers,-,Jimmy Kimmel,"January 23, 2018",The Shape of Water (13 nominations),,,,90th Academy Awards
"February 24, 2019","Dolby Theatre in Hollywood, Los Angeles",24,"Green Book (3 awards, including Best Picture), Bohemian Rhapsody (4 awards), Black Panther, Roma (3 awards each), Bao, BlacKkKlansman, The Favourite, First Man, Free Solo, If Beale Street Could Talk, Period. End of Sentence., Skin, Spider-Man: Into the Spider-Verse, A Star Is Born, Vice (1 award each)",ABC,"Donna Gigliotti, Glenn Weiss",Glenn Weiss,29.56 million viewers in the United States,-,-,"January 22, 2019","The Favourite, Roma (10 nominations each)",,,,91st Academy Awards
"February 9, 2020","Dolby Theatre in Hollywood, Los Angeles",24,"Parasite (4 awards, including Best Picture), 1917 (3 awards), Ford v Ferrari, Joker, Once Upon a Time in Hollywood (2 awards each), American Factory, Bombshell, Hair Love, Jojo Rabbit, Judy, Learning to Skateboard in a Warzone, Little Women, Marriage Story, The Neighbors' Window, Rocketman, Toy Story 4 (1 award each)",ABC,"Stephanie Allain, Lynette Howell Taylor",Glenn Weiss,23.64 million viewers,5:00 p.m. PST / 8:00 p.m. EST,,"January 13, 2020","Joker (11 nominations), The Irishman, 1917, Once Upon a Time in Hollywood (10 nominations each)",,,,92nd Academy Awards
"April 25, 2021",Union Station in Los Angeles,23,"Nomadland (3 awards, including Best Picture), The Father, Judas and the Black Messiah, Ma Rainey's Black Bottom, Soul, Sound of Metal (2 awards each), Another Round, Colette, If Anything Happens I Love You, Minari, My Octopus Teacher, Promising Young Woman, Tenet, Two Distant Strangers (1 award each)",ABC,"Jesse Collins, Stacey Sher, Steven Soderbergh",Glenn Weiss,10.4 million viewers,,No official host,"March 15, 2021",Mank (10 nominations),,,,93rd Academy Awards
"March 27, 2022",Dolby Theatre in Los Angeles,-,"CODA (3 awards, including Best Picture), Dune (6 awards), The Eyes of Tammy Faye (2 awards), The Power of the Dog, King Richard, West Side Story, Drive My Car, Encanto, Belfast, No Time to Die, Cruella, The Long Goodbye, The Queen of Basketball, Summer of Soul, The Windshield Wiper (1 award each)",,,,16.62 million viewers,,,,,"Regina Hall, Amy Schumer, Wanda Sykes",Will Smith slapping Chris Rock incident,"Films released between March 1 and December 31, 2021",94th Academy Awards
