Teams,Series Outcome,Notable Facts,Notable Players,Historical Context,,MVP,Individual Points,5 Barnett,11 Selvy,12 Wiley,22 Baylor,24 Horn,25 Ellis,32 Krebs,33 Hundley,35 LaRusso,44 West,54 Jolliff,Coach,trigger
"New York Knicks, Los Angeles Lakers",Knicks defeated Lakers 4-1,"Knicks' redemption from previous year, Lakers' strong playoff performance, Knicks' dominant Game 1 win, Lakers' comeback in Game 7 against Bulls","Willis Reed, Walt Frazier (Knicks)","Knicks' last championship, Lakers' fifth Finals appearance in six seasons, Knicks facing strong opponents in playoffs, Lakers as co-favorites in the West","Wilt Chamberlain, Jerry West (Lakers)",Willis Reed (Knicks),,,,,,,,,,,,,,1973 NBA Finals
"Boston Celtics, Milwaukee Bucks",Celtics defeated Bucks 4-3,"Celtics' last Game 7 road win until 2022, Bucks' return to Finals after three years, Bucks' elimination of Lakers and Bulls, Celtics' franchise record 68 wins in 1972-73 season","Kareem Abdul-Jabbar, Jon McGlocklin, Bob Dandridge (Bucks)","Celtics' injury-plagued 1972-73 season, Bucks' previous championship in 1971, Celtics' Finals appearance despite 12 fewer wins, Havlicek's return from injury","John Havlicek, Dave Cowens, Jo Jo White (Celtics)",,,,,,,,,,,,,,,1974 NBA Finals
"Golden State Warriors, Washington Bullets",Warriors defeated Bullets 4-0,"Warriors swept heavily-favored Bullets, series played under best-of-seven format, Warriors' home games at Cow Palace, first championship series with two African American head coaches",Rick Barry (Warriors),"Warriors' last Finals appearance in 1967, Warriors' move to Oakland, trade of Nate Thurmond for Clifford Ray, Al Attles as head coach","Al Attles (Warriors), K. C. Jones (Bullets)",Rick Barry (Warriors),,,,,,,,,,,,,,1975 NBA Finals
"Boston Celtics, Phoenix Suns",Celtics defeated Suns 4-2,"Suns' upset victories in playoffs, Celtics' redemption from previous season, Suns' first NBA Finals appearance, Celtics' core team from 1974 Finals","Jo Jo White (Celtics), Alvan Adams, Paul Westphal (Suns)","Suns' journey as an expansion team, Celtics' tweaks after 1975 playoffs loss, Celtics seeking to make up for missed opportunity",,Jo Jo White (Celtics),,,,,,,,,,,,,,1976 NBA Finals
"Portland Trail Blazers, Philadelphia 76ers",Trail Blazers defeated 76ers 4-2,"ABA-NBA merger, Erving's impact on 76ers, Trail Blazers' surprise appearance, Trail Blazers' comeback from 0-2 deficit, former ABA players in the Finals","Bill Walton, Maurice Lucas (Trail Blazers)","Trail Blazers' ABA dispersal draft acquisitions, 76ers' best record in the Eastern Conference, Trail Blazers' playoff debut, 76ers' addition of Erving",Julius Erving (76ers),Bill Walton (Trail Blazers),,,,,,,,,,,,,,1977 NBA Finals
"Seattle SuperSonics, Washington Bullets",Bullets defeated SuperSonics 4-3,"Last time a road team won Game 7 in NBA Finals until 2016, first Finals since 1958 with both teams under 50 wins, Sonics' turnaround in season, Bullets' previous Finals appearances","Wes Unseld (Bullets), Jack Sikma, Dennis Johnson (SuperSonics)","Sonics' coaching change, Bullets' previous Finals losses, Sonics' playoff journey, Bullets' quest for first championship","Fred Brown, Paul Silas (SuperSonics)",Wes Unseld (Bullets),,,,,,,,,,,,,,1978 NBA Finals
"Seattle SuperSonics, Washington Bullets",SuperSonics defeated Bullets 4-1,"Seattle's second men's professional sports championship, rematch of 1978 NBA Finals, series dubbed the ""George Washington series"", SuperSonics' victory after Bullets' win in 1978","Dennis Johnson, Gus Williams (SuperSonics)","Seattle's second championship, Bullets' home-court advantage, SuperSonics' offseason trade for Lonnie Shelton, Western Conference team not based in Texas or California winning title","Elvin Hayes, Wes Unseld (Bullets)",Dennis Johnson (SuperSonics),,,,,,,,,,,,,,1979 NBA Finals
"Los Angeles Lakers, Philadelphia 76ers",Lakers defeated 76ers 4-2,"Abdul-Jabbar's injury in Game 5, Johnson's versatile performance in Game 6, Lakers' victory on the road, Lakers' strong supporting cast, Johnson's rookie season","Magic Johnson, Kareem Abdul-Jabbar (Lakers)","Lakers' championship win, Abdul-Jabbar's injury, Johnson's rookie impact, 76ers' performance in the series","Julius Erving, Bobby Jones (76ers)",Magic Johnson (Lakers),,,,,,,,,,,,,,1980 NBA Finals
"Boston Celtics, Houston Rockets",Celtics defeated Rockets 4-2,"Celtics' victory over Rockets, Malone's dominant performance, Rockets' last Finals appearance until 1994, Celtics' 14th championship","Larry Bird, Cedric Maxwell, Robert Parish (Celtics)","Celtics' rivalry with Lakers, Rockets' move to Western Conference, Malone's impact on Rockets, Celtics' dominance in the 1980s","Moses Malone, Calvin Murphy, Rudy Tomjanovich (Rockets)",,,,,,,,,,,,,,,1981 NBA Finals
"Los Angeles Lakers, Philadelphia 76ers",Lakers defeated 76ers 4-2,"Rematch of 1980 NBA Finals, Lakers' first title since 1980, Lakers' Showtime offense, Lakers' victory on home court","Magic Johnson, Kareem Abdul-Jabbar (Lakers)","Lakers' struggles in 1981 Playoffs, Pat Riley taking over as head coach, Lakers' dominance in the Western Conference, 76ers' journey to the Finals","Julius Erving, Moses Malone (76ers)",,,,,,,,,,,,,,,1982 NBA Finals
"Philadelphia 76ers, Los Angeles Lakers",76ers defeated Lakers 4-0,"76ers' acquisition of Malone to counter Abdul-Jabbar, Malone's prediction of sweeping playoffs, Lakers' previous Finals victories over 76ers, 76ers' dominant playoff run","Moses Malone, Julius Erving (76ers)","Last NBA Finals before June 1, 76ers' first Finals win against Lakers, Malone's impact on 76ers, Lakers' and Celtics' dominance in the 1980s","Kareem Abdul-Jabbar, Magic Johnson (Lakers)",Moses Malone (76ers),,,,,,,,,,,,,,1983 NBA Finals
"Boston Celtics, Los Angeles Lakers",Celtics defeated Lakers 4-3,"Bird's MVP performance, Celtics-Lakers rivalry, Game 7 victory, hot temperatures in Boston Garden, Maxwell's impact in Game 7","Larry Bird, Magic Johnson (Lakers)","Revival of Celtics-Lakers rivalry, Magic Johnson-Larry Bird era, Celtics' regular season MVP, odd Series schedule","Kevin McHale, Robert Parish (Celtics)",Larry Bird (Celtics),,,,,,,,,,,,,,1984 NBA Finals
"Boston Celtics, Los Angeles Lakers",Lakers defeated Celtics 4-2,"Celtics seeking repeat championship, Lakers looking for first Finals win over Celtics, 2-3-2 format implemented, Lakers' Showtime offense, Lakers' first NBA Finals win over Celtics","Larry Bird, Kevin McHale, Robert Parish (Celtics)","Celtics' previous championship in 1969, Lakers' redemption from 1984 Finals loss, change in Finals format, Lakers' first NBA Finals win over Celtics","Magic Johnson, Kareem Abdul-Jabbar, James Worthy (Lakers)",,,,,,,,,,,,,,,1985 NBA Finals
"Boston Celtics, Houston Rockets",Celtics defeated Rockets 4-2,"Celtics' 16th NBA championship, last championship until 2008, first use of ""NBA Finals"" branding, change in scheduling for NBA Finals games","Larry Bird (Celtics), Hakeem Olajuwon (Rockets)","Celtics' dominance in the 1980s, Rockets' first Finals appearance, absence of the Los Angeles Lakers, significance of the branding change","Kevin McHale, Robert Parish (Celtics)",Larry Bird (Celtics),,,,,,,,,,,,,,1986 NBA Finals
"Los Angeles Lakers, Boston Celtics",Lakers defeated Celtics 4-2,"Magic Johnson's baby sky hook in Game 4, tenth meeting of Celtics and Lakers in Finals, first Finals entirely in June, rotation of games on Sunday-Tuesday-Thursday","Magic Johnson, Kareem Abdul-Jabbar (Lakers)","Celtics' last Finals appearance until 2008, first Finals series on Sunday-Tuesday-Thursday rotation, Celtics' draft pick Len Bias tragedy, Celtics' injuries affecting bench strength","Larry Bird, Kevin McHale (Celtics)",,,,,,,,,,,,,,,1987 NBA Finals
"Los Angeles Lakers, Detroit Pistons",Lakers defeated Pistons 4-3,"Lakers' repeat championship, Isiah Thomas' record third-quarter performance in Game 6, Pistons' valiant effort in Game 7, Lakers' 5th championship in 9 seasons","Magic Johnson, James Worthy, Byron Scott (Lakers)","Lakers' dominance in the late 1980s, Pistons' rise as contenders, absence of Boston Celtics in the Finals",Isiah Thomas (Pistons),James Worthy (Lakers),,,,,,,,,,,,,,1988 NBA Finals
"Detroit Pistons, Los Angeles Lakers",Pistons defeated Lakers 4-0,"Pistons' sweep of Lakers, Lakers' injury-riddled lineup, Pistons' physical play style, Lakers' dominance in the 1980s","Magic Johnson, James Worthy (Lakers)","Lakers' previous championship, Pistons' rise to prominence, Lakers-Pistons rematch, Pistons' 'Bad Boys' persona","Isiah Thomas, Joe Dumars, Bill Laimbeer (Pistons)",,,,,,,,,,,,,,,1989 NBA Finals
"Detroit Pistons, Portland Trail Blazers",Pistons defeated Trail Blazers 4-1,"Pistons won back-to-back championships, Blazers' first Finals appearance since 1977, Blazers' core team built through draft and trades, Blazers' coaching change mid-season","Isiah Thomas, Joe Dumars, Bill Laimbeer (Pistons)","First Finals since 1979 without Lakers or Celtics, Pistons third franchise to win back-to-back championships, Blazers' rise to title contenders under Rick Adelman","Clyde Drexler, Terry Porter, Jerome Kersey (Blazers)",,,,,,,,,,,,,,,1990 NBA Finals
"Chicago Bulls, Los Angeles Lakers",Bulls defeated Lakers 4-1,"Jordan's first NBA Finals appearance, Lakers' last Finals until 2000, Bulls' first victory over Lakers in playoffs, end of Lakers' Showtime era, beginning of Bulls' dynasty","Michael Jordan, Magic Johnson (Lakers)","Bulls' move to the Eastern Conference, Lakers' struggles in the 1990s, Bulls' five championships in the 1990s, Jordan's scoring title and championship in the same season","Scottie Pippen, James Worthy (Lakers)",Michael Jordan (Bulls),,,,,,,,,,,,,,1991 NBA Finals
"Chicago Bulls, Portland Trail Blazers",Bulls defeated Trail Blazers 4-2,"Bulls winning back-to-back championships, Jordan's second consecutive Finals MVP award, comparisons between Jordan and Drexler, Bulls' dominant regular season record","Michael Jordan (Bulls), Clyde Drexler (Trail Blazers)","Bulls' emergence as a dominant team, comparisons between Jordan and Drexler, Bulls' quest for a repeat championship",,Michael Jordan (Bulls),,,,,,,,,,,,,,1992 NBA Finals
"Chicago Bulls, Phoenix Suns",Bulls defeated Suns 4-2,"Bulls clinched a ""three-peat"" with a game-winning shot, Suns' first NBA Finals appearance, Bulls' back-to-back sweeps in playoffs, Jordan and Pippen's Olympic gold medal win","Michael Jordan, Scottie Pippen (Bulls)","Bulls aiming for a third consecutive championship, Suns led by Kevin Johnson, Bulls overcoming 2-0 deficit against Knicks, Bulls' dominance in the early 1990s","Charles Barkley, Kevin Johnson (Suns)",,,,,,,,,,,,,,,1993 NBA Finals
"Houston Rockets, New York Knicks",Rockets defeated Knicks 4-3,"Rockets' first NBA championship, Ewing's record-setting performance, meeting of two great centers, Olajuwon outperforming Ewing","Hakeem Olajuwon (Rockets), Patrick Ewing (Knicks)","Rockets' determination for first championship, Knicks seeking third championship, previous college matchup between Olajuwon and Ewing",,,,,,,,,,,,,,,,1994 NBA Finals
"Orlando Magic, Houston Rockets",Rockets defeated Magic 4-0,"Rockets beat four 50-win teams in playoffs, Rockets won a playoff-record nine road games, first repeat NBA Champion to keep title with a sweep, Rockets won without home-court advantage in any playoff round","Shaquille O'Neal (Magic), Hakeem Olajuwon, Kenny Smith (Rockets)","Magic's first NBA Finals appearance, Rockets' back-to-back championships, Rockets' historic road to the championship",,Hakeem Olajuwon (Rockets),,,,,,,,,,,,,,1995 NBA Finals
"Seattle SuperSonics, Chicago Bulls",Bulls defeated SuperSonics 4-2,"Bulls' first championship in second three-peat, record regular season wins, Jordan's fourth Finals MVP award, addition of Dennis Rodman to Bulls' roster","Michael Jordan, Dennis Rodman (Bulls)","Bulls' changes in roster, Bulls' 72-win season, SuperSonics' journey to Finals, Bulls' dominance in the 1990s","Gary Payton, Shawn Kemp (SuperSonics)",Michael Jordan (Bulls),,,,,,,,,,,,,,1996 NBA Finals
"Chicago Bulls, Utah Jazz",Bulls defeated Jazz 4-2,"Bulls won 69 regular-season games, Jazz won 64 games, Jordan named Finals MVP for fifth time, Bulls and Jazz combined for 133 regular-season wins, Bulls denied second consecutive 70-win season","Michael Jordan, Scottie Pippen (Bulls)","Bulls' quest for second three-peat, Jazz's emergence as Western Conference powerhouse, Malone and Stockton's pursuit of first NBA championship, Bulls' dominance in the 1990s","Karl Malone, John Stockton (Jazz)",Michael Jordan (Bulls),,,,,,,,,,,,,,1997 NBA Finals
"Chicago Bulls, Utah Jazz",Bulls defeated Jazz 4-2,"Bulls' third consecutive NBA title, highest Nielsen TV ratings in NBA history, Bulls as underdogs, first time same teams met in Finals in consecutive years since 1989","Michael Jordan, Scottie Pippen (Bulls)","Bulls' sixth NBA championship in eight seasons, Jordan's final championship and Finals MVP, Jazz earning best record despite finishing with same wins as Bulls","Karl Malone, John Stockton (Jazz)",Michael Jordan (Bulls),,,,,,,,,,,,,,1998 NBA Finals
"San Antonio Spurs, New York Knicks",Spurs defeated Knicks 4-1,"Spurs' first NBA championship, shortened season due to lockout, ""Twin Towers"" pairing of Robinson and Duncan, Spurs' recovery from a slow start","Tim Duncan, David Robinson (Spurs)","Lockout-shortened season, Spurs' journey to the Finals, Knicks' underdog story, Spurs' dominance in the playoffs","Latrell Sprewell, Allan Houston (Knicks)",Tim Duncan (Spurs),,,,,,,,,,,,,,1999 NBA Finals
"Los Angeles Lakers, Indiana Pacers",Lakers defeated Pacers 4-2,"Lakers' first championship in 12 years, O'Neal's dominant performance, Lakers' signing of Phil Jackson, Lakers' strong roster and bench","Shaquille O'Neal, Kobe Bryant (Lakers)","Lakers' previous playoff struggles, Jackson's coaching impact, O'Neal and Bryant's partnership, Lakers' regular season dominance","Reggie Miller, Jalen Rose (Pacers)",Shaquille O'Neal (Lakers),,,,,,,,,,,,,,2000 NBA Finals
"Los Angeles Lakers, Philadelphia 76ers",Lakers defeated 76ers 4-1,"Lakers' three-point shooting key to victory, Iverson's 48-point performance in Game 1, Lakers' only loss of playoffs, Lakers' comeback in series, Horry's clutch three-pointer in Game 3","Shaquille O'Neal, Allen Iverson (76ers)","Lakers as defending champions, Lakers' struggles during the season, Lakers' hot streak to end the season, Lakers' key acquisitions for the season",,Shaquille O'Neal (Lakers),,,,,,,,,,,,,,2001 NBA Finals
"Los Angeles Lakers, New Jersey Nets",Lakers defeated Nets 4-0,"Lakers' third consecutive championship, Phil Jackson's ninth ring, Shaq's dominant performance, Lakers' sweep of the series","Shaquille O'Neal (Lakers), Jason Kidd (Nets)","Lakers' dominance in early 2000s, Nets' resurgence under Byron Scott, Lakers' playoff success under Phil Jackson","Kobe Bryant, Robert Horry (Lakers)",Shaquille O'Neal (Lakers),,,,,,,,,,,,,,2002 NBA Finals
"San Antonio Spurs, New Jersey Nets",Spurs defeated Nets 4-2,"Spurs' first season in the SBC Center, David Robinson's retirement, Steve Kerr's final season, Spurs' successful 60-22 record, Spurs' shaky start in the playoffs","Tim Duncan (Spurs), David Robinson (Spurs), Jason Kidd (Nets)","Spurs' new arena, Robinson's franchise records, Kerr's three titles with Bulls, injuries affecting Robinson's productivity, Spurs' tie for best record in the NBA","Kenyon Martin (Nets), Richard Jefferson (Nets)",Tim Duncan (Spurs),,,,,,,,,,,,,,2003 NBA Finals
"Los Angeles Lakers, Detroit Pistons",Pistons defeated Lakers 4-1,"Pistons' dominant win over favored Lakers, Pistons' first title since 1990, Lakers' three consecutive championships prior to 2004, Pistons' owner's dual championship wins in one year","Chauncey Billups, Ben Wallace, Rasheed Wallace (Pistons)","Lakers' major offseason changes, Lakers' injuries during the season, Spurs ending Lakers' championship streak, Lakers' struggles during the regular season","Kobe Bryant, Shaquille O'Neal, Karl Malone (Lakers)",Chauncey Billups (Pistons),,,,,,,,,,,,,,2004 NBA Finals
"San Antonio Spurs, Detroit Pistons",Spurs defeated Pistons 4-3,"First NBA Finals to go to Game 7 since 1994, Pistons' first Finals loss since 1988, matchup of premier defensive teams, Spurs' convincing win against Phoenix Suns in Western Conference Finals","Tim Duncan, Manu Ginobili, Tony Parker (Spurs)","Spurs' two championships, Pistons' three championships, 2004 Finals considered a major upset, defensive prowess of both teams","Chauncey Billups, Ben Wallace, Rasheed Wallace (Pistons)",Tim Duncan (Spurs),,,,,,,,,,,,,,2005 NBA Finals
"Miami Heat, Dallas Mavericks",Heat won the series 4-2,"Heat's comeback from 0-2 deficit, Wade's Finals MVP performance, first Finals appearance for both teams, rematch in 2011 Finals, second NBA Finals matchup of teams from Florida and Texas","Dwyane Wade (Heat), Dirk Nowitzki (Mavericks)","Heat's rise to prominence under Pat Riley, Mavericks' first Finals appearance, Heat's victory over Texas team, absence of Lakers and Spurs in the Finals",,Dwyane Wade (Heat),,,,,,,,,,,,,,2006 NBA Finals
"San Antonio Spurs, Cleveland Cavaliers",Spurs defeated Cavaliers 4-0,"Cavaliers' first trip to NBA Finals, Spurs' fourth Finals appearance, series sweep, lowest TV ratings in NBA Finals history until 2020","Tony Parker (Spurs), LeBron James (Cavaliers)","Spurs' previous season loss to Mavericks, Cavaliers' first Finals appearance, Finals played in 2-3-2 format","Tim Duncan, Manu Ginobili (Spurs)",Tony Parker (Spurs),,,,,,,,,,,,,,2007 NBA Finals
"Boston Celtics, Los Angeles Lakers",Celtics defeated Lakers 4-2,"Celtics' first title since 1986, Lakers' 29th Finals appearance, Celtics' ""Big 3"" formation, Celtics' 17th overall championship","Paul Pierce, Ray Allen, Kevin Garnett (Celtics)","Top seeds from both conferences meeting in Finals, Celtics' blockbuster trade for Allen and Garnett, renewal of Celtics-Lakers rivalry","Kobe Bryant, Pau Gasol, Lamar Odom (Lakers)",Paul Pierce (Celtics),,,,,,,,,,,,,,2008 NBA Finals
"Los Angeles Lakers, Orlando Magic",Lakers defeated Magic 4-1,"Lakers' 15th NBA championship, Lakers heavily favored, Magic's first Finals appearance, Lakers' playoff journey","Kobe Bryant, Pau Gasol (Lakers)","Lakers' Pacific Division win, Magic's Southeast Division win, Lakers' path to the Finals, Magic's path to the Finals","Dwight Howard, Rashard Lewis (Magic)",Kobe Bryant (Lakers),,,,,,,,,,,,,,2009 NBA Finals
"Los Angeles Lakers, Boston Celtics",Lakers defeated Celtics 4-3,"Lakers' second consecutive championship, Lakers' 16th NBA title, Celtics' journey through playoffs, key performances in each game","Kobe Bryant, Pau Gasol, Ron Artest (Lakers)","Lakers favored to repeat as champions, Lakers' home-court advantage, Celtics' path to the Finals, broadcast details","Ray Allen, Paul Pierce, Kevin Garnett (Celtics)",Kobe Bryant (Lakers),,,,,,,,,,,,,,2010 NBA Finals
"Dallas Mavericks, Miami Heat",Mavericks defeated Heat 4-2,"Mavericks' first NBA championship, Nowitzki named Finals MVP, Heat's ""Big Three"" of James, Bosh, and Wade, rematch of 2006 NBA Finals, Mavericks' comeback win in Game 2 and Game 4","Dirk Nowitzki (Mavericks), LeBron James, Dwyane Wade (Heat)","Mavericks' redemption from 2006 Finals loss, Heat's formation of super team, Nowitzki's historic performance, Mavericks' unique Finals win in six games",,Dirk Nowitzki (Mavericks),,,,,,,,,,,,,,2011 NBA Finals
