Event,Date,Location,Casualties,Victims Killed,Perpetrators,Related Context,Aftermath/Repercussions,Discovery Details,Condition of Bodies,Specific Findings,Perpetrator,Related Conflict,Survivors,Significance,trigger
Eastern University massacre,"September 5, 1990","Eastern University campus near Batticaloa, Sri Lanka",158 killed,158 minority Sri Lankan Tamil refugees,Sri Lankan Army personnel,"Part of Black September series, breakdown of peace talks, series of operations in Eastern Province","Presidential commission of inquiry, evidence of illegal abduction and mass murders, no judicial follow-up",,,,,,,,Eastern University massacre
Eilabun massacre,"October 30, 1948","Eilabun, Israel",14 killed,14 (Arab Christian men),Israel Defense Forces,"Operation Hiram, execution of surrendered villagers, expulsion to Lebanon, return agreement","Displacement, refugee status, eventual return of displaced villagers",,,,,,,,Eilabun massacre
El Aro massacre,"October 22, 1997","Ituango, Antioquia, Colombia",15 individuals,Not specified,"Paramilitary groups, accused leftist FARC supporters","Massacre of leftist supporters, rape, displacement, legal actions, accusations against Colombian President","Declaration as a crime against humanity, accusations against political and military figures",,,,,,,,El Aro Massacre
El Calabozo massacre,"August 21-22, 1982","El Calabozo, San Vicente Department, El Salvador",Over 200 reported killed,"Infants, elderly, civilians",Atlacatl Battalion (Salvadoran Army),"Salvadoran Civil War, US-trained counter-insurgency unit, previous El Mozote massacre","Denial of massacre, lack of acknowledgment or prosecution by Salvadoran government",,,,,,,,El Calabozo massacre
El Mozote massacre,"December 11-12, 1981","El Mozote, Morazán Department, El Salvador",811+ civilians killed,811+ civilians,"Salvadoran Army, Atlacatl Battalion","Salvadoran Civil War, largest massacre in Latin America in modern times","Government apology in 2011, responsibility of Atlacatl Battalion, impact on the conflict",,,,,,,,El Mozote massacre
El Paso Walmart shooting,"August 3, 2019","El Paso, Texas, United States","23 killed, 23 injured",23,Patrick Wood Crusius (far-right gunman),"Investigated as domestic terrorism and hate crime, deadliest attack on Latinos in modern American history","Arrest of Crusius, investigation by FBI, impact on gun control and hate crime legislation",,,,,,,,El Paso massacre
Ezeiza massacre,"June 20, 1973","Puente 12, Buenos Aires, Argentina","13 identified, 365 injured",13 identified,Right-wing Peronist snipers,"Peronist masses gathered to welcome Juan Perón, left and right-wing Peronist conflict, end of alliance","End of left and right-wing Peronist alliance, impact on Peronist movement",,,,,,,,Ezeiza massacre
February 28 incident,"February 28, 1947",Taiwan,"18,000-28,000",Thousands of civilians,Kuomintang authorities,"Anti-government uprising, Taiwan independence movement","Martial law, White Terror period",,,,,,,,February 28 Incident
Qana massacre,"April 18, 1996","Near Qana, Southern Lebanon","106 killed, 116 injured",Lebanese civilians,Israel Defense Forces,"Operation Grapes of Wrath, heavy fighting with Hezbollah","UN investigation, Israeli denial, breakdown of ceasefire",,,,,,,,First Qana massacre
Ganghwa massacre,"January 6-9, 1951","Ganghwa, Incheon, South Korea","212-1,300 killed","212-1,300 unarmed civilians","South Korean forces, South Korean Police, pro-South Korean militiamen","Massacre of collaborators with Korean People's Army, part of Bodo League massacre, official acknowledgment in 2008","Publication of history book, admission of official document, acknowledgment by Truth and Reconciliation Commission",,,,,,,,Ganghwa massacre
Gawkadal massacre,"January 21, 1990","Srinagar, Kashmir","At least 50 killed, possibly up to 280",Civilians,Indian paramilitary troops,"Worst massacre in Kashmiri history, aftermath of political unrest and insurgency","Appointment of Jagmohan, resignation of state government, escalation of violence",,,,,,,,Gawkadal massacre
Geochang massacre,"Feb 9-11, 1951","Geochang, South Gyeongsang, South Korea",719 killed,719 (including 385 children),South Korean Army 11th Division,"Korean War, targeting of civilians, General Choe Deok-sin","Discovery of massacre files, establishment of memorial park",,,,,,,,Geochang massacre
Ghulja incident,"February 5, 1997","Ghulja, Xinjiang, China","9 official reports, estimated over 100 dissident reports",Several demonstrators,Chinese Army,"Suppression of Uyghur protests, crackdown on Meshrep movement, violent response to cultural practices","Disputed death toll, fleeing of Uyghurs, imprisonment in Guantanamo Bay",,,,,,,,Ghulja incident
Golden Dragon massacre,"September 4, 1977","San Francisco, California","5 dead, 11 injured",5 civilians,Joe Boys (Chinese youth gang),"Gang-related shooting, rivalry between Joe Boys and Wah Ching, assassination attempt","Establishment of Asian Gang Task Force, end of gang-related violence in Chinatown, restaurant closure",,,,,,,,Golden Dragon massacre
Goyang Geumjeong Cave massacre,"October 9-31, 1950","Goyang, Gyeonggi-do, South Korea",Over 153,Over 153 unarmed civilians,South Korean police,"Summary executions of suspected North Korea sympathizers, Namyangju massacre","Excavation of victims' bodies, demands for apology, compensation, and memorial from government",,,,,,,,Goyang Geumjeong Cave massacre
Greensboro massacre,"November 3, 1979","Greensboro, North Carolina, US","5 killed, 10 wounded",5 (members of Communist Workers Party),"Ku Klux Klan, American Nazi Party","Confrontation during ""Death to the Klan"" march, police informant, inflammatory rhetoric","Acquittals in state and federal criminal trials, civil suit seeking damages",,,,,,,,Greensboro massacre
Greysteel massacre,"October 30, 1993","Greysteel, County Londonderry, Northern Ireland","8 killed, 19 wounded",8 civilians,Ulster Defence Association (Ulster Freedom Fighters),"Loyalist paramilitary attack on pub frequented by Catholics, retaliation for Shankill Road bombing by IRA","Perpetrators sentenced to life imprisonment, released under Good Friday Agreement, series of revenge attacks by UDA",,,,,,,,Greysteel massacre
Guerrero mass graves,June 2010,"Taxco, Guerrero, Mexico",55+,Not specified,Mexican drug cartels,"Multihomicide, speculation of up to 100 corpses, drug cartel involvement",,,,,,,,,Guerrero mass graves
Gulbarg Society massacre,"February 28, 2002","Chamanpura, Ahmedabad, India",69 killed,69 (including former MP Ehsan Jafri),Hindu rioters during 2002 Gujarat riots,"2002 Gujarat riots, stone pelting, burning of houses","Supreme Court intervention, SIT investigation, arrests, convictions, abandonment of the society",,,,,,,,Gulbarg Society massacre
Gwangju Uprising,"May 18-27, 1980","Gwangju, South Korea","600-2,300 killed",Not specified,South Korean Government,"Popular uprising, armed citizens vs. government troops, Chun Doo-hwan presidency","Denial vs. support, litmus test in Korean politics",,,,,,,,Gwangju massacre
Hadassah convoy massacre,"April 13, 1948","Mount Scopus, Jerusalem",78 killed,78 (including 23 women),"Arab forces, Haganah militia","Ambush on medical-military convoy, violation of international humanitarian law","Enquiry, agreement on separating military and humanitarian convoys, strategic significance of Mount Scopus",,,,,,,,Hadassah medical convoy massacre
Haditha massacre,"November 19, 2005","Haditha, Iraq",24 civilians,"24 (including men, women, elderly, children)",United States Marines,"Response to convoy attack, investigations, charges against Marines","Conviction of negligent dereliction of duty, rank reduction, pay cut, no jail time",,,,,,,,Haditha massacre
Haifa Oil Refinery massacre,"December 30, 1947","Haifa, Mandatory Palestine","39 killed, 49 injured",39 Jewish workers,Irgun (Zionist paramilitary),"Tensions due to UN Partition Plan, Irgun attack on Arab day-laborers, retaliation by Haganah","Balad al-Shaykh massacre, skirmishes in Haifa, condemnation by Jewish Agency",,,,,,,,Haifa Oil Refinery massacre
Hama Massacre,February 1982,"Hama, Syria","2,000-40,000 killed",Civilians,"Syrian Arab Army, Defense Companies","Muslim Brotherhood uprising, siege by Syrian government forces","Decisive Syrian Army victory, significant destruction, end of uprising",,,,,,,,Hama massacre
Haximu massacre,1993,"Haximu, Brazil",16 Yanomami people killed,Yanomami tribe members,Garimpeiros (gold miners),Tensions from 1987 gold rush in Brazil,Burning down of Haximu village,,,,,,,,Haximu massacre
Hill 303 massacre,"August 17, 1950","Waegwan, South Korea",41 US Army POWs killed,41 US Army POWs,North Korean People's Army,"Korean War, Battle of Pusan Perimeter, Battle of Taegu","Response from both sides, demand for accountability, memorials constructed by US troops",,,,,,,,Hill 303 massacre
Hoddle Street massacre,"August 9, 1987","Clifton Hill, Melbourne, Victoria, Australia","7 killed, 19 injured",7 civilians,Julian Knight,"Mass shooting, police chase, sentencing of perpetrator, parole eligibility","Amendment to Corrections Act, prevention of parole, perpetrator's background",,,,,,,,Hoddle Street massacre
Houla massacre,"May 25, 2012","Taldou, Syria",108 killed,108 (including women and children),"Syrian troops, Shabiha militia","Syrian Civil War, conflicting reports on responsibility for the massacre",,,,,,,,,Houla massacre
Hula massacre,"Oct 31 - Nov 1, 1948","Hula, Lebanon",35-58 men executed,Not specified,Carmeli Brigade (IDF),"Execution of men, controversy over trial, legal debates","Sentencing, Lahis' appointments, media and Knesset debates",,,,,,,,Hula massacre
Hungerford massacre,"August 19, 1987","Hungerford, England, United Kingdom","16 killed, 15 injured",16 (including unarmed police officer and his mother),Michael Ryan,"Spree shooting, use of handgun and semi-automatic rifles, Firearms Act 1988","Commissioned report, passing of Firearms Act 1988, one of deadliest firearms incidents in British history",,,,,,,,Hungerford massacre
