Date,Location,Event Name,Fatalities,Injuries,Cause of Stampede,Aftermath,trigger
9 Feb 2008,Bandung,2008 Bandung Human Stampede,11,Dozens,"Stampede and mass hysteria during Beside metal band concert at AACC building, exceeded building capacity","11 dead, dozens injured, panic during concert conclusion, lack of medical attention, 3 suspects arrested, AACC building temporarily closed, renovated and renamed to New Majestic in 2010, further renamed to De Majestic in 2017, memorial monument erected in 2014 with names of victims",2008 Bandung stampede
30 Sep 2008,"Jodhpur, Rajasthan, India",Chamunda Devi Temple Stampede,224,425+,"Stampede at Chamunda Devi temple during Navratri festival, panic caused by bomb blast or collapsing wall","224 killed, 425+ injured, temple dedicated to goddess Chamunda Devi, incident occurred during Navratri festival, pilgrims scrambling towards temple door, destruction of barricades, many injured due to slope leading to temple, conflicting reports on cause of stampede, relief operation by Indian Army doctors, inquiry ordered, majority of victims were men, condolences from political figures",2008 Jodhpur stampede
15 Nov 2009,"Birmingham, United Kingdom",2009 Millennium Point Concert Stampede,Unknown,Numerous,Breakthrough of temporary crowd control barrier during JLS performance at holiday event outside Millennium Point complex,"Incident during annual Christmas Lights Switch-On event, injuries caused by barrier breach, event organised by 96.4FM BRMB and Birmingham City Council, blamed on bad weather and fencing failure, differing opinions on preparedness, comparison to Hillsborough disaster, late surge of fans poorly handled, independent report blamed council's choice of fencing",2009 Millennium Point stampede
14 Jan 2011,Kerala,2011 Sabarimala Stampede,106,100+,"Crowd crush during annual pilgrimage at Pullumedu near Sabarimala, India","106 pilgrims killed, about 100 injured, declared a ""National disaster"", pilgrims returning from Hindu shrine on last day of festival, incident occurred after Jeep toppled over, worst recorded accident at Sabarimala, incident-free pilgrimage prior, victims mainly from Andhra Pradesh, Karnataka, Tamil Nadu, and Kerala, various versions of accident reported, trigger of stampede remains a mystery, incident occurred around 8 p.m. local time",2011 Sabarimala stampede
1 Jan 2013,"Abidjan, Ivory Coast",2013 Houphouët-Boigny Stampede,61,200+,Stampede during New Year's Eve fireworks display near Félix Houphouët-Boigny Stadium,"61 deaths, over 200 injuries, mostly women and children affected, second fatal stampede at the stadium in four years, President declared three days of mourning, promised investigation, occurred after New Year's Eve celebration, cause under investigation, casualties included 26 children, 28 women, and 6 men",2013 Houphou毛t-Boigny stampede
10 Feb 2013,"Allahabad, Uttar Pradesh, India",2013 Allahabad Kumbh Mela Stampede,42,300+,"Stampede at train station during Hindu festival of Kumbh Mela, railing collapse and police charge contributing factors","42 killed, 300+ injured, Maha Kumbh Mela event, largest temporary gathering of people, 100 million pilgrims expected, temporary city set up, stampede triggered by railing collapse and police charge, 29 women, 12 men, and 1 child among the deceased, compensation offered, committee formed to probe incident, resignation of Kumbh Mela organizer",2013 Kumbh Mela stampede
13 Oct 2013,"Ratangarh Mata Temple, Datia, India",Ratangarh Mata Temple Stampede,115,110+,"Stampede during Navratri festival at Ratangarh Mata Temple bridge, rumour of bridge collapse, panic and crush ensued","115 dead, 110+ injured, stampede during Hindu festival, bridge railing broken, conflicting reports on cause, victims mainly women and children, previous disaster at site in 2006, bridge built in response to 2006 incident, bridge reportedly in good condition, conflicting reports on cause, some reports of police involvement, tragic incident during Navratri festival dedicated to Hindu goddess Durga",2013 Madhya Pradesh stampede
10 Oct 2014,Multan,PTI Rally Stampede,8,40,"Stampede at Pakistan Tehreek-e-Insaf political rally, accusations of deliberate sabotage by administration","8 killed, 40 injured, accusations against Multan administration, Imran Khan condemns role of deputy commissioner, investigation ordered by Chief Minister Shahbaz Sharif, PTI rejects probe, committee holds PTI management partly responsible, lack of confidence in government officials",2014 Multan stampede
18 Jan 2014,Mumbai,Syedna Mohammed Burhanuddin Stampede,18,56,Stampede near Malabar Hill residence of Dawoodi Bohra's spiritual leader Syedna Mohammed Burhanuddin,"18 dead, 56 injured, stampede during gathering to pay respects, gates opened causing crowd surge, people crushed after gates closed, lack of government and police management, victims' ages provided later",2014 Mumbai stampede
15 Mar 2014,Nigeria,2014 Nigeria Immigration Recruitment Tragedy,16,Several,"Overcrowding, stampede, exhaustion, impatience of applicants","16 dead, several injured, 6.5 million applicants for 4000 positions, caused by overcrowding and impatience, applicants paid 1000 Naira for registration, required medical report, applicants wore white sporting attire, exercise delegated to consultancy firm, Minister of the Interior Abba Moro involved, numerous episodes of fainting, 100,000 job hopefuls in Abuja, 64,000 invited to 60,000 capacity stadium, gate surge killed 7 and injured 50, overwhelmed hospitals, event continued, 28,000 applicants at Samuel Ogbemudia Stadium, NIS officials lost control of crowd",2014 Nigeria Immigration Recruitment Tragedy
3 Oct 2014,Patna,2014 Patna Stampede,32,Unknown,"Stampede during Dassehra festival at Gandhi Maidan, people returning from ""Ravan Vadh"" ceremony","32 dead, occurred at main Dussehra event, stampede during return from event, PM Modi sanctioned funds for victims' families, inquiry conducted into the incident",2014 Patna stampede
31 Dec 2014,Shanghai,Shanghai New Year's Eve Stampede,36,49,"Deadly crush near Chen Yi Square on the Bund during New Year celebration, 300,000 people gathered","36 killed, 49 injured, crush at stairway leading to viewing platform, panic and confusion, reports of canceled light show and lack of crowd control measures, denial of stampede trigger by cash coupons, police and citizens forming wall for ambulances, retreat and evacuation from the crowd",2014 Shanghai stampede
11 May 2014,"Kinshasa, Democratic Republic of the Congo",2014 Stade Tata Raphaël Disaster,15,24,"Police tear gas causing stampede during TP Mazembe vs. Vita Club match, suffocation reported as primary cause of death","15 dead, 24 injured, police tear gas led to stampede, panic and confusion, stadium wall collapse, suffocation as primary cause of death, some reports suggest higher death toll, article is a stub on disaster management, potential for expansion on Wikipedia",2014 Stade Tata Rapha毛l disaster
17 Feb 2015,"Port-au-Prince, Haiti",2015 Mardi Gras Stampede,20,78,"Stampede during Mardi Gras parade on Champ de Mars, caused by man shocked by high-voltage wires on Carnival float","20 killed, 78 injured, man on float shocked, sparks triggered stampede, man survived, Prime Minister declared official mourning, state funeral and vigil held, silent parade organized, plan to modernize state electricity company announced",2015 Haiti Carnival stampede
24 Sep 2015,"Mina, Mecca, Saudi Arabia",2015 Mina Stampede,"2,411+",934+,"Crush and stampede during annual Hajj pilgrimage, deadliest Hajj disaster in history","Over 2,000 deaths, government reported 769 deaths and 934 injured, largest number of victims from Iran, tensions between Saudi Arabia and Iran, cause remains disputed, investigation ongoing, Hajj is an annual pilgrimage for Muslims, series of rites including Stoning of the Devil at Jamaraat Bridge in Mina",2015 Mina stampede
25 Apr 2014,Ethiopia,2014–2016 Oromo Protests,500+,Unknown,"Protests sparked by Addis Ababa Master Plan, fears of land displacement, human rights abuses, government crackdown","33 protesters killed, demands for social and political reforms, internet restrictions, violent crackdown by security forces, at least 500 estimated killed by October 2016",2016 Ethiopian protests
3 Jun 2017,Turin,2017 Turin stampede,3,"1,672","Panic during UEFA Champions League Final screening, robbery attempt, pepper spray used, bomb scare","3 deaths, 1,672 injured, panic caused by robbery attempt, railing collapse, noise mistaken for firecrackers, injuries sustained, additional fatalities and injuries in the following years, suspects arrested and investigation initiated",2017 Turin stampede
21 May 2020,"Maligawatta, Colombo-10, Sri Lanka",Maligawatta Stampede,3,9,Stampede during charity donation program amid COVID-19 lockdown and curfew,"3 women killed, 9 injured, panic situation during charity distribution, businessman Zarook Hajiyar conducting event, distribution of money to area residents, 6 suspects arrested, remanded until 4 June, critical condition of injured women admitted to Colombo National Hospital",2020 Maligawatta stampede
17 Mar 2021,Tanzania,Death of John Pombe Joseph Magufuli,1,0,Long-standing heart issue,"President of Tanzania from 2015 to 2021, known for reducing government corruption and spending, autocratic tendencies, strong economic growth, COVID-19 denialism, succeeded by Vice-President Samia Suluhu",2021 Dar es Salaam stampede
30 Apr 2021,"Meron, Israel",2021 Meron Stampede,45,150+,Deadly crowd crush during Lag BaOmer pilgrimage at tomb of Rabbi Shimon bar Yochai,"45 killed, 150+ injured, deadliest civil disaster in Israel, crush after celebrants poured out of compound, wet floor led to staircase, people tripped and slipped, trampled, crushed, and asphyxiated, potential calamity reported by state comptroller and police chief, local council tried to close site, bonfire areas partitioned due to COVID-19, safety engineer and assistant arrested, senior police officers under investigation",2021 Meron stampede
9 May 2001,"Accra, Ghana",Accra Sport Stadium Disaster,126,Unknown,Stampede during football match between Accra Hearts of Oak and Asante Kotoko,"126 dead, worst stadium disaster in Africa, crowd disturbances led to tear gas, panic, and stampede, bottleneck due to compromised stadium design, 116 deaths from compressive asphyxia, 10 from trauma, fan narrowly avoided being buried alive, police blamed for over-reacting and charged with manslaughter",Accra Sports Stadium disaster
21 Jul 2001,"Akashi, Hyōgo, Japan",Akashi Pedestrian Bridge Accident,11,247,"Human crush on pedestrian overpass after fireworks show, leading to Asagiri Station","11 killed, including 2 adults and 9 children, 247 injured, officials convicted of negligence, incident led to safety improvements, coordinates: 34°38′38″N 135°01′03″E",Akashi crowd crush
26 Jun 2019,"Antananarivo, Madagascar",Antananarivo Stampede,16,101,"Stampede before Rossy concert at Mahamasina Municipal Stadium, Independence Day celebration","16 dead, 101 injured, second stampede at stadium in a year, police closed gates causing crush, victims taken to hospital, President Rajoelina visited injured, promised to cover hospitalization expenses",Antananarivo stampede
5 Nov 2021,"Houston, Texas",2021 Astroworld Festival Stampede,10,"25 hospitalized, 300+ treated","Fatal crowd crush during music event, accidental compressive asphyxiation, one victim influenced by drugs and alcohol","10 deaths, 25 hospitalized, 300+ treated for injuries, event founded by Travis Scott, organized by Live Nation, Apple Music streamed live, tickets sold out quickly, security presence increased, city and county provided security, inquiries into security numbers declined",Astroworld Festival crowd crush
31 Aug 2005,Baghdad,2005 Al-Aaimmah Bridge Stampede,953,Unknown,"Stampede on Al-Aaimmah bridge during pilgrimage to Al Kadhimiya Mosque, rumors of suicide bomb attack, panic in crowd, bridge gate opened, crush of people, suffocation, railings gave way, hundreds dropped into Tigris river","953 deaths, one million pilgrims gathered, tensions high, earlier mortar attack, panic from bomb rumors, man falsely accused of carrying explosives, bridge gate opened, crush caused suffocation, railings collapsed, people fell into river, rescue efforts from both sides, teenager Othman Ali Abdul-Hafez died while helping victims",Baghdad bridge stampede
11 Jan 1908,"Barnsley, Yorkshire, England",Barnsley Public Hall Disaster,16,40+,Crush during overcrowding at public hall during penny performance for children,"16 children killed, at least 40 seriously injured, survivors taken to Beckett Hospital, incident caused by overcrowding and crush on staircase, occurred during a penny performance for children, children from across Barnsley attending a film show, hall quickly became overcrowded, ground floor seats full, children packed into gallery, mass rush for stairs led to trampling and crushing, survivors had to climb over fallen children to escape, incident occurred during falling snow",Barnsley Public Hall Disaster
3 Mar 1943,"Bethnal Green, London",Bethnal Green Tube Station Stampede,173,Unknown,"Crush during entry to air-raid shelter at Bethnal Green station, largest loss of civilian life in UK during WWII","173 killed, including 62 children, tragic incident during WWII, station later opened as part of Central line extension, extensive use of pale yellow tiling in station design",Bethnal Green tube station disaster
5 Dec 1876,Brooklyn,Brooklyn Theatre Fire,278+,Unknown,"Fatal theatre fire with over 1,000 guests, at least 278 dead, ranks third in US theatre fire fatalities","103 unidentified victims interred in common grave at Green-Wood Cemetery, more than two dozen identified victims interred at Cemetery of the Evergreens, fatalities mainly in family circle due to extreme temperatures and suffocating smoke, only one stairway serving gallery leading to jammed escape route, theatre owned by Brooklyn Building Association, Brooklyn Daily Eagle referred to it as Brooklyn's ""principal theatre""",Brooklyn Theatre fire
9 Mar 1946,Bolton,Burnden Park Disaster,33,Hundreds,Human crush at Burnden Park football stadium during FA Cup match between Bolton Wanderers and Stoke City,"33 deaths, hundreds injured, deadliest stadium-related disaster in British history at the time, match allowed to continue, Moelwyn Hughes report recommended crowd size control, crowd estimated over 85,000, entrance only from Manchester Road end, facilities rudimentary, turnstiles closed since 1940, fans paid at turnstiles, end became over capacity, gate opened allowing more people in",Burnden Park disaster
11 Feb 1823,"Valletta, Malta",Carnival Tragedy of 1823,110,Unknown,Human crush at Convent of the Minori Osservanti during carnival celebrations in Valletta,"About 110 boys killed, fell down a flight of steps while trying to exit the convent, tradition during famine, boys aged 8-15, organized by ecclesiastical directors, aimed to keep children out of carnival riots, children attended mass at Floriana, received bread at the convent, procession met with returning carnival attendees, adults and children mixed in with boys for free bread, boys entered corridor to be let out on St. Ursula Street, tragedy occurred due to overcrowding and confusion",Carnival tragedy of 1823
4 Mar 1908,"Collinwood, Ohio",Collinwood School Fire,172,0,"Fire at Lake View School, children trapped in vestibule, masonry exterior acted as chimney","172 students, 2 teachers, and 1 rescuer killed, one of the deadliest school disasters in US history, school's design contributed to high death toll, small volunteer fire department arrived late, building collapsed within an hour, origin of fire remains uncertain, various explanations circulated, coroner's inquest blamed heating pipes and held no one legally accountable",Collinwood school fire
8 Dec 2018,"Corinaldo, Marche, Italy",Lanterna Azzurra Stampede,6,59,"Stampede during rap concert headlined by Sfera Ebbasta, someone sprayed ""irritant substance"" into crowd, metal railing collapse outside nightclub","6 killed, 59 injured, 1,400 people inside nightclub with max capacity of 469, 600 tickets scanned, 6 victims identified, multiple injuries, pepper spray can found, 16-year-old arrested for setting off pepper spray, 7 adults held under investigation",Corinaldo stampede
16 Jun 2018,Caracas,El Paraíso Stampede,19,500+,"Tear gas canister detonated during brawl at El Paraíso Social Club, asphyxia and polytrauma reported","19 dead, over 500 injured, stampede caused by tear gas, tear gas prohibited in Venezuela except for police and military use, media outlets targeted with tear gas attacks, colectivos known to use tear gas against opposition, incidents of tear gas use in Caracas Metro stations, weapons obtained through theft and corruption, multiple reports of tear gas incidents in 2018, nightclub scene of violence in the past",El Para铆so stampede
11 Apr 2001,"Johannesburg, South Africa",Ellis Park Stadium Disaster,43,Unknown,Crowd crush during local football match between Kaizer Chiefs and Orlando Pirates,"43 deaths, worst sporting accident in South African history, 60,000 capacity crowd, reports of 30,000 additional fans trying to gain entry, match stopped after 34 minutes due to high volume of injuries, crowd surged leading to crush, untrained security guards firing tear gas, inquiry revealed bribed security personnel and poor crowd control as major causes",Ellis Park Stadium disaster
24 May 1964,Lima,Estadio Nacional Disaster,328+,500+,"Stampede during Peru vs. Argentina football match, tear gas fired by police, crushing against steel shutters","328+ dead, 500+ injured, worst disaster in football history, caused by pitch invasion, unpopular referee decision, police firing tear gas, asphyxiation and internal hemorrhaging, gates closed with steel shutters, panic and mass exodus, tragic event during Tokyo Olympics' football tournament qualifying round",Estadio Nacional disaster
31 Dec 1929,"Paisley, Scotland",Glen Cinema Disaster,71,Up to 40,"Smoking film canister causing panic and stampede at cinema, leading to 71 deaths","69 children killed, up to 40 injured, one of the worst disasters in Scottish history, building still stands housing a furniture store, cinema opened in 1901, incident occurred during children's matinée, caused by highly flammable nitrate film, smoke filled auditorium leading to panic and stampede, escape door padlocked and unable to open, injuries from people jumping from balconies to escape",Glen Cinema disaster
6 Jul 1944,"Hartford, Connecticut",Hartford Circus Fire,167+,700+,"Fatal fire during Ringling Bros. and Barnum & Bailey Circus performance, one of the worst fire disasters in U.S. history","At least 167 dead, over 700 injured, occurred during afternoon circus performance, circus experiencing shortages due to WWII, delays and malfunctions common, previous fire in 1942, circus arrived late in Hartford, missing a show considered bad luck, dominated by women and children, estimated 7,000 attendees, big top could seat 9,000, tragic event with significant casualties",Hartford circus fire
29 May 1985,Brussels,Heysel Stadium Disaster,39,600,Crowd disaster at Heysel Stadium during 1985 European Cup Final between Juventus and Liverpool,"39 killed, 600 injured, confrontation between Juventus and Liverpool fans, wall collapse due to fans pressed against it, Liverpool fans charged at Juventus supporters, Liverpool banned from European competitions, 14 Liverpool fans convicted of manslaughter",Heysel Stadium disaster
15 Apr 1989,"Sheffield, England",Hillsborough Disaster,97,766,"Fatal human crush during FA Cup semi-final match between Liverpool and Nottingham Forest, overcrowding in standing-only pens, police order to open exit gate C","97 deaths, 766 injuries, highest death toll in British sporting history, match abandoned and restaged at Old Trafford, false stories blaming Liverpool fans, Taylor Report findings, safety improvements in English football grounds, introduction of all-seater stadiums in top two tiers of English football",Hillsborough disaster
,,,,,,,Houphou毛t-Boigny Arena stampede
30 Dec 1903,"Chicago, Illinois, United States",Iroquois Theatre Fire,602+,Unknown,"Deadliest theater fire and single-building fire in U.S. history, at least 602 deaths","Occurred at Iroquois Theatre, deadliest theater fire in U.S. history, theater located at 24–28 West Randolph Street, Chicago, Illinois, theater opened on November 23, 1903, capacity of 1,602, three audience levels, one entrance, broad stairway used for all levels, ignored Chicago fire ordinances, cause of fire remains disputed",Iroquois Theatre fire
24 Dec 1913,Calumet,Italian Hall Disaster,73,Dozens,"False fire alarm at crowded Christmas party, mostly striking mine workers and families","73 killed, mostly striking mine workers and families, caused by false fire alarm, occurred during Christmas party, steep stairway as the only exit, part of a long strike by Calumet and Hecla Mining Company, Western Federation of Miners involved, strike demanded union recognition and better working conditions, standoff between miners and management, strike lasted until April 1914",Italian Hall disaster
8 Feb 1981,"Neo Faliro, Piraeus, Greece",Karaiskakis Stadium Disaster,21,55+,"Partially closed door at Gate 7 of stadium, rush of fans exiting, fans falling and being stepped over","21 dead, 55+ injured, reconstruction of stadium, ongoing debates about causes, memorial service held annually on February 8",Karaiskakis Stadium disaster
10 Sep 2019,"Karbala, Iraq",Karbala Stampede,31,100+,"Human stampede during Ashura processions in Karbala, conflicting accounts of cause","31 killed, 100+ injured, conflicting reports on cause, one account of walkway collapse, another of a person tripping and causing panic, Ashura marks death of Husayn ibn Ali, important holiday in Islamic calendar, target of past terrorist attacks, Tuwairij run a common event, pilgrims run to Imam Husayn Shrine, event drew hundreds of thousands of pilgrims",Karbala stampede
30 May 1896,Moscow,Khodynka Tragedy,"1,282","9,000-20,000",Crowd crush during festivities after the coronation of Nicholas II,"1,282 dead, 9,000-20,000 injured, crush during coronation celebrations, rumours of gifts led to gathering, police failed to maintain order, victims trampled or suffocated in ditch, festivities continued despite tragedy",Khodynka Tragedy
27 Jan 2013,"Santa Maria, Rio Grande do Sul, Brazil",Kiss Nightclub Fire,245,630+,"Fire during ""Aglomerados"" party, stampede during freshers' ball, flare ignited acoustic foam, lack of exit signs and emergency exits, overcrowding","245 killed, 630+ injured, second most-devastating fire disaster in Brazil, third-deadliest nightclub fire in history, majority victims aged 18-30, band's pyrotechnic device caused fire, high death toll due to lack of emergency exits and overcrowding, many victims succumbed to smoke inhalation, panic led to deaths in bathrooms",Kiss nightclub fire
21 Nov 2014,"Kwekwe, Zimbabwe",Mbizo Stadium Stampede,11,40,"Stampede at religious service officiated by Walter Magaya, 30,000 attendees, caused by crowd exiting through single exit, police firing teargas, 4 killed immediately, 7 pronounced dead at hospital","11 dead, 40 injured, stampede at stadium, casualties from crowd exiting, police intervention with teargas, victims pronounced dead at hospital, article mentions Zimbabwean history and disaster management stubs on Wikipedia",Kwekwe stadium stampede
22 Aug 2020,"Los Olivos District, Lima, Peru",Thomas Restobar Nightclub Stampede,13+,6,"Raid by National Police of Peru on nightclub during COVID-19 pandemic, stampede during illegal gathering","13+ dead, 6 injured, raid to break up illegal gathering, nightclub overcrowded, stampede on stairs during police intervention, curfew in place, nightclub closed since March 2020, 23 people detained, 15 arrested tested positive for COVID-19",Los Olivos stampede
24 Jul 2010,"Duisburg, North Rhine-Westphalia, Germany",2010 Love Parade Disaster,21,500+,Suffocation during crowd disaster at Love Parade electronic dance music festival,"21 deaths, 500+ injured, attendees seeking to escape ramp leading to festival area, festival permanently cancelled, criminal charges brought against 10 employees, charges eventually rejected, trial reopened in 2017, trial discontinued in 2020, festival part of RUHR.2010 campaign celebrating Ruhr valley as European Capital of Culture",Love Parade disaster
20 Oct 1982,Moscow,Luzhniki Disaster,66,Unknown,Deadly human crush at Grand Sports Arena of Central Lenin Stadium during UEFA Cup match,"66 FC Spartak Moscow fans died, mostly adolescents, Russia's worst sporting disaster, fatalities officially revealed in 1989, weather snowy and cold, only 16,500 tickets sold, 82,000 available, only two stands open, East Stand closer to Metro station, majority of fans Spartak Moscow supporters, match uneventful after Spartak took lead, stadium did not have roof over seating at the time",Luzhniki disaster
25 Jan 2005,"Wai, Satara district, Maharashtra",Mandher Devi Temple Stampede,291,Unknown,"Stampede during annual pilgrimage at Mandher Devi temple, slippery stone steps, fire, and gas cylinder explosions","291 pilgrims killed, chaos allegedly caused by drunk individuals, victims crushed and charred, festival includes ritual sacrifices and coconut breaking, Justice Rajan Kochar report mentions drunk people creating chaos, disaster management article stub, Indian history-related article stub",Mandher Devi temple stampede
3 Aug 2008,"Naina Devi temple, Himachal Pradesh, India",2008 Naina Devi Temple Stampede,146,150,"Crush and trampling during large panicking crowd movement, triggered by collapse of rain shelter mistaken for landslide","146 dead, 150 injured, stampede during sacred festival in Hindu month of Shraavana, 40 children among victims, government compensation for victims, pilgrimage resumed the next day, young boy received bravery award for saving lives, false cry of ""landslide"" led to stampede, police railings collapsed causing people to fall on each other, political leader expressed condolences after the tragedy",Naina Devi stampede
9 Nov 2019,Caracas,Banderas Blancas Concert Stampede,4,50+,"Human stampede at trap music concert in Parque del Este, Caracas, Venezuela","4 teenagers killed, over 50 injured, stampede before Neutro Shorty concert, chaos due to overcrowding and fighting, concert marked by negligence and improvisation, overwhelmed security, victims treated at various hospitals with trauma centers",Neutro Shorty concert stampede
30 May 1999,"Minsk, Belarus",Nyamiha Stampede,53,Unknown,"Stampede at Nyamiha metro station during thunderstorm, people racing for shelter from open-air concert","53 killed, many injured, stampede funneled into blocked underpass, caused by wet pavement, three-day mourning period in Belarus",Nyamiha disaster
13 Jan 1991,"Orkney, North West, South Africa",Oppenheimer Stadium Disaster,42,Unknown,Stampede during preseason football match between Kaizer Chiefs and Orlando Pirates,"42 dead, preseason ""friendly"" match, overcrowding with 30,000 fans in 23,000 capacity stadium, fans not separated by team, dispute over goal led to violence, fans trampled or crushed against riot-control fences, second-worst sporting incident in South African history",Orkney Stadium Disaster
24 Nov 2017,London,Oxford Circus Panic,0,16,False reports of gunshots leading to human stampede in Oxford Circus tube station and surrounding streets,"16 injured, panic during Black Friday sales and Christmas shopping season, shoppers fleeing and seeking shelter, no gunshots or terrorism confirmed, incident ended by police, occurred amidst heightened terror threat level in London",Oxford Circus panic
4 Feb 2006,"Pasig, Metro Manila, Philippines",PhilSports Stadium Stampede,73,400,Crowd crush at PhilSports Stadium during Wowowee first anniversary episode taping,"73 killed, 400 injured, stampede during event taping, 30,000 people gathered outside stadium, victims mostly from poorest areas, caused by overcrowding and pushing, prizes awaiting winners, panic ensued when gates were closed, tragedy led to multiple injuries and fatalities",PhilSports Arena Stampede
22 Nov 2010,Phnom Penh,Phnom Penh Stampede,347,755+,"Human stampede during Khmer Water Festival celebrations, people crushed on bridge","347 dead, 755+ injured, stampede occurred at end of Water Festival, festival-goers gathered to watch boat races and concert, incident caused by overcrowding and pushing, victims not freed until hours later, hospitals overwhelmed, government initially reported 456 deaths, later revised to 347, witness reported people falling and being crushed due to panic and pushing, some died from electrocution due to pulled electrical wires",Phnom Penh stampede
