Ship Name,Purpose,Responsible Party,Lives Lost,Date Sunk,Route,Passenger Capacity,Crew Size,Maiden Voyage Details,Location,Additional Details,Historical Significance,Owner,Population,Area,Full Name,Launch Date,Capital,Battle Honours,Role,Family Background,Reason for Name,Date of Birth,Date of Death,Key Achievements,Notable Landmarks,Fate,Original Name,Sinking Date,Significance,Type,Length,Birthplace,Sinking Details,Maiden Voyage Route,Service Period,Sinking Party,Gross Register Tons,Beam,Propulsion,Holds,Torpedoed By,POWs Aboard,Survivors,Construction Yard,Yard Number,Completion Date,Key Incident,Borders,Highest Point,Origin of Term,Definition,Examples,Historical Background,Manufacturing Process,Properties,Origins of the Word,Founded as U.S.D. Camaro Messina,Renamed to S.S.D. Città di Messina,Promoted to Serie D,Relegated to Eccellenza Sicily,Promoted to Eccellenza Sicily,Acquired by Rocco Arena,Name changed to Football Club Messina,Ended 2nd in Serie D Girone I,Won Serie D Girone I playoffs,Depth,Geology,Name,Parentage,Siblings,Attributes,Division,Boundaries,Hebrew Name,Meaning,Region,Divisions,Roman Conquest,Defeat of Cimbri and Teutons,Julius Caesar's Campaigns,End of Roman Control,Renaming History,Career,Notable Works,Number of Ships,Ship Class,Pennant Number,Commissioning Date,Notable Events,Key Captures,Commissioned Date,Commanding Officer,Notable Crew Members,Operations,HMS Formidable,HMS Ham,Construction Period,Ownership Changes,Capture by Japanese,Renaming,Routes Served,Title,Reign,Modernization Efforts,International Recognition,Financial Troubles,Removal from Power,Newspaper Name,Creation Year,Merger Details,Ownership,Publisher,Circulation,Administrative Capital,Neighboring Regions,Surrounding Bodies of Water,Notable Geographical Features,Main Mountain Ranges,Agricultural Characteristics,Tourist Attractions,River Name,Other Names,Origin,Historical Impact,Date of Construction,Passengers on Board,Location of Sinking,Number of Survivors,Former Names,Date of Capture,Capturing Party,Final Name,Class,Key Battles,Construction Details,Specifications,War,Battles Participated In,Siege Involved In,Original Purpose,Unique Features,Conversion during WWII,Seizure by,Renamed to,Service as,Decor Details,Professional Debut,Highest Rank,Notable Achievements,Career Path,USS Juneau (CL-52),USS Juneau (CLAA-119),USS Juneau (LPD-10),Victim,Assailant,Date of Assassination,Location of Assassination,Reason for Assassination,Outcome of the Assailant,Key Figures Present at Funeral,Key Propaganda Use,1,2-7,8,trigger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,2010,2017,2012,2018,2019,13 July 2019,2020-2021,2020-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citt脿 di Messina
City of Benares,Evacuee ship,German submarine,258 lives lost,September 1940,Britain to Canada,406,Not specified,,,"Torpedoed and sunk by German submarine U-48 during World War II, 77 of the evacuated children perished",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Benares
,,,,,,,,,"North Sea, approximately 100 kilometers off the east coast of England",,"Named after medieval Dutch fishing boats, part of Doggerland landmass during the last ice age, potential site for UK round 3 wind farm, first recorded in the mid-17th century, similar names in Dutch, German, and Danish, gives name to Dogger sea area in BBC Radio 4 Shipping Forecast",,,"Approximately 17,600 square kilometers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranges from 15 to 36 meters,Likely a moraine formed during the Pleistocene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doggerbank
Edogawa Maru,Japanese transport ship,USS Sunfish,"2,114 lives lost",18 November 1944,"Moji to Miri, Borneo as part of convoy MI-27",Not specified,Not specified,"Sunk by USS Sunfish as part of convoy MI-27 from Moji to Miri, Borneo, with significant loss of life",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edogawa Maru
,,,,,,,,,,,,,,,,,,,Muse of music and lyric poetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euterpe,Daughter of Mnemosyne and Zeus,"Calliope, Clio, Melpomene, Terpsichore, Erato, Thalia, Polyhymnia, Urania","Presides over music, called ""Giver of delight,"" associated with the aulos or double-flute, depicted holding a flute, lived on Mount Olympus and Mount Helicon, sacred spring on Mount Parnassus, entertained the Olympian gods with artistry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Euterpe
,,,,,,,,,,,,,,,Francesco Crispi,,,,Italian patriot and statesman,"Paternal family from Palazzo Adriano, Sicily, founded by Orthodox Christian Albanians, grandfather was an Arbëreshë Orthodox priest, uncle Giuseppe wrote on Albanian language",,4 October 1818,12 August 1901,"Protagonist of the Risorgimento, Prime Minister of Italy, supporter of Italian unification, ally of Bismarck, involved in major banking scandal, fell from power after Battle of Adwa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Francesco Crispi
Fuso Maru,Japanese ocean liner,USS Steelhead,Not specified,Not specified,"Moji, Japan to Miri, Borneo",Not specified,Not specified,"Torpedoed by USS Steelhead in the South China Sea, part of Convoy MI-11, built in 1907 in Glasgow, Scotland, renamed multiple times, assessed at 8,596 GRT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fuso Maru
,,,,,,,,,Northern Israel and southern Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper Galilee and Lower Galilee,"North of the Mount Carmel-Mount Gilboa ridge and south of the east–west section of the Litani River, extends from the Israeli coastal plain to the Jordan Rift Valley, includes the plains of the Jezreel Valley, Beth Shean Valley, the Sea of Galilee, and the Hula Valley, overlaps with the administrative Northern District of Israel and Southern Lebanon","גָּלִיל (Galilee), meaning 'district' or 'circle'","Galilee of the nations, referring to gentiles who settled there during ancient times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Galilea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaul,"Gaul divided into three parts: Gallia Celtica, Belgica, and Aquitania","Gaul fell under Roman rule, with Gallia Cisalpina conquered in 204 BC and Gallia Narbonensis in 123 BC","Gaul invaded by the Cimbri and Teutons after 120 BC, defeated by the Romans by 103 BC",Caesar subdued remaining parts of Gaul in campaigns from 58 to 51 BC,"Last Roman rump state, the Domain of Soissons, fell to the Franks in AD 486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gallia
SS General von Steuben,"Troop accommodation vessel, later an armed transport, sunk during Operation Hannibal while evacuating German military personnel, wounded soldiers, and civilian refugees",Soviet submarine S-13,"Estimated 4,000 lives lost",10 February 1945,,,,,,"Sunk in the Baltic Sea during World War II, first German trans-Atlantic passenger liner launched in 1923, first to enter New York Harbor post-World War I, raised, repaired, and returned to service after a fire in 1930",,,,,,1923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Renamed General von Steuben in 1930, renamed Steuben in 1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General von Steuben
,,,,,,,,,,,,,,,Lodovico de' Medici,,,,Italian condottiero,"Born in Forlì, son of Giovanni de' Medici and Caterina Sforza, committed first murder at age 12, twice banished from Florence, had a son Cosimo who became Grand Duke of Tuscany",,Not specified,Not specified,"Led war against Francesco Maria I della Rovere, formed his own company of light horsemen, defeated rebel barons in the Marche, allied with Emperor Charles V against King Francis I of France, added black stripes to his insignia in mourning for Pope Leo X, defeated French and Swiss forces at Caprino Bergamasco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giovanni delle Bande Nere
,,,,,,,,,,,,,,,Francisco José de Goya y Lucientes,,,,,"Born into a middle-class family, studied painting under José Luzán y Martinez, court painter to the Spanish Crown, Director of the Royal Academy",,,,,,,,,,,,"Fuendetodos, Aragon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Considered the most important Spanish artist of the late 18th and early 19th centuries,"La maja desnuda, Charles IV of Spain and His Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Goya
Hakuyo Maru,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hakuyo Maru
Hawaii Maru,Japanese troop transport ship,USS Sea Devil,"1,843 troops of the IJA 23rd Infantry Division, 60 other troops, 83 gunners, 148 crewmen",2 December 1944,"Moji, Japan to Miri, Borneo via Manila in convoy MI-29",Not specified,Not specified,Sank in the East China Sea west of Yakushima Island after being hit by USS Sea Devil during World War II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hawaii Maru
HMS Aboukir,,,,,,,,,,,,,,,,,,Battle of the Nile,,,Named after Abu Qir Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Aboukir
HMS Avenger,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Avenger
HMS Barham,,,,,,,,,,,,,,,,,,-,,,"Named in honour of Charles Middleton, 1st Baron Barham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Barham
HMS Courageous,,,,,,,,,,,,,,,,,,-,,,Named after the quality of being brave or courageous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Courageous
HMS Dunedin,,,,,,,,,,,,,,,,19 November 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danae-class light cruiser,D93,13 September 1919,"Protection of munitions unloading in Danzig, assistance after Hawkes Bay earthquake, hunt for German battleships, interception of German merchant ships, blockade off Martinique, capture of German tanker and Vichy French vessels","German merchant ships Heidelberg and Hannover, German tanker Lothringen, Vichy French vessels Ville de Rouen, Ville de Tamatave, and D'Entrecasteaux",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Dunedin
HMS Fidelity,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Rhin,,,Special Service Vessel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 September 1940,"Lt. Peri, served as Lieutenant Commander Jack Langlais RNVR","Lt-Cmdr. Albert Guérisse, served as Patrick Albert O'Leary RNVR; First Officer Madeleine Bayard, served as Madeleine Barclay WRNS","Clandestine transport off the coast of Southern France, small-scale sabotage, refitted for commando carrier operations in south-east Asia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Fidelity
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,Captured French ship renamed from Formidable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Formidable
HMS Galatea,,,,,,,,,,,,,,,,,,-,,,Named after the Galatea of mythology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Galatea
HMS Hawke,,,,,,,,,,,,,,,,,,-,,,"Named after the bird, the hawk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Hawke
HMS Penelope,,,,,,,,,,,,,,,,,,-,,,Named after the faithful wife Penelope of Greek mythology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Penelope
HMS Royal Oak,,,,,,,,,,,,,,,,,,-,,,Named after the Royal Oak in which Charles II hid during his flight from the country in the English Civil War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMS聽Royal Oak
HMT Aragon,,German submarine,610 personnel,1917 in the Mediterranean,,,,,,"Sank during World War I as a troop ship, took part in the Gallipoli Campaign in 1915, originally built as RMS Aragon in 1905, first defensively armed British merchant ship, part of the Royal Mail Steam Packet Company's fleet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMT聽Aragon
RMS Royal Edward,Passenger ship,,,,,"1,114 passengers",,,,,,Canadian Northern Steamship Company,,,,1907,,,,,,,,,,Sunk during World War I while transporting Commonwealth troops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HMT聽Royal Edward
Jun'yō Maru,Japanese cargo ship,HMS Tradewind,"Over 5,000 lives lost",18 September 1944,Not specified,Not specified,Not specified,"Built in 1913 by Robert Duncan & Co. of Glasgow, attacked and sunk by HMS Tradewind, carried prisoners of war and slave laborers, one of the world's greatest sea disasters at the time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juny艒 Maru
Wolverine State,Passenger-cargo ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Torpedoed and sunk on 12 September 1944 carrying 950 Allied prisoners of war, resulting in 431 deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919–1920,"United States Shipping Board, Los Angeles Steamship Company, Dollar Steamship Company, NYK Line, Imperial Japanese Army",Yes,"President Harrison, Kachidoki Maru","United States to India, Los Angeles to Honolulu, California to South America, Japan to Taiwan, Japan to Singapore and Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kachidoki Maru聽
Chichibu Maru (Kamakura Maru),"Japanese passenger ship, later renamed Kamakura Maru, sunk during World War II",,"2,035 soldiers and civilians",Not specified,,,,,,"Built for Nippon Yusen shipping company, launched on 8 May 1929, completed in 1930, beam of 22.6 meters, length of 178 meters, tonnage of 17,498, cruising speed of 19 knots, maximum speed of 21 knots, could carry 817 passengers, participated in significant exchanges during WW2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kamakura Maru
