Satellite Name,Launch Vehicle,Launch Site,Purpose,Manufacturer,Launch Date & Time,Orbit Details,Operator,Alternative Names,Deployment,Mass,Design Life,Operating Organization,Mission Purpose,Launch Date,Launch Dates,Launch Vehicles,Deployment Status,Previous Designation,Number of Satellites Launched,Operational Satellites,Failed Launch,Mission Name,Funding Source,Program Manager,Additional Payloads,Space Shuttle,Landing Date & Time,Payload,Cargo,Payload Deployment,Deployment Success,Landing Site,Flight Duration,Boat Name,Type,Builder,Designers,Construction Material,Performance,Modifications,Wingsail Details,Launch Location,Testing Locations,Significant Announcement,Satellite Names,Key Technology,Spacecraft,Special Features,Program Name,Nickname,Announcement Date,President,Organization,Establishment Year,Technologies Studied,Research Focus,Key Scientist,Conclusion,Mission Details,Current Orbit Details,Unique Feature,Mission Designation,Mission Objectives,Production Facility,Satellite Bus,Launch Vehicle Configuration,Construction Completion,Storage of Satellite,Launch Order,Atlas V Tail Number,Atlas V Configuration,trigger
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-143
Misty,,,Reconnaissance,,,,,,,,,United States National Reconnaissance Office,,,"1 March 1990, 22 May 1999, June 2012","Space Shuttle Atlantis, Delta IV Heavy",Cancelled by Director of National Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-144
USA-145,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"7 October 1999, 12:51:01 UTC","Medium Earth Orbit, 20,096 km perigee, 20,267 km apogee, 53° inclination",U.S. Department of Defense,"GPS IIR-3, GPS SVN-46",,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-145
USA-150,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"11 May 2000, 01:48:00 UTC","Medium Earth Orbit, 20,133 km perigee, 20,234 km apogee, 54.9° inclination",U.S. Department of Defense,"GPS IIR-4, GPS SVN-51",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-150
USA-151,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"16 July 2000, 09:17:00 UTC","Medium Earth Orbit, 20,184 km perigee, 20,426 km apogee, 722.98 minutes period, 55° inclination",United States Space Force,"GPS IIR-5, GPS SVN-44, Navstar-48",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-151
USA-154,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"10 November 2000, 17:14:02 UTC","Medium Earth Orbit, 20,177 km perigee, 20,498 km apogee, 724.28 minutes period, 55° inclination",U.S. Department of Defense,"GPS IIR-6, GPS SVN-41",No longer in service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-154
USA-156,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"30 January 2001, 07:55:01 UTC","Medium Earth Orbit, 20,104 km perigee, 20,266 km apogee, 55° inclination",U.S. Department of Defense,"GPS IIR-7, GPS SVN-54",Retired,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-156
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-157
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-164
USA-165 (XSS-11),Minotaur,Low Earth Orbit,Technology demonstration for proximity operations,Lockheed Martin,"11 April 2005, -",-,U.S. Air Force Research Laboratory's Space Vehicles Directorate,-,"Lost to satellite spotters, re-entered atmosphere on November 11, 2013",125 kg,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-165
USA-166,Delta II,"Cape Canaveral Air Force Station, SLC-17B",Navigation satellite,Lockheed Martin,"29 January 2003, 18:06:00 UTC","Medium Earth Orbit, 20,155 km perigee, 20,344 km apogee, 55° inclination",United States Space Force,"GPS IIR-8, GPS SVN-56",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-166
USA-168,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"31 March 2003, 22:09:01 UTC","Medium Earth Orbit, 20,063 km perigee, 20,433 km apogee, 720.64 minutes period, 54.9° inclination",U.S. Department of Defense,"GPS IIR-9, GPS SVN-45",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-168
Milstar,,,Military communications satellite,Lockheed Martin Space,,Geosynchronous orbit,United States Space Force,,,,,,,,1994-2003,"Titan IVA, Titan IVB",Operational,,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-169
,,,,,,,,,,,,,,August 2008,,,,,,,,,,,,,,,,,,,,USA-17,Racing trimaran,BMW Oracle Racing,"VPLP Yacht Design, Franck Cammas","Carbon fiber, epoxy resin","High speed, 2.0-2.5 times true wind speed","Wave-piercing hulls, addition of engine for hydraulic winches","Initially 190 feet tall, later extended to 223 feet","Anacortes, Washington","Anacortes, San Diego","Rigid sail wing built on November 8, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-17
USA-175,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"21 December 2003, 08:05:00 UTC","Medium Earth Orbit, 20,043 km perigee, 20,319 km apogee, 55.1° inclination",U.S. Department of Defense,"GPS IIR-10, GPS SVN-47",Decommissioned,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-175
USA-177,Delta II,"Cape Canaveral Air Force Station, SLC-17B",Navigation satellite,Lockheed Martin,"20 March 2004, 17:53 UTC","Medium Earth Orbit, 20,095 km perigee, 20,271 km apogee, 55° inclination",United States Space Force,"GPS IIR-11, GPS SVN-59",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-177
USA-178,Delta II,"Cape Canaveral Air Force Station, SLC-17B",Navigation satellite,Lockheed Martin,"23 June 2004, 22:54:00 UTC","Medium Earth Orbit, 20,089 km perigee, 20,277 km apogee, 55° inclination",United States Space Force,"GPS IIR-12, GPS SVN-60",No longer in service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-178
USA-180,Delta II,"Cape Canaveral Air Force Station, SLC-17B",Navigation satellite,Lockheed Martin,"6 November 2004, 05:39:00 UTC","Medium Earth Orbit, 19,936 km perigee, 20,426 km apogee, 54.8° inclination",U.S. Department of Defense,"GPS IIR-13, GPS SVN-61",,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-180
USA-183,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"26 September 2005, 03:37:00 UTC","Medium Earth Orbit, 20,140 km perigee, 20,222 km apogee, 55° inclination",United States Space Force,"GPS IIR-14, GPS IIRM-1, GPS SVN-53",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-183
USA-184,Delta IV Medium+,"Vandenberg Air Force Base, SLC-6",Signals intelligence satellite,Boeing,"28 June 2006, 03:33 UTC","Molniya orbit, 1,138 km perigee, 39,210 km apogee, 63.2° inclination",,"NRO Launch 22, NROL-22",Classified,,,National Reconnaissance Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-184
,Delta II,Cape Canaveral Space Launch Complex 17,,,"21 June 2006, 21:34 UTC",,,,,,,,Technology demonstration,,,,,,,,,Micro-satellite Technology Experiment (MiTEx),Microsatellite Demonstration Science and Technology Experiment Program,Owen C. Brown,,,,,,,,,,,,,,,,,,,,,"USA-187, USA-188, USA-189",Inspection satellites with photovoltaic arrays for power,,,,,,,,,,,,,,,,,,,,,,,,,,USA-187
,Delta II,Cape Canaveral Space Launch Complex 17,,,"21 June 2006, 21:34 UTC",,,,,,,,Technology demonstration,,,,,,,,,Micro-satellite Technology Experiment (MiTEx),Microsatellite Demonstration Science and Technology Experiment Program,Owen C. Brown,,,,,,,,,,,,,,,,,,,,,,,"USA-187, USA-188, USA-189",Small dimensions for stealth approach to other satellites,,,,,,,,,,,,,,,,,,,,,,,,USA-188
MiTEx,Delta II,Cape Canaveral Space Launch Complex 17,Technology demonstration,-,"21 June 2006, 21:34 UTC",Geosynchronous orbit,"United States Air Force, DARPA, United States Navy",,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-189
,,,Missile defense system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strategic Defense Initiative (SDI),Star Wars program,"March 23, 1983",Ronald Reagan,Strategic Defense Initiative Organization,1984,"Lasers, particle beam weapons, ground- and space-based missile systems","Basic research in national laboratories, universities, and industry",Dr. James Ionson,Technologies considered were decades away from being ready for use,,,,,,,,,,,,,,USA-19
USA-190,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"25 September 2006, 18:50 UTC","Medium Earth Orbit, 20,018 km perigee, 20,343 km apogee, 55° inclination",United States Space Force,"GPS IIR-15, GPS IIRM-2, GPS SVN-52",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-190
USA-192,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"17 November 2006, 19:12:00 UTC","Medium Earth Orbit, 20,087 km perigee, 20,277 km apogee, 55° inclination",United States Space Force,"GPS IIR-16, GPS IIRM-3, GPS SVN-58",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-192
USA-193,Delta II,-,Military reconnaissance satellite,"Boeing, Lockheed Martin",14 December 2006,Classified,National Reconnaissance Office,NRO Launch 21,Destroyed on 21 February 2008,"2,300 kg",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-193
USA-195,Atlas V 421,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Boeing,"11 October 2007, 00:22 UTC","Geostationary orbit, 174.8° East longitude",United States Air Force,Wideband Global SATCOM 1,In service,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-195
USA-196,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"17 October 2007, 12:23:00 UTC","Medium Earth Orbit, 20,149 km perigee, 20,214 km apogee, 717.94 minutes period, 54.8° inclination",United States Space Force,"GPS IIR-17, GPS IIRM-4, GPS SVN-55",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-196
USA-197,Delta IV Heavy,"Cape Canaveral Space Force Station, SLC-37B",Missile detection satellite,United Launch Alliance,"11 November 2007, -",-,United States Space Force,DSP-23,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-197
USA-198,Atlas V 401,Cape Canaveral Space Force Station,,,,,,,,,,United Launch Alliance,Communications satellite,10 December 2007,,,,NRO Launch 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-198
USA-199,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"20 December 2007, 20:04:00 UTC","Medium Earth Orbit, 20,082 km perigee, 20,283 km apogee, 717.98 minutes period, 54.9° inclination",U.S. Department of Defense,"GPS IIR-18, GPS IIRM-5, GPS SVN-57",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-199
USA-200,Atlas V (411 configuration),"Vandenberg Air Force Base, SLC-3E",Signals intelligence satellite,,"13 March 2008, 10:02 UTC","Molniya orbit, 1,112 km perigee, 37,580 km apogee, 63.56° inclination, 684.33 minutes orbital period",,"NRO Launch 28, NROL-28, Improved Trumpet, Advanced Trumpet, Trumpet follow-on",,,,National Reconnaissance Office,,,,,,,,,,,,,"SBIRS-HEO 2 missile detection payload, TWINS-2 magnetospheric science instrument",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-200
USA-201,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"15 March 2008, 06:10 UTC","Medium Earth Orbit, 20,143 km perigee, 20,222 km apogee, 55.1° inclination",United States Space Force,"GPS IIR-19, GPS IIRM-6, GPS SVN-48",In service,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-201
USA-202,Delta IV Heavy,Cape Canaveral Air Force Station,,,,,,,,,,United States National Reconnaissance Office,"Classified, Advanced Orion ELINT satellite",18 January 2009,,,,NRO Launch 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-202
USA-203,Delta II,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"24 March 2009, 08:34 UTC","Medium Earth Orbit, 20,045 km perigee, 20,335 km apogee, 55.8° inclination",U.S. Department of Defense,"GPS IIR-20, GPS IIRM-7, GPS SVN-49",Decommissioned,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-203
USA-204,Atlas V 421,Cape Canaveral Air Force Station,Military communications satellite,Boeing Satellite Systems,"4 April 2009, 23:31 UTC","Geostationary orbit, 60° East longitude",United States Air Force,Wideband Global SATCOM 2,Operational,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-204
USA-205,Delta II 7920-10C,"Vandenberg Air Force Base, SLC-2W",Missile detection early warning system technology demonstration,United Launch Alliance,"5 May 2009, 20:24:25 UTC",Sun-synchronous orbit,United States Missile Defense Agency,"STSS-ATRR, Block 2010 Spacecraft Risk Reduction",Operational,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-205
USA-206,Delta II 7925-9.5,"Cape Canaveral Air Force Station, SLC-17A",Navigation satellite,Lockheed Martin,"17 August 2009, 10:35 GMT",Semi-synchronous medium Earth orbit,U.S. Air Force,"GPS SVN-50, PRN-05, NAVSTAR 64, GPS IIR-21, GPS IIRM-8",Operational,"2,032 kg",10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-206
USA-207,Atlas V 401,"Cape Canaveral Air Force Station, SLC-41",Classified SIGINT satellite,Lockheed Martin,"8 September 2009, 21:35 GMT","Multiple relocations, final position at 47.7 deg E",United States government (likely NSA),"PAN, Palladium At Night, NEMESIS I, P360",Successful,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-207
USA-211,Delta IV Medium+,Cape Canaveral Air Force Station,Military communications satellite,Boeing Satellite Systems,"10 December 2009, 23:47 UTC",Geostationary orbit at 12° West,United States Air Force,Wideband Global SATCOM 3,In service,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-211
USA-212,Atlas V 501,"Cape Canaveral Air Force Station, SLC-41",Technology demonstration and experimentation,Boeing,"22 April 2010, 23:52 UTC",Low Earth Orbit,United States Air Force,,Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-212
USA-213,Delta IV-M+,"Cape Canaveral Air Force Station, SLC-37B",Navigation satellite,Boeing,"28 May 2010, 03:00:00 UTC","Plane B of GPS constellation, PRN-25 signal, L5 signal, M-code, increased signal accuracy",United States Air Force,"GPS SVN-62, GPS IIF SV-1, NAVSTAR 65",In service,"1,633 kg",12 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-213
USA-214,Atlas V 531,"Cape Canaveral Air Force Station, SLC-41",Military communications satellite,Lockheed Martin Space,"14 August 2010, 11:07:00 UTC","Geostationary transfer orbit, 221 km perigee, 50,179 km apogee, 22.2° inclination",United States Air Force,AEHF-1,Unsuccessful,"6,168 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-214
USA-215,Atlas V 501,"Vandenberg Air Force Base, SLC-3E",Reconnaissance imaging radar satellite,,"21 September 2010, 04:03:30 UTC",,,"NRO Launch 41, NROL-41",,,,National Reconnaissance Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classified,"Perigee: 1,103 km, Apogee: 1,105 km, Inclination: 122.99°",,,,,,,,,,,,USA-215
USA-221,Minotaur IV,"Kodiak Launch Complex, Pad 1",Military minisatellite,United States Air Force Academy,2010,"Low Earth Orbit, 654 km apogee, 633 km perigee, 72° inclination",United States Air Force Academy,FalconSat-5,Deployed prior to HAPS stage ignition,180 kg,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-221
USA-223,Delta IV Heavy,Cape Canaveral Air Force Station,,,,,,,,,,United States National Reconnaissance Office,"Classified, likely an Orion satellite for electronic signals intelligence",21 November 2010,,,,NRO Launch 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-223
USA-224,Delta IV Heavy,Vandenberg AFB Space Launch Complex 6,Reconnaissance satellite,Lockheed Martin,"20 January 2011, 21:10:30 UTC","Low Earth Orbit, perigee: 251 km, apogee: 1,023 km, inclination: 97.9°",,NROL-49,,,,National Reconnaissance Office,Classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-224
USA-225,Minotaur I,"Vandenberg Air Force Base, SLC-8",Technology demonstration and development experiments,-,"6 February 2011, 12:26 UTC","1,200 km low Earth orbit",United States National Reconnaissance Office,"Rapid Pathfinder Prototype, NRO Launch 66",Successful,235 kg,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-225
USA-226,Atlas V,"Cape Canaveral Air Force Station, SLC-41",Orbital Test Vehicle 2 (OTV-2),Boeing,"5 March 2011, TBD",Low Earth Orbit,,,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-226
USA-227,Delta IV-M+,Cape Canaveral Air Force Station,,,,,,,,,,United States National Reconnaissance Office,"Classified, likely a third-generation Satellite Data System satellite in geosynchronous orbit",11 March 2011,,,,NRO Launch 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-227
USA-229,Atlas V 411,"SLC-3E, Vandenberg Air Force Base",,,,,,,,,,United States National Reconnaissance Office,Signals intelligence,15 April 2011,,,,NRO Launch 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-229
USA-230,Atlas V 401,Cape Canaveral,Missile detection and early warning system,Lockheed Martin Space,7 May 2011,-,United States Space Force,SBIRS GEO-1,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-230
USA-231,Minotaur I,"NASA's Wallops Flight Facility, Virginia",Reconnaissance satellite,Goodrich Corporation,2011,"300 km orbit, Southwest Asia coverage",Operationally Responsive Space Office,ORS-1,Operational,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-231
USA-232,Delta IV,"Cape Canaveral Air Force Station, SLC-37B",Navigation satellite,Boeing,"16 July 2011, 06:41 UTC","Medium Earth Orbit, 20,452 km perigee, 20,463 km apogee, 55.0° inclination",United States Space Force,"GPS IIF-2, GPS SVN-63",In service,"1,630 kg",15 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-232
USA-233,"Delta IV Medium+ (5,4)","Cape Canaveral Air Force Station, SLC-37B",Military communications satellite,Boeing Satellite Systems,"19 January 2012, 00:38 UTC","Geostationary orbit, 88.5° East",United States Air Force,Wideband Global SATCOM 4,Operational,"5,987 kg",14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA-233
