Event,Date,Epicenter Location,Significant Impacts,Affected Regions,Time,Casualties,Magnitude,Tsunami Impact,Max Mercalli Intensity,Magnitudes,Max Intensity,Depth,Significant Details,1971 Solomon Islands earthquakes,,Maximum Tsunami Height,Impact on Nearby Regions,2018 Fiji earthquake,trigger
1988 Lancang–Gengma earthquakes,Not specified,"Lancang and Gengma counties, Yunnan, China","US $270 million in damages, aftershocks, political and cultural revolution impact","Yunnan, Shan State, Burma, Shan Plateau, Sunda Block, India-Asia collision, Shan Scarp Fault Zone, Sagaing Fault, Red River Fault",,"939 killed, 7,700 injured",,,,"Mw 7.7, Ms 7.2","IX, X",,,,,,,,1988 Lancang–Gengma earthquakes
1990 Luzon earthquake,"July 16, 1990","Near Rizal, Nueva Ecija, Philippines","Ground rupture, strike-slip movements, building collapses, infrastructure damage","Luzon, Central Luzon, Cordillera Administrative Region, Metropolitan Manila, Southern Tagalog, Bicol Regions, Baguio",4:26 p.m.,"1,621 deaths",Mw 7.7,,IX,,,,,,,,,,1990 Luzon earthquake
1991 Costa Rica earthquake,"April 22, 1991","Pandora, Valle La Estrella, Limon, Costa Rica","Strongest earthquake in Costa Rica's history, extensive damage to infrastructure, roads and bridges destroyed, uplift at waterfront, collapsed landmarks, severe damage to Changuinola airport","Limon, Costa Rica, Bocas del Toro, Panama, San José, western Panama, Guabito, Changuinola, Almirante, Isla Colon",3:57 pm local time,"48 deaths in Costa Rica, 79 deaths in Bocas del Toro, Panama",7.7 Mw,,,,,,,,,,,,1991 Limon earthquake
1992 Flores earthquake and tsunami,"December 12, 1992","Island of Flores, Indonesia","Extensive building destruction, significant casualties, tsunami with 25m wave heights, national disaster declaration","Flores, Maumere, Babi, Kalaotoa, Sumba, Alor, Indonesia",13:29:26 WITA,"2,500 killed or missing, 500 injured, 90,000 homeless",Mw 7.8,,VIII,,,,,,,,,,1992 Flores earthquake and tsunami
1993 Guam earthquake,"August 8, 1993",Guam,"$250 million in damage, non-destructive tsunami",Guam,6:34:26 pm local time,71 injured,Mw 7.8,Non-destructive tsunami,IX,,,,,,,,,,1993 Guam earthquake
1994 Kuril Islands earthquake,"October 5, 1994",70 km east of Shikotan Island,"Road and building damage, oil leak and contamination, aftershock with tsunami","Shikotan Island, Tokyo, Hokkaido, Malokurilsk, Krabozavodsk, Hanasaki, Yuzhno-Kurilsk bay, Zelenyi Island, Dimitrova Bay",00:23 local time,At least 10 deaths,Mw 8.3,,,,,,,,,,,,1994 Kuril Islands earthquake
1995 Antofagasta earthquake,"July 30, 1995","Antofagasta Region, Chile",$1.791 million in damage,"Antofagasta Region, Chile",05:11 UTC,"3 killed, 58-59 injured, 600 homeless",Mw 8.0,Moderate tsunami,VII,,,,,,,,,,1995 Antofagasta earthquake
1996 Biak earthquake,"February 17, 1996","Near Biak Island, Indonesia","Thrust earthquake in oblique subduction zone, 270 km rupture along New Guinea oceanic trench, nonuniform slip distribution with largest slip of ~12 m","Biak Island, Indonesia, New Guinea oceanic trench",14:59:30 local time,"166 deaths, 423 injuries, 5,090 homeless",Mw 8.2,7-meter tsunami run-up height,IX,,,,,,,,,,1996 Biak earthquake
1997 Kamchatka earthquake,"December 5, 1997",Near east coast of Kamchatka Peninsula,"Geological deformation, significant foreshocks, independent rupture","Kamchatka Peninsula, Kronotsky Peninsula, Little and Big Chazhma rivers, Storozh River",11:26 UTC,Not specified,Mw 7.7,Local tsunami affecting unpopulated region,,,,,,,,Up to 8 meters,,,1997 Kamchatka earthquake
1998 Balleny Islands earthquake,"March 25, 1998","Remote Southern Ocean, 450 km north of George V Land, 700 km northwest of Balleny Islands","Largest recorded earthquake in Antarctica, caused by post-glacial rebound, complex intraplate earthquake within Antarctic Plate, unprecedented seismic activity in the region",,Afternoon,,Mw 8.1,,,,,,,,,,,,1998 Balleny Islands earthquake
Chi-Chi earthquake,"September 21, 1999","Jiji, Nantou County, Taiwan","NT$300 billion damage, profound economic impact, ""Quake of the Century""","Taiwan, Nantou County, Jiji, Sun Moon Lake",01:47:12 local time,"2,415 killed, 11,305 injured",7.3 ML or 7.7 Mw,,,,,,,,,,,,1999 Jiji earthquake
2000 New Ireland earthquakes,"November 16, 2000","Off the coast of New Ireland Province, Papua New Guinea","Landslides, damage, tsunami","New Britain, Duke of York Island, western Bougainville, Buka","04:54 UTC, 07:42 UTC, 21:01 UTC",2 deaths,,,,"8.0 Mw, 7.8 Mw, 7.8 Mw",,,,,,,,,2000 New Ireland earthquakes
2001 southern Peru earthquake,"June 23, 2001","Arequipa, Moquegua, Tacna, Peru","Ground failure effects, historical seismicity, subduction zone boundary","Arequipa, Moquegua, Tacna, Peru, South America, Hawaii, New Zealand",20:33:15 UTC,Not specified,Mw 8.4,,VIII,,,,,,,,,,2001 southern Peru earthquake
2002 Denali earthquake,"November 3, 2002","66 km ESE of Denali National Park, Alaska","Strongest earthquake recorded in the interior of Alaska, seiches generated as far as Texas and New Orleans","Denali National Park, Alaska, United States, Seattle, Washington, Texas, New Orleans, Louisiana",22:12:41 UTC,1 injury,7.9 Mw,,,,,,,,,,,,2002 Denali earthquake
2003 Hokkaidō earthquake,"September 26, 2003","Off the coast of Hokkaidō, Japan","Extensive damage, power outages, landslides","Hokkaidō, Japan, Honshu, Tokyo",04:50 local time,Over 800 injured,Mw 8.3,4-meter tsunami,,,,,,,,,,,2003 Tokachi earthquake
2004 Indian Ocean earthquake and tsunami,"December 26, 2004",Off the west coast of northern Sumatra,"Major disruptions to living conditions and commerce, massive casualties, worldwide humanitarian response, remote triggering of earthquakes","Indonesia (Aceh), Sri Lanka, India (Tamil Nadu), Thailand (Khao Lak), 14 countries around the Indian Ocean",07:58:53 local time,"227,898 deaths",9.1–9.3,"Devastating tsunamis up to 30m high, triggered by undersea megathrust earthquake",,,,,,,,,,,2004 Indian Ocean earthquake and tsunami
2005 Nias-Simeulue earthquake,"March 28, 2005","Off the west coast of northern Sumatra, Indonesia","Third most powerful earthquake since 1965 in Indonesia, panic in the region, seismic recordings give the earthquake a moment magnitude of about 8.6, effects felt as far as Bangkok, Thailand","Northern Sumatra, Indonesia, Nias, Simeulue, Sibolga, Jakarta, Bangkok, Thailand",16:09:37 UTC,At least 915 deaths,Mw 8.6,Relatively small tsunami causing limited damage,,,,,,,,,,,2005 Nias–Simeulue earthquake
2006 Kuril Islands earthquake,"November 15, 2006",Central Kuril Islands,"Local tsunami with runups of 21.9 meters or higher, doublet of 2007 Kuril Islands earthquake","Central Kuril Islands, northern Japanese coast, Crescent City, California, Pacific Ocean, Japan, Alaska, Hawaii, British Columbia, Washington, Oregon, California, Russian Far East, Wake Island, Midway Atoll",8:14:16 pm JST,Not specified,Mw 8.3,"Small tsunami affecting northern Japanese coast, damage in Crescent City, California",VII,,,,,,,,,,2006 Kuril Islands earthquake
2009 Samoa earthquake and tsunami,"September 29, 2009",Kermadec-Tonga subduction zone,"Doublet earthquake, triggered tsunami, rise in sea levels, waves measured 14 meters","Samoa, American Samoa, Tonga, New Zealand, Fiji, Cook Islands, Tokelau",Not specified,More than 189 deaths,Mw 8.1,"Substantial damage and loss of life in Samoa, American Samoa, and Tonga",VI,,,,,,,,,,2009 Samoa earthquake and tsunami
2010 Chile earthquake,"February 27, 2010",Off the coast of central Chile,"Triggered tsunami, widespread power outage, state of catastrophe declared, significant economic losses","Central Chile, Santiago, Concepción, Arauco, Coronel, Talcahuano, San Diego, Tōhoku, Japan, California",03:34 local time,"525 deaths, 25 missing",Mw 8.8,"Devastated several coastal towns, damaged port at Talcahuano, minor damage in California and Japan",,,,,,,,,,,2010 Chile earthquake
2011 Tōhoku earthquake and tsunami,"March 11, 2011","Pacific Ocean, 72 km east of the Oshika Peninsula","Meltdowns of three reactors at Fukushima Daiichi, discharge of radioactive water, evacuation zones, hundreds of thousands displaced","Tōhoku region, Miyako, Iwate Prefecture, Sendai, Ishinomaki, Fukushima, Japan, Pacific Ocean, Oshika Peninsula, Miyagi Prefecture",14:46 JST,"19,747 deaths, 6,242 injured, 2,556 missing",Mw 9.0–9.1,"Tsunami waves up to 40.5 meters, traveled at 700 km/h, reached up to 10 km inland in Sendai area",,,,,,,,,,,2011 T艒hoku earthquake and tsunami
2012 Indian Ocean earthquakes,"April 11, 2012","Near Aceh, Indonesia",,,15:38 local time,,,,,"8.6, 8.2 Mw",,22.9 km,"Largest strike-slip earthquake, epicenter within Indo-Australian Plate, reactivation of NNE-striking sea floor fabric",,,,Tsunami warnings issued but later cancelled,,2012 Indian Ocean earthquakes
2013 Okhotsk Sea earthquake,"May 24, 2013",Sea of Okhotsk,"Shaking lasting five minutes, felt in Tokyo, Nanjing, Atyrau, and Moscow, evacuation of 900 Moscow residents, supershear aftershock","Asian Russia, Kamchatka Peninsula, Tokyo, Nanjing, Atyrau, Moscow",15:44:49 local time,,Mw 8.3,,,,Shindo 3,,,,,,,,2013 Okhotsk Sea earthquake
2014 Iquique earthquake,"April 1, 2014","95km northwest of Iquique, Chile","Rupture of 200km length, felt in Chile, Peru, Bolivia","Iquique, Pisagua, Arica, Chile, Peru, Bolivia",20:46 local time,6 deaths,Mw 8.2,"Tsunami up to 2.11m, hit Iquique, Pisagua, Arica",,,,,,,,,,,2014 Iquique earthquake
2015 Illapel earthquake,"September 16, 2015","46 km offshore from Illapel, Chile","Thousands affected, man died from stroke in Buenos Aires, thrust faults along Nazca and South American plates","Illapel, Buenos Aires, Argentina, Coquimbo region, La Serena, Valparaiso, Santiago, Chile, South America",19:54:33 Chile Standard Time,"15 deaths, 6 missing",Mw 8.3-8.4,,,,,,,,,,,,2015 Illapel earthquake
2016 Solomon Islands earthquake,"December 9, 2016","30 km off San Cristobal Island, Solomon Islands","34,000 affected, homes lost, no access to basic needs","Makira, South Malaita, Guadalcanal Island, Solomon Islands",4:38 a.m. local time,1 child,Mw 7.8,Tsunami warnings issued and later cancelled,,,,,,,,,,,2016 Solomon Islands earthquakes
2017 Chiapas earthquake,"September 7, 2017","Gulf of Tehuantepec, near Chiapas, Mexico","Strongest earthquake in Mexico in a century, second strongest in history, largest globally in 2017","Mexico City, Chiapas, Mexico, Gulf of Tehuantepec",23:49 CDT,Not specified,Mw 8.2,"Generated a tsunami with 1.75m waves, tsunami alerts issued",IX,,,,,,,,,,2017 Chiapas earthquake
,,,,,,,,,,,,,,,,,,Convergence of Pacific Plate towards Indo-Australian Plate,2018 Fiji earthquake
2019 Peru earthquake,"May 26, 2019","Northern Peru, near Ecuador","Strongest earthquake in 2019, subduction zone boundary, intermediate depth event, normal faulting, 6.7 meters maximum slip, 47 cm subsidence","Peru, Ecuador",02:41 local time,"2 deaths, 30 injuries",Mw 8.0,,VII,,,,,,,,,,2019 Peru earthquake
2021 Alaska Peninsula earthquake,"July 28, 2021",Off the coast of Alaska Peninsula,"Largest US earthquake since 1965, 7th largest in US history, strongest globally since 2018 Fiji earthquake","Alaska Peninsula, Aleutian subduction zone, North American Plate, Pacific Plate, Shumagin segment, Unimak segment, Semidi segment",10:15 p.m. local time,None reported,Mw 8.2,Tsunami warning issued and later cancelled,,,,,,,,,,,2021 Chignik earthquake
September 2007 Sumatra earthquakes,"September 12-13, 2007","Off the coast of Sumatra, Indonesia","Top 20 largest earthquakes, series of tsunami bulletins, aftershocks up to magnitude 6.4","Sumatra, Indonesia",Various times,Not specified,"8.4, 7.9, 7.0",,,,,,,,,,,,September 2007 Sumatra earthquakes
