Event,Date,Location,Casualties,Infrastructure Damage,Magnitude,Key Details,Peak Wind Speed,Minimum Pressure,Landfall Locations,Surface Rupture Length,Fault Responsible,Aftershocks,Peak Temperatures,Impact on Crops,Records Set,Tsunami Generated,Tsunami Affected Areas,Estimated Monetary Losses,Impact on Infrastructure,International Aid Response,Causes,Flood Levels,Impact,Dasht-e Bayaz earthquake,Ferdows earthquake,Maximum Intensity,Tsunami Impact,Geological Context,Displaced Individuals,Typhoon Iris,Typhoon Joan,Typhoon Kate,trigger
1932 Cuba hurricane,"November 6-13, 1932","Cuba, Cayman Islands, Bahamas",-,"Extensive devastation in central and eastern Cuba, worst natural disaster of the 20th century",,,175 mph,-,"Cuba, central Bahamas, Bermuda",,,,,,,,,,,,,,,,,,,,,,,,1932 Cuba hurricane
1933 Diexi earthquake,"August 25, 1933","Diexi, Mao County, Szechwan, Republic of China","Up to 9,300 killed",,7.3,"Deadliest earthquake of 1933, destroyed town of Diexi and surrounding villages, caused landslides, old town sank into Diexi Lake",,,,,,,,,,,,,,,,,,,,,,,,,,,1933 Diexi earthquake
1934 Nepal-India earthquake,"January 15, 1934","Nepal, India",Extensive,Extensive,8.0,,,,,300 km,,,,,,,,,,,,,,,,,,,,,,,1934 Nepal–India earthquake
1935 Quetta earthquake,"May 31, 1935","Quetta, Balochistan, British India","30,000-60,000 dead",,7.7 Mw,"Deadliest earthquake in South Asia until 2005, centred 4 km south-west of Ali Jaan, Chaman and Chiltan faults, continuous aftershocks, largest aftershock of 5.8 Mw on June 2, 1935",,,,,,,,,,,,,,,,,,,,,,,,,,,1935 Quetta earthquake
1936 North American heat wave,June-July 1936,North America,"5,000+ deaths",,,,,,,,,,Exceeded 100°F,Massive crop destruction,"Numerous state and city record high temperatures set, some still standing as of 2021",,,,,,,,,,,,,,,,,,1936 North American heat wave
1937 Great Hong Kong Typhoon,"September 2, 1937","Hong Kong, Macau","11,000 in Hong Kong, 21 in Macau",,,"One of the deadliest typhoons in Hong Kong history, impact on Victoria Harbour, powerful winds, 9.1 m tidal wave, hoisting of hurricane signal",149 mph,934 mbar,"Hong Kong, Macau",,,,,,,,,,,,,,,,,,,,,,,,1937 Great Hong Kong typhoon
1938 Hanshin flood,July 1938,"Mount Rokkō area, Hyōgo Prefecture, Japan",At least 715 dead,,,"Heavy rains causing landslides and floods, flash floods, debris flows, impact on Kobe and Nishinomiya",,,,,,,,,,,,,,,,,,,,,,,,,,,1938 Hanshin flood
1939 Erzincan earthquake,"December 27, 1939","Erzincan, Turkey","32,968 dead, 100,000 injured","116,720 buildings seriously damaged, tsunami with heights of 1-3 m, 52-second shaking duration",7.8 Mw,,,,,360 km,,,,,,,,,,,,,,,,,,,,,,,1939 Erzincan earthquake
1940 Vrancea earthquake,"November 10, 1940",Romania,-,-,7.7,,,,,-,,,,,,,,,,,,,,,,,,,,,,,1940 Vrancea earthquake
1943 Tosya-Ladik earthquake,"November 27, 1943","Tosya, Kastamonu Province, Turkey","2,824-5,000 fatalities",,7.5,"Occurred at 00:20 local time, maximum intensity IX-X on Mercalli scale, various casualty estimates, significant earthquake in Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,1943 Tosya–Ladik earthquake
1944 San Juan earthquake,"January 15, 1944","San Juan, Argentina","10,000 dead, 10% of population","Creation of building code, stronger bricks, concrete houses, wider streets",,"Worst natural disaster in Argentine history, epicenter near La Laja, 90% of buildings destroyed, reconstruction program, debate on city relocation",,,,,,,,,,,,,,,,,,,,,,,,,,,1944 San Juan earthquake
1945 Balochistan earthquake,"November 28, 1945","Balochistan, British India","At least 300 - 4,000 deaths",,8.1,"Epicenter near Pasni, tsunami along Makran coastal region, significant damage, limited information on subsequent earthquake in 1947",,,,,,,,,,,,,,,,,,,,,,,,,,,1945 Balochistan earthquake
1946 Dominican Republic earthquake,"August 4, 1946","Samaná, Dominican Republic",,,"8.1, 7.6",,,,,,,,,,,Yes,"Hispaniola, Caribbean, northwestern Atlantic Ocean, San Juan (Puerto Rico), Bermuda, Daytona Beach (Florida), Atlantic City (New Jersey)",,,,,,,,,,,,,,,,1946 Dominican Republic earthquake
1948 Ashgabat earthquake,"October 6, 1948","Ashgabat, Turkmenistan","10,000-110,000 casualties","Extreme damage to almost all brick buildings, heavy damage to concrete structures, derailed freight trains, destroyed hospitals, disrupted services",7.3,,,,,Observed northwest and southeast of Ashgabat,,,,,,,,,,,,,,,,,,,,,,,1948 Ashgabat earthquake
1949 Guatemala Floods,"October 14-16, 1949","Central America, primarily Guatemala","1,000 to 40,000 fatalities",,,,,,,,,,,,,,,"$15,000,000 to $40,000,000","Landslides, road blockages, communication disruptions","Foreign governments, including the U.S. and Cuba, provided aid by plane",,,,,,,,,,,,,1949 Eastern Guatemalan floods
1953 North Kyushu flood,June 1953,"Northern Kyushu, Japan","1,001 dead or missing, 450,000 houses flooded, 1 million affected","Flood control measures revised, no official name, referred differently in various sources",,"Major disaster with significant casualties, impact on infrastructure, and revision of flood control measures.",,,,,,,,,,,,,,,"Cloudbursts, prolonged rain from Meiyu rain front, overflow of rivers",,,,,,,,,,,,1953 Northern Kyushu flood
Yangtze River Floods,June-September 1954,"Hubei Province, China","33,000 dead",,,,,,,,,,,,,,,,,,,"44.67 m in Jingzhou, 29.73 m in Wuhan",Led to construction of Gezhouba Dam and Three Gorges Dam,,,,,,,,,,1954 Yangtze floods
1962 Buin Zahra earthquake,"September 1, 1962","Buin Zahra, Qazvin Province, Iran","12,225 fatalities",,7.1,,,,,,Ipak Fault,,,,,,,,,,,,,,,,,,,,,,1962 Buin Zahra earthquake
1966 Varto earthquake,August 19,"Varto, Turkey","2,394 killed, up to 1,500 injured",,6.8,"Moment magnitude of 6.8, maximum Mercalli intensity of IX, all structures in Varto devastated, preceded by a magnitude 5.6 earthquake on March 7, 1966",,,,,,,,,,,,,,,,,,,,,,,,,,,1966 Varto earthquake
,,,,,,,,,,,,,,,,,,,,,,,,Heavy damage to villages,More than 175 villages destroyed or damaged,,,,,,,,1968 Dasht-e Bayaz and Ferdows earthquakes
1969 Yangjiang earthquake,"July 26, 1969","Yangjiang, Guangdong Province, China","3,000 unconfirmed deaths","Over 10,700 houses collapsed, 36,000 severely damaged",6.4 Mw,"Landslides, sandblows observed, low seismicity in Guangdong, compressive stress regime, dextral strike-slip faulting",,,,,,,,,,,,,,,,,,,,,,,,,,,1969 Yangjiang earthquake
1970 Bhola cyclone,"November 11, 1970",East Pakistan and West Bengal,"300,000 - 500,000 dead","Widespread devastation, villages wiped out, crops destroyed",,,185 km/h,-,"East Pakistan, India's West Bengal",,,,,,,,,,,,,,,,,,,,,,,,1970 Bhola cyclone
1972 Qir earthquake,"April 10, 1972","Fars, Iran","5,374 dead, 1,710 injured",High levels of damage due to construction methods,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Qir earthquake
1973 Flores cyclone,"April 26-30, 1973","Indonesia, specifically Flores","1,653 dead",,,"Formed in Banda Sea, intensified, struck north coast of Flores, dissipated, killed 1,500 fishermen on Palu'e island, heavy rainfall, flash flooding, lack of warnings issued by Bureau of Meteorology",,,,,,,,,,,,,,,,,,,,,,,,,,,1973 Flores cyclone
1976 Tangshan earthquake,"July 28, 1976","Tangshan, Hebei, China","242,769 deaths, 164,851 serious injuries","85% of buildings collapsed, all services failed, most highway and railway bridges damaged",7.6 Mw,,,,,Eight kilometers,,,,,,,,,,,,,,,,,,,,,,,1976 Tangshan earthquake
1977 Andhra Pradesh cyclone,November 1977,"Andhra Pradesh, India","At least 10,000 killed",-,,,-,-,"Andhra Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,1977 Andhra Pradesh cyclone
1978 Tabas earthquake,"September 16, 1978","Tabas, Iran","15,000-25,000 dead",,7.4,"Severe damage in Tabas, 85 affected villages, 55-85 km ground deformation, 1.7 meters maximum slip, felt in Tehran, significant M5 aftershock",,,,,,,,,,,,,,,,,,,,IX+,,,,,,,1978 Tabas earthquake
1980 El Asnam earthquake,"October 10, 1980","El Asnam, Algeria","2,633 killed, 8,369 injured","$5.2 billion in damage, 25,000 houses destroyed, main hospital, central mosque, and girls' school demolished",7.1,,,,,42 km,,,,,,,,,,,,,,,,,,,,,,,1980 El Asnam earthquake
1981 Golbaf earthquake,"June 11, 1981","Golbaf, Iran","1,400–3,000 killed","$5 million in financial losses, many injured",6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981 Golbaf earthquake
1982 North Yemen earthquake,"December 13, 1982","Dhamar, North Yemen","2,800 killed, 1,500 injured",,6.2 Mw,"First instrumentally recorded earthquake in the southern Arabian Peninsula since 1959, fatalities since 1941, detected teleseismically on global networks, complex normal faulting event",,,,,,,,,,,,,,,,,,,,,,,,,,,1982 North Yemen earthquake
1983 Erzurum earthquake,"October 30, 1983",Northeastern Turkey,"1,340 dead",,6.6,"Moment magnitude of 6.6, maximum Mercalli intensity of IX, 50 settlements demolished in Erzurum and Kars provinces",,,,,,,,,,,,,,,,,,,,,,,,,,,1983 Erzurum earthquake
1987 Ecuador earthquakes,"March 6, 1987","Napo Province, Ecuador","1,000 deaths, 4,000 missing",Estimated US$1 billion in damage,"6.7, 7.1, 6.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,1987 Ecuador earthquakes
1988 Armenian earthquake,"December 7, 1988",Armenia,"25,000-50,000 killed, up to 130,000 injured","Severe damage to buildings, especially poorly constructed apartments and structures in Spitak, Leninakan, and Kirovakan",6.8,,,,,-,,,,,,,,,,,,,,,,,,,,,,,1988 Armenian earthquake
1990 Manjil–Rudbar earthquake,"June 21, 1990",Northern Iran,"35,000-50,000 dead, 60,000-105,000 injured",$8 billion in damage,7.4,,,,,-,,,,,,,,,,,,,,,,,,,,,,,1990 Manjil–Rudbar earthquake
1991 Bangladesh cyclone,"April 24-29, 1991","Bay of Bengal, Bangladesh, India, China","138,866 deaths",$1.7 billion,,,250 km/h,-,"Chittagong district, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,1991 Bangladesh cyclone
1993 Latur earthquake,"September 30, 1993","Latur and Osmanabad districts, Maharashtra, India","10,000 dead, 30,000 injured",,6.2 Mw,"52 villages demolished, shallow hypocenter, relief efforts, debate over causes",,,,,,,,,,,,,,,,,,,,,,,,,,,1993 Latur earthquake
1994 Páez River earthquake,"June 6, 1994","Cauca, Colombia","1,100 killed",,6.8,"Moment magnitude of 6.8, depth of 12 km, landslides and mudslides, destruction of Páez town, 15 settlements affected, Nasa Kiwe Corporation for relief and reconstruction",,,,,,,,,,,,,,,,,,,,,,,,,,,1994 P谩ez River earthquake
1996 Andhra Pradesh cyclone,"November 4-7, 1996","Andhra Pradesh, India","1,077 confirmed deaths, many missing","647,554 houses damaged, 241,802 ha of crops destroyed",,,215 km/h,-,"South of Kakinada, Andhra Pradesh",,,,,,,,,,,,,,,,,,,,,,,,1996 Andhra Pradesh cyclone
1999 İzmit earthquake,"August 17, 1999","İzmit, Turkey","17,127 dead, 43,959 injured","Extensive damage to buildings, roads, and infrastructure",7.6,,,,,150 km,North Anatolian Fault,,,,,,,,,,,,,,,,,,,,,,1999 陌zmit earthquake
2000 Mozambique flood,February - March 2000,Mozambique,800 dead,,,"Heavy rainfall causing catastrophic flooding, 1,400 km2 of arable land affected, 20,000 cattle lost, worst flood in 50 years, Cyclone Eline exacerbating the situation, government aid of $15 million, long-term impact on population living in recovery shelters with fluctuating water supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,2000 Mozambique flood
2001 Gujarat earthquake,"January 26, 2001","Gujarat, India","13,805-20,023 dead, 167,000 injured","Nearly 340,000 buildings destroyed",7.7,,,,,-,,,,,,,,,,,,,,,,,,,,,,,2001 Gujarat earthquake
2002 South India Heatwave,April-May 2002,"Southern India, primarily Andhra Pradesh","Over 1,030 deaths",,,"Worst heatwave in four years, ponds and rivers evaporated, birds falling from the sky, animals collapsing, highest temperature recorded at 49 degrees Celsius, impact on various districts, relief commissioner's statements, heatwave definition and global trends",,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Indian heat wave
2003 European heat wave,July-August 2003,Europe,"70,000+ deaths",,,"Hottest summer on record, health crises, crop shortfall, 14,802 heat-related deaths in France, lack of air conditioning, unclaimed bodies, factors contributing to severity",,,,,,,,,,,,,,,,,,,,,,,,,,,2003 European heat wave
2005 Kashmir earthquake,"October 8, 2005","Muzaffarabad, Azad Kashmir, Pakistan-administered area","86,000 dead, similar number injured, millions displaced",,7.6,"Deadliest earthquake in South Asia, moment magnitude of 7.6, maximum Mercalli intensity of XI, affected regions include Afghanistan, Tajikistan, India, and Xinjiang region, attributed to severe upthrust, caused by collision of Eurasian and Indian tectonic plates",,,,,,,,,,,,,,,,,,,,,,,,,,,2005 Kashmir earthquake
2006 Yogyakarta earthquake,"May 27, 2006","Yogyakarta, Indonesia","5,700+ dead, tens of thousands injured",Rp 29.1 trillion financial losses,6.4,"Strike-slip event, Mount Merapi proximity, soil liquefaction, unreinforced masonry building failures, seismic activity in Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,2006 Yogyakarta earthquake
2009 Sumatra earthquakes,September 30 - October 1,"Off the coast of Sumatra, Indonesia","1,115 dead, 1,214 severely injured, 1,688 slightly injured","135,000 houses severely damaged, 65,000 houses moderately damaged, 79,000 houses slightly damaged","7.6, 6.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,2009 Sumatra earthquakes
2010 Haiti earthquake,"January 12, 2010","Léogâne, Ouest department, Haiti","100,000 - 316,000 dead","250,000 residences and 30,000 commercial buildings collapsed or severely damaged",7.0 Mw,"Epicenter near Léogâne, 52 aftershocks, significant damage in Port-au-Prince, landmarks destroyed, international humanitarian response",,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Haiti earthquake
Argo Mudslides,"May 2, 2014","Argo District, Badakhshan Province, Afghanistan","350-2,700 dead, 14,000 affected","300 houses buried, challenges due to consecutive mudslides",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014 Badakhshan mudslides
2016 Indian heat wave,April-May 2016,India,"Over 160 deaths, 330 million affected","Water shortages, drought impact, record high temperature of 51.0 °C in Phalodi, association with droughts and thunderstorms, delayed monsoon, 20,000+ heat wave-related deaths since 1992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Indian heat wave
2018 Sulawesi Earthquake and Tsunami,"September 28, 2018","Minahasa Peninsula, Indonesia","4,340 dead",,7.5,,,,,,,,,,,,,,,,,,,,,,"Localized tsunami in Palu, major soil liquefaction, complex plate interactions","Palu-Koro strike-slip fault, interaction of Australian, Pacific, Philippine, and Sunda Plates",,,,,2018 Sulawesi earthquake and tsunami
2019 Indian floods,July-August 2019,13 states in India,"200 dead, 1600 total",,,"Karnataka, Maharashtra most affected, Indian Navy rescue efforts, heaviest monsoon in 25 years, 500 missing, 1000 killed, 1111 relief camps, Kochi Airport closure, Sardar Sarovar dam gates opened, Vadodara flooding, NDRF and SDRF deployment, multiple districts affected, flood relief compensation announced",,,,,,,,,,,,,,,,,,,,,,,About a million displaced,,,,2019 Indian floods
2021 Haiti Earthquake,"August 14, 2021","Tiburon Peninsula, Haiti","2,248 killed, 12,200 injured","137,500 buildings damaged or destroyed",7.2,"Deadliest earthquake and natural disaster of 2021, 650,000 people in need of assistance, UNICEF estimates over half a million children affected, economic loss over 1.5 billion USD, plate boundary zone between North American and Caribbean Plates",,,,,,,,,,,,,,,,,,,,,,,,,,,2021 Haiti earthquake
Petrópolis Flooding,"February 15, 2022","Petrópolis, Rio de Janeiro, Brazil",At least 231 dead,,,"Intense rainfall causing mudslides and flooding, destruction of parts of the city, 15,240 houses at high risk, deforestation, poor drainage, National Natural Disaster Alert Monitoring Center warning, unusually high rainfall, historical storm",,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Petr贸polis floods
April 2015 Nepal earthquake,"April 25, 2015",Nepal,"8,964 dead, 21,952 injured","Centuries-old buildings destroyed, thousands homeless",7.8Mw,"Worst natural disaster since 1934, epicenter at Barpak, Gorkha, triggered avalanches on Mount Everest and in Langtang valley, thousands homeless, UNESCO World Heritage Sites damaged, Dharahara tower destroyed",,,,,,,,,,,,,,,,,,,,,,,,,,,April 2015 Nepal earthquake
Armero Tragedy,"November 13, 1985","Tolima, Colombia","23,000 dead",,,"Nevado del Ruiz eruption, pyroclastic flows, lahars, 20,000 dead in Armero, controversy over government responsibility, relief efforts challenges",,,,,,,,,,,,,,,,,,,,,,,,,,,Armero tragedy
Cyclone Nargis,"May 2, 2008",Myanmar,"138,373 fatalities, 55,000 missing",,,"Worst natural disaster in Myanmar's recorded history, catastrophic destruction in Irrawaddy delta, Labutta Township reported 80,000 dead, $12 billion in damage, under-reported death toll, allegations of government minimizing death toll",,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclone Nargis
Extremely Severe Cyclonic Storm Sidr,"November 15, 2007",Bangladesh,"3,447 deaths (estimates up to 15,000)","US$95 million pledged for repairs, 196.25 billion taka estimated damage",,,260 km/h,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclone Sidr
Great Hanshin earthquake,"January 17, 1995","Hyōgo Prefecture, Japan","6,434",,6.9,"20-second tremors, epicenter 17 km beneath Awaji Island, 4,600 deaths in Kobe, deadliest earthquake in Japan in the 20th century, inland shallow earthquake, Nojima, Suma, and Suwayama faults involved",,,,,,,,,,,,,,,,,,,,,,,,,,,Great Hanshin earthquake
Hurricane David,August 1979,"Dominican Republic, Leeward Islands, Greater Antilles, East Coast of the United States","Over 2,000 killed","Massive loss of life in the Dominican Republic, most intense hurricane to make landfall in the country, deadliest Dominican tropical cyclone since the 1834 Padre Ruíz hurricane",,,175 mph,-,"Dominican Republic, Leeward Islands, Greater Antilles, East Coast of the United States",,,,,,,,,,,,,,,,,,,,,,,,Hurricane David
Hurricane Fifi,September 1974,Honduras,"Over 8,000 fatalities",$1.8 billion in damages,,,-,-,"Honduras, Belize",,,,,,,,,,,,,,,,,,,,,,,,Hurricane Fifi–Orlene
Hurricane Janet,"September 21-30, 1955","Caribbean, Mexico","1,000+ deaths","$7.8 million in Lesser Antilles, 500 deaths in Quintana Roo, 326 deaths in Tampico area",,,175 mph,-,"Chetumal, Mexico; Veracruz, Mexico; Caribbean islands",,,,,,,,,,,,,,,,,,,,,,,,Hurricane Janet
Hurricane Maria,September 2017,Caribbean,-,"$91.61 billion in total losses, catastrophic devastation in Dominica, widespread flooding in Guadeloupe and Martinique, worst electrical blackout in US history in Puerto Rico",,,175 mph,908 mbar,"Dominica, Puerto Rico, Bahamas",,,,,,,,,,,,,,,,,,,,,,,,Hurricane Maria
Hurricane Mitch,"October 22, 1998 - November 9, 1998","Central America, Florida","11,000+ fatalities","$2.005 billion in direct damage, $1.8 billion in indirect costs",,,"Category 5, 180 mph",905 mbar,"Honduras, Bay of Campeche, Florida",,,,,,,,,,,,,,,,,,,,,,,,Hurricane Mitch
Lake Nyos Limnic Eruption,"August 21, 1986",Cameroon,"1,746 dead, 3,500 livestock",,,"Limnic eruption, 100,000-300,000 tons of CO2 released, gas cloud suffocating people and livestock, degassing system installed, possible triggers: landslide, volcanic eruption, rainwater, earthquake, 1.2 cubic km of gas released",,,,,,,,,,,,,,,,,,,,,,,,,,,Lake Nyos disaster
1921 Gulf of Mexico Hurricane,"September 4-8, 1921","Mexico, Texas",-,"Damaging floods, record rainfall in Texas",,,Category 1,-,"South of Tampico, Mexico; Texas",,,,,,,,,,,,,,,,,,,,,,,,September 1921 San Antonio floods
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54,000 homes destroyed",Entire villages destroyed,-,Tropical Storm Joan (1964)
Severe Tropical Storm Linda,"October 31 - November 9, 1997","South China Sea, Vietnam, Gulf of Thailand, Malay Peninsula, Bay of Bengal, Indian Ocean, Thailand, Burma, Indonesia, Malaysia, Cambodia","3,111 killed in Vietnam, at least 164 in Thailand","$385 million in damage, 200,000 houses damaged or destroyed, 383,000 people homeless",,,"65 mph, typhoon status",-,"Extreme southern Vietnam, Thailand",,,,,,,,,,,,,,,,,,,,,,,,Tropical Storm Linda (1997)
Typhoon Bopha,"December 3-9, 2012","Palau, Mindanao, South China Sea","1,901 dead","Thousands homeless, widespread destruction, power outages, landslides, evacuation centers",,,175 mph,-,"Palau, Mindanao",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Bopha
Typhoon Haiyan,"November 2-11, 2013","Southeast Asia, particularly the Philippines","6,300+ dead","Devastated portions of Southeast Asia, particularly the Philippines, one of the deadliest Philippine typhoons on record, second strongest landfalling tropical cyclone on record, most intense tropical cyclone worldwide in 2013, second deadliest typhoon in the Philippines",,,230 km/h,934 mbar,"Philippines, Vietnam, China, Taiwan, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Haiyan
Typhoon Ida,"September 20, 1958","Western Pacific, Japan","1,269 fatalities","$50 million damage, over 1,900 mudslides",,,325 km/h,877 mb,"Southeastern Honshū, Japan",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Ida (1958)
Typhoon Ike,"August 21, 1984 - September 6, 1984","Guam, Philippines, South China Sea, Hainan, Guangxi, China","1,000 dead, 330 wounded","90% of homes in Surigao City leveled, 4,000 dwellings destroyed on Negros Island",,,170 km/h,-,"Northeastern tip of Mindanao, Philippines; Hainan, China; Guangxi, China",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Ike
Typhoon Kathleen,"September 15, 1947","Boso Peninsula and Kanto Region, Japan","1,077 dead, 853 missing","Severe flood damage in Tokyo, Gunma, Saitama, Tochigi, Ibaraki, and Chiba prefectures, major damage in Ichinoseki City, Iwate Prefecture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Typhoon Kathleen
Typhoon Nina,August 1975,"Henan Province, China","26,000 dead from floods, 100,000 dead from subsequent famine and disease","Dam failures, Banqiao Dam collapse, 26,000 deaths from floods",,"Triggered Banqiao Dam collapse, formed on July 30, intensified, struck Taiwan, weakened before hitting southeastern China, caused dam failures, heavy rainfall",135 kn,"65 hPa drop in pressure, rapid intensification","Taiwan, southeastern China, Central China",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Nina (1975)
Typhoon Vera,September 1959,Japan,-,"Catastrophic damage, major economic setback, reforms in disaster management and relief systems",,,Category 5 equivalent,-,"Shionomisaki on Honshu, Sea of Japan, Honshu",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Vera
Typhoon Wanda,"July 25-August 5, 1962","China, Zhejiang","4,935 dead, 16,617 injured","2.2 million houses damaged, 38.5% of main roads damaged, 465 seawalls destroyed, 902 boats destroyed, 20,380 tons of wheat destroyed",,,295 km/h,902 mbar,"Eastern China near Zhoushan, Zhejiang",,,,,,,,,,,,,,,,,,,,,,,,Typhoon Wanda (1956)
