Main Combatant Groups,Troop Numbers,Duration,Key International Supporters,Russian Empire,Netherlands,Aceh Sultanate,"First Balkan War: Ottoman Empire, Balkan League","Second Balkan War: Bulgaria, Serbia, Greece, Montenegro, Romania, Ottoman Empire",Location,French Grande Armée,Iran,Iraq,Ruhollah Khomeini,Saddam Hussein,Military dead,Key Figures,Empire of Japan,Total Troop Numbers,Casualties,trigger
"Republic of China, Communist Party of China, Fujian People's Government",Not specified,"1927–1937, 1946–1949, 1949–1961",Allies of World War II,,,,,,,,,,,,,,,,,Chinese Civil War
"Government of Colombia, Paramilitaries, Guerrillas",Not specified,1964–Ongoing,"Brazil, Peru, Panama, Ecuador, United States, Spain, United Kingdom",,,,,,,,,,,,,,,,,Colombian conflict
"New People's Army, Communist Party of the Philippines, National Democratic Front of the Philippines",Not specified,1969–Ongoing,Not specified,,,,,,,,,,,,,,,,,Communist rebellion in the Philippines
"Nationalist movement, Belgian Congo, Katanga, South Kasai, United Nations, Soviet Union, United States, Belgium",Not specified,1960–1965,"Soviet Union, United States, Belgium",,,,,,,,,,,,,,,,,Congo Crisis
"Argentine military, Mapuche tribes","Argentine troops killed more than 1,000 Mapuche",1870s,Not specified,,,,,,,,,,,,,,,,,Conquest of the Desert
"Finland, Nazi Germany, Soviet Union",Not specified,1941–1944,Germany,,,,,,,,,,,,,,,,,Continuation War
"Cuban-born planters, wealthy natives",Not specified,1868–1878,,,,,,,,,,,,,,,,,,Cuban War of Independence
"Qing Dynasty, Hui Muslim loyalists, Khufiyya order, Gedimu Battalions, Kashgaria, Taranchi Sultanate of Ili, Dungan rebels, Kingdom of Islam, Khotanese rebels, Kyrgyz rebels, Jahriyya order, Cui Wei Hua Decai Bai Yanhu, Ma Hualong, T'o Ming",Not specified,1862–1877,"Russia, British Empire, Ottoman Empire",,,,,,,,,,,,,,,,,Dungan Revolt (1862–1877)
"Seventeen Provinces, Dutch Republic, Spanish Empire",Not specified,1568–1648,,,,,,,,,,,,,,,,,,Eighty Years' War
"Parliamentarians, Royalists, Scottish Covenanters, Irish Confederates","Parliamentarians: 50,700 dead, Royalists: 34,130 dead",1642–1651,,,,,,,"England, Scotland, Ireland",,,,,,,,,,,English Civil War
"EPRDF, EPRP, MEISON, EDU, OLF, WSLF, ALF, SLF, ONLF, Eritrean separatists",Not specified,September 1974–June 1991,"Derg, PDR Ethiopia, Soviet Union",,,,,,,,,,,,,,,,,Ethiopian Civil War
"National Socialist Council of Nagaland (NSCN), Naga National Council (NNC)","NSCN: Not specified, NNC: Not specified",Ongoing,Not specified,,,,,,,,,,,,,,,,,Ethnic conflict in Nagaland
"Zaire, Sudan, Chad, AFDL, Rwanda, Uganda, Burundi, Angola, SPLA, Eritrea",Not specified,1996–1997,"France, Central African Republic, China, Israel, Kuwait, South Africa, Zambia, Zimbabwe, Ethiopia, Tanzania, United States",,,,,,,,,,,,,,,,,First Congo War
"Việt Minh, State of Vietnam, France, Lao Issara, Pathet Lao, Khmer Issarak, Japanese volunteers, Cao Đài, Hòa Hảo, Bình Xuyên","Việt Minh: c. 450,000, State of Vietnam: c. 134,500 dead or missing","December 19, 1946 – July 20, 1954",Not specified,,,,,,,,,,,,,,,,,First Indochina War
"Qing Dynasty, Empire of Japan","Qing Dynasty: Not specified, Empire of Japan: Not specified",1894–1895,Not specified,,,,,,,,,,,,,,,,,First Sino–Japanese War
"Sudanese government, Anyanya rebels",Not specified,1955–1972,Not specified,,,,,,,,,,,,,,,,,First Sudanese Civil War
"France, Dutch Republic, Holy Roman Empire, Spain, Brandenburg-Prussia, Denmark-Norway, Münster, Cologne, England, Lorraine",Not specified,May 1672–September 1678,"England, Emperor Leopold I, Spain, Brandenburg-Prussia, Denmark",,,,,,,,,,,,,,,,,Franco-Dutch War
"France, Dutch Republic, Sweden",Not specified,1635–1659,"Portugal, Catalonia, Naples",,,,,,,,,,,,,,,,,Franco-Spanish War (1635–1659)
"Ottoman Empire, French Republic",Not specified,1798–1801,Not specified,,,,,,,,,,,,,,,,,French campaign in Egypt and Syria
"Kingdom of France, Second French Republic, Second French Empire, Third French Republic, Deylik of Algiers, Ahmed Bey ben Mohamed Chérif, Emir Abdelkader",Not specified,1830–1903,"Ottoman Empire, Morocco",,,,,,,,,,,,,,,,,French conquest of Algeria
"Mexican Republicans: Benito Juárez, Manuel Doblado, Porfirio Díaz, Ignacio Zaragoza, Jesús González Ortega, Carlos Salazar Ruiz, José María Arteaga, Luis Ghilardi",Not specified,1861–1867,"French Empire: Napoleon III, Francois Achille Bazaine, Isabella II, Leopoldo O'Donnell, Francisco Serrano, Juan de Zavala, Maximilian I, Juan Nepomuceno Almonte, Tomás Mejía, Miguel Miramón, Edvard Emile Langberg, Manuel Lozada, Refugio Tánori, José Almada",,,,,,,,,,,,,,,,,French intervention in Mexico
,,,,1812,,,,,,1812,,,,,,,,,,French invasion of Russia
"Catholics, Huguenots",Not specified,1562–1598,"Habsburg Spain, Duchy of Savoy, England",,,,,,,,,,,,,,,,,French Wars of Religion
"Peasants, Farmers, Anabaptist clergy, Radical Reformers, Anabaptists",Not specified,1524–1525,Not specified,,,,,,,,,,,,,,,,,German Peasants' War
"Tsardom of Russia, Denmark–Norway, Saxony–Poland–Lithuania, Great Britain, Brandenburg-Prussia, Holstein-Gottorp, Polish magnates, Cossacks, Ottoman Empire",Not specified,1709–1719,"Hanover, Britain, Brandenburg-Prussia",,,,,,,,,,,,,,,,,Great Northern War
"Holy Roman Empire, Polish–Lithuanian Commonwealth, Tsardom of Russia, Republic of Venice, Spanish Empire",Not specified,1683–1699,France,,,,,,,,,,,,,,,,,Great Turkish War
"Italy, Greece","Italy: Not specified, Greece: Not specified",28 October 1940 – 23 April 1941,Not specified,,,,,,,,,,,,,,,,,Greco-Italian War
"Kingdom of Greece, Communist Party of Greece, Provisional Democratic Government",Not specified,1943–1949,"United States, Soviet Union, Yugoslavia",,,,,,,,,,,,,,,,,Greek Civil War
"Kuwait, United States, United Kingdom, Saudi Arabia, Egypt, France","Coalition: 292 killed, 467 wounded in action, 776 wounded, 31 tanks destroyed/disabled, 28 Bradley IFVs destroyed/damaged, 1 M113 APC destroyed, 2 British Warrior APCs destroyed, 1 artillery piece destroyed, 75 aircraft destroyed, Kuwait: 4,200 killed, 12,000 captured, ≈200 tanks destroyed/captured, 850+ other armored vehicles destroyed/captured, 57 aircraft lost, 8 aircraft captured",1990–1991,Not specified,,,,,,,,,,,,,,,,,Gulf War
"Pakistan, Insurgents, ISIL-aligned groups","Pakistan: 200,000 troops, ~10,000 Frontier Corps, TTP: ~25,000 militia, Lashkar-e-Islam: ~2,000 militia, TNSM: ~1,000 militia, al-Qaeda: 300–3,000 militants, ISIL: Unknown",2004–Ongoing,"al-Qaeda, ISIL",,,,,,,,,,,,,,,,,Insurgency in Khyber Pakhtunkhwa
"Laotian royalists, rebels from the Hmong and lowland Lao ethnic minorities",Several thousand,1958–2008,"United States, right-wing foreign supporters",,,,,,,,,,,,,,,,,Insurgency in Laos
"Indian Government, Insurgent groups in Northeast India",Not specified,Ongoing,Not specified,,,,,,,,,,,,,,,,,Insurgency in Northeast India
"State Administration Council, National Unity Government, Ethnic Armed Groups, Tatmadaw",Not specified,1948–Ongoing,Not specified,,,,,,,,,,,,,,,,,Internal conflict in Myanmar
"Government of Peru, Shining Path, Túpac Amaru Revolutionary Movement",Not specified,1980–Present,Not specified,,,,,,,,,,,,,,,,,Internal conflict in Peru
,,,,,,,,,,,1980–1988,1980–1988,1980–1988,1980–1988,1980–1988,,,,,Iran–Iraq War
"United States, United Kingdom, Australia, Poland, Peshmerga, Iraqi Armed Forces, Special Iraqi Republican Guard, Iraqi Republican Guard, Fedayeen Saddam, Sunni Insurgents, Al-Qaeda, Iraqi security forces, Coalition forces, Contractors, Awakening Councils","US: 192,000, UK: 45,000, Australia: 2,000, Poland: 194, Peshmerga: 70,000, Iraqi Armed Forces: 375,000, Special Iraqi Republican Guard: 12,000, Iraqi Republican Guard: 70,000–75,000, Fedayeen Saddam: 30,000, Sunni Insurgents: ≈70,000, Al-Qaeda: ≈1,300, Iraqi security forces: Killed: 17,690, Wounded: 40,000+, Coalition forces: Killed: 4,825, Missing/captured: 17, Wounded: 32,776+, Contractors: Killed: 1,554, Wounded & injured: 43,880, Awakening Councils: Killed: 1,002+, Wounded: 500+, 828",2003–2011,Iran,,,,,,,,,,,,,,,,,Iraq War
"KDP, PUK, ICP, INC, SCIRI","KDP: 15,000–20,000, PUK: 6,000, KDP & PUK: 5,000, Military of Iraq: 48,000, 90,000, 180,000, 300,000, 1,000,000, 382,500",20th Century - 2003,"Israel, Iran, Syria",,,,,,,,,,,,,,,,,Iraqi–Kurdish conflict
"Valois kings of France, Habsburgs of Spain and Holy Roman Empire, Milan, Venice, other Italian city-states",Not specified,1494–1559,"England, Ottoman Empire",,,,,,,,,,,,,,,,,Italian Wars
"Lendu ethnic group, Hema ethnic group, Mai-Mai Simba, RCD-Kisangani, FAPC Uganda, Democratic Republic of the Congo","Lendu: 3,000 militia, FARDC: 750 troops",1999–Ongoing,,,,,,,,,,,,,,,,,,Ituri conflict
"Joseon, Ming, Japan","Joseon: 84,500+–192,000 soldiers, Ming: 1st. 48,000, 2nd. 75,000–98,000 soldiers, Japan: 1st. 158,800, 2nd. 141,900",1592–1598,Not specified,,,,,,,,,,,,,,,,,Japanese invasions of Korea
"M23, CNDP, Pro-government Mai-Mai militias, FDLR, APCLS, Nyatura, MONUSCO, Angola, Zimbabwe, Botswana","2004: 20,000 total troops; 2008: FARDC: 71 killed, BDF: Unknown",Ongoing,"DR Congo, France",,,,,,,,,,,,,,,,,Kivu Conflict
"Shekak tribesmen, Interim Government and Council of the Islamic Revolution, PJAK",Not specified,1945–present,"Ahmad Shah Qajar, Reza Shah Pahlavi, Mohammad Reza Pahlavi, Ruhollah Khomeini, Simko Shikak, Qazi Muhammad, Mustafa Barzani, Jafar Sultan, Ahmed Barzani, Salahuddin Kazimov, Abdul Rahman Ghassemlou, Foad Mostafa Soltani, Sedigh Kamangar, Abdullah Mohtadi, Haji Ahmadi, Majid Kavian, Hussein Yazdanpanah, Mustafa Hijri",,,,,,,,,,,,,,,,,Kurdish separatism in Iran
"Republic of Kurdistan, Kurdistan Workers' Party","Kocgiri: 3,161-31,000 military, Said: 25,000-52,000 men, Ararat: 10,000-66,000 men, Dersim: 50,000 men, Kocgiri: 3,000-6,000 rebels, Said: 15,000 rebels, Ararat: 5,000-8,000 rebels, Dersim: 6,000 rebels",1920–1938,,,,,,,,,,,,,,"Mustafa Kemal Atatürk, Nureddin Pasha, Binbaşı, Kâzım İnanç, Mürsel Bakû, Naci Eldeniz, İsmet İnönü, Kâzım Orbay, Abdullah Alpdoğan, Fevzi Çakmak, Ibrahim Tali Öngören, İzzettin Çalışlar, Salih Omurtak, Alişan Bey, Nuri Dersimi, Halid Beg Cibran, Sheikh Said, Ihsan Nuri, Ibrahim Heski, Ferzende Halis Öztürk, Seyid Riza, Kamer Aga, Cebrail Aga, Alîşêr, Zarîfe",,,,Kurdish–Turkish conflict
Colombian Conservative Party,Not specified,1948–1958,Colombian Liberal Party and allied militias,,,,,,,,,,,,,,,,,La Violencia
"Lebanese Front, PLO, ASALA, Hezbollah, Lebanese Armed Forces, UNIFIL Multinational Force in Lebanon, Arab Deterrent Force",Not specified,1975–1990,Iran,,,,,,,,,,,,,,,,,Lebanese Civil War
"UPDF, FARDC, FACA, SPLA","UPDF: 65,000–75,000 (2002), 46,800 (2010), 1,500 (2014)",Ongoing,,,,,,,,,,,,,,,,,,Lord's Resistance Army insurgency
"Malagasy nationalists, French colonial forces","Malagasy nationalists: Over one million, French colonial forces: 18,000",March 1947–February 1949,Not specified,,,,,,,,,,,,,,,,,Malagasy Uprising
"Marathas, Nawab of Bengal","Marathas: Not specified, Nawab of Bengal: Not specified",1741–1751,Not specified,,,,,,,,,,,,,,,,,Maratha expeditions in Bengal
"Mexican Government, Drug Trafficking Syndicates","Mexico: 400 servicemen killed, 137 missing, 4,038 Federal, State, and Municipal Police killed, 61,000 missing, 66 members of Grupos de Autodefensa Comunitaria killed",2006–Ongoing,"United States, Colombia",,,,,,,,,,,,,,,,,Mexican drug war
"Porfiriato, Constitutionalists, Conventionists, Carrancistas, Villistas, Zapatistas, Felicistas, Forces led by Aureliano Blanquet, Forces led by Álvaro Obregón",Not specified,1910–1920,United States,,,,,,,,,,,,,,,,,Mexican Revolution
Various ethnic groups in Southern Africa,"Traditional estimates: 1-2 million deaths, Recent scholarship revises downward",Late 18th to mid-19th century,Not specified,,,,,,,,,,,,,,,,,Mfecane
"Miao, Tujia, Bouyei",Not specified,1854–1873,,,,,,,,,,,,,,,,,,Miao Rebellion (1854–1873)
"MNLF, MILF, Abu Sayyaf, BIFF, Ansar Khalifa Philippines",Not specified,1968–Ongoing,"United States, Australia, Indonesia, Malaysia, Russia, Libya",,,,,,,,,,,,,,,,,Moro conflict
FRELIMO,Not specified,1964–1975,"Soviet Union, Romania, China, Cuba, Yugoslavia, Bulgaria, Tanzania, Zambia, Egypt, Algeria, Gaddafi regime in Libya, Brazil",,,,,,,,,,,,,,,,,Mozambican War of Independence
"Maratha Empire, Mughal Empire","Mughal forces: 500,000",1680–1707,,,,,,,,,,,,,,,,,,Mughal–Maratha Wars
"Armenia, Azerbaijan, Republic of Artsakh","Armenia: 51,000 active personnel, Azerbaijan: 66,940 active personnel, Artsakh: Not specified",1988–Ongoing,"Russia, Turkey, Iran",,,,,,,,,,,,,,,,,Nagorno-Karabakh conflict
"French Empire, French Allies, European States","French: Not specified, Allies: Not specified, European States: Not specified",1803–1815,"British Empire, Prussia, Russia, Austria, Sweden, Saxony, Spain",,,,,,,,,,,,,,,,,Napoleonic Wars
"Nigeria, Biafra","Military: 45,000–100,000 killed, 2 million Biafran civilians perished from famine, Displaced: 2,000,000–4,500,000",1967–1970,"United Kingdom, Soviet Union, France, Israel",,,,,,,,,,,,,,,,,Nigerian Civil War
"Mutawakkilite Kingdom, Yemen Arab Republic","Republicans: 70,000 Egyptian troops, Royalists: Not specified",1962–1970,"Royalists: Jordan, Saudi Arabia, Israel, Britain, Republicans: Egypt, Soviet Union",,,,,,,,,,,,,,,,,North Yemen Civil War
"Panthay rebels, Qing Dynasty",Not specified,1856–1873,Not specified,,,,,,,,,,,,,,,,,Panthay Rebellion
"Paraguay, Argentina, Brazil, Uruguay","Paraguay: Not specified, Argentina: 18,000–60,000, Brazil: 18,000–24,000, Uruguay: 5,000",1864–1870,,,,,,,,,,,,,,,,,,Paraguayan War
"Dominion of India, Dominion of Pakistan",Not specified,1947,British Empire,,,,,,,,,,,,,,,,,Partition of India
"United States, Philippine Republic","United States: ≈126,000 total, Philippine Republic: Not specified",1899–1902,Ishin Shishi,,,,,,,,,,,,,,,,,Philippine–American War
"Hakka, Cantonese (Punti)",Approximately a million dead,1855–1867,Not specified,,,,,,,,,,,,,,,,,Punti–Hakka Clan Wars
"Red Turbans, Qing Dynasty","50,000 outlaws initially, later joined by thousands more",1854–1856,Not specified,,,,,,,,,,,,,,,,,Red Turban Rebellion (1854–1856)
Spain,"Spain: 40,000 troops in 1909, France: Not specified",1921–1926,France,,,,,,,,,,,,,,,,,Rif War
"Syrian Democratic Forces, CJTF-OIR, Russia, Islamic State of Iraq and the Levant, al-Nusra Front, Ahrar ash-Sham, Jaysh al-Islam, Free Syrian Army factions, Fatah Halab","YPG: 65,000, Jabhat al-Akrad: 7,000, Syriac Military Council: 2,000+",2013–2022,Not specified,,,,,,,,,,,,,,,,,Rojava–Islamist conflict
,,,,1904–1905,,,,,,,,,,,,,1904–1905,1904–1905,,Russo-Japanese War
"Rwandan Patriotic Front, Rwandan government, armed militias",Not specified,7 April–15 July 1994,Not specified,,,,,,,,,,,,,,,,,Rwandan genocide
France,Not specified,December 1801–December 1803,Not specified,,,,,,,,,,,,,,,,,Saint-Domingue expedition
"Salvadoran government, FMLN",Not specified,1979–1992,United States,,,,,,,,,,,,,,,,,Salvadoran Civil War
"Mai Mai, RCD, Ugandans","Mai Mai: 20–30,000 militia, RCD: 45,000, Ugandans: 2,000",August 1998–July 2003,,,,,,,,,,,,,,,,,,Second Congo War
"Italy, Senussi Order","Italy: Not specified, Senussi Order: Not specified",1923–1932,,,,,,,,,,,,,,,,,,Second Italo-Senussi War
"Italy, Ethiopia","Italy: 200,000, Ethiopia: Not specified",October 1935–February 1937,Nazi Germany,,,,,,,,,,,,,,,,,Second Italo–Ethiopian War
"Republic of China, Empire of Japan","China: 14,000,000 total, Japan: 4,100,000 total",1937–1945,,,,,,,,,,,,,,,,,,Second Sino-Japanese War
"Sudan, SSDF, SPLA dissidents, Nuer White Army, Ugandan insurgents, Zaire, al-Qaeda, Iraq, China",Tens of thousands,1983–2005,Not specified,,,,,,,,,,,,,,,,,Second Sudanese Civil War
"RUF, AFRC, West Side Boys, Liberia","RUF: Not specified, AFRC: Not specified, West Side Boys: Not specified, Liberia: Not specified",1991–2002,Libya,,,,,,,,,,,,,,,,,Sierra Leone Civil War
"Qing Dynasty, Konbaung Dynasty","1st Invasion: 5,000 foot, 1,000 horse, 2nd Invasion: 25,000 foot, 2,500 horse, 3rd Invasion: 50,000, 4th Invasion: 60,000",1765–1769,,,,,,,,,,,,,,,,,,Sino-Burmese War
"Somali Armed Forces, Somali Salvation Democratic Front, Somali National Movement, United Somali Congress, Al-Shabaab, Oromo Liberation Front, Ras Kamboni Brigades, Jabhatul Islamiya, Al-Qaeda, Islamic State","Somali Armed Forces: Not specified, Rebel Groups: Not specified, Al-Shabaab: Not specified, Oromo Liberation Front: Not specified, Ras Kamboni Brigades: Not specified, Jabhatul Islamiya: Not specified, Al-Qaeda: Not specified, Islamic State: Not specified",1986–Present,"United Nations, Ethiopia, AMISOM",,,,,,,,,,,,,,,,,Somali Civil War
"British Empire, Boer Republics","British: 450,000, Boers: 87,000",1899–1902,"British Empire: Canada, Australia, New Zealand, India, Rhodesia, Cape Colony, Natal, Orange River Colony, Transvaal, Orange Free State, German Empire",,,,,,,,,,,,,,,,,South African War
"Sunni Mujahideen, Shia Mujahideen, Marxist-Leninist-Maoist, Soviet forces, Afghan forces","Soviet forces: 620,000 total personnel",1979–1989,"United States, Pakistan, Iran, Saudi Arabia, China, United Kingdom",,,,,,,,,,,,,,,,,Soviet–Afghan War
"Soviet Union, Mongolia, Japan",Not specified,9 August 1945,"United States, United Kingdom, China",,,,,,,,,,,,,,,,,Soviet–Japanese War
"Patriots, Royalists",Not specified,1808–1826,Spanish Monarchy,,,,,,,,,,,,,,,,,Spanish American wars of independence
"Republicans: Spanish Socialist Workers' Party, Communist Party of Spain, Republican Left, Republican Union, Galician Nationalists, Catalan Nationalists, POUM, Workers' General Union, Confederación Nacional del Trabajo",Not specified,1936–1939,"Nationalists: Falangists, Monarchists, Conservatives, Traditionalists",,,,,,,,,,,,,,,,,Spanish Civil War
"Spanish Empire, Aztec Triple Alliance","Spaniards: 1,800 dead, Aztecs: 200,000 dead",1519–1521,Not specified,,,,,,,,,,,,,,,,,Spanish conquest of the Aztec Empire
"Spanish Empire, Inca Empire puppets, Native allies","168 Spanish soldiers, Indigenous allies",1532-1572,Not specified,,,,,,,,,,,,,,,,,Spanish conquest of the Inca Empire
"Spanish Conquistadores, Late Postclassic Maya States and Polities","Spanish Conquistadores: Not specified, Late Postclassic Maya: Not specified",Not specified,,,,,,,,,,,,,,,,,,Spanish conquest of Yucat谩n
"Sri Lanka Armed Forces, Liberation Tigers of Tamil Eelam","95,000–210,000",1983–2009,,,,,,,,,,,,,,,,,"100,000+ killed",Sri Lankan Civil War
"Syrian Arab Republic, Rojava, Syrian Interim Government, Syrian Salvation Government, Revolutionary Commando Army, Opposition groups in reconciliation, Free Syrian Army, Islamic Front, Other groups, Turkish Armed Forces, Ahrar al-Sham, SDF, Syrian opposition/HTS, NES, PKK","Syrian Arab Republic: Not specified, Rojava: Not specified, Syrian Interim Government: Not specified, Syrian Salvation Government: Not specified, Revolutionary Commando Army: Not specified, Opposition groups in reconciliation: Not specified, Free Syrian Army: 20,000–32,000, Islamic Front: 40,000–70,000, Other groups: 12,500, Turkish Armed Forces: 4,000–8,000, Ahrar al-Sham: 18,000–20,000+, SDF: 60,000–75,000, Syrian opposition/HTS: 111,576–152,173 killed, NES: 14,114 killed, PKK: 3,200+ killed",2011–Ongoing,"Hezbollah, Iran, Russia, Iraq, Turkey",,,,,,,,,,,,,,,,,Syrian civil war
"Taiping Heavenly Kingdom, Qing Dynasty","Not specified, Qing Dynasty: Estimated 1 million",1850–1864,,,,,,,,,,,,,,,,,,Taiping Rebellion
"Cuban-born planters, wealthy natives",Not specified,1868–1878,,,,,,,,,,,,,,,,,,Ten Years' War
"Holy Roman Empire, Habsburgs, House of Bourbon, Dutch Republic, Spain, Denmark, Sweden",Not specified,1618–1648,Not specified,,,,,,,,,,,,,,,,,Thirty Years' War
"Liberal Party, National Party, Conservative Party",Not specified,17 October 1899 – 21 November 1902,"Ecuador, Venezuela, Guatemala, El Salvador, Nicaragua",,,,,,,,,,,,,,,,,Thousand Days' War
"Tigray Defense Forces, Ethiopian National Defense Force, Ethiopian Federal Police, Amhara and Afar regional forces, Eritrean Defence Forces",Not specified,Ongoing,UFEFCF,,,,,,,,,,,,,,,,,Tigray War
"Tây Sơn dynasty, Nguyễn lords, Trịnh lords, Qing China",Not specified,1771–1802,Not specified,,,,,,,,,,,,,,,,,T芒y S啤n rebellion
"National Resistance Movement, West Nile rebels, Pro-government militias, Ugandan military","Uganda Army: ~7,100",1980–1986,"Libya, Soviet Union, Cuba, China, Saudi Arabia, Mozambique, Tanzania, North Korea",,,,,,,,,,,,,,,,,Ugandan Bush War
"Spanish Empire, Supreme Caracas Junta, Captaincy General of Venezuela, First Republic of Venezuela, Second Republic of Venezuela, Gran Colombia",Not specified,1810–1821,"France, New Spain",,,,,,,,,,,,,,,,,Venezuelan War of Independence
"North Vietnam, Viet Cong/PRG, South Vietnam, United States","North Vietnam: ≈860,000, Viet Cong/PRG: ≈1,420,000, South Vietnam: Not specified, United States: Not specified",1 November 1955 – 30 April 1975,"Soviet Union, China, other communist allies, United States, other anti-communist allies",,,,,,,,,,,,,,,,,Vietnam War
