Official Name,Host Country,Dates,Common Name,Host City,Participating Nations,Unique Circumstances,Total Events,Notable Performances,Total Athletes,Notable Debuts,Subsequent Hosts,Selection Process,Bidding Process,Notable Boycotts,Medal Count Leaders,Notable Circumstances,Notable Features,Mascot,Notable Bids,Host Nation,Torch Relay Details,South Africa,Notable Events,Logo,Olympic Fanfare,Olympic Park,Competition Sites,Design of Stadium,Significant Events,Media Coverage,Notable Aspects,Medal Design Change,Consecutive Southern European Olympics,Impact on Infrastructure,Success of the Games,Official Motto,Logo Description,Mascots,Notable Details,Venues Used,Official Logo,Viewership,Torch Relay Distance,Total Cost,Host Cities,Notable Additions,trigger
Games of the X Olympiad,United States,30 July to 14 August 1932,Los Angeles 1932,Los Angeles,37 nations,,117 events in 20 disciplines,,,,,"Single bid from Los Angeles, selected by default",,,,"Held during the Great Depression, 37 participating nations, US President Hoover did not attend, reported profit of US$1,000,000, single bid selection process, 15 sports venues used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 Summer Olympics
III Olympic Winter Games,United States,4 to 13 February 1932,Lake Placid 1932,Lake Placid,17 nations,"First of four Winter Olympics in the United States, awarded to Lake Placid, construction of world's largest ski jump in Big Pines, demonstration sports included, reduced number of participating nations compared to 1928 Games",14 events in 4 sports,,Not specified,,,,,,,,,,Bid from California X Olympiad Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,1932 Winter Olympics
Games of the XI Olympiad,Germany,1 to 16 August 1936,Berlin 1936,Berlin,,,,,,,,,Berlin won bid over Barcelona at the 29th IOC Session in 1931,,,,"New 100,000-seat stadium, six gymnasiums, televised Games, radio broadcasts to 41 countries, film by Leni Riefenstahl, promotion of Nazi ideals, exclusion of Jewish athletes, ticket revenues and profit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 Summer Olympics
IV Olympic Winter Games,Germany,6 to 16 February 1936,Garmisch-Partenkirchen 1936,Garmisch-Partenkirchen,28 nations,,17 events in 4 sports,,,"Australia, Bulgaria, Greece, Liechtenstein, Spain, Turkey",,,,,,,,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,1936 Winter Olympics
Games of the XIV Olympiad,United Kingdom,29 July to 14 August 1948,London 1948,London,59 nations,"Austerity Games, no new venues built, athletes housed in existing accommodation, Germany and Japan not invited, Soviet Union chose not to send athletes, record number of nations represented",19 sport disciplines,Fanny Blankers-Koen (four gold medals),"4,104 athletes",,Helsinki 1952,,,"Germany, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 Summer Olympics
V Olympic Winter Games,Switzerland,30 January to 8 February 1948,St. Moritz 1948,St. Moritz,28 nations,"First Winter Games after WWII, political atmosphere, challenges due to post-war conditions, first Winter Games under Sigfrid Edström's IOC presidency",22 events in 4 sports,"Dick Button, Barbara Ann Scott, Henri Oreiller",,"Haiti, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948 Winter Olympics
Games of the XV Olympiad,Finland,19 July to 3 August 1952,Helsinki 1952,Helsinki,Not specified,"Last of two consecutive Olympics in Northern Europe, most world records broken until 2008 Beijing Games, Helsinki originally selected for 1940 Olympics, cancelled due to WWII, Tokyo hosted 1964 Games, northernmost city to host Summer Olympics",,United States (most gold and overall medals),,"Soviet Union, People's Republic of China, Hong Kong, Indonesia, Israel, Thailand, Saarland",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 Summer Olympics
VI Olympic Winter Games,Norway,14 to 25 February 1952,Oslo 1952,Oslo,30 nations,"First modern athlete's village, first Winter Olympics in Northern Europe, returns of Japan and Germany, debut of Portugal and New Zealand, women in cross-country skiing",22 events in 4 sports,"Hjalmar Andersen (most decorated athlete), Germany (bobsleigh wins)",694 athletes,"Japan, Germany, Portugal, New Zealand","1952 Summer Olympics in Helsinki, Finland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 Winter Olympics
Games of the XVI Olympiad,Australia,22 November to 8 December 1956,Melbourne 1956,Melbourne,,"First Olympics in Southern Hemisphere, split location with equestrian events in Stockholm, held in November and December, tradition of national teams parading as one during closing ceremony",,,,,,,,"Eight teams boycotted, four due to the Suez Crisis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Summer Olympics
VII Olympic Winter Games,Italy,26 January to 5 February 1956,Cortina d'Ampezzo 1956,Cortina d'Ampezzo,32 nations,"Venues within walking distance, reliance on corporate sponsorship, lack of snow at alpine skiing events, first Winter Olympics televised to a multi-national audience","4 sports, 24 events",Toni Sailer (swept all three alpine skiing events),Not specified,,Co-hosting 2026 Winter Olympics with Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956 Winter Olympics
Games of the XVII Olympiad,Italy,25 August to 11 September 1960,Rome 1960,Rome,83 nations,,,Soviet Union (most gold and overall medals),,"Morocco, San Marino, Sudan, Tunisia, Barbados, Jamaica, Trinidad and Tobago, Rhodesia, East Germany, West Germany","Tokyo 1964, Mexico City 1968",,"Rome selected over Brussels, Mexico City, Tokyo, Detroit, Budapest, and Lausanne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 Summer Olympics
VIII Olympic Winter Games,United States,18 to 28 February 1960,Squaw Valley 1960,Squaw Valley,30 nations,"Intimate layout, venues built between 1956-1960, bobsled not included, Squaw Valley as an undeveloped resort, minimal facilities, surprise selection as host",27 events in 4 sports,,Not specified,"Biathlon, women's speed skating",,"Inspired bid by Wayne Poulsen and Alexander Cushing, financial support from California, USOC approval, US Congress resolution supporting bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960 Winter Olympics
Games of the XVIII Olympiad,Japan,10 to 24 October 1964,Tokyo 1964,Tokyo,Not specified,"South Africa excluded due to apartheid, first Olympics in Asia, first color telecasts, telecast internationally without tapes, chronicled in Tokyo Olympiad film",Not specified,Not specified,Not specified,,N/A,,,,,"First Olympics in Asia, South Africa excluded due to apartheid, first international telecast without tapes, first color telecasts, chronicled in Tokyo Olympiad film",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 Summer Olympics
IX Olympic Winter Games,Austria,29 January to 9 February 1964,Innsbruck 1964,Innsbruck,36 nations,"Record number of athletes, luge debut, Soviet Union dominance, Austrian mobilization for snow, second Winter Games in Innsbruck in 1976",34 events in 6 sports,"Soviet Union (most gold and overall medals), Lidia Skoblikova, Klavdiya Boyarskikh, Sixten Jernberg, Christine and Marielle Goitschel","1,091 athletes","Luge, North Korea, India, Mongolia",Innsbruck 1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964 Winter Olympics
Games of the XIX Olympiad,Mexico,12 to 27 October 1968,Mexico 1968,Mexico City,Not specified,"First Olympics in Latin America, first in Spanish-speaking country, all-weather track debut, electronic timekeeping debut, correlation to Mexican Student Movement, US medal dominance, South Africa's provisional invitation",Not specified,United States (most gold and overall medals),Not specified,,,"Mexico City chosen over Detroit, Buenos Aires, and Lyon in 1963",,,,,,,,,"Recreated Christopher Columbus route, forged by James Metcalf",Provisionally invited with conditions for integration by 1972,,,,,,,,,,,,,,,,,,,,,,,,,1968 Summer Olympics
X Olympic Winter Games,France,6 to 18 February 1968,Grenoble 1968,Grenoble,37 nations,"First time East and West Germany entered separately, first IOC-ordered drug and gender testing, popularized Winter Olympics in the United States",,"Jean-Claude Killy (3 gold medals), Peggy Fleming (1 gold medal)",,East and West Germany competing separately,,"Application presented in November 1960, officially given to the IOC in February 1963",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968 Winter Olympics
Games of the XX Olympiad,West Germany,26 August to 11 September 1972,Munich 1972,Munich,,"Munich massacre, democratic representation of Germany, official motto ""Die Heiteren Spiele"", blue solar logo, sky-blue dirndls for hostesses, dachshund mascot ""Waldi"", Olympic Fanfare by Herbert Rehbein, Olympic Park, competition sites by Günther Behnisch, revolutionary stadium design",,Soviet Union (most gold and overall medals),,,,,"Munich selected over Detroit, Madrid, and Montréal",,Soviet Union (most gold and overall medals),,,"Dachshund ""Waldi""",,,,,"Munich massacre, second Summer Olympics in Germany",Blue solar logo by Otl Aicher,Composed by Herbert Rehbein,"Based on Frei Otto's plans, became Munich landmark","Olympic swimming hall, Olympics Hall, Olympic Stadium",Revolutionary design with acrylic glass canopies,,,,,,,,,,,,,,,,,,,1972 Summer Olympics
XI Olympic Winter Games,Japan,3 to 13 February 1972,Sapporo 1972,Sapporo,35 nations,"First Winter Olympics outside Europe and North America, Sapporo initially awarded 1940 Games, later cancelled, significant government investment in infrastructure, successful trial run and international sport week, profitable broadcast rights",35 events in 6 sports,Not specified,Not specified,"Republic of China, Philippines",,"Competed with Banff, Lahti, and Salt Lake City, awarded at 64th IOC Session in Rome in 1966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 Winter Olympics
Games of the XXI Olympiad,Canada,17 July to 1 August 1976,Montreal 1976,Montreal,29 countries boycotted,"First and only Summer Olympics in Canada, Toronto hosted the 1976 Summer Paralympics, Calgary and Vancouver later hosted Winter Olympics, political boycotts, New Zealand controversy",,Soviet Union (most gold and overall medals),,,Moscow 1980 and Los Angeles 1984,,Montreal selected over Moscow and Los Angeles,29 countries boycotted due to New Zealand controversy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Summer Olympics
XII Olympic Winter Games,Austria,4 to 15 February 1976,Innsbruck 1976,Innsbruck,Not specified,,Not specified,,Not specified,,,"Denver selected but withdrew, Whistler declined, Salt Lake City offer rejected, Innsbruck selected in 1973",,,,"Games awarded to Innsbruck after Denver's withdrawal, second time Innsbruck hosted Winter Olympics, bids from Denver, Sion, Tampere, and Vancouver, Denver's rejection led to Innsbruck selection",,Schneemann (snowman in a red Tyrolean hat),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976 Winter Olympics
Games of the XXII Olympiad,Soviet Union,19 July to 3 August 1980,Moscow 1980,Moscow,80 nations,"First Olympics in an Eastern Bloc country, only Summer Games in a Slavic language-speaking country, final Olympics under Michael Morris' IOC Presidency, significant boycotts due to Soviet-Afghan War",,"Soviet Union (most gold and overall medals), United States led boycott with 66 countries",,,,,Moscow selected over Los Angeles at the 75th IOC Session in Vienna in 1974,66 countries boycotted due to Soviet-Afghan War,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980 Summer Olympics
XIII Olympic Winter Games,United States,13 to 24 February 1980,Lake Placid 1980,Lake Placid,37 nations,"Second time hosting, venues from 1932 Games renovated, criticized organization, last Winter Games in a city <15,000 inhabitants",38 events in 6 sports,"Eric Heiden (most medals), American ice hockey team (Miracle on Ice)","1,072 athletes","People's Republic of China, Cyprus, Costa Rica",,Lake Placid elected at 75th IOC Session in Vienna in 1974,,,,,,,,,,,,,,,,,"Eric Heiden's record, Miracle on Ice victory",,,,,,,,,,,,,,,,,,1980 Winter Olympics
Games of the XXIII Olympiad,United States,28 July to 12 August 1984,Los Angeles 1984,Los Angeles,140 nations,"Second time hosted by Los Angeles, first Summer Olympics under Juan Antonio Samaranch's IOC presidency, financially successful, record number of participating nations, significant boycotts",,"United States (most gold and overall medals), Romania, West Germany",,,Los Angeles 2028,,,"Fourteen Eastern Bloc countries, Albania, Iran, Libya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984 Summer Olympics
XIV Olympic Winter Games,Yugoslavia,8 to 19 February 1984,Sarajevo '84,Sarajevo,49 nations,"First Winter Olympics in a Slavic language-speaking country, only Winter Olympics in a communist country before 2022, second consecutive Olympics in a communist country, held in Sarajevo and nearby resorts, disrupted by extreme weather conditions",39 events in 6 sports,"Marja-Liisa Hämäläinen (Finland), Jure Franko (Yugoslavia), East Germany (dominant in women's speed skating and bobsleigh)","1,272 athletes","Egypt, British Virgin Islands, Monaco, Puerto Rico, Senegal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984 Winter Olympics
Games of the XXIV Olympiad,South Korea,17 September to 2 October 1988,Seoul 1988,Seoul,159 nations,"Second summer Olympics in Asia, first in South Korea, first in a developing country, last Olympics of the Cold War, significant media coverage",237 events,"Soviet Union (55 gold, 132 total medals), South Korea (12 gold, 33 total medals)","8,391 athletes",,,,,"North Korea, Cuba, Albania, Ethiopia, Seychelles, Nicaragua, Madagascar",,,,,,,,,,,,,,,,"11,331 media outlets",,,,,,,,,,,,,,,,,1988 Summer Olympics
XV Olympic Winter Games,Canada,13 to 28 February 1988,Calgary 1988,Calgary,57 nations,"16-day duration, majority of events in Calgary, skiing events at Nakiska and Canmore, last attended Olympics for Soviet Union and East Germany, record number of participating nations",,"Matti Nykänen (3 gold medals), Yvonne van Gennip (3 gold medals)","1,423 athletes",Jamaica national bobsleigh team,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988 Winter Olympics
Games of the XXV Olympiad,Spain,25 July to 9 August 1992,Barcelona '92,Barcelona,Not specified,"First Summer Olympics in Spain, end of Cold War, first unaffected by boycotts since 1972, South Africa re-invited after 32-year ban, last two consecutive Olympics in Western Europe, Barcelona selected over Amsterdam, Belgrade, Birmingham, Brisbane, and Paris",Not specified,Unified Team (most gold and overall medals),Not specified,,N/A,"Barcelona selected during the 91st IOC Session in Lausanne, Switzerland, won majority vote with 47 out of 85 votes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Summer Olympics
XVI Olympic Winter Games,France,8 to 23 February 1992,Albertville '92,Albertville,64 nations,"Last Winter Olympics held in the same year as Summer Olympics, third Winter Olympics in France, first of two consecutive Olympic games in Western Europe, events held in multiple villages, debut of Unified Team and Germany, last to include demonstration sports and outdoor speed skating rink",57 events in 6 sports,N/A,"1,801 athletes",Eight nations,,"Won bid over Sofia, Falun, Lillehammer, Cortina d'Ampezzo, Anchorage, and Berchtesgaden in 1986",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992 Winter Olympics
XVII Olympic Winter Games,Norway,12 to 27 February 1994,Lillehammer '94,Lillehammer,67 nations,"Only Winter Olympics two years after the previous edition, first Winter Games in a different year from Summer Olympics, second Winter Games in Norway, fourth Olympics in a Nordic country, northernmost city to host Olympics, last of three consecutive Olympics in Europe, events held in multiple locations",61 events in 6 sports,,"1,737 athletes","14 countries, including nine former Soviet republics",,,,,,,,,,,,,,,,,,,,,"Introduction of stricter qualifying rules, new events in short track speed skating and aerials, speed skating moved indoors, Olympic Truce in effect, almost two million spectators",,,,,,,,,,,,,,,,1994 Winter Olympics
Games of the XXVI Olympiad,United States,19 July to 4 August 1996,Atlanta 1996,Atlanta,197 nations,"Centennial of the 1896 Summer Olympics, first Summer Olympics since 1924 held in a different year than Winter Olympics, part of new IOC practice, last Summer Olympics in North America until 2028, first of two consecutive Summer Olympics in predominantly English-speaking countries",26 sports,United States (most gold and overall medals),"10,320 athletes","Beach volleyball, mountain biking, softball, lightweight rowing, women's fencing, team rhythmic gymnastics, women's association football","Sydney 2000, Los Angeles 2028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1996 Summer Olympics
XVIII Olympic Winter Games,Japan,7 to 22 February 1998,Nagano 1998,Nagano,72 nations,"Record number of athletes and participating nations, introduction of new sports, first Winter Olympics under Juan Antonio Samaranch's IOC presidency, professional NHL players allowed in men's ice hockey, debuts of several countries",68 events in 7 sports,"Germany (most medals), Norway, Russia, Canada, Larisa Lazutina","2,176 athletes","Curling, snowboarding, women's ice hockey, Azerbaijan, Kenya, Macedonia, Uruguay, Venezuela","1998 Winter Paralympics, final Winter Olympics under Juan Antonio Samaranch's IOC presidency","Selected over Salt Lake City, Östersund, Jaca, and Aosta in 1991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998 Winter Olympics
Games of the XXVII Olympiad,Australia,15 September to 1 October 2000,Sydney 2000,Sydney,199 countries,"Second time hosting Olympics in Australia, first in Southern Hemisphere, cost estimated at A$6.6 billion, final Olympics under Juan Antonio Samaranch's IOC presidency, last of two consecutive Summer Olympics in English-speaking country, Brisbane to host 2032 Summer Olympics",At least 300 events,Not specified,,,Brisbane 2032,Sydney selected as host city in 1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 Summer Olympics
XIX Olympic Winter Games,United States,8 to 24 February 2002,Salt Lake 2002,Salt Lake City,78 nations,"First Olympics with combined organizing committee, budgetary surplus, venues used post-Olympics, United States Olympic Committee support for future bids",78 events in 15 disciplines,"Norway (most gold medals), Germany (most total medals), Australia (first Southern Hemisphere gold medals)","2,399 athletes",,,"Chosen over Québec City, Sion, and Östersund in 1995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002 Winter Olympics
Games of the XXVIII Olympiad,Greece,13 to 29 August 2004,Athens 2004,Athens,201 countries,"First time since 1996 all NOCs present, Athens' second hosting, new medal design, return to birthplace, improved infrastructure, potential impact on Greek debt crisis",301 events in 28 sports,,"10,625 athletes",,,,,,,,"All countries with NOCs in attendance, return to birthplace, new medal design, consecutive Southern European Olympics, impact on Athens infrastructure, success of the games",,,,,,,,,,,,,,,New design featuring Panathenaic Stadium,"Followed by 2006 Winter Olympics in Turin, Italy","Improved infrastructure including new airport, ring road, subway system",Deemed a success with rising competition standards,,,,,,,,,,,,2004 Summer Olympics
XX Olympic Winter Games,Italy,10 to 26 February 2006,Torino 2006,Turin,,,,,,,,"Turin chosen as host city at the 109th IOC Session in Seoul, South Korea in June 1999, Selection College chose Turin and Sion as finalist cities, full IOC Session voted on finalist cities",,,,,,,,,,,,,,,,,,,,,,,,Passion lives here,"Stylized profile of Mole Antonelliana in white and blue ice crystals, symbolizing snow, sky, new technologies, and Olympic spirit of community","Neve (female snowball), Gliz (male ice cube)","Second time Italy hosted Winter Olympics, first being in 1956 in Cortina d'Ampezzo, Italy also hosted 1960 Summer Olympics in Rome, Turin selected as host city in June 1999, controversies surrounding 1998 and 2002 Winter Olympics votes, new election procedures adopted by IOC, special Selection College chosen to pick finalist cities, six cities launched candidacies, Sion and Turin chosen as finalists, full IOC Session voted on finalist cities",,,,,,,,2006 Winter Olympics
Games of the XXIX Olympiad,China,8 to 24 August 2008,Beijing 2008,Beijing,204 nations,"First time hosted by China, third Summer Olympics in East Asia, second Summer Olympics in a communist state, heavy government investment in facilities and transport systems","28 sports, 302 events",,"10,942 athletes",,,Beijing awarded the Games over four competitors in 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37 venues, including 12 constructed for the Games","""Dancing Beijing"" by Guo Chunning",Watched by 3.5 billion people worldwide,Longest distance for an Olympic Torch relay,,,,2008 Summer Olympics
XXI Olympic Winter Games,Canada,12 to 28 February 2010,Vancouver 2010,Vancouver,82 nations,"Third Olympics hosted by Canada, first in British Columbia, first gold in official sport as host nation, record gold medal count, flag handover in 2006",86 events in 15 disciplines,"Canada (record gold medals), first host nation to lead gold medal count since 1952","2,600 athletes",,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010 Winter Olympics
Games of the XXX Olympiad,United Kingdom,27 July to 12 August 2012,London 2012,London,204 nations,"London selected as host city for the third time, extensive redevelopment and sustainability focus, use of existing and new venues, inclusion of women's boxing and female competitors from all eligible countries",Not specified,"United States (most gold and overall medals), China (second most total medals), Great Britain (third most total medals), Michael Phelps (most decorated athlete)","10,768 athletes","Saudi Arabia, Qatar, Brunei (first female athletes)",N/A,,"London selected over Moscow, New York City, Madrid, and Paris in 2005",,United States (most gold and overall medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012 Summer Olympics
XXII Olympic Winter Games,Russia,7 to 23 February 2014,Sochi 2014,Sochi,Not specified,"First Olympics under Thomas Bach's IOC presidency, held in a CIS state, record number of events, most expensive Games in history, broadcast audience of 2.1 billion people",98 events in 15 disciplines,,Not specified,"Biathlon mixed relay, women's ski jumping, mixed-team figure skating, mixed-team luge, half-pipe skiing, ski and snowboard slopestyle, snowboard parallel slalom",,Sochi selected as host city in July 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US$51 billion,,,2014 Winter Olympics
Games of the XXXI Olympiad,Brazil,5 to 21 August 2016,Rio 2016,Rio de Janeiro,207 nations,"First Olympics in South America, first in a Portuguese-speaking country, first summer edition in host country's winter, first in Latin America since 1968, first in Southern Hemisphere since 2000, held under Thomas Bach's IOC presidency",306 sets of medals in 28 sports,,"11,238 athletes","Kosovo, South Sudan, Refugee Olympic Team",N/A,,,,United States (most gold and overall medals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016 Summer Olympics
XXIII Olympic Winter Games,South Korea,9 to 25 February 2018,PyeongChang 2018,Pyeongchang,93 nations,"Second time South Korea hosted Olympics, first Winter Olympics in South Korea, record number of events, first Winter Olympics in mainland Asia, part of three consecutive Olympic Games in East Asia, debut of four new events, Russian doping scandal",102 events in 15 disciplines,N/A,"2,914 athletes","Ecuador, Eritrea, Kosovo, Malaysia, Nigeria, Singapore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018 Winter Olympics
XXIV Olympic Winter Games,China,4 to 20 February 2022,Beijing 2022,Beijing,91 nations,"Second time hosting Olympics, record number of events, debut of big air freestyle skiing and women's monobob, concerns over human rights violations, COVID-19 protocols, Haiti and Saudi Arabia debut, Norway tops medal table, China's most successful Winter Olympics",109 events in 15 disciplines,,"2,871 athletes","Haiti, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022 Winter Olympics
Games of the XXXIII Olympiad,France,26 July to 11 August 2024,Paris 2024,Paris,Not specified,"Centenary of the Paris Games of 1924, sixth Olympic Games hosted by France, second city to host Summer Olympics three times, first of two consecutive Olympic games in Europe, followed by 2026 Winter Olympics in Italy",,,,,2026 Winter Olympics in Italy,,"Proposal to elect 2024 and 2028 Olympic host cities concurrently approved in 2017, Paris selected to host 2024 Games",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Summer Olympics
XXV Olympic Winter Games,Italy,6 to 22 February 2026,Milano Cortina 2026,,Not specified,"Fourth Olympic Games hosted in Italy, first featuring multiple host cities, first Winter Olympics with opening and closing ceremonies in different locations, 20th anniversary of 2006 Winter Olympics in Turin, 70th anniversary of 1956 Winter Olympics in Cortina d'Ampezzo, last of two consecutive Olympics in Europe",Not specified,,Not specified,,N/A,Milan and Cortina d'Ampezzo elected over Stockholm–Åre bid at 134th IOC Session in Lausanne in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Milan, Lombardy and Cortina d'Ampezzo, Veneto",Proposal for ski mountaineering approved for inclusion,2026 Winter Olympics
