Event,Date,Location,Cause of Death,Victim,Victim(s),trigger
Aviation Accident,"August 20, 2003","Kamchatka Oblast, Russia",Helicopter crash,Igor Pavlovich Farkhutdinov,,Igor Farkhutdinov
Aviation Accident,N/A,N/A,N/A,Isaac Grünewald,,Isaac Gr眉newald
Aviation Accident,N/A,Russia,Plane crash,István Horthy de Nagybánya,,Istv谩n Horthy
Aviation Accident,"July 26, 1958","Edwards Air Force Base, California",Plane crash,"Iven Carl ""Kinch"" Kincheloe Jr.",,"Iven Carl Kincheloe, Jr."
Aviation Accident,"September 1, 1953",French Alps (Mt Cemet),Controlled flight into terrain,Jacques Thibaud,,Jacques Thibaud
Aviation Accident,N/A,N/A,Plane crash,"Jacqueline Balmer, Husband",,Jacquie de Creed
Aviation Accident,"May 24, 1981",N/A,Plane crash,Jaime Roldós Aguilera,,Jaime Rold贸s Aguilera
Aviation Accident,N/A,N/A,Plane crash,James DeWitt Hill,,James DeWitt Hill
Aviation Accident,"June 22, 2015","Los Padres National Forest, California",Plane crash,James Roy Horner,,James Horner
Aviation Accident,"July 9, 1918",Unknown,Plane crash,James Thomas Byford McCudden,,James McCudden
Aviation Accident,"September 3, 2007","Great Basin Desert, Nevada/California",Plane crash,James Stephen Fossett,,James Stephen Fossett
Aviation Accident,N/A,N/A,N/A,Jane Carroll Dornacker,,Jane Dornacker
Aviation Accident,N/A,N/A,N/A,Master Chief Petty Officer Krishnan Nair (Jayan),,Jayan
Aviation Accident,"June 15, 1785","Wimereux, Pas-de-Calais",Balloon crash,"Jean-François Pilâtre de Rozier, Pierre Romain",,Jean-Fran莽ois Pil芒tre de Rozier
Aviation Accident,"January 7, 1785","Paris, France",N/A,Jean-Pierre Blanchard,,Jean-Pierre Blanchard
Aviation Accident,N/A,N/A,N/A,"Dolores Janney ""Jenni"" Rivera Saavedra",,Jenni Rivera
Aviation Accident,September 11,"Stonycreek Township, Pennsylvania",Plane crash,Jeremy Logan Glick,,Jeremy Glick
Aviation Accident,1985,N/A,Plane crash,General Jerome Francis O'Malley,,Jerome F. O'Malley
Aviation Accident,"August 3, 1976","Chillicothe, Missouri",Plane crash,Jerry Lon Litton,,Jerry Litton
Aviation Accident,"February 14, 1975","Cherry Valley, California",Adverse weather conditions,Jerry Lyle Pettis,,Jerry Pettis
Aviation Accident,"August 18, 2012","Masbate Island, Philippines",Engine failure,Jesse Manalastas Robredo,,Jesse Robredo
Aviation Accident,"May 1, 1996","Cheyenne, Wyoming",Plane crash,"Jessica Whitney Dubroff, Lloyd Dubroff, Joe Reid",,Jessica Dubroff
Aviation Accident,"September 20, 1973",N/A,Plane crash,James Joseph Croce,,Jim Croce
Aviation Accident,N/A,N/A,N/A,James Warren Hardin,,Jim Hardin
Aviation Accident,"July 10, 2005","Dayton, Ohio",Plane crash,Jim LeRoy,,Jim LeRoy
Aviation Accident,N/A,N/A,N/A,Peter Eric James Prentice,,Jim Prentice
Aviation Accident,N/A,N/A,Plane crash,James Travis Reeves,,Jim Reeves
Aviation Accident,Moose Jaw,"Moose Jaw, Canada",Airshow accident,Jimmy Marshall Franklin,,Jimmy Franklin
Aviation Accident,"February 18, 1937","Jarama, Spain",Plane crash,Joaquín García-Morato y Castaño,,Joaqu铆n Garc铆a Morato
Aviation Accident,"May 29, 2021","Percy Priest Lake, near Smyrna, Tennessee",Plane crash,"William Joseph Lara, Gwen Shamblin, her son-in-law, four church members",,Joe Lara
Aviation Accident,"July 17, 2014",Ukraine,Shot down,"Joseph Marie Albert ""Joep"" Lange",,Joep Lange
Aviation Accident,"October 12, 1997","Pacific Grove, California",Plane crash,John Denver,,John Denver
Aviation Accident,1999,N/A,Plane crash,John F. Kennedy Jr.,,"John F. Kennedy, Jr."
Aviation Accident,"July 8, 2009","Bishop Norton, Lincolnshire",Plane crash,John Stephen Fairey FRAeS,,John Fairey
Aviation Accident,"July 30, 2005",Sudan,Helicopter crash,John Garang de Mabior,,John Garang
Aviation Accident,1941,England,Mid-air collision,John Gillespie Magee Jr.,,"John Gillespie Magee, Jr."
Aviation Accident,1991,"Lower Merion Township, Pennsylvania",Plane crash,John Heinz III,,John Heinz
Aviation Accident,N/A,N/A,N/A,John Purroy Mitchel,,John Purroy Mitchel
Aviation Accident,"September 6, 1938","Brooklands, England",Carbon monoxide fumes in cockpit,John Stuart Hindmarsh,,John Stuart Hindmarsh
Aviation Accident,N/A,N/A,Plane crash,John Thomas Walton,,John T. Walton
Aviation Accident,N/A,N/A,N/A,John Goodwin Tower,,John Tower
Aviation Accident,"September 23, 1910","Domodossola, Italy",Plane crash,Jorge Chávez Dartnell,,Jorge Ch谩vez
Aviation Accident,"November 27, 1983","Frankfurt, Germany",Plane crash,Jorge Ibargüengoitia Antillón,,Jorge Ibarg眉engoitia
Aviation Accident,"July 20, 1936",Portugal,Plane crash,José Sanjurjo y Sacanell,,Jose Sanjurjo
Aviation Accident,"June 8, 1966","Barstow, California",Plane crash,Joseph Albert Walker,,Joseph A. Walker
Aviation Accident,N/A,N/A,N/A,Joseph Christopher McConnell Jr.,,Joseph C. McConnell
Aviation Accident,N/A,N/A,N/A,"Giacobbe ""Jake"" LaMotta",,Joseph LaMotta
Aviation Accident,1944,N/A,Top-secret mission,Joseph Patrick Kennedy Jr.,,"Joseph P. Kennedy, Jr."
Aviation Accident,"July 25, 1966",Lost at sea,Plane crash (lost at sea),"Brigadier General Joseph Warren Stilwell Jr., Hal Grimes, Harold Fossum",,"Joseph Warren  Stilwell, Jr."
Aviation Accident,1988,"Saint-Just-Saint-Rambert, France",Plane crash,Louis José Lucien Dolhem,,Jos茅 Dolhem
Aviation Accident,"September 7, 1940",Paraguay,Plane crash,José Félix Estigarribia Insaurralde,,Jos茅 F茅lix Estigarribia
Aviation Accident,"November 4, 2008","Mexico City, Mexico",Plane crash,Juan Camilo Mouriño Terrazo,,Juan Camilo Mouri帽o
Aviation Accident,1912,Spain,Plane crash,Juan de la Cierva,,Juan de la Cierva
Aviation Accident,N/A,N/A,N/A,Justin Roderick Strunk Jr.,,Jud Strunk
Aviation Accident,"December 7, 2016",Havelian,Plane crash,"Junaid Jamshed, Wife",,Junaid Jamshed
Aviation Accident,1967,N/A,Air crash,June Thorburn,,June Thorburn
Aviation Accident,"April 6, 1994","Kigali, Rwanda",Shot down by a missile,"Juvénal Habyarimana, Cyprien Ntaryamira",,Juv茅nal Habyarimana
Aviation Accident,1948,South of France,Plane crash,"Kathleen Agnes Cavendish, Marchioness of Hartington",,"Kathleen Cavendish, Marchioness of Hartington"
Aviation Accident,N/A,N/A,N/A,Kazuharu Sonoda,,Kazuharu Sonoda
Aviation Accident,N/A,N/A,N/A,Keith Gordon Green,,Keith Green
Aviation Accident,N/A,"Provo, Utah",Plane crash,Kenneth Douglass Hubbs,,Ken Hubbs
Aviation Accident,1931,N/A,Plane crash,Knute Rockne,,Knute Rockne
Aviation Accident,N/A,N/A,N/A,Kobe Bean Bryant,,Kobe Bryant
Aviation Accident,"August 22, 1981",Taiwan,Plane crash,Kuniko Mukōda,,Kuniko Mukoda
Aviation Accident,"November 17, 2011","Perryville, Arkansas",Plane crash,"Kurt John Budke, Olin Branstetter, and two others",,Kurt Budke
Aviation Accident,"August 12, 1985",Japan Airlines Flight 123,Plane crash,Kyu Sakamoto,,Kyu Sakamoto
Aviation Accident,"September 30, 1958","Aspen, Colorado",Plane crash,Lance Graf von Haugwitz-Hardenberg-Reventlow,,Lance Reventlow
Aviation Accident,N/A,"Lanet, Aude, France",N/A,N/A,,Lanet
Aviation Accident,1989,"Perry County, Mississippi",Plane crash,Larkin Irvin Smith,,Larkin I. Smith
Aviation Accident,"May 12, 1943",N/A,N/A,Larry Hillblom,,Larry Hillblom
Aviation Accident,"September 1, 1983","Near Moneron Island, Soviet Union",Shot down by Soviet interceptors,Lawrence Patton McDonald,,Larry McDonald
Aviation Accident,N/A,"Weyers Cave, Virginia",Plane crash,Larry Howard Shue,,Larry Shue
Aviation Accident,"July 16, 1999","Martha's Vineyard, MA",Spatial disorientation leading to loss of control,"John F. Kennedy Jr., Carolyn Bessette, Lauren Bessette",,Lauren Bessette
