Fatalities,Date,Notable Impacts,Locations,Injuries,Damage Estimate,Path Length,Tornado Strength,Tornado Count,Year,Tornado Reports,Confirmed Tornadoes,Notable Events,1896,September 1927,January 1967,April 1981,April 2011,Total Tornadoes,Significant Events,EF Ratings,States Affected,Strongest Tornadoes,Peak Months,Trend of Activity,Atlantic Ocean,Western Pacific,Australian Region,trigger
-,"May 12, 1997","Touched down in Miami, swept through Downtown Miami, crossed causeways, sideswiped a cruise ship, dissipated after flipping a car","Miami, Florida, United States",-,-,-,F1,,,,,,,,,,,,,,,,,,,,,1997 Miami tornado
7,"July 2, 1997","13 tornadoes, 7 fatalities, local flooding, destroyed houses, straight-line winds, significant damage, part of larger outbreak from July 1-3, 1997","Detroit, Michigan, I-96, Eight Mile Road, Hamtramck, Highland Park, Grosse Pointe Farms, Essex County, Ontario",-,-,-,F3,,,,,,,,,,,,,,,,,,,,,1997 Southeast Michigan tornado outbreak
12,"April 15-16, 1998","Two-day tornado outbreak, significant damage in Nashville, F5 tornado in rural areas, fatalities in multiple states","Midwestern United States, Mississippi and Tennessee Valleys, Middle Tennessee, Nashville, Arkansas, Alabama, Illinois, Kentucky",-,-,-,"F2, F5",,,,,,,,,,,,,,,,,,,,,1998 Nashville tornado outbreak
1,"August 11, 1999","Rare tornado in Salt Lake City, Utah, significant damage, one fatality, one of the few F2 tornadoes in the area","Salt Lake City, Utah, United States",-,-,4.25 miles,F2,,,,,,,,,,,,,,,,,,,,,1999 Salt Lake City tornado
2,"March 28, 2000","Significant damage to buildings and skyscrapers, two deaths, part of a larger severe weather outbreak in Texas and Oklahoma, caused by moist and unstable atmospheric conditions, well forecast by computer models and NWS","Downtown Fort Worth, Texas",-,-,4 miles,F3,,,,,,,,,,,,,,,,,,,,,2000 Fort Worth tornado
0,"August 8, 2007","Strongest tornado in NYC, damage to buildings and cars, disrupted transportation, no serious injuries or fatalities","Staten Island, The Narrows, Brooklyn, New York City",Several,Tens of millions of U.S. dollars,9 miles,EF2,,,,,,,,,,,,,,,,,,,,,2007 Brooklyn tornado
3,"March 14-15, 2008","Widespread damage to Downtown Atlanta, CNN Center, Georgia Dome, State Farm Arena, Georgia World Congress Center, and other buildings, 46 confirmed tornadoes, significant injuries and fatalities","Southeastern United States, Atlanta, Georgia",30,-,-,EF2,,,,,,,,,,,,,,,,,,,,,2008 Atlanta tornado outbreak
3,"June 1, 2011","Significant damage to Springfield, MA, multiple cities and towns affected, 500+ families left homeless, severe weather outlook issued prior to event, atmospheric instability and wind shear contributed to severe weather threat","Western Massachusetts, Western Maine",200+,-,Long-track,EF3,,,,,,,,,,,,,,,,,,,,,2011 New England tornado outbreak
1,Late-September 2018,"Destructive outbreak with 37 confirmed tornadoes, significant damage, one death, numerous injuries, one of Canada's top weather events in 2018","Great Lakes region of the United States, National Capital Region of Canada, Minnesota, Ottawa-Gatineau, Eastern Ontario",31,-,80 km,"EF3, EF2, EF2",,,,,,,,,,,,,,,,,,,,,2018 United States–Canada tornado outbreak
5,"April 9–11, 2009","3 killed in Mena, Arkansas, 2 killed in Murfreesboro, Tennessee, Good Friday tornado outbreak of 2009","Southern United States, Texas, Arkansas, Tennessee, Kansas, Missouri, Oklahoma, Louisiana, Alabama, Georgia, Carolinas",,,,,85,,,,,,,,,,,,,,,,,,,,April 2009 tornado outbreak
1,"April 13-19, 2006","Multiple tornadoes, significant damage, injuries, fatalities, severe weather across various regions","Eastern Iowa, Iowa City, Western Indiana, Mid-Atlantic States, Upper Midwest, Midwest, Missouri, South",Many,-,-,"F2, F3",,,,,,,,,,,,,,,,,,,,,Easter Week 2006 Tornado Outbreak Sequence
-,"February 23, 1965","Localized tornado outbreak, multiple confirmed tornadoes, injuries, significant damage to property and infrastructure, power outages","Southern Florida peninsula, Fort Lauderdale, Broward County, Palm Beach County, Lee County, Chula Vista",6,"$140,000",-,"F3, F2, F1",,,,,,,,,,,,,,,,,,,,,February 1965 South Florida tornado outbreak
8,"February 10-11, 2009","15 tornadoes, Oklahoma hit by 6 tornadoes, squall line causing high winds and rain, power outages, destructive EF4 tornado in Lone Grove, 114 residences destroyed, deadliest tornado in Oklahoma since 1999","Central and Eastern United States, Oklahoma, Texas, Four Corners, Northeast",-,-,-,"EF4, EF3, EF2",,,,,,,,,,,,,,,,,,,,,February 2009 tornado outbreak
-,"July 17–21, 2006","Left over 3 million people without power, multiple rounds of storms, significant damage to homes and infrastructure, widespread power outages","North-central and northeastern North America, Upper Midwest, Ontario, northeastern United States, Middle Mississippi River Valley, St. Louis, Missouri",-,-,-,Severe winds with powerful thunderstorms,,,,,,,,,,,,,,,,,,,,,Heat wave of 2006 derecho series
2,"August 4, 2020","Most significant tornado of the Hurricane Isaias outbreak, obliterated a mobile home park, strongest tornado from a tropical cyclone since 2005","Windsor, North Carolina",14,-,-,EF3,,,,,,,,,,,,,,,,,,,,,Hurricane Isaias tornado outbreak
4,"January 7-10, 2008","Unseasonably strong tornado outbreak, 72 confirmed tornadoes, first January tornadoes in northern Illinois and southeastern Wisconsin since 1967, no fatalities on January 10, record high temperatures, intense wind shear, supercell development, continuous tornado touchdowns in the Ozarks around Springfield, Missouri","Central and Southern United States, southwestern Missouri, northwestern Arkansas, northern Illinois, southeastern Wisconsin",-,-,-,-,,,,,,,,,,,,,,,,,,,,,January 2008 tornado outbreak sequence
9,"January 21–23, 1999","Largest tornado outbreak in January, 127 tornadoes, widespread damage, 3 fatalities in Little Rock, Arkansas","Midwestern and Southern United States, Mississippi River Valley, Little Rock, Arkansas",-,-,-,F3,,,,,,,,,,,,,,,,,,,,,"January 21–23, 1999 tornado outbreak#Little Rock, Arkansas tornadoes"
9,"January 21–23, 1999","Largest tornado outbreak in January, 127 tornadoes, widespread damage, 3 fatalities in Little Rock, Arkansas","Midwestern and Southern United States, Mississippi River Valley, Little Rock, Arkansas",-,-,-,F3,,,,,,,,,,,,,,,,,,,,,"January 21–23, 1999 tornado outbreak"
5,"March 28–31, 2007","80 confirmed tornadoes, 5 deaths, widespread hail, destructive straight-line winds, extensive damage, second major outbreak of 2007, uncertain activity level, powerful mid and upper level system, rapid thunderstorm formations","Central United States, High Plains from South Dakota to central Texas, western Nebraska, western Kansas, extreme eastern Colorado, much of Oklahoma, Texas",-,Extensive damage reported,-,,80,,,,,,,,,,,,,,,,,,,,Late-March 2007 tornado outbreak
8,"September 21–23, 2006","Widespread outbreak with 48 confirmed tornadoes, heavy damage in Crosstown, Missouri, injuries in various locations, no tornado-related deaths, severe flooding in Kentucky with 8 fatalities","Central United States, Crosstown, Missouri, Pilot Knob, Metropolis, Illinois, Birmingham, Alabama, Kentucky, Arkansas, Illinois",10,-,-,"F4, F2, F3, F2",,,,,,,,,,,,,,,,,,,,,Late-September 2006 tornado outbreak
50,"May 2-8, 1999","Largest tornado outbreak in Oklahoma, F5 Bridge Creek-Moore tornado, first billion-dollar tornado in history","Central and Eastern United States, Southern Canada",583,$1.4 billion,,,152,,,,,,,,,,,,,,,,,,,,List of 1999 Oklahoma Tornado Outbreak tornadoes
146,"March 27, 1890","Major tornado outbreak, 24 significant tornadoes, cyclic supercells, devastating F4 tornado in Downtown Louisville, significant fatalities and injuries","Middle Mississippi Valley, Kentucky, Illinois, Missouri, St. Louis, Huntsville, Alabama",-,-,-,"F4, F2+",,,,,,,,,,,,,,,,,,,,,March 1890 middle Mississippi Valley tornado outbreak
216,"March 21-23, 1913","Devastating tornado outbreak sequence, multiple F4 tornadoes, significant fatalities, injuries, and damage","Mississippi, Georgia, Alabama, Nebraska, Iowa, Omaha",150,-,0.25 miles,F4,,,,,,,,,,,,,,,,,,,,,March 1913 tornado outbreak sequence#Omaha tornado
44,"March 14, 1933","Deadly tornado outbreak, multiple tornadoes, significant damage, 15 fatalities in downtown Nashville, warm southerly flow from Gulf of Mexico, extratropical low pressure systems, squall line of thunderstorms, specific path details","Nashville, Middle Tennessee region",461,-,-,F3,,,,,,,,,,,,,,,,,,,,,March 1933 Nashville tornado outbreak
5,October 17-19,"Largest October tornado outbreak until 2010, significant wind damage, multiple deaths and injuries","Eastern half of North America, Texas, Oklahoma, Arkansas, Louisiana, Mississippi, Missouri, Florida, Alabama, Tennessee, Kentucky, Illinois, Indiana, Michigan",Many,,,,64,,,,,,,,,,,,,,,,,,,,Mid-October 2007 tornado outbreak
1,November 16,"Severe outbreak causing one fatality, multiple injuries, significant property damage, destruction of homes and buildings, catastrophic damage in various towns","Nevada, Nebraska, Iowa, Wisconsin, Arkansas, Independence County, Cleburne County, Hutchinson, Huff, Rosie",3,$4.665 million,-,F3,,,,,,,,,,,,,,,,,,,,,"November 15–16, 1955 tornado outbreak"
26,"November 21–23, 1992","95 tornadoes, 41-hour period, one of the longest-lasting and largest outbreaks, 26 fatalities, 641 injuries, $300 million in damage, significant impacts in various states","Eastern and Midwestern United States, Houston, Brandon, Mississippi, Cobb County, GA, Switzerland County, Indiana, North Carolina, Prince George's County, Maryland",641,Over $300 million,160 miles,F1 to F4,,,,,,,,,,,,,,,,,,,,,November 1992 tornado outbreak
3,April 28,"Destructive outbreak of 19 tornadoes, 10 F2 or F3 tornadoes in Oklahoma City, heavy damage to homes and infrastructure, significant injuries and fatalities","Oklahoma, Indiana",79,$3.883 million,11.7 miles,"F2, F3",,,,,,,,,,,,,,,,,,,,,Oklahoma tornado outbreak of 1960
21,"February 9-10, 1959","Destructive outbreak of 17 tornadoes, widespread destruction, fatalities, injuries, significant damage to structures, non-tornadic impacts causing additional fatalities and injuries","Midwest, Southeast United States, St. Louis, Southern Highland County, Ohio",358,$53.713 million,-,"F4, F3",,,,,,,,,,,,,,,,,,,,,St. Louis tornado outbreak of February 1959
,,,,,,,,,,,,,"Third-deadliest tornado in U.S. history, costliest tornado in U.S. history, significant injuries and fatalities",Second-costliest tornado in U.S. history,Fatal tornado in the northern metro area,Destructive tornado in Illinois area,"Widespread damage, significant impact on Lambert International Airport, no fatalities",,,,,,,,,,,Tornado history of St. Louis
1,"April 13–15, 2018","Record-breaking blizzard, severe damage, injuries, fatalities, power outages, significant tornado outbreak","Midwest to East Coast of the United States, Arkansas, Louisiana, North Carolina, Virginia",27,-,-,"EF1, EF2, EF3",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak and blizzard of April 13–15, 2018"
6,"April 13-16, 2012","Major tornado outbreak, 6 fatalities, significant damage, violent tornadoes, rare high risk alerts, PDS tornado warnings","Great Plains, Woodward, Oklahoma, Marquette, Kansas, Wichita",-,-,-,"EF1, EF3, EF4",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of April 13–16, 2012"
43,"April 14-16, 2011","Largest recorded tornado outbreak in U.S. history, severe destruction, 38 tornado-related deaths, 5 deaths from straight-line winds, 43 total deaths in the Southern U.S.","16 states across the U.S., Southern United States",-,,,,178,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of April 14–16, 2011"
2,"March 21–23, 2022","81 confirmed tornadoes, significant damage in various areas, one death in Arabi, widespread flooding, multiple injuries, severe weather outbreak predicted days in advance","Southern and Eastern United States, Texas, Oklahoma, Mississippi, Alabama, Louisiana, New Orleans, South Carolina, Virginia",Several,-,-,"EF2, EF3",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 21–23, 2022"
2,"March 29–31, 2022","Widespread wind damage, strong tornadoes, multiple supercells, intense EF3 tornado causing fatalities and injuries, significant tornado outbreak across multiple states","Midwestern, Southern, and Eastern United States, Springdale, Arkansas, Jackson, Mississippi, Florida Panhandle",3,-,-,"EF1, EF3, EF2",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 29–31, 2022"
25,"March 2-3, 2020","6th costliest tornado in U.S. history, significant fatalities, injuries, power outages, extensive damage, poor forecast accuracy","West and Middle Tennessee, Nashville, Mount Juliet, Cookeville, Alabama, southeastern Missouri, western Kentucky",309,$1.607 billion,-,"EF3, EF4",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak of March 2–3, 2020"
8,May 2019,"18 EF3 tornadoes, 2 EF4 tornadoes, 4 fatal tornadoes, widespread damage, record-breaking tornado activity",,,,,,,,,,,,,,,,400,51,"EF3, EF4","Nebraska, Kansas, Texas, Missouri, Oklahoma, Indiana, Iowa, Ohio, California, New Jersey, and more",,,,,,,Tornado outbreak sequence of May 2019
184,"May 21–26, 2011","Destructive tornado outbreak, Joplin tornado with 158 deaths, second deadliest outbreak since 1974, second costliest in U.S. history, significant tornado-related deaths and damage","Midwestern and Southern regions of the United States, Lake Superior, central Texas, Joplin, Missouri, Arkansas, Kansas, Minnesota, Oklahoma","1,000+",$4–7 billion,-,"EF3, EF4",,,,,,,,,,,,,,,,,,,,,"Tornado outbreak sequence of May 21–26, 2011"
67,2006,"Active tornado season in the US, tornado-related deaths worldwide, significant upswing in tornado activity in early spring","United States, Europe, Japan, China, Vietnam, Canada",-,-,-,Various strengths,,,,,,,,,,,,,,,,,,,,,"Tornadoes of 2006#February 2, also struck Louis Armstrong Airport"
"95 in the U.S., additional fatalities worldwide",,,,,,,,,2007,"1,305",81,"Change to Enhanced Fujita Scale, deadliest year for tornadoes in the U.S. since 1999, significant outbreaks in February, March, April, and May, including first ever EF5 tornado",,,,,,,,,,,,,,,,Tornadoes of 2007#February 12–13
135,,,,,,,,,2007,"1,305",81,"Deadliest year for tornadoes in the U.S. since 1999, change from Fujita scale to Enhanced Fujita Scale, major outbreaks in February, March, April, and May, first ever EF5 tornado in May, F5 tornado in June, Typhoon Sepat producing deadly tornado in China",,,,,,,,,,,,,,,,Tornadoes of 2007#October 2
58,,,,,,,,,2009,"1,304","1,159",,,,,,,,,,,2 (EF4),"April, May","Below average start, peak in April and May, waning activity, fairly inactive final quarter, stable air in January 2009",,,,Tornadoes of 2009#April 25–26 (United States and Canada)
,,,,,,,,,,,,,,,,,,,,,,,,,Multiple instances of tropical cyclones named Bonnie,One tropical cyclone named Bonnie in this region,One tropical cyclone named Bonnie in this region,Tropical Storm Bonnie
