Impact,Parties Involved,Significant Events,Outcome,Casualties,Start Date,Location,End Date,Date,Duration,Locations,Goals,Date of Massacre,Demands,U.S. Government Role,Union Growth,Victims,Perpetrators,Background,trigger
"Escalation of violence, challenges in crowd control, police retreat","Crowds of strikers, Chicago police","Confrontation at Halsted Street viaduct, exchange of gunfire between police and crowd","Continued unrest, heightened tensions between strikers and authorities",Not specified in the provided text,,"Chicago, Illinois",,"July 25, 1877",,,,,,,,,,,Battle of the Viaduct
"Commemorative event held annually, historical significance in labor history","Building-trades workers, Polish laborers, National Guardsmen, Kosciuszko Militia","Strike for an eight-hour workday, confrontation with National Guardsmen, fatal shooting of protesters","Deaths of protesters, annual memorial event, recognition of labor rights","7 people killed, including a thirteen-year-old boy","May 4, 1886","Milwaukee, Wisconsin",,,,,,,,,,,,,Bay View Massacre
"Unsuccessful strike, refusal of mine owners to restore wages, violence erupting in various locations","United Mine Workers, coal mine operators, National Guard, miners","General strike in multiple states, violent clashes between strikers and authorities, wage cuts and demands","Mine owners unwilling to adjust wages, tension between strikers and authorities, failure to achieve demands","5 miners killed in Uniontown, Pennsylvania, wounded in LaSalle, Illinois","April 21, 1894",,,,Eight weeks,,,,,,,,,,Bituminous coal miners' strike of 1894
"Threatened winter fuel supply, intervention by President Theodore Roosevelt, resolution with wage increase and reduced workdays","United Mine Workers of America, anthracite coal mine owners",,,,"May 12, 1902",,,,,,,,"Higher wages, shorter workdays, recognition of the union",First labor dispute with federal government intervention,"United Mine Workers of America grew from 10,000 to 115,000 members",,,,Coal Strike of 1902
"Formation of Western Federation of Miners, violent confrontation, military occupation","Western Federation of Miners, union miners, Pinkerton agents, mine owners","Dynamite attack, destruction of non-union mining facility, murders, military occupation","Motivation for forming Western Federation of Miners, military intervention, unionization of mines","2 murders, unspecified injuries",1899,"Coeur d'Alene, Idaho",,,,,,,,,,,,,"Coeur d'Alene, Idaho labor confrontation of 1899"
"Motivation for forming Western Federation of Miners, violent confrontation between workers and owners","Labor union miners, Pinkerton agent, mine owners","Infiltration by Pinkerton agent, violent confrontation, formation of Western Federation of Miners","Disastrous for local miners' union, continued labor unrest, formation of Western Federation of Miners",,1892,"Coeur d'Alene, Idaho",,,,,,,,,,,,,"Coeur d'Alene, Idaho labor strike of 1892"
"Controversial violence, martial law, military intervention, support for mine operators","Western Federation of Miners, mine owners, Colorado state government, Colorado National Guard, private contractors","Violent strikes, imposition of martial law, battles between labor and capital, military response by the National Guard","State government siding with mine operators, violent tactics by the WFM, significant labor-capital conflict",Not specified in the provided text,1903 and 1904,,,,,,,,,,,,,,Colorado Labor Wars
"Public outrage, increased tensions between miners and authorities","Colorado state militia, striking coal miners","Fight between state militia and miners, use of firearms, disputed use of machine guns","Six strikers killed, injuries to many, heightened labor disputes","6 strikers killed, dozens injured",,"Serene, Colorado",,1927,,,,,,,,,,,Columbine Mine massacre
"Heightened tensions between business, labor, and law enforcement, marked a time of rising tensions in labor history","Industrial Workers of the World (IWW) union, local authorities, vigilantes, law enforcement","Armed confrontation between IWW members and local authorities, tensions in Pacific Northwest labor history","Tragic event, increased scrutiny of labor disputes, historical significance in labor movement","At least 5 people killed, many injured","November 5, 1916","Everett, Washington",,,,,,,,,,,,,Everett Massacre
"Heightened tensions, injuries and deaths, catalyst for industry unionization","Unemployed auto workers, Dearborn Police Department, Ford Motor Company security guards, Unemployed Councils (Communist Party USA)","Workers shot by police and security guards, support from Unemployed Councils, part of events leading to auto industry unionization","Unionization of U.S. auto industry, increased awareness of worker rights","5 workers killed, over 60 injured",,"Detroit and Dearborn, Michigan",,"March 7, 1932",,,,,,,,,,,Ford Massacre
"Crucial event in attempts to organize locals and unionize sawmill workers, part of the larger labor unrest in western Louisiana and eastern Texas","Galloway Lumber Company, striking unionized mill workers, Brotherhood of Timber Workers, private police hired by management","Violent confrontation between private police and labor factions, death of union leader Asbury Decatur Hall, part of the Louisiana-Texas Lumber War of 1911-1912","Increased success of the Lumber Workers Industrial Union from 1917 to 1924, eventual passage of the Wages and Hours Act in 1940","3 union workers and 1 company security employee dead, an estimated 50 wounded",,"Grabow, Louisiana",,"July 7, 1912",,,,,,,,,,,Grabow Riot
"Fear of revolution, suppression of strikes, establishment of armories, attention to workers' conditions","Baltimore and Ohio Railroad, workers, unofficial militias, National Guard, federal troops, private militias","Widespread strikes, destruction of railroad facilities, intervention by militias and federal troops","Formation of unions, improvements in wages and conditions, establishment of Employee Relief Association",Approximately 100 people killed,"July 14, 1877","Martinsburg, West Virginia, other cities across the United States",September 1877,,,,,,,,,,,,Great Railroad Strike of 1877
"Heightened tensions, loss of lives, impact on labor relations","United Mineworkers of America, Southern Illinois Coal Company, miners, strikebreakers, mine guards","Violent exchange of gunfire, siege on the mine, brutal killings of strikebreakers and mine guards","23 fatalities, including superintendent and strikebreakers, aftermath of violence","23 total deaths (3 union miners, 20 non-miners)","June 21–22, 1922","Herrin, Illinois",,,,,,,,,,,,,Herrin Massacre
"Setback for unionization efforts, technological innovations by Carnegie Steel","Amalgamated Association of Iron and Steel Workers, Carnegie Steel Company","Industrial lockout and strike, battle between strikers and private security agents, major defeat for the union","Defeat for the union, setback for steelworkers' unionization efforts",Not specified in the provided text,"July 1, 1892","Homestead, Pennsylvania",,,,,,,,,,,,,Homestead Massacre
"Severe disruptions to transportation, city elections, statewide rail services, martial law declaration","Indianapolis Traction & Terminal Company, Amalgamated Street Railway Employees of America, city police, rioters, Indiana National Guard","Workers' strike, police mutiny, riots, shutdown of mass transit, vandalism, martial law declaration","Indiana National Guard intervention, city under martial law, demands presented to the statehouse",2 strikebreakers and 4 union members killed,"October 31, 1913",,,,,,,,,,,,,,Indianapolis streetcar strike of 1913
"Turning point in United Mine Workers history, harsh working conditions in coal mines",,,,,,"Lattimer mine near Hazleton, Pennsylvania",,"September 10, 1897",,,,,,,,At least 19 unarmed striking immigrant anthracite miners,Luzerne County sheriff's posse,"Immigrant miners of Polish, Slovak, Lithuanian, and German ethnicity, economic struggles in Central and Eastern Europe, exploitation of Slavic miners, poor mine safety, wage cuts, company control over workers",Lattimer Massacre
"Defeat for the union, departure from AFL, shift towards revolutionary socialism","Cloud City Miners' Union, Western Federation of Miners, mine owners","Strike against low wages, defeat for the union, departure from AFL, shift towards revolutionary socialism","Major defeat for the union, re-assessment of tactics and union philosophy, turning point for WFM",Not specified in the provided text,"June 19, 1896","Leadville, Colorado","March 9, 1897",,,,,,,,,,,,Leadville Miners' strike
"Heightened violence throughout Colorado, increased public outrage, congressional investigation","Colorado National Guard, private guards, Colorado Fuel and Iron Company, United Mine Workers of America","Attack on tent colony of striking coal miners, retaliation attacks on anti-union establishments, federal intervention","Considered the deadliest strike in US history, watershed moment in American labor relations","Approximately 21 people killed, including miners' wives and children","April 20, 1914",,,,,,,,,,,,,,Ludlow Massacre
"Paved way for over-the-road drivers, growth of Teamsters union, rise of industrial unionism","Teamsters, trucking companies, local leaders, Communist League of America","Strike in Market District, ""Bloody Friday"" police shooting, coalition formation, end of strike","Formation of Socialist Workers Party, growth of Teamsters union","2 killed, 67 injured on ""Bloody Friday""","May 16, 1934",,,,,,,,,,,,,,Minneapolis general strike of 1934
"Thousands attending funeral, historical marker erected in 2000","United Mine Workers, Henry Clay Frick, National Guard","Strike for higher wages and an eight-hour work day, work stoppage, increasing unrest, evictions, fatal shooting of strikers by National Guard","Fatalities, strike organized by newly formed United Mine Workers union",9 coke workers killed during the strike,,"Morewood, Pennsylvania, Westmoreland County",,1891,,,,,,,,,,,Morewood massacre
"Partial achievement of worker demands, radicalization of lumber workers, spark for future industry-wide strikes","Northwest Council of Sawmill and Timber Workers Union, logging companies, workers, American Labor Federation, Communist Party","Industry-wide labor strike, economic decline during the Great Depression, President Roosevelt's New Deal policies, union organizing efforts","Repercussions felt for decades, influence on labor relations in the lumber industry",,1935,,,,Over three and a half months,,,,,,,,,,Pacific Northwest lumber strike
"Among the worst conflicts in American labor union history, prelude to Battle of Matewan and Battle of Blair Mountain","Striking coal miners, coal operators, United Mine Workers of America","United Mine Workers of America strike, $100,000,000 cost, prelude to subsequent West Virginia conflicts","Operators refused compensation increase, strike led to violent deaths and indirect casualties","Approximately fifty violent deaths, many more indirectly due to starvation and malnutrition","April 18, 1912","Kanawha County, West Virginia",July 1913,,,,,,,,,,,,Paint Creek Mine War
"National attention, largest labor dispute in Pittsburgh since 1892, precursor to future strikes","Pressed Steel Car Company, strikers, private security agents, Pennsylvania State Police","Bloody battle between strikers, security agents, and police, precursor to the Great Steel Strike of 1919","Increased awareness of poor working conditions, precursor to the Great Steel Strike of 1919","At least 12 people died, possibly up to 26","July 13, 1909","McKees Rocks, Pennsylvania","September 8, 1909",,,,,,,,,,,,Pressed Steel Car strike of 1909
"Turning point for US labor law, shutdown of freight and passenger traffic, involvement of major entities","American Railway Union, Pullman Company, main railroads, federal government","Strike at Pullman factory, national boycott, shutdown of rail traffic, conflict with federal government","Failure of the strike, impact on national labor policy, involvement of President Grover Cleveland",Not specified in the provided text,Spring 1894,"Chicago, Illinois",,,"May 11 to July 20, 1894",,,,,,,,,,Pullman Strike
"Restored order, federal troop intervention, local upheaval","Philadelphia and Reading Railroad, Pennsylvania State Militia, rioters","Arson, riots, militia intervention, civilian deaths, injuries","Federal troops restored order, blame on local sheriff, end of rioting","10-16 people killed, 20-203 injured",,"Reading, Pennsylvania",,"July 23, 1877",,,,,,,,,,,Reading Railroad massacre
"Collapse of labor's political position, undermining of labor's support, dissolution of Carmen's Union Local 205","United Railroads, Carmen's Union, ""King of the Strikebreakers"" James A. Farley","Strike for 8-hour day and $3 per day, involvement of strikebreakers, Bloody Tuesday shootout, indictment of Mayor Schmitz and Patrick Calhoun","Officially abandoned in mid-February, collapse of the strike, re-organization attempts by Thomas Mooney in 1916","31 people killed, about 1100 injured","May 5, 1907",,,,,,,,,,,,,,San Francisco Streetcar Strike of 1907
"Violent suppression of strikes, lack of justice for murdered workers, arrests of CAWIU organizers","Cannery and Agricultural Workers' Industrial Union, agricultural workers, growers, law enforcement, community members","Series of strikes by Mexican and Filipino agricultural workers, attacks on striking workers, murders of Dolores Hernàndez, Delfino D'Ávila, and Pedro Subia",,"Dolores Hernàndez, Delfino D'Ávila, Pedro Subia, and other wounded workers",August 1933 to October 1933,,,,,,,,,,,,,,San Joaquin cotton strike
"No concessions won, arrests and trials, formation of Pennsylvania National Guard","Railroad workers, local militia, state and federal troops","Work stoppage, violent clashes, imposition of martial law","Strikers returned to work, no concessions achieved, reformation of militia into National Guard","Four dead, many wounded","July 23, 1877","Scranton, Pennsylvania",,,,,,,,,,,,,Scranton General Strike
"Civil disruption, sympathy strikes, significant union membership in St. Louis","St. Louis Transit Company, Amalgamated Street Railway Employees of America, St. Louis Metropolitan Police Department","Consolidation of streetcar companies, unionization attempt, firing of workers, violent clashes, disruption of service","End of the strike, labor rights awareness, changes in working conditions","14 people killed, 200 wounded","May 7, 1900",,September 1900,,,,,,,,,,,,St. Louis Streetcar Strike of 1900
"Weakened union, decline in membership, technological advances affecting skilled workers","Amalgamated Association of Iron, Steel and Tin Workers, United States steel industry, American Federation of Labor","Attempt to organize the steel industry post-World War I, collapse of the union, previous struggles like the Homestead strike","Failed attempt to organize steelworkers, decline in union strength, impact of industry consolidations",,"September 22, 1919",,"January 8, 1920",,,,,,,,,,,,Steel Strike of 1919
"Passage of discriminatory legislation, end of sugar workers' organizing for decades","Knights of Labor, sugar cane plantation workers, state militia, local white paramilitary forces","Largest strike in sugar cane industry, militia protection of strikebreakers, violent response to ambush, massacre of black workers","Defeat of sugar workers, return to plantations on employers' terms","At least 35 black people killed, rumored hundreds total",,"Thibodaux, Louisiana",,"November 23, 1887",,,,,,,,,,,Thibodaux Massacre
"Sundown town status for Virden, settlement with most operators by UMWA, recruitment of African-American miners as strikebreakers","United Mine Workers of America, Chicago-Virden Coal Company, armed detectives, striking mine workers","Armed conflict between strikebreakers and miners, racial tensions, expulsion of black miners from Macoupin County","Fatal conflicts reflecting labor union tension and racial violence, expulsion of black miners, continued labor unrest","5 detectives/security guards killed, 8 striking miners killed, 5 guards and over 30 miners wounded, at least 1 black strikebreaker wounded",,"Virden, Illinois",,"October 12, 1898",,,,,,,,,,,Virden Massacre
"Intense class battle, outrage and escalation of violence, public outcry","Steel Workers Organizing Committee, Republic Steel, Youngstown police","Little Steel strike, Women's Day protest, police use of tear gas and gunfire","Increased tensions, further labor disputes, negative publicity for Republic Steel","Infant injured, unspecified injuries and casualties from the confrontation",,"Youngstown, Ohio",,"June 19, 1937",,,,,,,,,,,Women's day massacre
