Event Trigger,Parties Involved,Territories Involved,Outcome,Duration,Start Date,Total Military Casualties,End Date,Date,1978 South Lebanon conflict,Israeli occupation of southern Lebanon (Second phase),Israeli invasion of Lebanon (Third phase),Israeli occupation of southern Lebanon (Fourth phase),International incidents,Total Civilian Deaths,Impact on Population,Invasion of Georgia (U.S.),Invasion of Georgia (Country),Iraqi Invasion of Kuwait,Coalition Intervention,Naval Operations,Air Campaign,Liberation of Kuwait,Post-ceasefire,Spanish Occupation of the Netherlands,French Invasion of the Netherlands,German Occupation of the Netherlands,Formal Annexation Date,Recognition of Annexation,Impact on Population and Political Structure,Burgundian Occupation of Luxembourg,Spanish Occupation of Luxembourg,French Occupation of Luxembourg,German Occupation of Luxembourg,Nazi Occupation of Luxembourg,Allied Occupation of Luxembourg,Ukrainian State Occupation,Soviet Occupation of Western Ukraine,Nazi Occupation of Ukraine,Russian Occupation of Crimea,Donetsk and Luhansk Occupation,Axis Failure,Frontline Strength,Other Involved Country Losses,trigger
Anschluss,"Nazi Germany, Austria",Austria,Annexation of Austria into Nazi Germany,,"March 12, 1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anschluss
Austro-Hungarian Occupation of Serbia,"Austro-Hungarian Armed Forces, Central Powers (Germany, Bulgaria)",Serbia,"Division of Serbia into Bulgarian and Austro-Hungarian occupation zones, military administration, denationalization of Serb population, imposition of martial law, deportation of civilians to internment camps",Late 1915 - End of World War I,,"Unknown casualties, 150,000-200,000 deportations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austro-Hungarian occupation of Serbia
Battle of Timor,"Japan, Australia, United Kingdom, Dutch East Indies","Portuguese Timor, Dutch Timor","Japanese occupation of Timor, resistance by Australian commandos, evacuation of Allied forces, significant impact on Japanese deployment","February 20, 1942 - February 10, 1943",,Heavy casualties on both sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battle of Timor
Battles of La Güera and Tichla,"Mauritanian Army, Polisario Front guerrillas, Royal Moroccan Army",Southern Western Sahara (Río de Oro),"Mauritanian invasion, confrontation with Polisario Front, Moroccan intervention, control of southern Western Sahara by Mauritania, evacuation of Spanish civilians, establishment of Polisario administration in La Güera",10–22 December 1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battles of La G眉era and Tichla
British Occupation of Faroe Islands,United Kingdom,Faroe Islands,"Occupation during World War II, Operation Valentine, strategic importance, handed back to Denmark",April 1940 - 1945,April 1940,,End of WWII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British occupation of the Faroe Islands
Bulgarian Occupation of Serbia in WW1,"Bulgaria, Germany, Austria-Hungary","Southern and Eastern Serbia, Kosovo, North Macedonia","Repression, occupation zones, mass internment, forced labor, Bulgarisation policy, ethnic cleansing, genocide, liberation by Allied forces",Autumn 1915 - September 1918,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulgarian occupation of Serbia (World War I)
Continuation War,"Finland, Nazi Germany, Soviet Union","Finland, East Karelia, Karelian Isthmus, Ladoga Karelia","Conflict during World War II, Finnish alliance with Germany, reasons for invasion, territorial gains",1941 - 1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Continuation War
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Front (World War I)
Eastern Front of World War II,"Germany, Soviet Union, Poland, Allies","Central Europe, Eastern Europe, Northeast Europe, Southeast Europe","Decisive theatre of World War II, largest military confrontation, immense loss of life, Allied victory in Europe",22 June 1941 - 9 May 1945,22 June 1941,Approximately 30 million,9 May 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Front (World War II)
First Vienna Award,"Nazi Germany, Fascist Italy, Kingdom of Hungary","Southern Slovakia, Southern Carpathian Rus","Territories awarded to Hungary, revision of the Treaty of Trianon, restoration of Hungarian-Polish border, nullified after World War II",,,,,"November 2, 1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First Vienna Award
German Occupation of Belgium,"Germany, Belgium, France, Britain","Belgium, France, The Netherlands","German victory, Belgian Army surrender, part of the Battle of France, Allied withdrawal from continental Europe",May 1940,"May 10, 1940",,"May 28, 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German invasion of Belgium (1940)
German Occupation of Belgium,"German Empire, Belgium",Belgium,"Military occupation during World War I, division of Belgium into administrative zones, economic collapse, resistance movements, liberation by Allied forces in 1918",1914 - 1918,August 1914,,November 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German occupation of Belgium during World War I
German Occupation of Byelorussia,"Nazi Germany, Belarusian Central Rada, Soviet Union",Byelorussia,"Military occupation, establishment of client state, high civilian death toll, Soviet reestablishment of control, actions of the NKVD",,"June 22, 1941",,August 1944,,,,,,,"Approximately 1.6 million, including 500,000-550,000 Jews",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,German occupation of Byelorussia during World War II
German Occupation of North-East France during WWI,"German Empire, French Population",French départements,Return of territories to France in November 1918,1914 - 1918,,,,,,,,,,,"Impositions, malnourishment, forced labor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,German occupation of north-east France during World War I
United States Occupation of Greenland,"United States, Denmark, Greenland",Greenland,"Establishment of facilities for air and sea traffic, radio beacons, weather stations, ports, depots, and search-and-rescue stations, economic trade with the United States, Canada, and Portugal, reanimation of Greenland's economy, self-ruling territory declaration by Greenland sheriffs in coordination with the Danish ambassador and the U.S. State Department",1941 - 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenland in World War II
Occupation of Taiwan by Republic of China,"Republic of China, People's Republic of China","Taiwan, Penghu, Quemoy, Lienchiang","Surrender and occupation of Japan, declaration of martial law, retreat of ROC government from mainland, establishment of Taipei as temporary capital, diplomatic challenges between ROC and PRC, democratization process, current political status of Taiwan",,"October 25, 1945",,Ongoing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,History of Taiwan since 1945
Indian intervention in the Sri Lankan Civil War,"India, Sri Lanka, Liberation Tigers of Tamil Eelam (LTTE)",Sri Lanka,"Deployment of Indian Peace Keeping Force, engagement in battles with LTTE, withdrawal of IPKF in 1990",1987-1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indian intervention in the Sri Lankan Civil War
Indo-Pakistani War of 1971,"India, Pakistan",East Pakistan,"Liberation of Bangladesh, surrender of Pakistani forces, creation of Bangladesh as an independent nation","December 3-16, 1971",,"India: 2,500–3,843 killed, 9,851–12,000 injured, Pakistan: 9,000 killed, 25,000 wounded, 93,000 captured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Indo-Pakistani War of 1971
US-led Invasion of Afghanistan,"United States, United Kingdom, Canada, Australia, Northern Alliance",Afghanistan,"Toppling of the Taliban government, dismantling of al-Qaeda, beginning of the U.S. War on Terror",,Late 2001,,"December 17, 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Afghanistan
Italian Invasion of Albania,Kingdom of Italy,Albania,"Rapid Italian occupation, King Zog I forced into exile, Albania made part of Italian Empire as a protectorate in personal union with the Italian Crown","April 7, 1939",,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Albania
Warsaw Pact Invasion of Czechoslovakia,"Soviet Union, Poland, Bulgaria, Hungary",Czechoslovakia,"Invasion to halt Prague Spring reforms, implementation of Brezhnev Doctrine, fracture of worldwide communist movement, eventual peace talks with the US, impact on Cold War and dissolution of Soviet Union","August 20-21, 1968",,"137 Czechoslovak civilians killed, 500 seriously wounded",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Czechoslovakia
German Invasion of Denmark,"Nazi Germany, Denmark",Denmark,"German attack on Denmark as a prelude to the invasion of Norway, Denmark's surrender after a short battle, part of Operation Weserübung Süd, securing supply lines and radar systems, breach of non-aggression pact","April 9, 1940","April 9, 1940",,"April 9, 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Denmark
Indonesian Invasion of East Timor,"Indonesia, Fretilin, UDT, APODETI",East Timor,"Violent quarter-century occupation, overthrow of Fretilin regime, heavy insurgency resistance, procurement of advanced weaponry, clashes over East Timor's status, independence achieved in 2002","December 7, 1975 - May 20, 2002",,"Approximately 100,000-180,000 killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of East Timor
Japanese Invasion of French Indochina,"Japan, France",Northern Indochina,"Japan occupies Tonkin, blockade of China, part of Greater East Asia Co-Prosperity Sphere plan",22-26 September 1940,22-Sep-40,,26-Sep-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of French Indochina
,,,,,,,,,,,,,,,,"Union Army captures Atlanta, leading to the eventual surrender of the Confederacy","Russian military intervention in Georgia, ceasefire agreement, recognition of South Ossetia and Abkhazia as independent states",,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Georgia
US Invasion of Grenada,"United States, Caribbean nations",Grenada,"Military occupation, establishment of interim government, elections in 1984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Grenada
,,,,,,,,,,,,,,,,,,"Iraqi invasion of Kuwait, occupation, setting oil wells on fire",Military intervention to expel Iraqi forces from Kuwait,Naval operations to enforce the blockade and support the coalition effort,Aerial bombardment to weaken Iraqi defenses and military infrastructure,Liberation of Kuwait from Iraqi occupation,"Rebuilding efforts, restoration of Kuwaiti sovereignty, aftermath of the conflict",,,,,,,,,,,,,,,,,,,,,Invasion of Kuwait
Operation Weserübung,Germany,"Denmark, Norway","German occupation of Denmark, invasion of Norway, part of the Norwegian Campaign in World War II","April 9 - June 10, 1940","April 9, 1940",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Norway
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Panama
Invasion of Poland,"Nazi Germany, Soviet Union",Republic of Poland,"Beginning of World War II, division and annexation of Poland by Germany and the Soviet Union",,"September 1, 1939",,"October 6, 1939",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasion of Poland
,,,,,,,,,,,,,,,,,,,,,,,,"Eighty Years' War, Dutch Revolt against Spanish rule, establishment of the Dutch Republic","Annexation of the Netherlands by France, incorporation into the French Empire, Napoleonic Wars","World War II, Dutch resistance, liberation in 1945, post-war reconstruction",,,,,,,,,,,,,,,,,,Invasion of the Netherlands
Iranian Crisis of 1946,"Ja'far Pishevari, Ahmad Kordary, Qazi Muhammad, Mustafa Barzani, Ahmed Barzani, Azeri militias, Peshmerga infantry and cavalry","Azerbaijan, Kurdistan","Iranian victory, dissolution of separatist Azeri and Kurdish states, Soviet withdrawal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iran crisis of 1946
Italian invasion of France,"Italy, France","Alps, Menton","Italian offensive against France, limited territorial gains, armistice signed with France and Germany in June 1940",June 1940,June 10,,June 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italian invasion of France
Japanese Occupation of Attu,"Imperial Japanese Army, United States","Attu Island, Aleutian Islands, Alaska","Invasion during World War II, first invasion of the continental US since 1812, Allied victory in the Battle of Attu, end of occupation in May 1943","June 7, 1942 - May 30, 1943",,"Unknown casualties, 2,351 captured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Attu
Japanese Occupation of British Borneo,"Imperial Japanese Army, British Empire","Sarawak, Brunei, Labuan, British North Borneo","Japan's conquest of British Borneo, Japanisation of local population, establishment of provincial administrations, construction of airfields, operation of prisoner of war camps, Allied soldiers detained, foreign workers brought in, end of occupation in September 1945",December 1941 - September 1945,,"Unknown casualties, Allied prisoners of war",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of British Borneo
Japanese Occupation of Burma,"Empire of Japan, Burma Independence Army, Anti-Fascist Organisation, United Kingdom",Burma,"Occupation during World War II, formation of puppet government, establishment of Anti-Fascist Organisation, Allied forces driving out Japanese, negotiations for independence, civilian casualties during occupation",1942 - 1945,,"170,000 to 250,000 civilians died",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Burma
Japanese Occupation of Cambodia,"Japan, Vichy France, Thailand",Kingdom of Cambodia,"Japanese occupation of Cambodia during World War II, Vichy France maintaining nominal control, reduction of Cambodian territory, declaration of independence, Japanese military presence until end of war",1941 - 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Cambodia
Japanese Occupation of Guam,Imperial Japanese Army,Guam,"Renaming of Guam to Ōmiya-Jima, Battle of Guam, Chamorros subjected to Japanization policy",1941 - 1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Guam
Japanese Occupation of Hong Kong,"Empire of Japan, British Empire",Hong Kong,"Occupation of Hong Kong by Japan during World War II, surrender of British Crown colony, lasting for three years and eight months, ended with Japan's surrender","December 25, 1941 - August 15, 1945",,"Unknown casualties, significant civilian deaths",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Hong Kong
Japanese Occupation of Kiska,"Imperial Japanese Army, United States","Kiska Island, Aleutian Islands, Alaska","Occupation during World War II, first invasion of the continental US since 1812, Allied victory in the Battle of Kiska, end of occupation in July 1943","June 6, 1942 - July 28, 1943",,"Unknown casualties, 2,351 captured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Kiska
Japanese Occupation of Malaya,"Imperial Japanese Army, British Empire",Malaya,"Gradual occupation, Allied surrender at Singapore, Japanese garrison surrender, concept of a unified East Asia, formation of the Co-Prosperity Sphere, occupation until Japanese surrender in 1945","December 8, 1941 - 1945","December 8, 1941",,1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Malaya
Japanese Occupation of Nauru,"Imperial Japanese Army, Australian Administration",Nauru,"Occupation during World War II, transformation of Nauru into a stronghold, harsh regime, deportations, food shortages, surrender after Allied air and sea control",1942 - 1945,,"Unknown casualties, forced labor, deportation of indigenous population, food shortages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Nauru
Syonan Occupation,"Empire of Japan, British military forces",Singapore,"Renaming of Singapore to Syonan-to, occupation under Japanese rule, return to British colonial rule","February 15, 1942 - September 12, 1945",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of Singapore
Japanese Occupation of Andaman Islands,"Imperial Japanese Army, British Empire",Andaman and Nicobar Islands,"Occupation of the Andaman Islands by the Imperial Japanese Army during World War II, British garrison disarmed and interned, British administrative officers imprisoned, release of prisoners held in jail, establishment of collaboration with local individuals",March 1942,,Not specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of the Andaman and Nicobar Islands
Japanese Occupation of Dutch East Indies,"Japanese Empire, Dutch East Indies",Dutch East Indies,"Japanese occupation during World War II, initial welcome by Indonesians, forced labor, famine, and deaths, significant impact on Dutch colonial rule, paved the way for the Indonesian National Revolution",March 1942 - September 1945,,"Approximately 4 million deaths, including 30,000 European civilian internees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of the Dutch East Indies
Japanese Occupation of the Philippines,"Imperial Japan, United States, Philippine Resistance Forces",Commonwealth of the Philippines,"Occupation during World War II, guerrilla campaign by Philippine resistance forces, liberation by General MacArthur in 1944",1942 - 1945,,"Approximately 500,000 Filipinos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Japanese occupation of the Philippines
Jordanian Annexation of West Bank,"Jordan, Palestinian notables","West Bank, Jericho, Bethlehem, Hebron, Nablus, Eastern Jerusalem",,,,,,,,,,,,,,,,,,,,,,,,,"April 24, 1950","Recognized by UK, US, Iraq","Population of Jordan more than doubled, naturalized Palestinians granted citizenship rights and political representation",,,,,,,,,,,,,,,Jordanian annexation of the West Bank
Montenegrin Campaign,"Austro-Hungarian Empire, Montenegro",Montenegro,"Austro-Hungarian and Bulgarian occupation, part of the Serbian campaign of World War I, defeat and occupation of Montenegro by the Central Powers",January 1916,,Unknown casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montenegrin campaign
Munich Agreement,"Germany, United Kingdom, France, Italy",Sudetenland (Czechoslovakia),"Cession of Sudeten German territory to Germany, prevention of major war in Europe, annexation of Sudetenland by Germany, last territorial claim in Europe by Adolf Hitler",,,,,"September 30, 1938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Munich Agreement
New Guinea Campaign,"Empire of Japan, Australia, Netherlands","New Guinea, Papua, Netherlands East Indies","Japanese invasion, Allied counter-offensive, crushing defeat for Japan, heavy losses, disease and starvation prevalent, effective blockade by Allies, majority of Japanese deaths from non-combat causes",January 1942 - August 1945,,"42,000 total, 202,100 total killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Guinea campaign
North Vietnamese and Pathet Lao Victory,"North Vietnam, Pathet Lao, Kingdom of Laos, United States","Laos, Republic of Vietnam","Communist victory over South Vietnam, construction of Ho Chi Minh Trail, support for Pathet Lao, Tet Offensive, Vietnamization, American intervention, air and naval operations",1958-1975,1958,,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Vietnamese invasion of Laos
Occupation of Constantinople,"British, French, Italian, Greek forces",Constantinople,"Occupation of Constantinople by Allied forces, establishment of Allied military administration, formal arrangement under the Treaty of Sèvres, end of occupation with the Treaty of Lausanne, Liberation Day of Constantinople on October 6, 1923",,"November 12, 1918","~51,300 soldiers","October 6, 1923",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Constantinople
German Occupation of Czechoslovakia,"Nazi Germany, Czechoslovakia, Hungary, Poland","Sudetenland, Protectorate of Bohemia and Moravia, Zaolzie, Carpathian Ruthenia","Annexation of Sudetenland, creation of Protectorate of Bohemia and Moravia, occupation by Hungary and Poland, establishment of Slovak State, Operation Margarethe, Slovak National Uprising, end with German surrender in WWII",1938 - 1945,,"294,000 - 320,000 citizens murdered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Czechoslovakia
Occupation of Greece by Axis Powers,"Nazi Germany, Fascist Italy, Bulgaria","Mainland Greece, Crete, Aegean Islands","Axis occupation of Greece, division of territories among Axis powers, establishment of collaborationist government, destruction of Greek economy and infrastructure, significant civilian casualties",April 1941 - June 1945,April 1941,,June 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Greece
United States Occupation of Haiti,"United States, Haiti","Port-au-Prince, Haiti","Occupation initiated by U.S. Marines, establishment of control over Haiti's interests, socioeconomic instability, assassination of President Sam, U.S. business interests, formal transfer of authority, human rights violations, infrastructure projects, re-establishment of power to select minority, strained U.S.-Haiti relations, fears of slave revolt impact","July 28, 1915 - August 1, 1934",,"Unknown casualties, several thousand Haitians killed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Haiti
Allied Occupation of Iceland during World War II,"United Kingdom, Canada, United States",Iceland,"British invasion to deny Iceland to Germany, replacement of British garrison by Canadian and American forces, occupation during World War II, strategic importance of Iceland, German presence in Iceland, British naval blockade, Icelandic neutrality, invasion following German occupation of Denmark, British Royal Marines landing in Reykjavík, protest by Icelandic government, securing strategic locations, arrest of German citizens",1940 - 1941,"May 10, 1940",,"July 7, 1941",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Iceland
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Japan
Japanese Occupation of Korea,"Empire of Japan, Korean Empire",Korea,"Annexation of Korea by Japan, Japanization policies, industrialization, suppression of Korean independence movement, division of Korea into North and South after World War II",1910 - 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Korea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Luxembourg by the Duchy of Burgundy,Occupation of Luxembourg by the Spanish Empire,Occupation of Luxembourg by the French Republic,Occupation of Luxembourg by the German Empire,Occupation of Luxembourg by Nazi Germany,Liberation and subsequent occupation of Luxembourg by the Allied Powers,,,,,,,,,Occupation of Luxembourg
United States Occupation of Nicaragua,United States,Nicaragua,"American military intervention to prevent other nations from building a Nicaraguan Canal, quasi-protectorate status under the 1916 Bryan–Chamorro Treaty, ended by President Herbert Hoover in 1933",1912 - 1933,1912,,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Nicaragua
Greek Occupation of Smyrna,"Greece, Ottoman Empire, Allied Powers","Smyrna, Anatolia","Greek military occupation authorized by Allied Powers to protect ethnic Greek population, led to ethnic violence, rise in Turkish nationalism, high commissioner Stergiadis opposed discrimination, Greek capture of Smyrna, Turkish advance led to end of occupation, Great Fire of Smyrna, estimated 10,000-100,000 Greek and Armenian deaths, Treaty of Lausanne signed ending war","May 15, 1919 - September 9, 1922","May 15, 1919",,"September 9, 1922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupation of Smyrna
