Victim,Date of Abduction,Location,Outcome,Perpetrator,Duration of Captivity,Suspects/Individuals Involved,Ransom Demand,Charges,Sentencing,Michelle Knight,Amanda Berry,"Georgina ""Gina"" DeJesus",Trial Details,Verdict,Additional Individuals Involved,Nationality,Occupation,Legislative Response,Age,Victims,Locations,Duration of Killing Spree,Law Enforcement Agencies Involved,Confession,Conviction,Parole Release,Reopening of Murder Cases,Witnesses,Method of Escape,Recognition Received,Individuals Involved,Criminal,Accomplices/Individuals Involved,Suspect Age,Legal Proceedings,Additional Information,Possible Spellings,Meaning based on Hanja,Notable Individuals,Newton County John Does (Adam),Newton County John Does (Brad),Lori Lee Farmer,Doris Denise Milner,Michele Heather Guse,Perpetrator(s),Other Individuals Involved,Jane Nartare Beaumont,Arnna Kathleen Beaumont,Grant Ellis Beaumont,trigger
Amy Mihaljevic,"October 27, 1989","Bay Village, Ohio","Found murdered after being kidnapped, body discovered in rural Ashland County, Ohio",Unidentified,,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amy Mihaljevic
Anne Sluti,"April 6, 2001","Kearney, Nebraska","Abducted and held for six days, later escaped, perpetrator sentenced to life in prison",Anthony Steven Wright (Tony Zappa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anne Sluti
Anthonette Christine Cayedito,"April 6, 1986","Gallup, New Mexico","Disappeared from her home in Gallup, New Mexico, believed to be deceased but officially missing",Unidentified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthonette Cayedito
Anton JieSamFoek,September 1973,Santiago de Chile,"Kidnapped, tortured, and imprisoned in Santiago de Chile in September 1973, later released",Pinochet regime,N/A,Pinochet regime,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anton Foek
Antonio Cermeño,"February 24, 2014",East Caracas,Found shot to death at kilometer 78 of the Gran Mariscal de Ayacucho highway,Unidentified,1 day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonio Cerme帽o
April Sue-Lyn Jones,"October 1, 2012","Machynlleth, Powys","Abducted and murdered at the age of five, perpetrator found guilty and sentenced to life imprisonment with a whole life order",Mark Bridger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April Jones
Argentino del Valle Larrabure,2022,"Villa María, Córdoba","Died in captivity, circumstances disputed between suicide and murder by ERP members",People's Revolutionary Army (ERP),372 days,ERP members,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argentino del Valle Larrabure
Arjan Erkel,"August 12, 2002","Makhachkala, Dagestan","Released on April 11, 2004 after being held captive by heavily armed Muslim rebels in Dagestan",Three gunmen,"1 year, 7 months, 30 days","Russian FSB, Dagestani police",1 million euros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arjan Erkel
Barbara Barnes,,,,,,,,,,,,,,,,English,Actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbara Barnes
Barbara Jane Mackle,"December 17, 1968","Decatur, Georgia","Found buried in a fiberglass-reinforced box with ransom demand of $500,000, rescued unharmed","Gary Stephen Krist, Ruth Eisemann-Schier",83 hours,"Gary Stephen Krist, Ruth Eisemann-Schier","$500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbara Jane Mackle
Bardhyl Çaushi,During NATO bombing of Yugoslavia,Serbia,"Abducted during the NATO bombing of Yugoslavia, remains found in 2005, reburied with presidential honors in Kosovo",Yugoslav forces,N/A,Yugoslav forces,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bardhyl 脟aushi
Benjamín Galván Gómez,N/A,"Nuevo Laredo, Tamaulipas","Kidnapped and killed five months after his mayoral term, allegedly by members of Los Zetas",Alleged members of Los Zetas,N/A,Alleged members of Los Zetas,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benjam铆n Galv谩n G贸mez
Betty Lalam,1994,"Koro Sub-county, Amuru district, Uganda","Abducted at 14, escaped in 1995 during an attack on Atiak Trading Centre, now a director for Gulu War Affected Training Center",Lord's Resistance Army,1 year (approx.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Betty Lalam
Bobi Sourander,1973,"Santiago, Chile","Imprisoned after the 1973 Chilean coup d'état, released after two weeks, expelled from Chile",Chilean authorities,2 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bobi Sourander
Brooke Marie Bennett,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooke Bennett
Carlie Jane Brucia,"February 1, 2004","Sarasota, Florida","Sexually battered and murdered after being kidnapped from a car wash, perpetrator convicted",Joseph P. Smith,,,,,,,,,,,,,,Carlie's Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlie Brucia
Carlina Renae White,"August 4, 1987","Harlem Hospital Center, New York City",Reunited with biological parents 23 years after being abducted as an infant from the hospital,Ann Pettway,23 years,Ann Pettway,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlina White
Cecilia Zhang,"October 20, 2003","Toronto, Canada","Found deceased after six months, Min Chen arrested and pleaded guilty to second-degree murder",Min Chen,6 months,Min Chen,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cecilia Zhang
Celso Augusto Daniel,"January 18, 2002","São Paulo, Brazil","Kidnapped and assassinated after leaving a restaurant, motives and perpetrators disputed",Unidentified,N/A,Sérgio Gomes da Silva (Sombra),N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celso Daniel
Chadrel Rinpoche,"May 14, 1995","Chengdu Airport, China","Disappeared upon return from Beijing, held under house arrest until reported death in 2011",Chinese government,N/A,"Gyayag Rinpoche, Champa Chungla, Gyara Tsering Samdrup",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chadrel Rinpoche
Channon Gail Christian,"January 6, 2007","Knoxville, Tennessee","Kidnapped, raped, tortured, and murdered. Perpetrators arrested, charged, and convicted. Davidson sentenced to death, Cobbins and Thomas sentenced to life in prison, Coleman sentenced to 53 years, Boyd sentenced to 18 years.","Letalvis Darnell Cobbins, Lemaricus Devall Davidson, George Geovonni Thomas, Vanessa Lynn Coleman, Eric DeWayne Boyd",N/A,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channon Christian and Christopher Newsom
Cherish Lily Perrywinkle,"June 21, 2013","Jacksonville, Florida","Found murdered after abduction, perpetrator convicted and sentenced to death",Donald James Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherish Perrywinkle
"Fr. Teresito ""Chito"" Suganob",May 2017,Marawi,"Taken hostage during the Battle of Marawi, national public attention, rescued later",ISIL-linked Maute group militants,N/A,Maute group militants,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chito Soganub
Richard Stetson,"August 22, 1982","Portland, Maine",Found murdered after being abducted while jogging on Back Cove Trail,John Joseph Joubert IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Christopher Walden
Claudia Melchers,"September 12, 2005",Amsterdam,"Released unharmed at Arnhem train station, reason for release unclear, ransom demand of 660 pounds of cocaine",Three armed South-American men,48 hours,"Lorenzo Moeniralam, Izaan M., others",660 pounds of cocaine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claudia Melchers
Cleo Smith,"October 16, 2021","Gascoyne region, Western Australia","Found alive and well after being abducted, received widespread news coverage and social media reaction",36-year-old man from Carnarvon,18 days,36-year-old man from Carnarvon,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleo Smith
Colette Aram,"October 30, 1983","Keyworth, Nottinghamshire","Abducted, raped, and strangled while walking to boyfriend's house, perpetrator sentenced to life imprisonment",Paul Stewart Hutchinson,N/A,Paul Stewart Hutchinson,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colette Aram
Colleen J. Stan,1977,"Red Bluff, California","Kidnapped and held as a sex slave for over seven years, rescued in 1984",Cameron and Janice Hooker,Over 7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colleen Stan
Cory Quirino,N/A,N/A,"Abducted during an out-of-town shoot for Citiline, incident chronicled in book and movie",Bandits,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cory Quirino
Daniel James Morcombe,"December 7, 2003","Sunshine Coast, Queensland","Abducted at age 13, found murdered, perpetrator sentenced to life imprisonment",Brett Peter Cowan,N/A,Brett Peter Cowan,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daniel Morcombe
Danielle van Dam,"February 1-2, 2002","Sabre Springs, California","Found murdered after disappearance, suspect arrested, convicted of kidnapping and murder",David Alan Westerfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danielle van Dam
Daniel Goldman,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Goldman
Richard Stetson,"August 22, 1982","Portland, Maine",Found murdered after being abducted while jogging on Back Cove Trail,John Joseph Joubert IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danny Joe Eberle
Diana Consuelo Turbay Quintero,"August 30, 1990","Copacabana, Antioquia",Killed during botched rescue attempt by Colombia National Police,Medellín Cartel,148 days,"Pablo Escobar, Los Priscos, Spanish priest alias El Cura Pérez, others",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diana Turbay
Doina Bumbea,1978,North Korea,"Abducted to North Korea, forcibly married to an American defector, died in 1997 of lung cancer",James Joseph Dresnok,N/A,James Joseph Dresnok,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Doina Bumbea
Donna Eastwood,2014,"Dartford, Kent, England","Stabbed to death by Joshua Caird in Dartford, Kent, England, body found in burnt out car",Joshua Caird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donna Eastwood
Dorothy Jane Scott,"May 28, 1980","Anaheim, California","Disappeared after receiving threatening calls, partial remains found in August 1984",Unidentified,,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorothy Jane Scott
Iso Lero,"September 23, 1992","Belgrade, Serbia",Disappeared after being beaten up near the Beograđanka building by casino security,Members of Arkan's Tigers paramilitary,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D啪amba
Eduardo Romuáldez y Ziálcita,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Romualdez
Edward John Bartels,N/A,N/A,N/A,Unidentified,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edward Bartels
Eklutna Annie,1979,"Eklutna, Anchorage, AK","Found murdered with a single stab wound to the back, first victim of serial killer Hansen",Robert Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eklutna Annie
Elhanan Tannenbaum,2000,Lebanon,Released in a prisoner exchange after being held captive for over three years by Hezbollah,Hezbollah,Over 3 years,"Kais Obeid, Kaid Biro",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elhanan Tannenbaum
Elisabeth Fritzl,"August 28, 1984","Amstetten, Lower Austria","Held captive by her father in a concealed area in the family home, gave birth to seven children, perpetrator sentenced to life imprisonment",Josef Fritzl,24 years,"Rosemarie Fritzl, children",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elisabeth Fritzl
Elizabeth Smart,"June 5, 2002","Salt Lake City, Utah",Rescued by police after being held captive for nine months by Mitchell and Wanda Barzee,Brian David Mitchell,9 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elizabeth Smart
,,,,Faryion Edward Wardrip,,,,,,,,,,,,,,,,"Five women, all white, aged 20-25, <120 lb, <5'6""","Wichita Falls, surrounding counties, Fort Worth",End of 1984 - middle of 1986,"Wichita Falls PD, Wichita County SD, Archer County SD",Confessed to Tina Kimbrew's murder,Sentenced to 35 years,Released on parole in December 1997,Wichita County DA's Office reopened cases in 1999,,,,,,,,,,,,,,,,,,,,,,,Ellen Blau
Enrique Mansilla,N/A,Liberia,"Held as ""exchange currency"" during civil war",N/A,5 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enrique Mansilla
Enzo G. Baldoni,"August 19, 2004","Najaf, Iraq","Kidnapped and killed in captivity, captured on video by captors, driver-interpreter killed","""Islamic Army in Iraq""",N/A,"""Islamic Army in Iraq""",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enzo Baldoni
Erica Pratt,"July 22, 2002",Philadelphia,,,1 day,,,,,,,,,,,,,,,,,,,,,,,Rani Byrd,"Gnawing tape on wrists, smashing window","Time's Person of the Week, National Courage Award",,,,,,,,,,,,,,,,,,,,Erica Pratt
Eston Kohver,"September 5, 2014",Estonian side of the border,"Detained by Russian FSB, convicted of espionage, sentenced to 15 years, returned to Estonia in a prisoner exchange",Russian FSB,N/A,Russian FSB,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eston Kohver
Etan Kalil Patz,"May 25, 1979","SoHo, Manhattan","Abducted and murdered on his way to school bus stop, perpetrator sentenced to 25-years-to-life in prison",Pedro Hernandez,N/A,Pedro Hernandez,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Etan Patz
Ezzat Ghoniem,"March 1, 2018",Egypt,"Interrogated for three days before detention as part of a ""human rights terrorism"" plot, detained in Tora Prison",Egyptian state,3 days,Egyptian authorities,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ezzat Ghoniem
Faddoul Brothers,"February 23, 2006",Caracas,"Bodies found on April 4, 2006, mass protests in Venezuela, Bs. 700 million ransom demand",Unidentified,N/A,Unidentified kidnappers,Bs. 700 million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Faddoul Brothers
Franca Viola,"December 26, 1965","Alcamo, Sicily","Kidnapped, held hostage for 8 days, repeatedly raped, refused ""rehabilitating marriage""",Filippo Melodia and accomplices,8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franca Viola
Frauke Liebs,"June 20, 2006","Paderborn, Germany","Disappeared under mysterious circumstances, last seen at a pub, unsolved case",Unidentified,N/A,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frauke Liebs
Gerrit Jan Heijn,"September 9, 1987","Bloemendaal, Netherlands","Found murdered after being kidnapped, ransom demanded, perpetrator caught and imprisoned",Ferdi Elsas,N/A,Ferdi Elsas,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gerrit Jan Heijn
,,,,,,,,,,"Held captive in Castro's home until 2013, rescued after Amanda Berry's escape","Successfully escaped in 2013 with her daughter, contacted police","Rescued in 2013 along with Michelle Knight, Castro arrested and charged with multiple crimes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gina DeJesus
Graeme Thorne,"July 7, 1960","Sydney, Australia","Kidnapped and murdered for lottery winnings, perpetrator captured and convicted",Stephen Bradley,,Stephen Bradley,Part of lottery winnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Graeme Thorne
Guillermo Patricio Kelly,"August 24, 1983",Argentina,Kidnapped and released a few hours later.,Aníbal Gordon,A few hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guillermo Patricio Kelly
Hailey Owens,"February 18, 2014","Springfield, Missouri","Abducted, sexually assaulted, and murdered by Craig Wood, leading to national attention and the passage of HAILEY'S Law",Craig Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hailey Owens
Hamza Ali Al-Khateeb,"April 29, 2011",Daraa,Found dead with severe injuries after being detained during a protest in Daraa,Syrian government,N/A,Syrian government,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamza Ali Al-Khateeb
"Hans ""Hanns"" Martin Schleyer","September 5, 1977",Germany,"Abducted and subsequently executed, driver and police escort also killed in ambush",Red Army Faction,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hanns Martin Schleyer
Joannes Rafaël Maria van de Kimmenade,"May 3, 1999","Helmond, Netherlands","Dropped off in a nature preserve after 48 hours, no reason given for release",At least four armed Arab men,48 hours,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hans van de Kimmenade
Holly Lynn Bobo,"April 13, 2011","Darden, Tennessee","Partial remains found in 2014, ruled a homicide, six men arrested, three prosecuted",Multiple,N/A,,,"Especially aggravated kidnapping, first-degree murder, rape",,,,,,,,,,,,,,,,,,,,,,,"John Dylan Adams, Zach Adams, Jason Autry, others",,,,,,,,,,,,,,,,,,,Holly Bobo
Humberto Álvarez Machaín,February 1985,"Guadalajara, Mexico",Acquitted of charges related to aiding in the torture and killing of DEA agent Enrique Camarena Salazar,Bounty hunters,N/A,"US government, DEA agents, others",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Humberto 脕lvarez Macha铆n
Hüseyin Aygün,"August 12, 2012",Tunceli,"Abducted by PKK militants, freed unharmed on August 14, 2012",PKK militants,2 days,PKK militants,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H眉seyin Ayg眉n
Idris Khattak,"November 13, 2019",Swabi motorway interchange,"Sentenced to 14 years in prison for espionage, abducted in Khyber Pakhtunkhwa, missing since 2019",Four individuals,N/A,Four individuals,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Idris Khattak
Ihab el-Sherif,"July 3, 2005","Baghdad, Iraq","Abducted and murdered by al-Qaeda in Iraq, video released confirming death",al-Qaeda in Iraq,N/A,"Abu Musab al-Zarqawi, Khamis Farhan Khalaf, al-Fahdawi",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ihab el-Sherif
John Reginald Murphy,"February 20, 1974","Atlanta, Georgia","Freed after $700,000 ransom paid by Atlanta Constitution, motive for kidnapping unknown",William A. H. Williams,2 days,William A. H. Williams,"$700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J. Reginald Murphy
Jacob Erwin Wetterling,"October 22, 1989","St. Joseph, Minnesota","Abducted and murdered at the age of 11, remains found in Paynesville after nearly 27 years",Danny Heinrich,N/A,"Danny Heinrich, Jared Scheierl",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Wetterling
Jakub Fiszman,"October 1, 1996","Eschborn, Germany","Found murdered in Taunus mountains, ransom payment of four million Deutsche Mark made",Rainer and Sven Körppen,N/A,"Rainer Körppen, Sven Körppen",Four million Deutsche Mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakub Fiszman
James Lee Dozier,"December 17, 1981","Verona, Italy","Rescued by NOCS after being held captive, only American flag officer captured by a non-state actor",Italian Red Brigades,42 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Lee Dozier
Jaycee Lee Dugard,"June 10, 1991","Meyers, California, United States","Found after 18 years, kept in concealed tents, sheds, and lean-tos, gave birth to two daughters",Phillip Garrido,Over 18 years,"Phillip Garrido, Nancy Garrido",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaycee Lee Dugard
Jayme Lynn Closs,"October 15, 2018","Barron, Wisconsin","Escaped after 88 days of captivity in rural Gordon, Wisconsin, parents fatally shot",Jake Thomas Patterson,88 days,,,"Two counts of first-degree intentional homicide, one count of kidnapping",Two consecutive life sentences without parole plus 40 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jayme Closs
Jersey Dianne Bridgeman,"November, 2012","Bentonville, Arkansas","Found murdered after being abducted, raped, and suffocated","David and Jana Bridgeman, Zachary Holly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jersey Bridgeman
Jessica Lyn Keen,"March 4, 1991","Foster Chapel Cemetery, Ohio",Found raped and beaten at the back of the cemetery after escaping abductors,Unidentified,2 days,"Boyfriend, Unidentified Abductors",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Keen
Jessica Marie Lunsford,"February 24, 2005","Homosassa, Florida","Abducted, raped, and murdered by John Couey, leading to the introduction of Jessica's Law",John Couey,Weekend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Lunsford
Jessica Ridgeway,"October 5, 2012","Westminster, Colorado","Kidnapped and murdered at the age of 10, dismembered body found five days later, Sigg sentenced to life imprisonment in November 2013",Austin Sigg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jessica Ridgeway
Jestina Mukoko,"December 3, 2008","Harare, Zimbabwe","Abducted from her home, interrogated about her NGO, beaten, threatened, prominent figures demanded her release",Suspected state agents,3 days,"Dumisani Muleya, Gordon Brown, Condoleezza Rice, ""Group of Elders""",N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jestina Mukoko
Jesús Emilio Jaramillo Monsalve,N/A,N/A,"Kidnapped, tortured, and assassinated for opposing E.L.N. atrocities, beatified by Pope Francis in 2017",E.L.N.,N/A,E.L.N.,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jes煤s Emilio Jaramillo Monsalve
"Samuel James ""Jimmy"" Ryce","September 11, 1995","Redland, Florida, United States","Abducted, raped, and killed by Juan Carlos Chavez, perpetrator executed in 2014",Juan Carlos Chavez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jimmy Ryce
John Ernest Irving CM,1982,N/A,"Found unharmed after being kidnapped, incident led to a shift in personality and increased focus on conservation efforts",Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John E. Irving
John F. Grundhofer,November 1990,"Minneapolis, USA",Escaped after being bound and stuffed in a sleeping bag in a parking garage,Unidentified,N/A,Unidentified,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John F. Grundhofer
