Location,Bridge Name,Reason for Collapse,Date of Collapse,Number of Fatalities,Construction Period,Notable Incident,Designer,Notable Incidents,Historical Significance,Historical Background,Replacement Process,Purpose,Opening Date,Companies Involved,Legal Actions Taken,Length,Notable Features,Investigation Findings,Number of Lanes,Renovation Details,Designers,Individuals Involved,Oldest Arch Bridge,Ancient Timber Bridges,Collapse Date,Replacement Bridge,Total Length,Construction Details,Type of Bridge,Reason for Closure,Significance,Inauguration Date,Span Length,Population,Current Status,Casualties,Construction Cost,Previous Bridge,Reconstruction,Main Span Length,Purpose of the Bridge,Funding Allocation,Ramp Openings,Construction Year,Type of Construction,Historic Designation,Reason for Destruction,Initial Bridge Construction,Neolithic Bridge Designs,Etymology of the Word,Simplest Bridge Types,Oldest Timber Bridge,Roman Empire's Contribution,Town Name,Landmarks,Historical Residents,Notable Associations,Main Roadway,Managing Authority,Width,Clearance,Construction Start Date,Delay Reason,Supervising Consultant,Contractors,Funding Sources,Insurance Coverage,Construction Contracts,Specific Incident,Renaming,Notable Consultants,Design Influence,Design Features,Number of Injuries,Vehicles Crushed,Entities Involved,Design Error,Construction Material,Height of Towers,Clearance to Water,Construction Companies,Proposed Second Bridge,Design Type,Length of Central Section,Number of Spans,Height of Inclined Pylon,Coordinates,Reason for Previous Failure,Construction History,Previous Bridges,Reason for Replacement,Opening Dates,Closure of Old Spans,Approaches Completion Date,Original Twin Span Opening,Original Twin Span Details,Debris Utilization,Official Naming Ceremony,Owner,Toll Amount,Unique Features,Date of Fire Incident,Reason for Fire Incident,Height,Restoration Details,Construction Company,Original Bridge Details,Original Bridge Length,Original Construction Period,Length of the Bridge,Original Opening Date,Renaming Date,Closure Date of Original Bridge,Opening Date of Current Bridge,Cost,Tolls,Length of Longer Bridge,Southern Terminus,Northern Terminus,Guinness World Records,Number of Concrete Pilings,Features,Design,Maximum Authorized Speed,Official Name,Borough Name,Establishment Year,Incorporation Date,Incorporation Details,Native American History,Origin of Name,Date of Capture,Capturing Forces,Reason for Capture,Post-War Status,Freeways Involved,Reason for 1897 Collapse,Impact of Collapse,Subsequent Improvements,Replacement Span Name,Replacement Date,Player Name,Current Club,Previous Club,Debut Date,Contract Renewal Date,Loan Cancellation Date,Release Date,Nationality,Descent,Closure Date,Construction Purpose,Distance from Juba,Distance from Gulu,Population Estimate,Recent Developments,Bridge Type,Definition,Importance,Sustainability,Types,Highway Name,Scenic Designation,Responsible Parties,Ongoing Construction,Date of Collapses,Length of Bridge,Earliest Bridge Designs,Origin of the Word Bridge,Roman Empire Bridge,Initial Construction,Neolithic Innovations,"Etymology of ""Bridge""",Evolution of Bridge Design,Roman Empire Contribution,Key Information,Value,Construction Date,Responsible Party,Reconstruction Efforts,Clearance for Public Use,Closure Period,Repair and Reopening,Additional Details,Subsequent Actions,Toll Information,Popular Activities,Restrictions,Water Depth,Wedding Availability,Ceremonies,Original Bridge,Nickname,Impact on the Town,Height Above Water,Daily Traffic Volume,Tower Heights,Weight Limits,Detailed Analysis,Meaning of Name,Notable Events,Architect,Notable Details,trigger
"Menai Strait, between Anglesey and mainland Wales",Britannia Bridge,Extensive damage due to a fire in May 1970,,,"Foundation stone laid on April 10, 1846, completed on March 5, 1850",,Robert Stephenson,Fire in May 1970 caused extensive damage,"Critical link of the Chester and Holyhead Railway, Grade II listed status, significant impact on rail travel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Bridge
"River Irwell, Broughton and Pendleton, Salford, Greater Manchester, England",Broughton Suspension Bridge,Mechanical resonance induced by troops marching in step,,Not specified in the provided text,"Built in 1826, collapsed in 1831",Collapse on 12 April 1831 due to resonance from marching troops,Attributed to Samuel Brown or Thomas Cheek Hewes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broughton Suspension Bridge
"West London, London Borough of Hillingdon, Middlesex, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,564 (recorded in the 2011 census)",,,,,,,,,,,,,,,,,,,,Hayes,"St. Mary's Parish Church, Barra Hall, Adam and Eve public house","William Byrd, George Orwell","EMI, The Beatles, Heinz, United Biscuits, Fujitsu, Rackspace U.K.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bulls Bridge
"Tapti River, Athwa and Adajan areas, Surat, Gujarat, India","Cable Bridge, Surat or Pandit Dindayal Upadhyay Bridge",Concrete slab collapse during construction,10 June 2014,"10 fatalities, 6 injuries",,,,,"Named after Deendayal Upadhyaya, proposed in 2006, construction started in 2010",,,,,"Gammon India, Rachana Construction, Spectrum Techno Consultant Private Limited, Gujarat Engineering Research Institution",Not mentioned in the provided text,,,Investigation by Gujarat Engineering Research Institution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cable Bridge Surat
"Italian state highway SS330 near the town of Aulla, Italy",Caprigliola Bridge,"Unknown, potential small event leading to structural instability",8 April 2020,"No fatalities, minor injuries to two truck drivers",,"Collapse caused minor injuries, gas pipeline damage isolated by Italgas",Attilio Muggia,,,"Designed by Attilio Muggia in 1901, pioneer of reinforced concrete in Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caprigliola bridge collapse
"Chesapeake City, Maryland, United States",Chesapeake City Bridge,Destruction of an older vertical lift drawbridge in 1942,,Not mentioned in the provided text,1949,,,Tanker Franz Klasen striking the older vertical lift drawbridge in 1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chesapeake City Bridge
"New Orleans, Louisiana, United States",Claiborne Avenue Bridge,Barge collision with a support pier causing a section to collapse,"May 28, 1993","1 fatality, 2 severe injuries",Not specified,Barge collision in 1993 leading to a section collapse,,,,,,,,,,,,,"Four vehicular lanes, two in each direction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Claiborne Avenue, also Louisiana Highway 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Claiborne Avenue Bridge
"Pembrokeshire, Wales",Cleddau Bridge,Errors in box girder design during construction,2 June 1970,"4 fatalities, 5 injuries",1968-1975,,,"Collapse of a cantilever during construction, halting work until 1972",,,,,,,,,,,,,"Sir Alexander Gibb & Partners, Freeman Fox and Partners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pembrokeshire County Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleddau Bridge
"Oakland, California, United States",Cypress Street Viaduct,Partial collapse during the 1989 Loma Prieta earthquake,"October 17, 1989",42 fatalities,1949-1957,"Collapse resulted in 42 fatalities, subsequent demolition of the structure",,,,,,,"June 11, 1957",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cypress Street Viaduct
"Cần Thơ, southern Vietnam",Cần Thơ Bridge,,,,,,,,,,,Integration of Mekong Delta into Vietnam's road network,,,,2.75 kilometers,,,"6 lanes (4 for automobiles, 2 for bicycles/motorbikes)",,,,,,,,,,,,,"April 24, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,23 meters,39 meters,"September 25, 2004",Partial collapse in 2007,Nippon Koei-Chodai,"Taisei Corporation, Kajima Construction, Nippon Steel","Japan International Cooperation Agency, Japan Bank of International Cooperation, Vietnamese government","Petrolimex Joint Stock Insurance Company, PetroVietnam Insurance Company",Three contracts for different sections of the bridge,"Approach ramp collapse on September 26, 2007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C岷 Th啤 Bridge
"Rhine at Deutz in Cologne, Germany",Deutz Suspension Bridge,Collapsed during repair works,,,1913-1915,,,,,,,,,,,,,,,,,,,,28 February 1945,World's first steel box girder bridge in 1948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Named Hindenburg Bridge in 1935,"H. D. Robinson, Fritz Leonhardt, Gerd Lohmer","Inspired American bridge engineers, influenced Three Sisters bridges in Pittsburgh and Kiyosu Bridge in Tokyo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deutz Suspension Bridge
"Pawtucket, Rhode Island, United States",Division Street Bridge,,,,1875-1877,,,None mentioned in the provided text,"Symbolic icon of unity between neighborhoods, listed on National Register of Historic Places",,,,,,,,,,,,,,,,,,Approximately 450 feet,,,,,,,,"Considered architecturally and historically significant, in need of repairs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nine-span stone and brick bridge, segmented arches, granite construction, iron walkways",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Division Street Bridge
"St. Petersburg, Russia",Egyptian Bridge,Original bridge collapsed on 20 January 1905 when a cavalry squadron was marching across it,,,"1825-1826 (original bridge), completed in 1955 (replacement structure)",,,,"Monument to early 19th-century Egyptomania, incorporated sphinxes and other details from the 19th-century bridge",,Replacement structure completed in 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Egyptian Bridge
"Eschede, Celle district, Lower Saxony, Germany",Road bridge,High-speed train derailment due to a single fatigue crack in a wheel,3 June 1998,"101 fatalities, 88 injuries",,"Worst rail disaster in the history of Germany, worst high-speed-rail disaster worldwide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eschede train disaster
"Miami, Florida, United States",Florida International University pedestrian bridge,Miscalculation of resistance to sliding in the connection between the walkway surface and the truss,"March 15, 2018",6 fatalities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 injuries,8 vehicles,"National Transportation Safety Board, FIGG Bridge Engineers",Miscalculation of resistance to sliding in the connection between the walkway surface and the truss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida International University pedestrian bridge collapse
"Tablazo Strait outlet of Lake Maracaibo, western Venezuela",General Rafael Urdaneta Bridge,,,,,,Riccardo Morandi,"Partial collapse in April 1964 due to a collision with the tanker Esso Maracaibo, resulting in seven deaths",,,,Vehicle transportation,24 August 1962,,,8.678 kilometers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reinforced and prestressed concrete,92 meters,46 meters,"Grün & Bilfinger, Julius Berger, Bauboag AG, Philipp Holzmann AG, Precomprimido C.A., Wayss & Freytag, K Ingeniería","Proposed since 1982, studies conducted since 2000, estimated cost of US$440m, to be privately financed via tolls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Rafael Urdaneta Bridge
"Johannesburg, South Africa",Grayston Pedestrian and Cycle Bridge,,,,,"Collapse of temporary works over M1 motorway on October 14, 2015",,,,,,,,,,,,,,,,,,,,,,"Little permanent works executed, alternative construction method adopted post-collapse",,,,,,,,"Two people killed, 19 injured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cantilever spar cable-stayed bridge,176 meters,Three,70 meters,26°6′26.85″S 28°4′35.14″E﻿ / ﻿26.1074583°S 28.0764278°E﻿ / -26.1074583; 28.0764278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grayston Pedestrian and Cycle Bridge
"Hudson River, New York, United States",Green Island Bridge,,,,Not specified,,,Collapse of the lift span pier due to flooding in 1977,,"Original bridge built in 1832, replaced by a steel railroad bridge in 1884, converted for automobile traffic in 1963",,,"September 12, 1981",,,,,,,,,,,,,,,,Vertical lift bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flood-induced scour causing the collapse of the lift span pier in 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Green Island Bridge
"Pittsburgh, Pennsylvania, United States",Greenfield Bridge,"Serious structural problems leading to collapse, no injuries reported",,,,,,"Collapse occurred at about 2:40 on a Saturday afternoon, no injuries reported",,,,,,,,,,,,,,,,,"June 18, 1921",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Original wooden bridge built in 1891, replaced by concrete arch bridge in 1923, demolished in 2015","Wooden deck truss bridge (1891), concrete arch bridge (1923)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenfield Bridge
"Ottawa, Ontario, Canada",Heron Road Workers Memorial Bridge,"Bridge collapse during construction, worst construction accident in Ottawa and Ontario history",1966 (specific date needed),"9 fatalities, over 60 injuries",1964-1967,,,,Renamed in 2016 to commemorate the victims of the accident,,,,,"Beaver Construction, O.J. Gaffney Ltd, M.M. Dillon & Company Ltd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heron Road Bridge
