Aircraft,Event,Date,Location,Casualties,Cause of Crash,Registration,Route,Engine,Passenger Capacity,Design Features,Intended Market,Establishment of Georgian Air Force,First Combat Flight,Abolishment of Georgian Air Force,Re-establishment of Georgian Air Force,Modernization Efforts under Irakli Garibashvili,Establishment Date,Current Rank,Primary Mission,Wars with Pakistan,Major Operations,UN Peacekeeping Missions,Personnel Count (July 2017),Role of President,Chief of the Air Staff,Highest Rank Held,Possible Causes of Crash,trigger
Ilyushin Il-18B,Aeroflot Flight 6551,"May 11, 1973","Semipalatinsk, Kazakh SSR",63 fatalities,"Controlled flight into terrain, communication failure",CCCP-75687,Baku to Novosibirsk via Tashkent,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 6551
Ilyushin Il-18V,Aeroflot Flight 721,"September 2, 1964","Yuzhno-Sakhalinsk, Russia",87 fatalities,Controlled flight into terrain due to pilot error,CCCP-75531,Moscow to Yuzhno-Sakhalinsk,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 721
Tupolev Tu-154B-2,Aeroflot Flight 7425,"July 10, 1985","Uchkuduk, Uzbek SSR, Soviet Union",200 occupants,"Crew fatigue, stall, flat spin, crash",CCCP-85311,Karshi–Ufa–Leningrad,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 7425
Tupolev Tu-134A,Aeroflot Flight 7841,"February 1, 1985","Near Minsk, USSR","58 fatalities, 22 survivors",Engine failure due to ice ingestion,CCCP-65910,Minsk to Leningrad,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 7841
Yakovlev Yak-42,Aeroflot Flight 8641,"June 28, 1982","South of Mozyr, Belorussian SSR",132 fatalities,Failure of jackscrew controlling horizontal stabilizer due to design flaw,CCCP-42529,Leningrad to Kyiv,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 8641
Tupolev Tu-134,Aeroflot Flight 892,"December 12, 1986","Prague, Czechoslovakia",72 fatalities,"Pilot error, confusion with runway lights",Unknown,Minsk to East Berlin,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 892
Tu-104A,Aeroflot Flight 902,"June 30, 1962",28 km east of Krasnoyarsk,"76 passengers, 8 crew","Stall and loss of spatial orientation in cloud, possible missile impact",Unknown,"Khabarovsk to Moscow via Irkutsk, Omsk",,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 902
Tupolev Tu-104B,Aeroflot Flight 964,"October 13, 1973","Moscow, Russia",122 fatalities,"Crash during approach to Moscow, deadliest involving a Tupolev Tu-104",CCCP-42486,Kutaisi to Moscow,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight 964
Antonov An-24B,Aeroflot Flight A-13,"August 18, 1973","Baku, Azerbaijan",56 fatalities,"Engine failure, collision with oil rig cable",CCCP-46435,"Baku, Azerbaijan to Fort-Shevchenko, Kazakhstan",,,,,,,,,,,,,,,,,,,,,Aeroflot Flight A-13
Antonov An-24B,Aeroflot Flight N-826,"August 3, 1969","Near Dnipropetrovsk, Ukraine",55 fatalities,"In-flight propeller failure, loss of control, crash due to mechanical fatigue and corrosion",CCCP-46248,"Voroshilovgrad to Lviv via Dnipropetrovsk, Vinnytsia",,,,,,,,,,,,,,,,,,,,,Aeroflot Flight H-826
Ilyushin Il-18,Aeroflot Flight U-45,"February 6, 1970","Samarkand, Uzbekistan",92 fatalities,Below minimum obstacle clearance altitude during approach,Unknown,Tashkent to Samarkand,,,,,,,,,,,,,,,,,,,,,Aeroflot Flight U-45
Boeing 737-500,Aeroflot Flight 821,"September 14, 2008","Perm, Russia","82 passengers, 6 crew","Spatial disorientation, lack of rest, poor crew resource management, alcohol consumption",VP-BKO,Moscow to Perm,,,,,,,,,,,,,,,,,,,,,Aeroflot-Nord Flight 821
Comet 4,Aerolíneas Argentinas Flight 322,"November 23, 1961","Viracopos-Campinas International Airport, Brazil","52 fatalities, 40 passengers","Loss of altitude, collision with trees, crash, and explosion due to flight instruction error",LV-AHR,Buenos Aires–São Paulo–Port of Spain–New York City,,,,,,,,,,,,,,,,,,,,,Aerol铆neas Argentinas Flight 322
Douglas DC-6,Aerolíneas Argentinas Flight 644,"July 19, 1961","12 km west of Pardo, Buenos Aires, Argentina","7 crew, 60 passengers","Severe turbulence during climb out, disintegration of the plane due to excessive loads in turbulence, pilot and dispatcher error",LV-ADW,Ministro Pistarini International Airport to General Enrique Mosconi International Airport,,,,,,,,,,,,,,,,,,,,,Aerol铆neas Argentinas Flight 644
Boeing 757,Aeroperú Flight 603,"October 2, 1996","Near Santiago, Chile",70 fatalities,"Pitot-static system ports covered, incorrect airspeed and altitude display",Unknown,Miami to Santiago with stopovers in Quito and Lima,,,,,,,,,,,,,,,,,,,,,Aeroper煤 Flight 603
Vickers Viscount 745D,Aeropesca Colombia Flight 221,"August 26, 1981","Mount Santa Elana, Colombia",50 fatalities,Continuing VFR in meteorological conditions below minimum laid down in the Manual of Colombian air routes,HK-1320,Florencia to Neiva,,,,,,,,,,,,,,,,,,,,,Aeropesca Colombia Flight 221
Douglas DC-8-55F,Aeroservicios Ecuatorianos Flight 767-103,"September 18, 1984","Quito, Ecuador","4 crew, 49 ground","Crew error, incorrect horizontal stabilizer setting, insufficient runway length",Unknown,"Miami to Quito, Guayaquil, Ecuador",,,,,,,,,,,,,,,,,,,,,Aeroservicios Ecuatorianos Flight 767-103
Yakovlev Yak-42,Aerosvit Flight 241,"December 17, 1997","Thessaloniki, Greece",70 fatalities,"Navigational error, crew disorientation, failure to follow route, impact with mountains",UR-42334,Odessa to Thessaloniki,,,,,,,,,,,,,,,,,,,,,Aerosvit Flight 241
[Aircraft Type],Aerovías Aircraft Crash,[Date],[Location],[Casualties],[Cause of Crash],[Registration Number],[Route],,,,,,,,,,,,,,,,,,,,,Aerovias Guatemala Caravelle (HC-BAE)
Various,Afghan Air Force Disintegration,Summer 2021,Afghanistan,N/A,Disintegration due to Taliban resurgence and withdrawal of NATO forces,Various,N/A,,,,,,,,,,,,,,,,,,,,,Afghanistan Air Force
Airbus A330-202,Afriqiyah Airways Flight 771,"May 12, 2010",Tripoli International Airport,103 fatalities,"Crash on approach to airport, short of runway",5A-ONG,Johannesburg to Tripoli,,,,,,,,,,,,,,,,,,,,,Afriqiyah Airways Flight 771
McDonnell Douglas MD-83,Air Algérie Flight 5017,"July 24, 2014","Near Gossi, Mali","110 passengers, 6 crew","Ice accretion causing thrust reduction, high-altitude stall, crew unable to recover",Unknown,"Ouagadougou, Burkina Faso to Algiers, Algeria",,,,,,,,,,,,,,,,,,,,,Air Alg茅rie Flight 5017
Boeing 737-2T4,Air Algérie Flight 6289,"March 6, 2003","Near Tamanrasset, Algeria",102 fatalities,Flight crew error following engine failure,7T-VEZ,Tamanrasset to Algiers via Ghardaïa,,,,,,,,,,,,,,,,,,,,,Air Alg茅rie Flight 6289
Douglas DC-8,Air Canada Flight 621,"July 5, 1970",Toronto Gore Township,"100 passengers, 9 crew","Pilot error, failure to follow proper landing procedures",CF-TIW,Montreal–Toronto–Los Angeles,,,,,,,,,,,,,,,,,,,,,Air Canada Flight 621
Boeing 767-200ER,Air China Flight 129,"April 15, 2002","Near Gimhae Airport, South Korea",129 fatalities,"Pilot error, inadequate training, ATC error",B-2552,Beijing to Busan,,,,,,,,,,,,,,,,,,,,,Air China Flight 129
Boeing 737-222,Air Florida Flight 90,"January 13, 1982","Washington, DC, USA","74 passengers, 5 crew, 4 motorists","Pilot error, failure to activate ice protection systems, reverse thrust in snowstorm, power problem detection during taxiing",N62AF,Washington National Airport to Fort Lauderdale–Hollywood International Airport via Tampa International Airport,,,,,,,,,,,,,,,,,,,,,Air Florida Flight 90
Boeing 707,Air France Flight 007,"June 3, 1962","Orly Airport, Villeneuve-le-Roi","8 crew, 122 passengers, 2 survivors","Aborted takeoff, runway overrun, crash into town",,,,,,,,,,,,,,,,,,,,,,,Air France Flight 007
Boeing 707–328,Air France Flight 117,"June 22, 1962","Pointe-à-Pitre, Guadeloupe",All passengers and crew,"Weather conditions, navigational equipment failure",Unknown,"Paris-Orly to Santiago, Chile via Lisbon, the Azores, Guadeloupe, Peru",,,,,,,,,,,,,,,,,,,,,Air France Flight 117
Sud Aviation SE-210 Caravelle III,Air France Flight 1611,"September 11, 1968",Mediterranean Sea off Nice,95 fatalities,"Cabin fire, rejected missile strike hypothesis",Unknown,Ajaccio to Nice,,,,,,,,,,,,,,,,,,,,,Air France Flight 1611
Sud Aviation Caravelle,Air France Flight 2005,"September 12, 1961","Douar Doum, Morocco","71 passengers, 6 crew",Error in instrument reading,Unknown,Paris-Orly to Casablanca via Rabat-Salé,,,,,,,,,,,,,,,,,,,,,Air France Flight 2005
Boeing 707-328C,Air France Flight 212,"March 6, 1968","La Soufrière Mountain, Guadeloupe",63 fatalities,Visual approach procedure error,F-BLCJ,Caracas to Pointe-à-Pitre,,,,,,,,,,,,,,,,,,,,,Air France Flight 212 (F-BLCJ)
Lockheed 1049G Super Constellation,Air France Flight 343,"August 29, 1960","Yoff Airport, Dakar, Senegal","55 passengers, 8 crew","Adverse weather conditions, pilot error, steep angle crash into the Atlantic Ocean",F-BHBC,"Paris, France to Abidjan, Ivory Coast with stopovers at Dakar, Senegal and Monrovia, Liberia",,,,,,,,,,,,,,,,,,,,,Air France Flight 343
Lockheed L-1649 Starliner,Air France Flight 406,"May 10, 1961","Near Edjele oilfield, Algeria","78 passengers, crew","Sabotage, bomb explosion",F-BHBM,"Brazzaville, Congo to Paris, France via Fort Lamy, Chad, Marseille",,,,,,,,,,,,,,,,,,,,,Air France Flight 406
Boeing 727-200Adv,Air France Flight 422,"April 20, 1998",Eastern Hills of Bogotá,53 fatalities,"Foggy weather, low visibility, pilot error",Unknown,"Bogotá, Colombia to Quito, Ecuador",,,,,,,,,,,,,,,,,,,,,Air France Flight 422
Airbus A330-203,Air France Flight 447,"June 1, 2009",Atlantic Ocean,228 passengers and crew,"Pitot tube obstruction, autopilot disconnect, crew error, aerodynamic stall",F-GZCP,Rio de Janeiro to Paris,,,,,,,,,,,,,,,,,,,,,Air France Flight 447
Aérospatiale-BAC Concorde,Air France Flight 4590,"July 25, 2000","Gonesse, France","109 passengers, 4 hotel occupants","Tire debris impact causing fuel tank rupture, fire, loss of thrust, and crash",Unknown,Paris to New York,,,,,,,,,,,,,,,,,,,,,Air France Flight 4590
Boeing 737-800,Air India Express Flight 812,"May 22, 2010","Mangalore, India","158 passengers, 6 crew","Unstabilized approach, failure to initiate go-around, overshooting runway, crash, and fire",VT-AXV,Dubai to Mangalore,,,,,,,,,,,,,,,,,,,,,Air India Express Flight 812
Boeing 707,Air India Flight 101,"January 24, 1966","Mont Blanc, France","106 passengers, 11 crew","Misunderstood verbal instruction, VOR data issue, pilot error",VT-DMN,"Bombay to London via Delhi, Beirut, Geneva",,,,,,,,,,,,,,,,,,,,,Air India Flight 101
Boeing 747-237B,Air India Flight 182,"June 23, 1985",190 km west-southwest of Ireland,329 fatalities,Bombing by Canadian Sikh extremists,VT-EFO,Montreal–London–Delhi–Mumbai,,,,,,,,,,,,,,,,,,,,,Air India Flight 182
Boeing 747-237B,Air India Flight 855,"January 1, 1978","Off the coast of Bandra, Bombay","213 passengers, crew",Captain's spatial disorientation due to instrument failure,VT-EBD,Bombay to Dubai,,,,,,,,,,,,,,,,,,,,,Air India Flight 855
Airbus A320-111,Air Inter Flight 148,"January 20, 1992","Vosges Mountains, France","87 fatalities, 9 injured","Autopilot set incorrectly, high descent rate, lack of ground proximity warning system",F-GGED,Lyon to Strasbourg,,,,,,,,,,,,,,,,,,,,,Air Inter Flight 148
Vickers Viscount 724,Air Inter Flight 696,"October 27, 1972","La Faye forest, Forez Mountains, France",60 fatalities,Crashed during final approach to airport,Unknown,Lyon–Bron to Clermont-Ferrand,,,,,,,,,,,,,,,,,,,,,Air Inter Flight 696
Fokker F28 Fellowship 4000,Air Mauritanie Flight 625,"July 1, 1994","Tidjikja, Mauritania","76 passengers, 4 crew","Sandstorm conditions, heavy landing, front undercarriage collapse, runway overrun, impact with rocky outcrop, fire",5T-CLF,Nouakchott to Tidjikja,,,,,,,,,,,,,,,,,,,,,Air Mauritanie Flight 625
McDonnell Douglas DC-10-30,Air New Zealand Flight 901,"November 28, 1979","Mount Erebus, Antarctica","237 passengers, 20 crew","Pilot error, incorrect flight path coordinates",ZK-NZP,Auckland to Antarctica and return via Christchurch,,,,,,,,,,,,,,,,,,,,,Air New Zealand Flight 901
Boeing 737-2H4,Air Philippines Flight 541,"April 19, 2000","Samal, Davao del Norte","124 passengers, 7 crew",Crash on approach to airport,RP-C3010,Manila to Davao City,,,,,,,,,,,,,,,,,,,,,Air Philippines Flight 541
Vickers Viscount 782,Air Rhodesia Flight 827,"February 12, 1979","Vuti African Purchase Area, Zimbabwe","59 passengers, crew",Shot down by guerrillas using a Strela 2 missile,VP-WAS,"Kariba to Salisbury, Rhodesia",,,,,,,,,,,,,,,,,,,,,Air Rhodesia Flight 827
Boeing 727,Air Vietnam Flight 706,"September 15, 1974","Near Phan Rang Air Base, South Vietnam",75 fatalities,"Hijacking, loss of control, crash after grenade detonation",Unknown,"Da Nang to Saigon, Vietnam to Hanoi, Vietnam",,,,,,,,,,,,,,,,,,,,,Air Vietnam Flight 706 hijacking
Airbus A321-231,Airblue Flight 202,"July 28, 2010","Margalla Hills, Pakistan","146 passengers, 6 crew",Captain's incorrect flight control input,AP-BJB,Karachi to Islamabad,,,,,,,,,,,,,,,,,,,,,Airblue Flight 202
Boeing 727-100,Alaska Airlines Flight 1866,"September 4, 1971","Haines Borough, Alaska",111 fatalities,Erroneous navigation readouts leading to premature descent,N2969G,Anchorage to Seattle with intermediate stops in southeast Alaska,,,,,,,,,,,,,,,,,,,,,Alaska Airlines Flight 1866
McDonnell Douglas MD-83,Alaska Airlines Flight 261,"January 31, 2000","2.7 miles north of Anacapa Island, California","2 pilots, 3 cabin crew, 83 passengers",Loss of pitch control due to jackscrew assembly failure,N963AS,Puerto Vallarta to San Francisco to Seattle,,,,,,,,,,,,,,,,,,,,,Alaska Airlines Flight 261
Handley Page Dart Herald,,,,,,,,Alvis Leonides Major 14-cylinder radial engine,Up to 44 passengers,"High mounted wing, pressurized cabin, nosewheel undercarriage, large cargo doors, large flaps","Short-range regional airliner, intended to replace DC-3 in third-world countries",,,,,,,,,,,,,,,,,Alia Royal Jordanian Airlines Herald (JY-ACQ)
Unknown,Alitalia Flight 112,"May 5, 1972","Mount Longa, Palermo, Italy",115 onboard,"Crew error, failure to follow established vectors, crashed into mountain",I-DIWB,Rome to Palermo,,,,,,,,,,,,,,,,,,,,,Alitalia Flight 112
McDonnell Douglas DC-9-32,Alitalia Flight 4128,"December 23, 1978","Tyrrhenian Sea, 3 km north of Palermo","108 fatalities, 21 survivors",Premature descent due to misjudgment of distance from the runway,I-DIKQ,Rome to Palermo,,,,,,,,,,,,,,,,,,,,,Alitalia Flight 4128
Douglas DC-8-43,Alitalia Flight 771,"July 7, 1962","84 km northeast of Bombay, India",94 onboard,Crashed into a hill during approach,I-DIWD,"Sydney to Rome via Darwin, Bangkok, Bombay, Karachi, Tehran",,,,,,,,,,,,,,,,,,,,,Alitalia Flight 771
NAMC YS-11,All Nippon Airways Flight 533,1966,"Seto Inland Sea, Japan",50 fatalities,Undetermined loss of altitude during go-around,JA8658,Osaka to Matsuyama,,,,,,,,,,,,,,,,,,,,,All Nippon Airways Flight 533
Boeing 727-81,All Nippon Airways Flight 60,"February 4, 1966","Tokyo Bay, Japan","126 passengers, 7 crew",Mysterious crash into Tokyo Bay during night approach,Unknown,Sapporo Chitose Airport to Tokyo Haneda International Airport,,,,,,,,,,,,,,,,,,,,,All Nippon Airways Flight 60
Boeing 737-2A8,Alliance Air Flight 7412,"July 17, 2000","Patna, India","60 fatalities, 5 on ground",Pilot error,VT-EGD,Calcutta to Delhi via Patna,,,,,,,,,,,,,,,,,,,,,Alliance Air Flight 7412
McDonnell Douglas DC-10-10,American Airlines Flight 191,"May 25, 1979","Chicago, Illinois",273 fatalities,Engine detachment leading to loss of control and crash,N110AA,"Chicago, Illinois to Los Angeles, California",,,,,,,,,,,,,,,,,,,,,American Airlines Flight 191
